City/Municipality, Number of Households* , Electricity , Kerosene (Gaas) , Liquified Petroleum Gas (LPG) , Oil (vegetable animal and others) , Solar panel , Solar lamp , Others , None , Not Reported 
SAN NICOLAS,  8.277 ,  6.894 ,  916 ,  69 ,  -   ,  120 ,  20 ,  240 ,  18 ,  -   
SAN QUINTIN,  8.584 ,  7.817 ,  671 ,  4 ,  19 ,  1 ,  17 ,  48 ,  7 ,  -   
SANTA BARBARA,  18.636 ,  18.445 ,  145 ,  7 ,  3 ,  2 ,  1 ,  22 ,  11 ,  -   
SANTA MARIA,  7.491 ,  6.918 ,  527 ,  3 ,  -   ,  1 ,  16 ,  23 ,  3 ,  -   
SANTO TOMAS,  3.374 ,  3.237 ,  129 ,  1 ,  1 ,  1 ,  -   ,  4 ,  1 ,  -   
SISON,  10.659 ,  10.111 ,  496 ,  2 ,  1 ,  2 ,  7 ,  33 ,  7 ,  -   
SUAL,  7.859 ,  7.151 ,  654 ,  5 ,  4 ,  5 ,  4 ,  32 ,  4 ,  -   
TAYUG,  10.039 ,  9.191 ,  735 ,  12 ,  1 ,  8 ,  29 ,  47 ,  16 ,  -   
UMINGAN,  17.261 ,  15.917 ,  1.230 ,  11 ,  21 ,  13 ,  39 ,  14 ,  16 ,  -   
URBIZTONDO,  10.618 ,  9.983 ,  570 ,  21 ,  1 ,  -   ,  13 ,  24 ,  6 ,  -   
CITY OF URDANETA,  30.294 ,  28.521 ,  1.494 ,  10 ,  9 ,  22 ,  107 ,  111 ,  20 ,  -   
VILLASIS,  14.631 ,  13.521 ,  929 ,  23 ,  3 ,  6 ,  25 ,  50 ,  74 ,  -   
LAOAC,  7.429 ,  6.973 ,  411 ,  11 ,  4 ,  -   ,  11 ,  12 ,  7 ,  -   
,,,,,,,,,,
REGION II - CAGAYAN VALLEY,  804.524 ,  737.953 ,  47.959 ,  530 ,  197 ,  7.253 ,  6.677 ,  3.600 ,  355 ,  -   
BATANES,  4.761 ,  4.695 ,  22 ,  2 ,  1 ,  10 ,  -   ,  21 ,  10 ,  -   
BASCO (Capital),  2.327 ,  2.305 ,  9 ,  2 ,  -   ,  -   ,  -   ,  7 ,  4 ,  -   
ITBAYAT,  831 ,  812 ,  5 ,  -   ,  1 ,  10 ,  -   ,  1 ,  2 ,  -   
IVANA,  371 ,  365 ,  2 ,  -   ,  -   ,  -   ,  -   ,  2 ,  2 ,  -   
MAHATAO,  443 ,  442 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   
SABTANG,  431 ,  416 ,  6 ,  -   ,  -   ,  -   ,  -   ,  9 ,  -   ,  -   
UYUGAN,  358 ,  355 ,  -   ,  -   ,  -   ,  -   ,  -   ,  2 ,  1 ,  -   
CAGAYAN,  271.967 ,  247.030 ,  20.839 ,  285 ,  57 ,  1.728 ,  1.707 ,  308 ,  13 ,  -   
ABULUG,  7.405 ,  6.729 ,  643 ,  3 ,  1 ,  8 ,  18 ,  3 ,  -   ,  -   
ALCALA,  9.248 ,  8.506 ,  711 ,  3 ,  -   ,  6 ,  22 ,  -   ,  -   ,  -   
ALLACAPAN,  7.767 ,  6.851 ,  893 ,  1 ,  3 ,  5 ,  13 ,  1 ,  -   ,  -   
AMULUNG,  10.697 ,  9.302 ,  1.335 ,  1 ,  1 ,  17 ,  30 ,  11 ,  -   ,  -   
APARRI,  13.978 ,  12.524 ,  1.044 ,  14 ,  1 ,  285 ,  107 ,  3 ,  -   ,  -   
BAGGAO,  19.630 ,  16.484 ,  2.596 ,  13 ,  1 ,  188 ,  269 ,  79 ,  -   ,  -   
BALLESTEROS,  8.350 ,  7.307 ,  989 ,  22 ,  -   ,  8 ,  20 ,  4 ,  -   ,  -   
BUGUEY,  6.754 ,  6.410 ,  323 ,  1 ,  -   ,  1 ,  9 ,  10 ,  -   ,  -   
CALAYAN,  3.904 ,  1.766 ,  704 ,  2 ,  1 ,  854 ,  554 ,  23 ,  -   ,  -   
CAMALANIUGAN,  5.482 ,  5.113 ,  356 ,  5 ,  -   ,  1 ,  1 ,  6 ,  -   ,  -   
CLAVERIA,  7.258 ,  6.819 ,  384 ,  9 ,  2 ,  18 ,  23 ,  3 ,  -   ,  -   
ENRILE,  7.543 ,  7.327 ,  176 ,  8 ,  1 ,  1 ,  11 ,  19 ,  -   ,  -   
GATTARAN,  12.874 ,  11.037 ,  1.402 ,  66 ,  17 ,  153 ,  171 ,  28 ,  -   ,  -   
GONZAGA,  8.603 ,  7.944 ,  613 ,  11 ,  1 ,  5 ,  15 ,  14 ,  -   ,  -   
IGUIG,  6.179 ,  5.910 ,  263 ,  1 ,  -   ,  -   ,  5 ,  -   ,  -   ,  -   
LAL-LO,  10.271 ,  9.359 ,  866 ,  2 ,  1 ,  10 ,  15 ,  18 ,  -   ,  -   
LASAM,  9.026 ,  8.362 ,  591 ,  5 ,  18 ,  6 ,  40 ,  4 ,  -   ,  -   
PAMPLONA,  5.248 ,  4.755 ,  472 ,  2 ,  -   ,  7 ,  9 ,  3 ,  -   ,  -   
PEÑABLANCA,  10.739 ,  9.663 ,  977 ,  5 ,  1 ,  20 ,  37 ,  36 ,  -   ,  -   
PIAT,  5.525 ,  5.096 ,  415 ,  -   ,  -   ,  4 ,  10 ,  -   ,  -   ,  -   
RIZAL,  4.043 ,  3.067 ,  784 ,  1 ,  1 ,  52 ,  138 ,  -   ,  -   ,  -   
SANCHEZ-MIRA,  5.625 ,  5.093 ,  474 ,  2 ,  1 ,  12 ,  43 ,  -   ,  -   ,  -   
SANTA ANA,  7.821 ,  6.889 ,  830 ,  1 ,  -   ,  14 ,  72 ,  15 ,  -   ,  -   
SANTA PRAXEDES,  980 ,  790 ,  159 ,  -   ,  -   ,  18 ,  13 ,  -   ,  -   ,  -   
SANTA TERESITA,  4.283 ,  3.911 ,  318 ,  4 ,  -   ,  12 ,  17 ,  8 ,  13 ,  -   
SANTO NIÑO (FAIRE),  6.641 ,  5.982 ,  623 ,  2 ,  -   ,  17 ,  10 ,  7 ,  -   ,  -   
SOLANA,  19.012 ,  18.179 ,  797 ,  18 ,  1 ,  1 ,  8 ,  8 ,  -   ,  -   
TUAO,  13.557 ,  12.729 ,  812 ,  5 ,  -   ,  1 ,  9 ,  1 ,  -   ,  -   
TUGUEGARAO CITY (Capital),  33.524 ,  33.126 ,  289 ,  78 ,  5 ,  4 ,  18 ,  4 ,  -   ,  -   
ISABELA,  372.950 ,  352.398 ,  15.427 ,  163 ,  96 ,  1.853 ,  1.670 ,  1.088 ,  255 ,  -   
ALICIA,  17.864 ,  17.449 ,  330 ,  9 ,  11 ,  7 ,  7 ,  36 ,  15 ,  -   
ANGADANAN,  9.906 ,  8.966 ,  871 ,  -   ,  -   ,  9 ,  15 ,  23 ,  22 ,  -   
AURORA,  8.476 ,  8.254 ,  183 ,  7 ,  -   ,  1 ,  3 ,  12 ,  16 ,  -   
BENITO SOLIVEN,  6.941 ,  6.391 ,  454 ,  1 ,  1 ,  18 ,  37 ,  39 ,  -   ,  -   
BURGOS,  5.744 ,  5.597 ,  124 ,  2 ,  1 ,  -   ,  9 ,  7 ,  4 ,  -   
CABAGAN,  10.162 ,  9.955 ,  162 ,  6 ,  -   ,  -   ,  16 ,  21 ,  2 ,  -   
CABATUAN,  9.674 ,  9.477 ,  150 ,  3 ,  1 ,  -   ,  6 ,  35 ,  2 ,  -   
CITY OF CAUAYAN,  30.623 ,  29.877 ,  641 ,  11 ,  6 ,  10 ,  16 ,  53 ,  9 ,  -   
CORDON,  10.353 ,  10.012 ,  267 ,  2 ,  3 ,  6 ,  34 ,  24 ,  5 ,  -   
DINAPIGUE,  1.231 ,  613 ,  247 ,  2 ,  -   ,  133 ,  177 ,  51 ,  8 ,  -   
DIVILACAN,  1.310 ,  10 ,  502 ,  1 ,  -   ,  500 ,  187 ,  100 ,  10 ,  -   
ECHAGUE,  18.874 ,  18.043 ,  753 ,  8 ,  9 ,  20 ,  13 ,  19 ,  9 ,  -   
GAMU,  6.791 ,  6.655 ,  103 ,  3 ,  2 ,  5 ,  9 ,  12 ,  2 ,  -   
ILAGAN City (Capital),  34.669 ,  33.427 ,  1.122 ,  13 ,  9 ,  16 ,  30 ,  35 ,  17 ,  -   
JONES,  10.650 ,  10.065 ,  511 ,  4 ,  3 ,  16 ,  15 ,  30 ,  6 ,  -   
LUNA,  4.646 ,  4.542 ,  84 ,  3 ,  -   ,  1 ,  -   ,  10 ,  6 ,  -   
MACONACON,  977 ,  571 ,  158 ,  1 ,  -   ,  91 ,  62 ,  92 ,  2 ,  -   
DELFIN ALBANO (MAGSAYSAY),  6.637 ,  6.505 ,  114 ,  -   ,  1 ,  -   ,  1 ,  11 ,  5 ,  -   
MALLIG,  7.591 ,  7.411 ,  167 ,  -   ,  -   ,  1 ,  1 ,  3 ,  8 ,  -   
NAGUILIAN,  7.413 ,  7.207 ,  198 ,  -   ,  1 ,  1 ,  -   ,  6 ,  -   ,  -   
PALANAN,  3.826 ,  1.198 ,  1.647 ,  3 ,  1 ,  253 ,  593 ,  123 ,  8 ,  -   
QUEZON,  5.874 ,  5.613 ,  215 ,  2 ,  -   ,  9 ,  21 ,  12 ,  2 ,  -   
QUIRINO,  6.333 ,  6.184 ,  138 ,  -   ,  1 ,  1 ,  6 ,  2 ,  1 ,  -   
RAMON,  13.347 ,  12.916 ,  235 ,  5 ,  7 ,  135 ,  16 ,  32 ,  1 ,  -   
REINA MERCEDES,  6.270 ,  6.196 ,  59 ,  4 ,  3 ,  -   ,  2 ,  2 ,  4 ,  -   
ROXAS,  14.226 ,  13.807 ,  378 ,  5 ,  3 ,  6 ,  10 ,  14 ,  3 ,  -   
SAN AGUSTIN,  5.626 ,  5.279 ,  317 ,  2 ,  2 ,  6 ,  6 ,  10 ,  4 ,  -   
SAN GUILLERMO,  4.601 ,  4.012 ,  561 ,  -   ,  2 ,  6 ,  17 ,  2 ,  1 ,  -   
SAN ISIDRO,  5.831 ,  5.733 ,  66 ,  21 ,  2 ,  -   ,  -   ,  9 ,  -   ,  -   
SAN MANUEL,  7.613 ,  7.236 ,  339 ,  4 ,  8 ,  6 ,  1 ,  15 ,  4 ,  -   
SAN MARIANO,  12.220 ,  8.325 ,  2.901 ,  1 ,  4 ,  544 ,  324 ,  118 ,  3 ,  -   
SAN MATEO,  15.664 ,  15.418 ,  206 ,  4 ,  2 ,  1 ,  4 ,  15 ,  14 ,  -   
SAN PABLO,  5.134 ,  4.900 ,  173 ,  1 ,  -   ,  40 ,  7 ,  10 ,  3 ,  -   
SANTA MARIA,  4.860 ,  4.718 ,  134 ,  3 ,  1 ,  1 ,  1 ,  1 ,  1 ,  -   
CITY OF SANTIAGO,  30.472 ,  29.954 ,  355 ,  18 ,  7 ,  7 ,  16 ,  74 ,  41 ,  -   
SANTO TOMAS,  4.980 ,  4.852 ,  112 ,  4 ,  1 ,  2 ,  -   ,  3 ,  6 ,  -   
TUMAUINI,  15.541 ,  15.030 ,  450 ,  10 ,  4 ,  1 ,  8 ,  27 ,  11 ,  -   
NUEVA VIZCAYA,  111.340 ,  96.361 ,  7.261 ,  63 ,  40 ,  2.625 ,  2.931 ,  2.002 ,  57 ,  -   
AMBAGUIO,  3.536 ,  820 ,  319 ,  -   ,  -   ,  125 ,  1.889 ,  383 ,  -   ,  -   
ARITAO,  8.562 ,  7.937 ,  539 ,  -   ,  2 ,  22 ,  38 ,  24 ,  -   ,  -   
BAGABAG,  8.910 ,  8.411 ,  434 ,  3 ,  -   ,  16 ,  23 ,  23 ,  -   ,  -   
BAMBANG,  13.459 ,  12.862 ,  503 ,  1 ,  -   ,  32 ,  26 ,  35 ,  -   ,  -   
BAYOMBONG (Capital),  15.761 ,  15.153 ,  464 ,  14 ,  2 ,  36 ,  28 ,  64 ,  -   ,  -   
DIADI,  4.441 ,  3.703 ,  554 ,  9 ,  -   ,  55 ,  52 ,  67 ,  1 ,  -   
DUPAX DEL NORTE,  6.646 ,  5.902 ,  362 ,  1 ,  1 ,  218 ,  106 ,  22 ,  34 ,  -   
DUPAX DEL SUR,  4.531 ,  3.836 ,  458 ,  5 ,  2 ,  155 ,  18 ,  55 ,  2 ,  -   
KASIBU,  8.448 ,  5.318 ,  1.233 ,  15 ,  1 ,  1.593 ,  176 ,  107 ,  5 ,  -   
KAYAPA,  5.544 ,  3.286 ,  698 ,  8 ,  3 ,  219 ,  313 ,  1.011 ,  6 ,  -   
QUEZON,  4.991 ,  4.374 ,  488 ,  1 ,  -   ,  55 ,  45 ,  24 ,  4 ,  -   
SANTA FE,  3.758 ,  3.186 ,  368 ,  -   ,  -   ,  73 ,  75 ,  56 ,  -   ,  -   
SOLANO,  16.514 ,  16.121 ,  319 ,  1 ,  4 ,  9 ,  18 ,  40 ,  2 ,  -   
VILLAVERDE,  4.452 ,  4.168 ,  190 ,  1 ,  23 ,  11 ,  44 ,  14 ,  1 ,  -   
ALFONSO CASTANEDA,  1.787 ,  1.284 ,  332 ,  4 ,  2 ,  6 ,  80 ,  77 ,  2 ,  -   
QUIRINO,  43.506 ,  37.469 ,  4.410 ,  17 ,  3 ,  1.037 ,  369 ,  181 ,  20 ,  -   
AGLIPAY,  6.577 ,  5.690 ,  754 ,  1 ,  -   ,  44 ,  54 ,  29 ,  5 ,  -   
CABARROGUIS (Capital),  6.849 ,  6.222 ,  555 ,  2 ,  -   ,  33 ,  25 ,  10 ,  2 ,  -   
DIFFUN,  12.283 ,  10.640 ,  1.372 ,  5 ,  1 ,  131 ,  86 ,  43 ,  5 ,  -   
MADDELA,  8.914 ,  7.961 ,  855 ,  3 ,  1 ,  18 ,  45 ,  25 ,  6 ,  -   
SAGUDAY,  3.985 ,  3.755 ,  209 ,  3 ,  -   ,  -   ,  6 ,  11 ,  1 ,  -   
NAGTIPUNAN,  4.898 ,  3.201 ,  665 ,  3 ,  1 ,  811 ,  153 ,  63 ,  1 ,  -   
,,,,,,,,,,
REGION III - CENTRAL LUZON,  2.566.524 ,  2.477.370 ,  68.445 ,  3.487 ,  358 ,  2.718 ,  3.269 ,  7.979 ,  2.838 ,  60 
AURORA,  49.410 ,  44.874 ,  3.603 ,  29 ,  14 ,  185 ,  325 ,  334 ,  46 ,  -   
BALER,  8.842 ,  8.560 ,  216 ,  -   ,  -   ,  9 ,  18 ,  35 ,  4 ,  -   
CASIGURAN,  5.721 ,  4.729 ,  793 ,  6 ,  1 ,  55 ,  61 ,  62 ,  14 ,  -   
DILASAG,  3.949 ,  3.218 ,  589 ,  9 ,  2 ,  29 ,  93 ,  6 ,  3 ,  -   
DINALUNGAN,  2.661 ,  2.336 ,  298 ,  1 ,  -   ,  3 ,  9 ,  11 ,  3 ,  -   
DINGALAN,  5.726 ,  5.148 ,  402 ,  3 ,  -   ,  23 ,  35 ,  94 ,  21 ,  -   
DIPACULAO,  7.051 ,  6.595 ,  401 ,  3 ,  1 ,  7 ,  24 ,  20 ,  -   ,  -   
MARIA AURORA,  9.405 ,  8.709 ,  518 ,  7 ,  10 ,  45 ,  50 ,  65 ,  1 ,  -   
SAN LUIS,  6.055 ,  5.579 ,  386 ,  -   ,  -   ,  14 ,  35 ,  41 ,  -   ,  -   
BATAAN,  173.212 ,  166.776 ,  5.215 ,  132 ,  23 ,  126 ,  179 ,  567 ,  194 ,  -   
ABUCAY,  9.453 ,  9.256 ,  165 ,  4 ,  -   ,  1 ,  1 ,  19 ,  7 ,  -   
BAGAC,  6.042 ,  5.849 ,  173 ,  1 ,  -   ,  2 ,  6 ,  11 ,  -   ,  -   
CITY OF BALANGA (Capital),  21.269 ,  20.655 ,  398 ,  7 ,  7 ,  18 ,  30 ,  144 ,  10 ,  -   
DINALUPIHAN,  23.971 ,  23.098 ,  752 ,  7 ,  2 ,  11 ,  25 ,  31 ,  45 ,  -   
HERMOSA,  14.439 ,  13.713 ,  628 ,  16 ,  3 ,  6 ,  16 ,  24 ,  33 ,  -   
LIMAY,  15.345 ,  14.483 ,  773 ,  3 ,  1 ,  9 ,  15 ,  50 ,  11 ,  -   
MARIVELES,  30.847 ,  29.926 ,  642 ,  67 ,  3 ,  54 ,  31 ,  85 ,  39 ,  -   
MORONG,  6.847 ,  6.283 ,  521 ,  7 ,  -   ,  3 ,  14 ,  16 ,  3 ,  -   
ORANI,  15.790 ,  15.429 ,  271 ,  4 ,  1 ,  5 ,  29 ,  30 ,  21 ,  -   
ORION,  12.136 ,  11.482 ,  518 ,  2 ,  2 ,  14 ,  8 ,  101 ,  9 ,  -   
PILAR,  9.349 ,  9.077 ,  202 ,  14 ,  4 ,  2 ,  2 ,  34 ,  14 ,  -   
SAMAL,  7.724 ,  7.525 ,  172 ,  -   ,  -   ,  1 ,  2 ,  22 ,  2 ,  -   
BULACAN,  760.964 ,  741.772 ,  12.542 ,  895 ,  70 ,  1.083 ,  685 ,  2.936 ,  921 ,  60 
ANGAT,  14.891 ,  14.459 ,  377 ,  8 ,  -   ,  17 ,  8 ,  15 ,  7 ,  -   
BALAGTAS (BIGAA),  17.633 ,  17.308 ,  242 ,  15 ,  -   ,  2 ,  5 ,  53 ,  8 ,  -   
BALIUAG,  36.480 ,  35.880 ,  383 ,  142 ,  1 ,  6 ,  12 ,  39 ,  17 ,  -   
BOCAUE,  27.427 ,  26.644 ,  448 ,  18 ,  4 ,  13 ,  14 ,  272 ,  14 ,  -   
BULACAN,  18.307 ,  17.724 ,  244 ,  3 ,  4 ,  92 ,  70 ,  151 ,  19 ,  -   
BUSTOS,  16.046 ,  15.866 ,  139 ,  5 ,  -   ,  6 ,  1 ,  18 ,  11 ,  -   
CALUMPIT,  24.991 ,  24.634 ,  213 ,  2 ,  2 ,  -   ,  5 ,  51 ,  84 ,  -   
GUIGUINTO,  23.062 ,  22.631 ,  348 ,  8 ,  -   ,  5 ,  27 ,  29 ,  14 ,  -   
HAGONOY,  30.208 ,  29.632 ,  267 ,  52 ,  1 ,  25 ,  52 ,  83 ,  96 ,  -   
CITY OF MALOLOS (Capital),  57.541 ,  56.792 ,  474 ,  19 ,  5 ,  18 ,  32 ,  82 ,  108 ,  11 
MARILAO,  52.826 ,  51.904 ,  481 ,  158 ,  4 ,  43 ,  15 ,  158 ,  63 ,  -   
CITY OF MEYCAUAYAN,  52.543 ,  51.598 ,  555 ,  105 ,  5 ,  49 ,  40 ,  148 ,  43 ,  -   
NORZAGARAY,  24.822 ,  23.501 ,  979 ,  4 ,  2 ,  93 ,  89 ,  107 ,  47 ,  -   
OBANDO,  13.821 ,  13.502 ,  263 ,  -   ,  1 ,  1 ,  -   ,  49 ,  5 ,  -   
PANDI,  20.314 ,  19.569 ,  220 ,  7 ,  -   ,  12 ,  9 ,  468 ,  29 ,  -   
PAOMBONG,  11.782 ,  11.655 ,  94 ,  1 ,  1 ,  4 ,  5 ,  13 ,  9 ,  -   
PLARIDEL,  24.437 ,  24.223 ,  168 ,  4 ,  -   ,  1 ,  4 ,  26 ,  11 ,  -   
PULILAN,  22.557 ,  22.159 ,  343 ,  5 ,  -   ,  2 ,  2 ,  29 ,  17 ,  -   
SAN ILDEFONSO,  24.257 ,  24.010 ,  185 ,  2 ,  1 ,  6 ,  5 ,  19 ,  29 ,  -   
CITY OF SAN JOSE DEL MONTE,  126.553 ,  121.603 ,  3.610 ,  270 ,  20 ,  221 ,  130 ,  500 ,  150 ,  49 
SAN MIGUEL,  34.459 ,  33.856 ,  389 ,  5 ,  3 ,  26 ,  13 ,  116 ,  51 ,  -   
SAN RAFAEL,  22.560 ,  22.218 ,  268 ,  5 ,  3 ,  8 ,  2 ,  28 ,  28 ,  -   
SANTA MARIA,  58.357 ,  57.057 ,  956 ,  55 ,  12 ,  16 ,  39 ,  180 ,  42 ,  -   
DOÑA REMEDIOS TRINIDAD,  5.090 ,  3.347 ,  896 ,  2 ,  1 ,  417 ,  106 ,  302 ,  19 ,  -   
NUEVA ECIJA,  496.977 ,  475.144 ,  18.062 ,  384 ,  57 ,  374 ,  872 ,  1.771 ,  313 ,  -   
ALIAGA,  14.004 ,  13.492 ,  458 ,  16 ,  1 ,  2 ,  6 ,  27 ,  2 ,  -   
BONGABON,  14.990 ,  14.381 ,  408 ,  10 ,  2 ,  22 ,  62 ,  64 ,  41 ,  -   
CABANATUAN CITY,  68.247 ,  66.593 ,  1.170 ,  42 ,  4 ,  16 ,  22 ,  350 ,  50 ,  -   
CABIAO,  16.685 ,  16.120 ,  505 ,  10 ,  1 ,  1 ,  3 ,  35 ,  10 ,  -   
CARRANGLAN,  9.642 ,  8.459 ,  1.006 ,  14 ,  4 ,  35 ,  91 ,  31 ,  2 ,  -   
CUYAPO,  15.659 ,  15.104 ,  523 ,  6 ,  2 ,  -   ,  6 ,  4 ,  14 ,  -   
GABALDON (BITULOK & SABANI),  8.510 ,  7.895 ,  562 ,  -   ,  1 ,  4 ,  13 ,  29 ,  6 ,  -   
CITY OF GAPAN,  24.906 ,  23.946 ,  816 ,  13 ,  4 ,  13 ,  29 ,  63 ,  22 ,  -   
GENERAL MAMERTO NATIVIDAD,  10.030 ,  9.237 ,  564 ,  52 ,  -   ,  14 ,  18 ,  143 ,  2 ,  -   
GENERAL TINIO (PAPAYA),  10.996 ,  10.534 ,  372 ,  4 ,  1 ,  8 ,  14 ,  57 ,  6 ,  -   
GUIMBA,  28.707 ,  27.134 ,  1.446 ,  10 ,  1 ,  9 ,  7 ,  48 ,  52 ,  -   
JAEN,  17.904 ,  17.399 ,  463 ,  7 ,  1 ,  5 ,  13 ,  14 ,  2 ,  -   
LAUR,  8.793 ,  8.273 ,  473 ,  -   ,  -   ,  11 ,  16 ,  17 ,  3 ,  -   
LICAB,  6.387 ,  6.192 ,  184 ,  3 ,  2 ,  -   ,  2 ,  4 ,  -   ,  -   
LLANERA,  9.590 ,  8.842 ,  590 ,  10 ,  2 ,  6 ,  43 ,  94 ,  3 ,  -   
LUPAO,  10.080 ,  9.423 ,  574 ,  -   ,  1 ,  9 ,  44 ,  27 ,  2 ,  -   
SCIENCE CITY OF MUÑOZ,  19.143 ,  18.267 ,  720 ,  9 ,  1 ,  5 ,  22 ,  116 ,  3 ,  -   
NAMPICUAN,  3.086 ,  2.948 ,  132 ,  -   ,  1 ,  -   ,  -   ,  -   ,  5 ,  -   
PALAYAN CITY (Capital),  9.447 ,  8.561 ,  587 ,  21 ,  7 ,  35 ,  188 ,  44 ,  4 ,  -   
PANTABANGAN,  6.139 ,  5.496 ,  495 ,  -   ,  -   ,  15 ,  55 ,  76 ,  2 ,  -   
PEÑARANDA,  6.857 ,  6.568 ,  241 ,  3 ,  1 ,  10 ,  12 ,  17 ,  5 ,  -   
QUEZON,  9.482 ,  8.985 ,  479 ,  -   ,  2 ,  3 ,  7 ,  3 ,  3 ,  -   
RIZAL,  15.251 ,  14.539 ,  598 ,  15 ,  4 ,  3 ,  34 ,  55 ,  3 ,  -   
SAN ANTONIO,  17.543 ,  16.810 ,  683 ,  3 ,  2 ,  3 ,  3 ,  34 ,  5 ,  -   
SAN ISIDRO,  11.325 ,  11.003 ,  294 ,  2 ,  1 ,  4 ,  3 ,  14 ,  4 ,  -   
SAN JOSE CITY,  32.769 ,  31.112 ,  1.145 ,  18 ,  4 ,  117 ,  118 ,  239 ,  16 ,  -   
SAN LEONARDO,  15.012 ,  14.488 ,  407 ,  45 ,  2 ,  4 ,  12 ,  39 ,  15 ,  -   
SANTA ROSA,  15.785 ,  15.500 ,  229 ,  19 ,  1 ,  1 ,  3 ,  26 ,  6 ,  -   
SANTO DOMINGO,  14.103 ,  13.479 ,  573 ,  29 ,  -   ,  1 ,  3 ,  11 ,  7 ,  -   
TALAVERA,  28.362 ,  27.330 ,  901 ,  18 ,  2 ,  12 ,  15 ,  69 ,  15 ,  -   
TALUGTUG,  5.820 ,  5.596 ,  207 ,  -   ,  1 ,  3 ,  4 ,  9 ,  -   ,  -   
ZARAGOZA,  11.723 ,  11.438 ,  257 ,  5 ,  1 ,  3 ,  4 ,  12 ,  3 ,  -   
PAMPANGA (excluding Angeles City),  479.082 ,  468.201 ,  7.204 ,  1.352 ,  53 ,  320 ,  402 ,  879 ,  671 ,  -   
APALIT,  23.779 ,  23.366 ,  225 ,  61 ,  2 ,  6 ,  16 ,  43 ,  60 ,  -   
ARAYAT,  28.144 ,  27.367 ,  533 ,  146 ,  3 ,  2 ,  1 ,  34 ,  58 ,  -   
BACOLOR,  9.593 ,  9.403 ,  143 ,  6 ,  1 ,  -   ,  -   ,  30 ,  10 ,  -   
CANDABA,  22.664 ,  22.424 ,  186 ,  4 ,  3 ,  2 ,  16 ,  23 ,  6 ,  -   
FLORIDABLANCA,  28.915 ,  27.456 ,  1.295 ,  80 ,  3 ,  2 ,  15 ,  40 ,  24 ,  -   
GUAGUA,  26.336 ,  26.040 ,  191 ,  7 ,  2 ,  3 ,  19 ,  29 ,  45 ,  -   
LUBAO,  34.492 ,  33.622 ,  690 ,  17 ,  1 ,  9 ,  21 ,  60 ,  72 ,  -   
MABALACAT CITY,  56.650 ,  55.222 ,  701 ,  377 ,  7 ,  92 ,  22 ,  176 ,  53 ,  -   
MACABEBE,  16.321 ,  15.881 ,  296 ,  2 ,  4 ,  19 ,  44 ,  39 ,  36 ,  -   
MAGALANG,  24.484 ,  24.002 ,  359 ,  13 ,  3 ,  26 ,  11 ,  45 ,  25 ,  -   
MASANTOL,  11.946 ,  11.243 ,  287 ,  5 ,  1 ,  116 ,  168 ,  83 ,  43 ,  -   
MEXICO,  32.518 ,  32.092 ,  159 ,  143 ,  4 ,  5 ,  6 ,  93 ,  16 ,  -   
MINALIN,  9.931 ,  9.681 ,  197 ,  6 ,  -   ,  3 ,  9 ,  27 ,  8 ,  -   
PORAC,  27.474 ,  26.436 ,  921 ,  18 ,  4 ,  11 ,  9 ,  39 ,  36 ,  -   
CITY OF SAN FERNANDO (Capital),  68.272 ,  67.184 ,  441 ,  449 ,  9 ,  5 ,  19 ,  70 ,  95 ,  -   
SAN LUIS,  10.945 ,  10.863 ,  61 ,  2 ,  1 ,  2 ,  -   ,  3 ,  13 ,  -   
SAN SIMON,  11.420 ,  11.209 ,  146 ,  3 ,  2 ,  3 ,  15 ,  19 ,  23 ,  -   
SANTA ANA,  11.115 ,  11.028 ,  69 ,  4 ,  1 ,  -   ,  2 ,  8 ,  3 ,  -   
SANTA RITA,  9.064 ,  8.993 ,  34 ,  4 ,  1 ,  1 ,  2 ,  11 ,  18 ,  -   
SANTO TOMAS,  9.214 ,  9.017 ,  181 ,  2 ,  1 ,  5 ,  3 ,  3 ,  2 ,  -   
SASMUAN (Sexmoan),  5.805 ,  5.672 ,  89 ,  3 ,  -   ,  8 ,  4 ,  4 ,  25 ,  -   
ANGELES CITY,  96.219 ,  94.275 ,  979 ,  373 ,  19 ,  66 ,  126 ,  210 ,  171 ,  -   
TARLAC,  311.994 ,  300.617 ,  9.434 ,  186 ,  96 ,  314 ,  441 ,  549 ,  357 ,  -   
ANAO,  2.720 ,  2.593 ,  116 ,  -   ,  -   ,  -   ,  3 ,  7 ,  1 ,  -   
BAMBAN,  14.978 ,  14.468 ,  460 ,  1 ,  -   ,  4 ,  18 ,  22 ,  5 ,  -   
CAMILING,  19.601 ,  18.896 ,  643 ,  3 ,  2 ,  4 ,  2 ,  40 ,  11 ,  -   
CAPAS,  32.458 ,  30.835 ,  1.241 ,  4 ,  3 ,  89 ,  240 ,  35 ,  11 ,  -   
CONCEPCION,  33.299 ,  32.991 ,  244 ,  7 ,  5 ,  1 ,  8 ,  29 ,  14 ,  -   
GERONA,  21.302 ,  20.652 ,  597 ,  7 ,  1 ,  2 ,  2 ,  21 ,  20 ,  -   
LA PAZ,  14.062 ,  13.714 ,  296 ,  2 ,  2 ,  2 ,  1 ,  38 ,  7 ,  -   
