City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,Lake river rain and others,Peddler,Bottled water,Others,Not Reported
CITY OF SAN FERNANDO (Capital),  68.272 ,  45.336 ,  2.447 ,  5.363 ,  5.634 ,  1.067 ,  147 ,  108 ,  3 ,  2 ,  34 ,  8.062 ,  69 ,  -   
SAN LUIS,  10.945 ,  7.867 ,  320 ,  1.541 ,  242 ,  791 ,  2 ,  2 ,  -   ,  -   ,  1 ,  156 ,  23 ,  -   
SAN SIMON,  11.420 ,  8.949 ,  1.058 ,  359 ,  330 ,  362 ,  56 ,  10 ,  -   ,  -   ,  4 ,  284 ,  8 ,  -   
SANTA ANA,  11.115 ,  8.409 ,  636 ,  1.062 ,  628 ,  141 ,  25 ,  -   ,  -   ,  -   ,  -   ,  214 ,  -   ,  -   
SANTA RITA,  9.064 ,  3.952 ,  193 ,  3.082 ,  1.297 ,  26 ,  20 ,  51 ,  1 ,  -   ,  8 ,  332 ,  102 ,  -   
SANTO TOMAS,  9.214 ,  8.609 ,  261 ,  17 ,  19 ,  22 ,  17 ,  -   ,  1 ,  -   ,  1 ,  265 ,  2 ,  -   
SASMUAN (Sexmoan),  5.805 ,  3.211 ,  522 ,  356 ,  1.557 ,  92 ,  22 ,  9 ,  17 ,  -   ,  -   ,  17 ,  2 ,  -   
ANGELES CITY,  96.219 ,  82.475 ,  3.593 ,  2.257 ,  3.259 ,  845 ,  594 ,  45 ,  3 ,  2 ,  330 ,  2.615 ,  201 ,  -   
TARLAC,  311.994 ,  110.037 ,  13.649 ,  95.076 ,  72.948 ,  10.365 ,  1.137 ,  813 ,  96 ,  398 ,  246 ,  7.102 ,  127 ,  -   
ANAO,  2.720 ,  1.305 ,  270 ,  521 ,  313 ,  304 ,  -   ,  -   ,  -   ,  -   ,  -   ,  7 ,  -   ,  -   
BAMBAN,  14.978 ,  8.686 ,  846 ,  1.437 ,  2.462 ,  238 ,  342 ,  53 ,  9 ,  38 ,  -   ,  863 ,  4 ,  -   
CAMILING,  19.601 ,  9.424 ,  975 ,  6.166 ,  2.619 ,  88 ,  49 ,  127 ,  4 ,  1 ,  27 ,  120 ,  1 ,  -   
CAPAS,  32.458 ,  11.108 ,  2.034 ,  8.256 ,  6.574 ,  2.459 ,  9 ,  305 ,  9 ,  282 ,  26 ,  1.396 ,  -   ,  -   
CONCEPCION,  33.299 ,  12.618 ,  1.100 ,  13.172 ,  4.723 ,  802 ,  349 ,  4 ,  3 ,  -   ,  29 ,  484 ,  15 ,  -   
GERONA,  21.302 ,  5.064 ,  646 ,  7.828 ,  6.603 ,  794 ,  29 ,  10 ,  -   ,  -   ,  7 ,  316 ,  5 ,  -   
LA PAZ,  14.062 ,  2.519 ,  324 ,  5.770 ,  4.054 ,  1.181 ,  4 ,  -   ,  -   ,  -   ,  5 ,  205 ,  -   ,  -   
MAYANTOC,  7.571 ,  1.611 ,  264 ,  2.844 ,  2.677 ,  12 ,  6 ,  30 ,  48 ,  32 ,  34 ,  13 ,  -   ,  -   
MONCADA,  13.793 ,  5.023 ,  1.027 ,  2.341 ,  5.245 ,  110 ,  3 ,  1 ,  -   ,  -   ,  25 ,  17 ,  1 ,  -   
PANIQUI,  22.412 ,  9.991 ,  2.544 ,  3.624 ,  5.782 ,  86 ,  12 ,  12 ,  2 ,  -   ,  10 ,  341 ,  8 ,  -   
PURA,  5.602 ,  1.273 ,  247 ,  1.726 ,  2.223 ,  78 ,  -   ,  -   ,  -   ,  -   ,  -   ,  52 ,  3 ,  -   
RAMOS,  4.785 ,  2.881 ,  809 ,  215 ,  789 ,  79 ,  1 ,  -   ,  -   ,  -   ,  -   ,  10 ,  1 ,  -   
SAN CLEMENTE,  3.031 ,  540 ,  196 ,  1.365 ,  809 ,  7 ,  2 ,  7 ,  -   ,  -   ,  -   ,  105 ,  -   ,  -   
SAN MANUEL,  5.706 ,  813 ,  61 ,  1.915 ,  2.661 ,  175 ,  1 ,  -   ,  1 ,  -   ,  -   ,  78 ,  1 ,  -   
SANTA IGNACIA,  11.519 ,  1.933 ,  95 ,  5.337 ,  3.415 ,  428 ,  4 ,  28 ,  1 ,  -   ,  63 ,  211 ,  4 ,  -   
CITY OF TARLAC (Capital),  75.546 ,  33.105 ,  1.718 ,  24.026 ,  10.302 ,  3.326 ,  229 ,  37 ,  -   ,  3 ,  18 ,  2.715 ,  67 ,  -   
VICTORIA,  15.192 ,  1.912 ,  446 ,  5.296 ,  7.275 ,  110 ,  1 ,  2 ,  2 ,  -   ,  2 ,  146 ,  -   ,  -   
SAN JOSE,  8.417 ,  231 ,  47 ,  3.237 ,  4.422 ,  88 ,  96 ,  197 ,  17 ,  42 ,  -   ,  23 ,  17 ,  -   
ZAMBALES (excluding Olongapo City),  142.184 ,  33.776 ,  8.184 ,  45.406 ,  32.861 ,  7.379 ,  2.890 ,  5.538 ,  1.040 ,  569 ,  570 ,  3.688 ,  283 ,  -   
BOTOLAN,  13.668 ,  1.003 ,  751 ,  3.508 ,  3.799 ,  2.856 ,  108 ,  733 ,  504 ,  212 ,  10 ,  184 ,  -   ,  -   
CABANGAN,  5.989 ,  1.123 ,  62 ,  2.710 ,  1.723 ,  220 ,  76 ,  10 ,  18 ,  13 ,  13 ,  21 ,  -   ,  -   
CANDELARIA,  6.061 ,  736 ,  162 ,  3.431 ,  1.582 ,  25 ,  42 ,  10 ,  -   ,  27 ,  3 ,  39 ,  4 ,  -   
CASTILLEJOS,  17.230 ,  4.203 ,  662 ,  6.500 ,  4.412 ,  244 ,  94 ,  174 ,  29 ,  17 ,  3 ,  788 ,  104 ,  -   
IBA (Capital),  11.909 ,  2.098 ,  357 ,  5.114 ,  1.909 ,  1.641 ,  184 ,  283 ,  20 ,  26 ,  14 ,  233 ,  30 ,  -   
MASINLOC,  10.894 ,  2.738 ,  1.507 ,  2.320 ,  3.203 ,  85 ,  269 ,  281 ,  73 ,  18 ,  195 ,  205 ,  -   ,  -   
PALAUIG,  7.861 ,  1.040 ,  344 ,  2.390 ,  2.073 ,  711 ,  979 ,  250 ,  5 ,  11 ,  3 ,  53 ,  2 ,  -   
SAN ANTONIO,  8.709 ,  2.522 ,  174 ,  3.503 ,  1.647 ,  631 ,  24 ,  34 ,  -   ,  11 ,  11 ,  149 ,  3 ,  -   
SAN FELIPE,  5.725 ,  1.990 ,  66 ,  2.387 ,  1.069 ,  128 ,  1 ,  28 ,  28 ,  1 ,  -   ,  27 ,  -   ,  -   
SAN MARCELINO,  8.098 ,  2.195 ,  448 ,  2.177 ,  1.042 ,  412 ,  313 ,  420 ,  299 ,  215 ,  -   ,  464 ,  113 ,  -   
SAN NARCISO,  7.161 ,  885 ,  176 ,  3.915 ,  1.102 ,  29 ,  508 ,  161 ,  3 ,  1 ,  -   ,  377 ,  4 ,  -   
SANTA CRUZ,  13.865 ,  761 ,  1.060 ,  5.707 ,  5.025 ,  313 ,  230 ,  325 ,  22 ,  6 ,  135 ,  273 ,  8 ,  -   
SUBIC,  25.014 ,  12.482 ,  2.415 ,  1.744 ,  4.275 ,  84 ,  62 ,  2.829 ,  39 ,  11 ,  183 ,  875 ,  15 ,  -   
OLONGAPO CITY,  56.482 ,  44.733 ,  3.386 ,  902 ,  576 ,  107 ,  355 ,  3.861 ,  764 ,  83 ,  3 ,  1.689 ,  23 ,  -   
,,,,,,,,,,,,,,
REGION IV-A - CALABARZON,  3.395.332 ,  2.079.351 ,  391.367 ,  224.966 ,  328.555 ,  33.949 ,  75.791 ,  57.752 ,  13.571 ,  7.918 ,  44.377 ,  133.910 ,  3.825 ,  -   
BATANGAS,  613.825 ,  407.504 ,  58.382 ,  53.735 ,  54.096 ,  7.043 ,  6.986 ,  13.695 ,  1.746 ,  2.132 ,  1.717 ,  5.801 ,  988 ,  -   
AGONCILLO,  7.826 ,  6.071 ,  606 ,  253 ,  615 ,  200 ,  15 ,  -   ,  -   ,  43 ,  -   ,  20 ,  3 ,  -   
ALITAGTAG,  5.556 ,  4.552 ,  929 ,  7 ,  32 ,  1 ,  -   ,  1 ,  1 ,  -   ,  12 ,  18 ,  3 ,  -   
BALAYAN,  22.001 ,  6.148 ,  4.203 ,  4.970 ,  3.773 ,  1.336 ,  536 ,  408 ,  55 ,  229 ,  25 ,  308 ,  10 ,  -   
BALETE,  4.732 ,  3.319 ,  716 ,  59 ,  618 ,  1 ,  3 ,  -   ,  3 ,  2 ,  7 ,  3 ,  1 ,  -   
BATANGAS CITY (Capital),  77.990 ,  62.937 ,  5.119 ,  1.659 ,  3.059 ,  336 ,  160 ,  2.890 ,  187 ,  621 ,  299 ,  632 ,  91 ,  -   
BAUAN,  20.694 ,  17.850 ,  861 ,  426 ,  884 ,  49 ,  17 ,  409 ,  22 ,  5 ,  2 ,  156 ,  13 ,  -   
CALACA,  18.459 ,  9.357 ,  2.417 ,  3.197 ,  2.257 ,  161 ,  51 ,  212 ,  6 ,  149 ,  345 ,  305 ,  2 ,  -   
CALATAGAN,  13.717 ,  1.990 ,  440 ,  4.571 ,  5.279 ,  665 ,  212 ,  128 ,  3 ,  -   ,  18 ,  221 ,  190 ,  -   
CUENCA,  7.213 ,  4.972 ,  595 ,  819 ,  387 ,  18 ,  232 ,  116 ,  1 ,  2 ,  2 ,  68 ,  1 ,  -   
IBAAN,  12.307 ,  5.708 ,  2.006 ,  2.165 ,  1.702 ,  35 ,  205 ,  30 ,  5 ,  35 ,  20 ,  168 ,  228 ,  -   
LAUREL,  8.563 ,  3.555 ,  1.443 ,  1.298 ,  1.242 ,  251 ,  139 ,  22 ,  1 ,  127 ,  477 ,  4 ,  4 ,  -   
LEMERY,  20.141 ,  13.655 ,  4.799 ,  574 ,  562 ,  8 ,  3 ,  18 ,  -   ,  305 ,  80 ,  118 ,  19 ,  -   
LIAN,  12.956 ,  2.553 ,  1.645 ,  3.489 ,  3.725 ,  762 ,  331 ,  123 ,  57 ,  -   ,  28 ,  242 ,  1 ,  -   
LIPA CITY,  73.607 ,  63.051 ,  6.112 ,  845 ,  1.219 ,  123 ,  361 ,  169 ,  37 ,  50 ,  62 ,  1.461 ,  117 ,  -   
LOBO,  9.052 ,  4.542 ,  537 ,  288 ,  371 ,  68 ,  25 ,  2.972 ,  229 ,  -   ,  3 ,  11 ,  6 ,  -   
MABINI,  9.954 ,  7.035 ,  652 ,  281 ,  242 ,  152 ,  30 ,  1.426 ,  18 ,  4 ,  1 ,  110 ,  3 ,  -   
MALVAR,  13.761 ,  11.317 ,  2.176 ,  12 ,  155 ,  -   ,  1 ,  3 ,  -   ,  3 ,  7 ,  67 ,  20 ,  -   
MATAASNAKAHOY,  6.901 ,  5.699 ,  1.032 ,  94 ,  62 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  13 ,  -   ,  -   
NASUGBU,  30.751 ,  11.828 ,  2.347 ,  5.490 ,  6.892 ,  174 ,  2.064 ,  703 ,  314 ,  133 ,  28 ,  690 ,  88 ,  -   
PADRE GARCIA,  11.109 ,  9.132 ,  780 ,  499 ,  556 ,  2 ,  1 ,  1 ,  -   ,  -   ,  27 ,  83 ,  28 ,  -   
ROSARIO,  26.906 ,  8.639 ,  1.232 ,  7.902 ,  5.211 ,  365 ,  1.803 ,  1.251 ,  259 ,  8 ,  107 ,  115 ,  14 ,  -   
SAN JOSE,  18.458 ,  16.567 ,  1.462 ,  206 ,  37 ,  17 ,  12 ,  18 ,  8 ,  25 ,  -   ,  105 ,  1 ,  -   
SAN JUAN,  23.911 ,  5.755 ,  1.711 ,  7.982 ,  6.036 ,  940 ,  79 ,  1.135 ,  64 ,  15 ,  20 ,  166 ,  8 ,  -   
SAN LUIS,  7.368 ,  6.110 ,  482 ,  387 ,  255 ,  4 ,  52 ,  25 ,  2 ,  13 ,  1 ,  18 ,  19 ,  -   
SAN NICOLAS,  4.485 ,  2.798 ,  419 ,  483 ,  432 ,  320 ,  17 ,  3 ,  -   ,  -   ,  7 ,  6 ,  -   ,  -   
SAN PASCUAL,  15.212 ,  13.035 ,  1.148 ,  660 ,  219 ,  3 ,  14 ,  2 ,  1 ,  -   ,  1 ,  115 ,  14 ,  -   
SANTA TERESITA,  4.309 ,  3.932 ,  265 ,  75 ,  3 ,  21 ,  -   ,  -   ,  -   ,  -   ,  13 ,  -   ,  -   ,  -   
SANTO TOMAS,  42.629 ,  33.816 ,  4.846 ,  468 ,  1.927 ,  48 ,  29 ,  602 ,  457 ,  120 ,  65 ,  248 ,  3 ,  -   
TAAL,  12.293 ,  9.607 ,  1.315 ,  510 ,  441 ,  90 ,  88 ,  19 ,  -   ,  14 ,  19 ,  180 ,  10 ,  -   
TALISAY,  9.825 ,  4.105 ,  1.079 ,  1.908 ,  2.029 ,  291 ,  152 ,  204 ,  2 ,  11 ,  3 ,  41 ,  -   ,  -   
CITY OF TANAUAN,  38.239 ,  33.878 ,  2.903 ,  472 ,  525 ,  79 ,  85 ,  108 ,  3 ,  10 ,  21 ,  75 ,  80 ,  -   
TAYSAN,  8.512 ,  5.037 ,  725 ,  676 ,  1.240 ,  15 ,  140 ,  627 ,  11 ,  16 ,  9 ,  15 ,  1 ,  -   
TINGLOY,  4.315 ,  1.531 ,  266 ,  550 ,  1.380 ,  495 ,  78 ,  7 ,  -   ,  -   ,  -   ,  8 ,  -   ,  -   
TUY,  10.073 ,  7.423 ,  1.114 ,  460 ,  729 ,  12 ,  51 ,  63 ,  -   ,  192 ,  8 ,  11 ,  10 ,  -   
CAVITE,  877.743 ,  589.301 ,  89.243 ,  37.546 ,  63.844 ,  3.177 ,  3.271 ,  1.961 ,  259 ,  515 ,  12.536 ,  75.114 ,  976 ,  -   
ALFONSO,  11.820 ,  10.217 ,  602 ,  327 ,  419 ,  8 ,  75 ,  25 ,  4 ,  50 ,  4 ,  86 ,  3 ,  -   
AMADEO,  8.811 ,  7.835 ,  669 ,  47 ,  67 ,  1 ,  4 ,  17 ,  28 ,  15 ,  21 ,  96 ,  11 ,  -   
BACOOR CITY,  149.160 ,  80.514 ,  15.614 ,  11.076 ,  13.566 ,  241 ,  193 ,  405 ,  7 ,  5 ,  7.388 ,  19.897 ,  254 ,  -   
CARMONA,  24.427 ,  17.966 ,  2.561 ,  154 ,  1.768 ,  70 ,  92 ,  16 ,  95 ,  38 ,  53 ,  1.588 ,  26 ,  -   
CAVITE CITY,  25.997 ,  15.458 ,  5.685 ,  99 ,  520 ,  5 ,  158 ,  2 ,  -   ,  -   ,  633 ,  3.435 ,  2 ,  -   
CITY OF DASMARIÑAS,  147.799 ,  129.503 ,  9.516 ,  1.592 ,  1.486 ,  46 ,  78 ,  90 ,  3 ,  13 ,  1.570 ,  3.789 ,  113 ,  -   
GENERAL EMILIO AGUINALDO,  4.414 ,  4.037 ,  231 ,  13 ,  4 ,  19 ,  9 ,  66 ,  -   ,  26 ,  -   ,  9 ,  -   ,  -   
CITY OF GENERAL TRIAS,  80.142 ,  61.454 ,  6.162 ,  2.043 ,  3.777 ,  124 ,  209 ,  77 ,  4 ,  13 ,  76 ,  6.100 ,  103 ,  -   
IMUS CITY,  97.373 ,  53.765 ,  6.728 ,  8.056 ,  5.980 ,  553 ,  463 ,  220 ,  4 ,  5 ,  274 ,  21.170 ,  155 ,  -   
INDANG,  15.016 ,  11.982 ,  1.883 ,  228 ,  380 ,  21 ,  29 ,  253 ,  11 ,  74 ,  40 ,  94 ,  21 ,  -   
KAWIT,  21.018 ,  10.828 ,  1.366 ,  865 ,  3.962 ,  536 ,  21 ,  4 ,  -   ,  2 ,  76 ,  3.351 ,  7 ,  -   
MAGALLANES,  4.777 ,  3.373 ,  1.018 ,  14 ,  5 ,  2 ,  242 ,  86 ,  7 ,  2 ,  3 ,  25 ,  -   ,  -   
MARAGONDON,  8.339 ,  5.650 ,  542 ,  183 ,  1.323 ,  217 ,  58 ,  36 ,  5 ,  19 ,  134 ,  155 ,  17 ,  -   
MENDEZ (MENDEZ-NUÑEZ),  7.179 ,  6.229 ,  771 ,  18 ,  8 ,  -   ,  -   ,  4 ,  -   ,  14 ,  50 ,  85 ,  -   ,  -   
NAIC,  26.131 ,  5.749 ,  3.096 ,  4.748 ,  9.843 ,  95 ,  100 ,  281 ,  3 ,  -   ,  94 ,  2.064 ,  58 ,  -   
NOVELETA,  11.648 ,  6.637 ,  913 ,  599 ,  1.320 ,  205 ,  18 ,  1 ,  -   ,  -   ,  262 ,  1.693 ,  -   ,  -   
ROSARIO,  29.316 ,  13.276 ,  4.331 ,  1.090 ,  3.146 ,  856 ,  193 ,  9 ,  3 ,  -   ,  3 ,  6.402 ,  7 ,  -   
SILANG,  58.196 ,  47.038 ,  8.051 ,  492 ,  602 ,  34 ,  267 ,  250 ,  66 ,  209 ,  655 ,  515 ,  17 ,  -   
TAGAYTAY CITY,  16.095 ,  13.245 ,  2.080 ,  21 ,  260 ,  35 ,  55 ,  53 ,  2 ,  9 ,  235 ,  97 ,  3 ,  -   
TANZA,  54.446 ,  28.626 ,  6.815 ,  4.333 ,  10.990 ,  46 ,  763 ,  19 ,  2 ,  11 ,  15 ,  2.791 ,  35 ,  -   
TERNATE,  5.673 ,  252 ,  1.120 ,  658 ,  3.157 ,  9 ,  124 ,  26 ,  9 ,  4 ,  8 ,  305 ,  1 ,  -   
TRECE MARTIRES CITY (Capital),  35.193 ,  29.613 ,  1.851 ,  844 ,  1.133 ,  49 ,  98 ,  18 ,  4 ,  5 ,  468 ,  1.051 ,  59 ,  -   
GEN. MARIANO ALVAREZ,  34.773 ,  26.054 ,  7.638 ,  46 ,  128 ,  5 ,  22 ,  3 ,  2 ,  1 ,  474 ,  316 ,  84 ,  -   
LAGUNA,  765.513 ,  473.386 ,  76.299 ,  63.323 ,  86.654 ,  8.218 ,  4.750 ,  9.081 ,  1.648 ,  966 ,  4.892 ,  35.675 ,  621 ,  -   
ALAMINOS,  11.154 ,  9.266 ,  1.358 ,  38 ,  258 ,  36 ,  160 ,  23 ,  -   ,  2 ,  2 ,  8 ,  3 ,  -   
BAY,  15.149 ,  9.440 ,  1.510 ,  711 ,  2.447 ,  419 ,  11 ,  44 ,  151 ,  2 ,  3 ,  366 ,  45 ,  -   
CITY OF BIÑAN,  86.752 ,  51.441 ,  7.321 ,  6.951 ,  9.739 ,  1.051 ,  706 ,  24 ,  2 ,  2 ,  374 ,  8.984 ,  157 ,  -   
CABUYAO CITY,  81.573 ,  56.143 ,  4.297 ,  7.998 ,  5.391 ,  714 ,  466 ,  71 ,  6 ,  2 ,  240 ,  6.199 ,  46 ,  -   
CITY OF CALAMBA,  123.071 ,  80.455 ,  10.690 ,  11.551 ,  15.221 ,  741 ,  558 ,  168 ,  155 ,  436 ,  529 ,  2.543 ,  24 ,  -   
CALAUAN,  17.669 ,  7.027 ,  3.758 ,  1.751 ,  3.206 ,  594 ,  73 ,  844 ,  172 ,  33 ,  58 ,  139 ,  14 ,  -   
CAVINTI,  5.359 ,  3.560 ,  549 ,  131 ,  438 ,  20 ,  176 ,  294 ,  68 ,  32 ,  44 ,  42 ,  5 ,  -   
FAMY,  4.117 ,  1.942 ,  596 ,  70 ,  792 ,  259 ,  60 ,  324 ,  29 ,  16 ,  18 ,  11 ,  -   ,  -   
KALAYAAN,  5.147 ,  2.949 ,  1.569 ,  23 ,  83 ,  11 ,  253 ,  158 ,  22 ,  1 ,  20 ,  56 ,  2 ,  -   
LILIW,  9.309 ,  8.250 ,  877 ,  13 ,  74 ,  -   ,  35 ,  15 ,  8 ,  1 ,  -   ,  34 ,  2 ,  -   
LOS BAÑOS,  29.020 ,  23.344 ,  2.069 ,  1.379 ,  1.630 ,  48 ,  211 ,  225 ,  1 ,  79 ,  7 ,  27 ,  -   ,  -   
LUISIANA,  4.847 ,  2.179 ,  1.493 ,  312 ,  507 ,  16 ,  103 ,  79 ,  2 ,  14 ,  83 ,  59 ,  -   ,  -   
LUMBAN,  7.350 ,  2.152 ,  663 ,  1.688 ,  2.152 ,  74 ,  11 ,  303 ,  107 ,  13 ,  7 ,  180 ,  -   ,  -   
MABITAC,  4.575 ,  513 ,  900 ,  339 ,  1.861 ,  138 ,  10 ,  710 ,  2 ,  6 ,  3 ,  89 ,  4 ,  -   
MAGDALENA,  5.850 ,  1.616 ,  630 ,  183 ,  1.204 ,  12 ,  12 ,  246 ,  3 ,  2 ,  1.816 ,  126 ,  -   ,  -   
MAJAYJAY,  6.624 ,  4.531 ,  1.793 ,  11 ,  6 ,  -   ,  20 ,  213 ,  -   ,  1 ,  8 ,  39 ,  2 ,  -   
NAGCARLAN,  15.692 ,  13.211 ,  1.954 ,  55 ,  120 ,  9 ,  14 ,  152 ,  98 ,  19 ,  3 ,  55 ,  2 ,  -   
PAETE,  5.602 ,  3.969 ,  177 ,  21 ,  84 ,  5 ,  2 ,  1.298 ,  -   ,  5 ,  1 ,  39 ,  1 ,  -   
PAGSANJAN,  9.747 ,  7.113 ,  560 ,  296 ,  973 ,  37 ,  127 ,  113 ,  181 ,  1 ,  36 ,  301 ,  9 ,  -   
PAKIL,  4.597 ,  1.714 ,  960 ,  444 ,  966 ,  159 ,  12 ,  317 ,  1 ,  7 ,  -   ,  17 ,  -   ,  -   
PANGIL,  5.492 ,  2.973 ,  995 ,  133 ,  723 ,  300 ,  123 ,  115 ,  1 ,  20 ,  40 ,  56 ,  13 ,  -   
PILA,  11.447 ,  1.246 ,  378 ,  3.739 ,  4.414 ,  347 ,  19 ,  417 ,  140 ,  -   ,  44 ,  698 ,  5 ,  -   
RIZAL,  4.065 ,  3.442 ,  344 ,  7 ,  68 ,  21 ,  7 ,  68 ,  42 ,  2 ,  14 ,  43 ,  7 ,  -   
SAN PABLO CITY,  62.289 ,  39.953 ,  5.900 ,  6.747 ,  7.158 ,  291 ,  172 ,  1.096 ,  297 ,  180 ,  103 ,  253 ,  139 ,  -   
CITY OF SAN PEDRO,  73.030 ,  51.311 ,  9.663 ,  2.931 ,  3.731 ,  427 ,  93 ,  43 ,  2 ,  2 ,  646 ,  4.112 ,  69 ,  -   
SANTA CRUZ (Capital),  27.982 ,  13.630 ,  1.350 ,  2.748 ,  8.106 ,  696 ,  289 ,  40 ,  32 ,  3 ,  25 ,  1.012 ,  51 ,  -   
SANTA MARIA,  7.308 ,  2.299 ,  2.542 ,  235 ,  1.442 ,  3 ,  132 ,  521 ,  120 ,  1 ,  -   ,  13 ,  -   ,  -   
CITY OF SANTA ROSA,  101.385 ,  57.589 ,  9.653 ,  9.254 ,  11.126 ,  1.744 ,  842 ,  379 ,  5 ,  39 ,  730 ,  10.004 ,  20 ,  -   
SINILOAN,  8.489 ,  5.271 ,  434 ,  394 ,  1.432 ,  40 ,  46 ,  779 ,  1 ,  45 ,  37 ,  10 ,  -   ,  -   
VICTORIA,  10.822 ,  4.857 ,  1.316 ,  3.170 ,  1.302 ,  6 ,  7 ,  2 ,  -   ,  -   ,  1 ,  160 ,  1 ,  -   
QUEZON (excluding Lucena City),  425.837 ,  110.671 ,  71.261 ,  53.404 ,  79.271 ,  11.041 ,  52.960 ,  21.276 ,  7.450 ,  3.587 ,  7.425 ,  7.300 ,  191 ,  -   
AGDANGAN,  3.171 ,  374 ,  716 ,  339 ,  1.340 ,  80 ,  224 ,  1 ,  6 ,  34 ,  3 ,  54 ,  -   ,  -   
ALABAT,  3.566 ,  399 ,  1.401 ,  496 ,  852 ,  49 ,  131 ,  69 ,  1 ,  63 ,  1 ,  104 ,  -   ,  -   
ATIMONAN,  15.001 ,  1.809 ,  2.967 ,  2.181 ,  4.814 ,  62 ,  646 ,  649 ,  366 ,  277 ,  46 ,  1.173 ,  11 ,  -   
BUENAVISTA,  6.765 ,  295 ,  1.323 ,  678 ,  1.699 ,  193 ,  1.653 ,  286 ,  471 ,  61 ,  2 ,  104 ,  -   ,  -   
BURDEOS,  5.652 ,  1.174 ,  740 ,  141 ,  333 ,  84 ,  2.457 ,  481 ,  53 ,  180 ,  3 ,  6 ,  -   ,  -   
CALAUAG,  16.881 ,  3.626 ,  2.649 ,  888 ,  3.632 ,  434 ,  4.926 ,  445 ,  41 ,  46 ,  82 ,  109 ,  3 ,  -   
CANDELARIA,  28.055 ,  7.303 ,  2.274 ,  11.063 ,  5.857 ,  359 ,  330 ,  539 ,  35 ,  25 ,  70 ,  199 ,  1 ,  -   
CATANAUAN,  15.334 ,  3.014 ,  2.157 ,  1.865 ,  2.455 ,  262 ,  3.249 ,  1.482 ,  185 ,  50 ,  123 ,  484 ,  8 ,  -   
DOLORES,  6.510 ,  3.237 ,  554 ,  598 ,  421 ,  51 ,  23 ,  1.462 ,  59 ,  32 ,  5 ,  33 ,  35 ,  -   
GENERAL LUNA,  5.680 ,  495 ,  1.043 ,  173 ,  577 ,  112 ,  2.254 ,  384 ,  91 ,  19 ,  432 ,  99 ,  1 ,  -   
GENERAL NAKAR,  6.451 ,  736 ,  1.966 ,  569 ,  752 ,  14 ,  97 ,  1.314 ,  887 ,  97 ,  1 ,  6 ,  12 ,  -   
GUINAYANGAN,  10.304 ,  3.120 ,  2.127 ,  1.005 ,  1.451 ,  175 ,  1.636 ,  588 ,  115 ,  28 ,  -   ,  59 ,  -   ,  -   
GUMACA,  18.445 ,  1.287 ,  2.267 ,  1.798 ,  6.409 ,  616 ,  2.949 ,  308 ,  380 ,  389 ,  1.012 ,  1.020 ,  10 ,  -   
INFANTA,  16.449 ,  7.004 ,  2.609 ,  1.689 ,  2.291 ,  514 ,  910 ,  376 ,  34 ,  28 ,  781 ,  204 ,  9 ,  -   
JOMALIG,  1.532 ,  3 ,  2 ,  43 ,  457 ,  583 ,  434 ,  4 ,  2 ,  -   ,  3 ,  1 ,  -   ,  -   
LOPEZ,  20.863 ,  3.298 ,  3.318 ,  1.086 ,  1.873 ,  564 ,  6.856 ,  1.888 ,  404 ,  376 ,  435 ,  739 ,  26 ,  -   
LUCBAN,  11.969 ,  9.890 ,  607 ,  266 ,  275 ,  25 ,  128 ,  499 ,  27 ,  10 ,  180 ,  59 ,  3 ,  -   
MACALELON,  5.931 ,  417 ,  1.642 ,  173 ,  1.038 ,  202 ,  1.702 ,  56 ,  70 ,  306 ,  74 ,  247 ,  4 ,  -   
MAUBAN,  15.381 ,  2.643 ,  3.743 ,  1.162 ,  4.816 ,  549 ,  770 ,  1.108 ,  309 ,  67 ,  19 ,  194 ,  1 ,  -   
MULANAY,  11.718 ,  1.600 ,  2.355 ,  892 ,  2.586 ,  887 ,  2.392 ,  441 ,  205 ,  129 ,  2 ,  228 ,  1 ,  -   
PADRE BURGOS,  5.182 ,  288 ,  1.130 ,  402 ,  2.015 ,  47 ,  386 ,  94 ,  1 ,  30 ,  750 ,  35 ,  4 ,  -   
PAGBILAO,  17.284 ,  7.343 ,  4.944 ,  172 ,  680 ,  15 ,  908 ,  276 ,  200 ,  31 ,  2.012 ,  694 ,  9 ,  -   
PANUKULAN,  2.891 ,  452 ,  408 ,  86 ,  151 ,  112 ,  1.283 ,  361 ,  1 ,  33 ,  -   ,  4 ,  -   ,  -   
PATNANUNGAN,  3.287 ,  106 ,  114 ,  149 ,  239 ,  353 ,  1.844 ,  417 ,  2 ,  -   ,  16 ,  47 ,  -   ,  -   
PEREZ,  2.776 ,  77 ,  374 ,  112 ,  1.561 ,  163 ,  452 ,  7 ,  1 ,  14 ,  -   ,  12 ,  3 ,  -   
PITOGO,  5.222 ,  90 ,  1.628 ,  188 ,  1.912 ,  62 ,  933 ,  97 ,  9 ,  94 ,  8 ,  200 ,  1 ,  -   
PLARIDEL,  2.380 ,  45 ,  106 ,  597 ,  1.418 ,  18 ,  77 ,  5 ,  4 ,  38 ,  1 ,  71 ,  -   ,  -   
