,city,region_name,province,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,Lake river rain and others_count,Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
5473,SAN MANUEL,REGION III (Central Luzon),TARLAC,813.0,61.0,1915.0,2661.0,175.0,1.0,,1.0,,,78.0,1.0,,2015
5486,SANTA IGNACIA,REGION III (Central Luzon),TARLAC,1933.0,95.0,5337.0,3415.0,428.0,4.0,28.0,1.0,,63.0,211.0,4.0,,2015
5499,CITY OF TARLAC (Capital),REGION III (Central Luzon),TARLAC,33105.0,1718.0,24026.0,10302.0,3326.0,229.0,37.0,,3.0,18.0,2715.0,67.0,,2015
5512,VICTORIA,REGION III (Central Luzon),TARLAC,1912.0,446.0,5296.0,7275.0,110.0,1.0,2.0,2.0,,2.0,146.0,,,2015
5525,SAN JOSE,REGION III (Central Luzon),TARLAC,231.0,47.0,3237.0,4422.0,88.0,96.0,197.0,17.0,42.0,,23.0,17.0,,2015
5538,BOTOLAN,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),1003.0,751.0,3508.0,3799.0,2856.0,108.0,733.0,504.0,212.0,10.0,184.0,,,2015
5551,CABANGAN,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),1123.0,62.0,2710.0,1723.0,220.0,76.0,10.0,18.0,13.0,13.0,21.0,,,2015
5564,CANDELARIA,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),736.0,162.0,3431.0,1582.0,25.0,42.0,10.0,,27.0,3.0,39.0,4.0,,2015
5577,CASTILLEJOS,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),4203.0,662.0,6500.0,4412.0,244.0,94.0,174.0,29.0,17.0,3.0,788.0,104.0,,2015
5590,IBA (Capital),REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),2098.0,357.0,5114.0,1909.0,1641.0,184.0,283.0,20.0,26.0,14.0,233.0,30.0,,2015
5603,MASINLOC,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),2738.0,1507.0,2320.0,3203.0,85.0,269.0,281.0,73.0,18.0,195.0,205.0,,,2015
5616,PALAUIG,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),1040.0,344.0,2390.0,2073.0,711.0,979.0,250.0,5.0,11.0,3.0,53.0,2.0,,2015
5629,SAN ANTONIO,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),2522.0,174.0,3503.0,1647.0,631.0,24.0,34.0,,11.0,11.0,149.0,3.0,,2015
5642,SAN FELIPE,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),1990.0,66.0,2387.0,1069.0,128.0,1.0,28.0,28.0,1.0,,27.0,,,2015
5655,SAN MARCELINO,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),2195.0,448.0,2177.0,1042.0,412.0,313.0,420.0,299.0,215.0,,464.0,113.0,,2015
5668,SAN NARCISO,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),885.0,176.0,3915.0,1102.0,29.0,508.0,161.0,3.0,1.0,,377.0,4.0,,2015
5681,SANTA CRUZ,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),761.0,1060.0,5707.0,5025.0,313.0,230.0,325.0,22.0,6.0,135.0,273.0,8.0,,2015
5694,SUBIC,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),12482.0,2415.0,1744.0,4275.0,84.0,62.0,2829.0,39.0,11.0,183.0,875.0,15.0,,2015
5707,OLONGAPO CITY,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),44733.0,3386.0,902.0,576.0,107.0,355.0,3861.0,764.0,83.0,3.0,1689.0,23.0,,2015
5720,AGONCILLO,REGION IV-A (CALABARZON),BATANGAS,6071.0,606.0,253.0,615.0,200.0,15.0,,,43.0,,20.0,3.0,,2015
5733,ALITAGTAG,REGION IV-A (CALABARZON),BATANGAS,4552.0,929.0,7.0,32.0,1.0,,1.0,1.0,,12.0,18.0,3.0,,2015
5746,BALAYAN,REGION IV-A (CALABARZON),BATANGAS,6148.0,4203.0,4970.0,3773.0,1336.0,536.0,408.0,55.0,229.0,25.0,308.0,10.0,,2015
5759,BALETE,REGION IV-A (CALABARZON),BATANGAS,3319.0,716.0,59.0,618.0,1.0,3.0,,3.0,2.0,7.0,3.0,1.0,,2015
5772,BATANGAS CITY (Capital),REGION IV-A (CALABARZON),BATANGAS,62937.0,5119.0,1659.0,3059.0,336.0,160.0,2890.0,187.0,621.0,299.0,632.0,91.0,,2015
5785,BAUAN,REGION IV-A (CALABARZON),BATANGAS,17850.0,861.0,426.0,884.0,49.0,17.0,409.0,22.0,5.0,2.0,156.0,13.0,,2015
5798,CALACA,REGION IV-A (CALABARZON),BATANGAS,9357.0,2417.0,3197.0,2257.0,161.0,51.0,212.0,6.0,149.0,345.0,305.0,2.0,,2015
5811,CALATAGAN,REGION IV-A (CALABARZON),BATANGAS,1990.0,440.0,4571.0,5279.0,665.0,212.0,128.0,3.0,,18.0,221.0,190.0,,2015
5824,CUENCA,REGION IV-A (CALABARZON),BATANGAS,4972.0,595.0,819.0,387.0,18.0,232.0,116.0,1.0,2.0,2.0,68.0,1.0,,2015
5837,IBAAN,REGION IV-A (CALABARZON),BATANGAS,5708.0,2006.0,2165.0,1702.0,35.0,205.0,30.0,5.0,35.0,20.0,168.0,228.0,,2015
5850,LAUREL,REGION IV-A (CALABARZON),BATANGAS,3555.0,1443.0,1298.0,1242.0,251.0,139.0,22.0,1.0,127.0,477.0,4.0,4.0,,2015
5863,LEMERY,REGION IV-A (CALABARZON),BATANGAS,13655.0,4799.0,574.0,562.0,8.0,3.0,18.0,,305.0,80.0,118.0,19.0,,2015
5876,LIAN,REGION IV-A (CALABARZON),BATANGAS,2553.0,1645.0,3489.0,3725.0,762.0,331.0,123.0,57.0,,28.0,242.0,1.0,,2015
5889,LIPA CITY,REGION IV-A (CALABARZON),BATANGAS,63051.0,6112.0,845.0,1219.0,123.0,361.0,169.0,37.0,50.0,62.0,1461.0,117.0,,2015
5902,LOBO,REGION IV-A (CALABARZON),BATANGAS,4542.0,537.0,288.0,371.0,68.0,25.0,2972.0,229.0,,3.0,11.0,6.0,,2015
5915,MABINI,REGION IV-A (CALABARZON),BATANGAS,7035.0,652.0,281.0,242.0,152.0,30.0,1426.0,18.0,4.0,1.0,110.0,3.0,,2015
5928,MALVAR,REGION IV-A (CALABARZON),BATANGAS,11317.0,2176.0,12.0,155.0,,1.0,3.0,,3.0,7.0,67.0,20.0,,2015
5941,MATAASNAKAHOY,REGION IV-A (CALABARZON),BATANGAS,5699.0,1032.0,94.0,62.0,1.0,,,,,,13.0,,,2015
5954,NASUGBU,REGION IV-A (CALABARZON),BATANGAS,11828.0,2347.0,5490.0,6892.0,174.0,2064.0,703.0,314.0,133.0,28.0,690.0,88.0,,2015
5967,PADRE GARCIA,REGION IV-A (CALABARZON),BATANGAS,9132.0,780.0,499.0,556.0,2.0,1.0,1.0,,,27.0,83.0,28.0,,2015
5980,ROSARIO,REGION IV-A (CALABARZON),BATANGAS,8639.0,1232.0,7902.0,5211.0,365.0,1803.0,1251.0,259.0,8.0,107.0,115.0,14.0,,2015
5993,SAN JOSE,REGION IV-A (CALABARZON),BATANGAS,16567.0,1462.0,206.0,37.0,17.0,12.0,18.0,8.0,25.0,,105.0,1.0,,2015
6006,SAN JUAN,REGION IV-A (CALABARZON),BATANGAS,5755.0,1711.0,7982.0,6036.0,940.0,79.0,1135.0,64.0,15.0,20.0,166.0,8.0,,2015
6019,SAN LUIS,REGION IV-A (CALABARZON),BATANGAS,6110.0,482.0,387.0,255.0,4.0,52.0,25.0,2.0,13.0,1.0,18.0,19.0,,2015
6032,SAN NICOLAS,REGION IV-A (CALABARZON),BATANGAS,2798.0,419.0,483.0,432.0,320.0,17.0,3.0,,,7.0,6.0,,,2015
6045,SAN PASCUAL,REGION IV-A (CALABARZON),BATANGAS,13035.0,1148.0,660.0,219.0,3.0,14.0,2.0,1.0,,1.0,115.0,14.0,,2015
6058,SANTA TERESITA,REGION IV-A (CALABARZON),BATANGAS,3932.0,265.0,75.0,3.0,21.0,,,,,13.0,,,,2015
6071,SANTO TOMAS,REGION IV-A (CALABARZON),BATANGAS,33816.0,4846.0,468.0,1927.0,48.0,29.0,602.0,457.0,120.0,65.0,248.0,3.0,,2015
6084,TAAL,REGION IV-A (CALABARZON),BATANGAS,9607.0,1315.0,510.0,441.0,90.0,88.0,19.0,,14.0,19.0,180.0,10.0,,2015
6097,TALISAY,REGION IV-A (CALABARZON),BATANGAS,4105.0,1079.0,1908.0,2029.0,291.0,152.0,204.0,2.0,11.0,3.0,41.0,,,2015
6110,CITY OF TANAUAN,REGION IV-A (CALABARZON),BATANGAS,33878.0,2903.0,472.0,525.0,79.0,85.0,108.0,3.0,10.0,21.0,75.0,80.0,,2015
6123,TAYSAN,REGION IV-A (CALABARZON),BATANGAS,5037.0,725.0,676.0,1240.0,15.0,140.0,627.0,11.0,16.0,9.0,15.0,1.0,,2015
6136,TINGLOY,REGION IV-A (CALABARZON),BATANGAS,1531.0,266.0,550.0,1380.0,495.0,78.0,7.0,,,,8.0,,,2015
6149,TUY,REGION IV-A (CALABARZON),BATANGAS,7423.0,1114.0,460.0,729.0,12.0,51.0,63.0,,192.0,8.0,11.0,10.0,,2015
6162,ALFONSO,REGION IV-A (CALABARZON),CAVITE,10217.0,602.0,327.0,419.0,8.0,75.0,25.0,4.0,50.0,4.0,86.0,3.0,,2015
6175,AMADEO,REGION IV-A (CALABARZON),CAVITE,7835.0,669.0,47.0,67.0,1.0,4.0,17.0,28.0,15.0,21.0,96.0,11.0,,2015
6188,BACOOR CITY,REGION IV-A (CALABARZON),CAVITE,80514.0,15614.0,11076.0,13566.0,241.0,193.0,405.0,7.0,5.0,7388.0,19897.0,254.0,,2015
6201,CARMONA,REGION IV-A (CALABARZON),CAVITE,17966.0,2561.0,154.0,1768.0,70.0,92.0,16.0,95.0,38.0,53.0,1588.0,26.0,,2015
6214,CAVITE CITY,REGION IV-A (CALABARZON),CAVITE,15458.0,5685.0,99.0,520.0,5.0,158.0,2.0,,,633.0,3435.0,2.0,,2015
6227,CITY OF DASMARIÑAS,REGION IV-A (CALABARZON),CAVITE,129503.0,9516.0,1592.0,1486.0,46.0,78.0,90.0,3.0,13.0,1570.0,3789.0,113.0,,2015
6240,GENERAL EMILIO AGUINALDO,REGION IV-A (CALABARZON),CAVITE,4037.0,231.0,13.0,4.0,19.0,9.0,66.0,,26.0,,9.0,,,2015
6253,CITY OF GENERAL TRIAS,REGION IV-A (CALABARZON),CAVITE,61454.0,6162.0,2043.0,3777.0,124.0,209.0,77.0,4.0,13.0,76.0,6100.0,103.0,,2015
6266,IMUS CITY,REGION IV-A (CALABARZON),CAVITE,53765.0,6728.0,8056.0,5980.0,553.0,463.0,220.0,4.0,5.0,274.0,21170.0,155.0,,2015
6279,INDANG,REGION IV-A (CALABARZON),CAVITE,11982.0,1883.0,228.0,380.0,21.0,29.0,253.0,11.0,74.0,40.0,94.0,21.0,,2015
6292,KAWIT,REGION IV-A (CALABARZON),CAVITE,10828.0,1366.0,865.0,3962.0,536.0,21.0,4.0,,2.0,76.0,3351.0,7.0,,2015
6305,MAGALLANES,REGION IV-A (CALABARZON),CAVITE,3373.0,1018.0,14.0,5.0,2.0,242.0,86.0,7.0,2.0,3.0,25.0,,,2015
6318,MARAGONDON,REGION IV-A (CALABARZON),CAVITE,5650.0,542.0,183.0,1323.0,217.0,58.0,36.0,5.0,19.0,134.0,155.0,17.0,,2015
6331,MENDEZ (MENDEZ-NUÑEZ),REGION IV-A (CALABARZON),CAVITE,6229.0,771.0,18.0,8.0,,,4.0,,14.0,50.0,85.0,,,2015
6344,NAIC,REGION IV-A (CALABARZON),CAVITE,5749.0,3096.0,4748.0,9843.0,95.0,100.0,281.0,3.0,,94.0,2064.0,58.0,,2015
6357,NOVELETA,REGION IV-A (CALABARZON),CAVITE,6637.0,913.0,599.0,1320.0,205.0,18.0,1.0,,,262.0,1693.0,,,2015
6370,ROSARIO,REGION IV-A (CALABARZON),CAVITE,13276.0,4331.0,1090.0,3146.0,856.0,193.0,9.0,3.0,,3.0,6402.0,7.0,,2015
6383,SILANG,REGION IV-A (CALABARZON),CAVITE,47038.0,8051.0,492.0,602.0,34.0,267.0,250.0,66.0,209.0,655.0,515.0,17.0,,2015
6396,TAGAYTAY CITY,REGION IV-A (CALABARZON),CAVITE,13245.0,2080.0,21.0,260.0,35.0,55.0,53.0,2.0,9.0,235.0,97.0,3.0,,2015
6409,TANZA,REGION IV-A (CALABARZON),CAVITE,28626.0,6815.0,4333.0,10990.0,46.0,763.0,19.0,2.0,11.0,15.0,2791.0,35.0,,2015
6422,TERNATE,REGION IV-A (CALABARZON),CAVITE,252.0,1120.0,658.0,3157.0,9.0,124.0,26.0,9.0,4.0,8.0,305.0,1.0,,2015
6435,TRECE MARTIRES CITY (Capital),REGION IV-A (CALABARZON),CAVITE,29613.0,1851.0,844.0,1133.0,49.0,98.0,18.0,4.0,5.0,468.0,1051.0,59.0,,2015
6448,GEN. MARIANO ALVAREZ,REGION IV-A (CALABARZON),CAVITE,26054.0,7638.0,46.0,128.0,5.0,22.0,3.0,2.0,1.0,474.0,316.0,84.0,,2015
6461,ALAMINOS,REGION IV-A (CALABARZON),LAGUNA,9266.0,1358.0,38.0,258.0,36.0,160.0,23.0,,2.0,2.0,8.0,3.0,,2015
6474,BAY,REGION IV-A (CALABARZON),LAGUNA,9440.0,1510.0,711.0,2447.0,419.0,11.0,44.0,151.0,2.0,3.0,366.0,45.0,,2015
6487,CITY OF BIÑAN,REGION IV-A (CALABARZON),LAGUNA,51441.0,7321.0,6951.0,9739.0,1051.0,706.0,24.0,2.0,2.0,374.0,8984.0,157.0,,2015
6500,CABUYAO CITY,REGION IV-A (CALABARZON),LAGUNA,56143.0,4297.0,7998.0,5391.0,714.0,466.0,71.0,6.0,2.0,240.0,6199.0,46.0,,2015
6513,CITY OF CALAMBA,REGION IV-A (CALABARZON),LAGUNA,80455.0,10690.0,11551.0,15221.0,741.0,558.0,168.0,155.0,436.0,529.0,2543.0,24.0,,2015
6526,CALAUAN,REGION IV-A (CALABARZON),LAGUNA,7027.0,3758.0,1751.0,3206.0,594.0,73.0,844.0,172.0,33.0,58.0,139.0,14.0,,2015
6539,CAVINTI,REGION IV-A (CALABARZON),LAGUNA,3560.0,549.0,131.0,438.0,20.0,176.0,294.0,68.0,32.0,44.0,42.0,5.0,,2015
6552,FAMY,REGION IV-A (CALABARZON),LAGUNA,1942.0,596.0,70.0,792.0,259.0,60.0,324.0,29.0,16.0,18.0,11.0,,,2015
6565,KALAYAAN,REGION IV-A (CALABARZON),LAGUNA,2949.0,1569.0,23.0,83.0,11.0,253.0,158.0,22.0,1.0,20.0,56.0,2.0,,2015
6578,LILIW,REGION IV-A (CALABARZON),LAGUNA,8250.0,877.0,13.0,74.0,,35.0,15.0,8.0,1.0,,34.0,2.0,,2015
6591,LOS BAÑOS,REGION IV-A (CALABARZON),LAGUNA,23344.0,2069.0,1379.0,1630.0,48.0,211.0,225.0,1.0,79.0,7.0,27.0,,,2015
6604,LUISIANA,REGION IV-A (CALABARZON),LAGUNA,2179.0,1493.0,312.0,507.0,16.0,103.0,79.0,2.0,14.0,83.0,59.0,,,2015
6617,LUMBAN,REGION IV-A (CALABARZON),LAGUNA,2152.0,663.0,1688.0,2152.0,74.0,11.0,303.0,107.0,13.0,7.0,180.0,,,2015
6630,MABITAC,REGION IV-A (CALABARZON),LAGUNA,513.0,900.0,339.0,1861.0,138.0,10.0,710.0,2.0,6.0,3.0,89.0,4.0,,2015
6643,MAGDALENA,REGION IV-A (CALABARZON),LAGUNA,1616.0,630.0,183.0,1204.0,12.0,12.0,246.0,3.0,2.0,1816.0,126.0,,,2015
6656,MAJAYJAY,REGION IV-A (CALABARZON),LAGUNA,4531.0,1793.0,11.0,6.0,,20.0,213.0,,1.0,8.0,39.0,2.0,,2015
6669,NAGCARLAN,REGION IV-A (CALABARZON),LAGUNA,13211.0,1954.0,55.0,120.0,9.0,14.0,152.0,98.0,19.0,3.0,55.0,2.0,,2015
6682,PAETE,REGION IV-A (CALABARZON),LAGUNA,3969.0,177.0,21.0,84.0,5.0,2.0,1298.0,,5.0,1.0,39.0,1.0,,2015
6695,PAGSANJAN,REGION IV-A (CALABARZON),LAGUNA,7113.0,560.0,296.0,973.0,37.0,127.0,113.0,181.0,1.0,36.0,301.0,9.0,,2015
6708,PAKIL,REGION IV-A (CALABARZON),LAGUNA,1714.0,960.0,444.0,966.0,159.0,12.0,317.0,1.0,7.0,,17.0,,,2015
6721,PANGIL,REGION IV-A (CALABARZON),LAGUNA,2973.0,995.0,133.0,723.0,300.0,123.0,115.0,1.0,20.0,40.0,56.0,13.0,,2015
6734,PILA,REGION IV-A (CALABARZON),LAGUNA,1246.0,378.0,3739.0,4414.0,347.0,19.0,417.0,140.0,,44.0,698.0,5.0,,2015
6747,SAN PABLO CITY,REGION IV-A (CALABARZON),RIZAL,39953.0,5900.0,6747.0,7158.0,291.0,172.0,1096.0,297.0,180.0,103.0,253.0,139.0,,2015
6760,CITY OF SAN PEDRO,REGION IV-A (CALABARZON),RIZAL,51311.0,9663.0,2931.0,3731.0,427.0,93.0,43.0,2.0,2.0,646.0,4112.0,69.0,,2015
6773,SANTA CRUZ (Capital),REGION IV-A (CALABARZON),RIZAL,13630.0,1350.0,2748.0,8106.0,696.0,289.0,40.0,32.0,3.0,25.0,1012.0,51.0,,2015
6786,SANTA MARIA,REGION IV-A (CALABARZON),RIZAL,2299.0,2542.0,235.0,1442.0,3.0,132.0,521.0,120.0,1.0,,13.0,,,2015
6799,CITY OF SANTA ROSA,REGION IV-A (CALABARZON),RIZAL,57589.0,9653.0,9254.0,11126.0,1744.0,842.0,379.0,5.0,39.0,730.0,10004.0,20.0,,2015
6812,SINILOAN,REGION IV-A (CALABARZON),RIZAL,5271.0,434.0,394.0,1432.0,40.0,46.0,779.0,1.0,45.0,37.0,10.0,,,2015
6825,VICTORIA,REGION IV-A (CALABARZON),RIZAL,4857.0,1316.0,3170.0,1302.0,6.0,7.0,2.0,,,1.0,160.0,1.0,,2015
6838,AGDANGAN,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),374.0,716.0,339.0,1340.0,80.0,224.0,1.0,6.0,34.0,3.0,54.0,,,2015
6851,ALABAT,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),399.0,1401.0,496.0,852.0,49.0,131.0,69.0,1.0,63.0,1.0,104.0,,,2015
6864,ATIMONAN,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),1809.0,2967.0,2181.0,4814.0,62.0,646.0,649.0,366.0,277.0,46.0,1173.0,11.0,,2015
6877,BUENAVISTA,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),295.0,1323.0,678.0,1699.0,193.0,1653.0,286.0,471.0,61.0,2.0,104.0,,,2015
6890,BURDEOS,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),1174.0,740.0,141.0,333.0,84.0,2457.0,481.0,53.0,180.0,3.0,6.0,,,2015
6903,CALAUAG,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),3626.0,2649.0,888.0,3632.0,434.0,4926.0,445.0,41.0,46.0,82.0,109.0,3.0,,2015
6916,CANDELARIA,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),7303.0,2274.0,11063.0,5857.0,359.0,330.0,539.0,35.0,25.0,70.0,199.0,1.0,,2015
6929,CATANAUAN,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),3014.0,2157.0,1865.0,2455.0,262.0,3249.0,1482.0,185.0,50.0,123.0,484.0,8.0,,2015
6942,DOLORES,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),3237.0,554.0,598.0,421.0,51.0,23.0,1462.0,59.0,32.0,5.0,33.0,35.0,,2015
6955,GENERAL LUNA,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),495.0,1043.0,173.0,577.0,112.0,2254.0,384.0,91.0,19.0,432.0,99.0,1.0,,2015
6968,GENERAL NAKAR,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),736.0,1966.0,569.0,752.0,14.0,97.0,1314.0,887.0,97.0,1.0,6.0,12.0,,2015
6981,GUINAYANGAN,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),3120.0,2127.0,1005.0,1451.0,175.0,1636.0,588.0,115.0,28.0,,59.0,,,2015
6994,GUMACA,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),1287.0,2267.0,1798.0,6409.0,616.0,2949.0,308.0,380.0,389.0,1012.0,1020.0,10.0,,2015
7007,INFANTA,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),7004.0,2609.0,1689.0,2291.0,514.0,910.0,376.0,34.0,28.0,781.0,204.0,9.0,,2015
7020,JOMALIG,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),3.0,2.0,43.0,457.0,583.0,434.0,4.0,2.0,,3.0,1.0,,,2015
7033,LOPEZ,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),3298.0,3318.0,1086.0,1873.0,564.0,6856.0,1888.0,404.0,376.0,435.0,739.0,26.0,,2015
7046,LUCBAN,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),9890.0,607.0,266.0,275.0,25.0,128.0,499.0,27.0,10.0,180.0,59.0,3.0,,2015
7059,MACALELON,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),417.0,1642.0,173.0,1038.0,202.0,1702.0,56.0,70.0,306.0,74.0,247.0,4.0,,2015
7072,MAUBAN,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),2643.0,3743.0,1162.0,4816.0,549.0,770.0,1108.0,309.0,67.0,19.0,194.0,1.0,,2015
7085,MULANAY,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),1600.0,2355.0,892.0,2586.0,887.0,2392.0,441.0,205.0,129.0,2.0,228.0,1.0,,2015
7098,PADRE BURGOS,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),288.0,1130.0,402.0,2015.0,47.0,386.0,94.0,1.0,30.0,750.0,35.0,4.0,,2015
7111,PAGBILAO,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),7343.0,4944.0,172.0,680.0,15.0,908.0,276.0,200.0,31.0,2012.0,694.0,9.0,,2015
7124,PANUKULAN,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),452.0,408.0,86.0,151.0,112.0,1283.0,361.0,1.0,33.0,,4.0,,,2015
7137,PATNANUNGAN,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),106.0,114.0,149.0,239.0,353.0,1844.0,417.0,2.0,,16.0,47.0,,,2015
7150,PEREZ,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),77.0,374.0,112.0,1561.0,163.0,452.0,7.0,1.0,14.0,,12.0,3.0,,2015
7163,PITOGO,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),90.0,1628.0,188.0,1912.0,62.0,933.0,97.0,9.0,94.0,8.0,200.0,1.0,,2015
7176,PLARIDEL,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),45.0,106.0,597.0,1418.0,18.0,77.0,5.0,4.0,38.0,1.0,71.0,,,2015
7189,POLILLO,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),1267.0,1433.0,345.0,815.0,15.0,1731.0,7.0,1196.0,85.0,14.0,57.0,,,2015
7202,QUEZON,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),114.0,519.0,469.0,2272.0,36.0,115.0,18.0,2.0,75.0,,59.0,2.0,,2015
7215,REAL,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),4246.0,1851.0,178.0,755.0,77.0,156.0,460.0,56.0,187.0,2.0,47.0,,,2015
7228,SAMPALOC,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),2608.0,269.0,22.0,36.0,7.0,14.0,53.0,1.0,5.0,6.0,12.0,2.0,,2015
7241,SAN ANDRES,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),851.0,2266.0,738.0,1916.0,113.0,1845.0,189.0,601.0,178.0,5.0,42.0,1.0,,2015
7254,SAN ANTONIO,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),2488.0,469.0,2140.0,1534.0,255.0,303.0,141.0,2.0,30.0,,21.0,,,2015
7267,SAN FRANCISCO (AURORA),REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),1820.0,5249.0,930.0,1700.0,564.0,1674.0,1297.0,472.0,159.0,10.0,27.0,1.0,,2015
7280,SAN NARCISO,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),2791.0,1701.0,265.0,2277.0,655.0,1499.0,1263.0,200.0,8.0,,41.0,,,2015
7293,SARIAYA,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),11577.0,2531.0,10061.0,6400.0,2126.0,84.0,739.0,20.0,101.0,792.0,150.0,11.0,,2015
7306,TAGKAWAYAN,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),3127.0,1916.0,733.0,2103.0,39.0,2714.0,531.0,252.0,35.0,156.0,38.0,1.0,,2015
7319,CITY OF TAYABAS,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),12113.0,5966.0,567.0,1177.0,261.0,920.0,1794.0,577.0,102.0,60.0,270.0,30.0,,2015
7332,TIAONG,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),7419.0,1317.0,7910.0,5007.0,100.0,175.0,247.0,77.0,8.0,19.0,86.0,1.0,,2015
7345,UNISAN,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),125.0,610.0,235.0,1375.0,208.0,2080.0,900.0,35.0,157.0,300.0,265.0,,,2015
7358,LUCENA CITY (Capital),REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),29972.0,15444.0,1577.0,5085.0,996.0,267.0,114.0,16.0,93.0,5311.0,948.0,13.0,,2015
7371,ANGONO,REGION IV-A (CALABARZON),RIZAL,21276.0,2786.0,164.0,187.0,13.0,84.0,82.0,12.0,1.0,160.0,477.0,83.0,,2015
7384,CITY OF ANTIPOLO,REGION IV-A (CALABARZON),RIZAL,119718.0,28087.0,3525.0,4755.0,845.0,2055.0,3998.0,366.0,174.0,4932.0,1680.0,361.0,,2015
7397,BARAS,REGION IV-A (CALABARZON),RIZAL,3290.0,1053.0,511.0,8723.0,359.0,98.0,371.0,176.0,115.0,1144.0,863.0,3.0,,2015
7410,BINANGONAN,REGION IV-A (CALABARZON),RIZAL,52274.0,8342.0,1943.0,6242.0,147.0,148.0,10.0,2.0,5.0,263.0,334.0,76.0,,2015
7423,CAINTA,REGION IV-A (CALABARZON),RIZAL,61201.0,7406.0,885.0,575.0,30.0,39.0,16.0,,1.0,485.0,761.0,64.0,,2015
7436,CARDONA,REGION IV-A (CALABARZON),RIZAL,7387.0,1711.0,256.0,2575.0,4.0,85.0,16.0,1.0,2.0,,69.0,8.0,,2015
7449,JALA-JALA,REGION IV-A (CALABARZON),RIZAL,1851.0,708.0,1557.0,2210.0,58.0,45.0,186.0,19.0,71.0,70.0,142.0,2.0,,2015
7462,RODRIGUEZ (MONTALBAN),REGION IV-A (CALABARZON),RIZAL,61285.0,5089.0,1367.0,5234.0,606.0,3520.0,2176.0,421.0,28.0,817.0,1721.0,84.0,,2015
7475,MORONG,REGION IV-A (CALABARZON),RIZAL,10566.0,1327.0,71.0,862.0,30.0,106.0,112.0,2.0,1.0,19.0,82.0,2.0,,2015
7488,PILILLA,REGION IV-A (CALABARZON),RIZAL,8291.0,1463.0,358.0,2106.0,456.0,259.0,227.0,512.0,82.0,841.0,119.0,20.0,,2015
