Tenure Status of the Housing Unit and Lot and City/Municipality, Number of Households* , Single house , Duplex , Multi-unit residential , Commercial/ industrial/ agricultural , Institutional living quarter , Others , Not Reported 
Own house rent-free lot without consent of owner,  296 ,  294 ,  -   ,  1 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot with consent of owner,  647 ,  610 ,  22 ,  10 ,  4 ,  1 ,  -   ,  -   
Rent-free house and lot without consent of owner,  22 ,  19 ,  -   ,  3 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MANUKAN,,,,,,,,
Total,  7.823 ,  7.667 ,  120 ,  25 ,  3 ,  -   ,  -   ,  8 
Own or owner like possession of house and lot,  3.772 ,  3.718 ,  51 ,  1 ,  1 ,  -   ,  -   ,  1 
Rent house/room including lot,  86 ,  77 ,  4 ,  4 ,  -   ,  -   ,  -   ,  1 
Own house rent lot,  108 ,  106 ,  -   ,  -   ,  2 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.272 ,  3.225 ,  36 ,  5 ,  -   ,  -   ,  -   ,  6 
Own house rent-free lot without consent of owner,  173 ,  159 ,  9 ,  5 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  404 ,  375 ,  20 ,  9 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  8 ,  7 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MUTIA,,,,,,,,
Total,  2.686 ,  2.649 ,  24 ,  11 ,  1 ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  1.711 ,  1.693 ,  15 ,  2 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  27 ,  27 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  101 ,  100 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  734 ,  732 ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  28 ,  28 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  75 ,  59 ,  8 ,  7 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  10 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 PI-AN (NEW PIÑAN),,,,,,,,
Total,  4.632 ,  4.499 ,  71 ,  53 ,  2 ,  -   ,  -   ,  7 
Own or owner like possession of house and lot,  2.203 ,  2.152 ,  34 ,  15 ,  1 ,  -   ,  -   ,  1 
Rent house/room including lot,  88 ,  53 ,  7 ,  27 ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  21 ,  21 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.711 ,  1.681 ,  16 ,  8 ,  -   ,  -   ,  -   ,  6 
Own house rent-free lot without consent of owner,  301 ,  297 ,  1 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  301 ,  288 ,  13 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  7 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 POLANCO,,,,,,,,
Total,  9.198 ,  8.956 ,  179 ,  42 ,  7 ,  5 ,  -   ,  9 
Own or owner like possession of house and lot,  4.318 ,  4.224 ,  83 ,  7 ,  4 ,  -   ,  -   ,  -   
Rent house/room including lot,  272 ,  251 ,  5 ,  16 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  235 ,  225 ,  7 ,  1 ,  1 ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  3.547 ,  3.466 ,  65 ,  10 ,  1 ,  -   ,  -   ,  5 
Own house rent-free lot without consent of owner,  82 ,  81 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot with consent of owner,  731 ,  696 ,  19 ,  8 ,  1 ,  5 ,  -   ,  2 
Rent-free house and lot without consent of owner,  13 ,  13 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 PRES. MANUEL A. ROXAS,,,,,,,,
Total,  8.423 ,  8.176 ,  190 ,  35 ,  5 ,  1 ,  -   ,  16 
Own or owner like possession of house and lot,  3.298 ,  3.238 ,  50 ,  3 ,  1 ,  1 ,  -   ,  5 
Rent house/room including lot,  117 ,  95 ,  11 ,  7 ,  3 ,  -   ,  -   ,  1 
Own house rent lot,  276 ,  273 ,  1 ,  -   ,  -   ,  -   ,  -   ,  2 
Own house rent-free lot with consent of owner,  4.141 ,  4.015 ,  104 ,  18 ,  -   ,  -   ,  -   ,  4 
Own house rent-free lot without consent of owner,  41 ,  41 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  521 ,  497 ,  19 ,  -   ,  1 ,  -   ,  -   ,  4 
Rent-free house and lot without consent of owner,  29 ,  17 ,  5 ,  7 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 RIZAL,,,,,,,,
Total,  3.521 ,  3.468 ,  49 ,  1 ,  -   ,  -   ,  -   ,  3 
Own or owner like possession of house and lot,  1.519 ,  1.494 ,  23 ,  -   ,  -   ,  -   ,  -   ,  2 
Rent house/room including lot,  38 ,  36 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  125 ,  123 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.660 ,  1.642 ,  16 ,  1 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  19 ,  19 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  154 ,  148 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  6 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SALUG,,,,,,,,
Total,  7.233 ,  7.042 ,  138 ,  40 ,  5 ,  -   ,  1 ,  7 
Own or owner like possession of house and lot,  3.619 ,  3.531 ,  75 ,  8 ,  3 ,  -   ,  -   ,  2 
Rent house/room including lot,  74 ,  59 ,  10 ,  5 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  638 ,  609 ,  17 ,  12 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.554 ,  2.512 ,  27 ,  7 ,  2 ,  -   ,  1 ,  5 
Own house rent-free lot without consent of owner,  27 ,  27 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  317 ,  300 ,  9 ,  8 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SERGIO OSMEÑA SR.,,,,,,,,
Total,  6.529 ,  6.416 ,  96 ,  14 ,  3 ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  3.198 ,  3.135 ,  58 ,  4 ,  1 ,  -   ,  -   ,  -   
Rent house/room including lot,  43 ,  36 ,  2 ,  5 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  94 ,  92 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.835 ,  2.805 ,  26 ,  2 ,  2 ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  15 ,  15 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  332 ,  321 ,  8 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  12 ,  12 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SIAYAN,,,,,,,,
Total,  7.319 ,  7.209 ,  85 ,  6 ,  2 ,  -   ,  -   ,  17 
Own or owner like possession of house and lot,  4.079 ,  4.030 ,  40 ,  -   ,  2 ,  -   ,  -   ,  7 
Rent house/room including lot,  13 ,  13 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  78 ,  77 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.966 ,  2.915 ,  36 ,  6 ,  -   ,  -   ,  -   ,  9 
Own house rent-free lot without consent of owner,  12 ,  10 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  171 ,  164 ,  6 ,  -   ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SIBUCO,,,,,,,,
Total,  7.229 ,  6.692 ,  409 ,  119 ,  -   ,  -   ,  -   ,  9 
Own or owner like possession of house and lot,  3.449 ,  3.242 ,  169 ,  36 ,  -   ,  -   ,  -   ,  2 
Rent house/room including lot,  49 ,  36 ,  5 ,  8 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  150 ,  148 ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.023 ,  2.754 ,  199 ,  64 ,  -   ,  -   ,  -   ,  6 
Own house rent-free lot without consent of owner,  31 ,  29 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  523 ,  479 ,  33 ,  10 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SIBUTAD,,,,,,,,
Total,  4.322 ,  4.252 ,  43 ,  16 ,  2 ,  -   ,  -   ,  9 
Own or owner like possession of house and lot,  1.788 ,  1.756 ,  21 ,  9 ,  1 ,  -   ,  -   ,  1 
Rent house/room including lot,  15 ,  14 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  276 ,  272 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.030 ,  2.009 ,  15 ,  1 ,  -   ,  -   ,  -   ,  5 
Own house rent-free lot without consent of owner,  11 ,  11 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  198 ,  187 ,  2 ,  5 ,  1 ,  -   ,  -   ,  3 
Rent-free house and lot without consent of owner,  4 ,  3 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SINDANGAN,,,,,,,,
Total,  22.409 ,  21.548 ,  592 ,  219 ,  12 ,  -   ,  -   ,  38 
Own or owner like possession of house and lot,  9.897 ,  9.576 ,  252 ,  56 ,  7 ,  -   ,  -   ,  6 
Rent house/room including lot,  658 ,  493 ,  57 ,  103 ,  2 ,  -   ,  -   ,  3 
Own house rent lot,  1.904 ,  1.846 ,  39 ,  12 ,  1 ,  -   ,  -   ,  6 
Own house rent-free lot with consent of owner,  8.919 ,  8.692 ,  185 ,  20 ,  1 ,  -   ,  -   ,  21 
Own house rent-free lot without consent of owner,  113 ,  110 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  866 ,  787 ,  48 ,  28 ,  1 ,  -   ,  -   ,  2 
Rent-free house and lot without consent of owner,  52 ,  44 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SIOCON,,,,,,,,
Total,  10.613 ,  8.697 ,  1.331 ,  573 ,  4 ,  -   ,  -   ,  8 
Own or owner like possession of house and lot,  3.576 ,  2.997 ,  429 ,  146 ,  3 ,  -   ,  -   ,  1 
Rent house/room including lot,  230 ,  204 ,  15 ,  11 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  151 ,  83 ,  37 ,  30 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  5.840 ,  4.810 ,  704 ,  319 ,  1 ,  -   ,  -   ,  6 
Own house rent-free lot without consent of owner,  324 ,  276 ,  39 ,  9 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  457 ,  310 ,  91 ,  56 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  35 ,  17 ,  16 ,  2 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SIRAWAI,,,,,,,,
Total,  5.854 ,  4.965 ,  216 ,  672 ,  -   ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  2.645 ,  2.567 ,  14 ,  64 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  20 ,  19 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  185 ,  185 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.183 ,  1.176 ,  6 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  110 ,  110 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.711 ,  908 ,  196 ,  606 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 TAMPILISAN,,,,,,,,
Total,  5.657 ,  5.470 ,  138 ,  40 ,  4 ,  1 ,  -   ,  4 
Own or owner like possession of house and lot,  2.669 ,  2.590 ,  59 ,  17 ,  1 ,  -   ,  -   ,  2 
Rent house/room including lot,  120 ,  90 ,  13 ,  16 ,  -   ,  -   ,  -   ,  1 
Own house rent lot,  27 ,  27 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.354 ,  2.312 ,  41 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  83 ,  73 ,  9 ,  -   ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  394 ,  368 ,  16 ,  6 ,  2 ,  1 ,  -   ,  1 
Rent-free house and lot without consent of owner,  10 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 JOSE DALMAN (PONOT),,,,,,,,
Total,  6.104 ,  6.081 ,  16 ,  -   ,  -   ,  -   ,  -   ,  7 
Own or owner like possession of house and lot,  3.166 ,  3.157 ,  6 ,  -   ,  -   ,  -   ,  -   ,  3 
Rent house/room including lot,  68 ,  68 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  217 ,  217 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.544 ,  2.530 ,  10 ,  -   ,  -   ,  -   ,  -   ,  4 
Own house rent-free lot without consent of owner,  10 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  93 ,  93 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  6 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 GUTALAC,,,,,,,,
Total,  7.584 ,  7.429 ,  87 ,  17 ,  43 ,  -   ,  -   ,  8 
Own or owner like possession of house and lot,  3.572 ,  3.509 ,  40 ,  5 ,  16 ,  -   ,  -   ,  2 
Rent house/room including lot,  50 ,  36 ,  -   ,  9 ,  3 ,  -   ,  -   ,  2 
Own house rent lot,  238 ,  235 ,  -   ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.185 ,  3.141 ,  34 ,  -   ,  7 ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  284 ,  271 ,  4 ,  -   ,  9 ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  251 ,  233 ,  9 ,  -   ,  8 ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BALIGUIAN,,,,,,,,
Total,  5.176 ,  5.055 ,  90 ,  28 ,  1 ,  -   ,  -   ,  2 
Own or owner like possession of house and lot,  2.013 ,  1.935 ,  55 ,  21 ,  1 ,  -   ,  -   ,  1 
Rent house/room including lot,  38 ,  37 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  108 ,  108 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.893 ,  2.854 ,  31 ,  7 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  6 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  115 ,  112 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  3 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 GODOD,,,,,,,,
Total,  3.802 ,  3.746 ,  42 ,  9 ,  -   ,  -   ,  -   ,  5 
Own or owner like possession of house and lot,  2.652 ,  2.615 ,  24 ,  9 ,  -   ,  -   ,  -   ,  4 
Rent house/room including lot,  22 ,  22 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  14 ,  13 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  816 ,  807 ,  8 ,  -   ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  8 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  283 ,  274 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  7 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BACUNGAN (Leon T. Postigo),,,,,,,,
Total,  5.564 ,  5.431 ,  98 ,  26 ,  3 ,  -   ,  -   ,  6 
Own or owner like possession of house and lot,  2.870 ,  2.794 ,  60 ,  10 ,  2 ,  -   ,  -   ,  4 
Rent house/room including lot,  50 ,  42 ,  4 ,  4 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  93 ,  92 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.346 ,  2.311 ,  24 ,  8 ,  1 ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  14 ,  14 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  188 ,  175 ,  10 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  3 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 KALAWIT,,,,,,,,
Total,  4.830 ,  4.785 ,  31 ,  3 ,  5 ,  -   ,  -   ,  6 
Own or owner like possession of house and lot,  2.676 ,  2.648 ,  20 ,  2 ,  3 ,  -   ,  -   ,  3 
Rent house/room including lot,  18 ,  17 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  104 ,  101 ,  2 ,  -   ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.602 ,  1.596 ,  3 ,  -   ,  1 ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  57 ,  57 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  368 ,  361 ,  5 ,  1 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  5 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,,
Total,  216.242 ,  205.434 ,  7.062 ,  3.245 ,  181 ,  19 ,  48 ,  253 
Own or owner like possession of house and lot,  102.001 ,  98.071 ,  2.865 ,  883 ,  80 ,  6 ,  2 ,  94 
Rent house/room including lot,  8.005 ,  6.136 ,  756 ,  1.062 ,  32 ,  7 ,  1 ,  11 
Own house rent lot,  12.426 ,  11.853 ,  437 ,  115 ,  8 ,  -   ,  -   ,  13 
Own house rent-free lot with consent of owner,  75.961 ,  73.385 ,  1.934 ,  538 ,  30 ,  1 ,  -   ,  73 
Own house rent-free lot without consent of owner,  3.123 ,  2.897 ,  153 ,  43 ,  3 ,  -   ,  -   ,  27 
Rent-free house and lot with consent of owner,  14.204 ,  12.626 ,  897 ,  582 ,  27 ,  5 ,  40 ,  27 
Rent-free house and lot without consent of owner,  522 ,  466 ,  20 ,  22 ,  1 ,  -   ,  5 ,  8 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 AURORA,,,,,,,,
Total,  11.037 ,  10.820 ,  140 ,  39 ,  31 ,  1 ,  -   ,  6 
Own or owner like possession of house and lot,  4.902 ,  4.795 ,  66 ,  14 ,  24 ,  1 ,  -   ,  2 
Rent house/room including lot,  266 ,  240 ,  10 ,  12 ,  4 ,  -   ,  -   ,  -   
Own house rent lot,  344 ,  337 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  4.873 ,  4.825 ,  38 ,  5 ,  2 ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  24 ,  24 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  617 ,  588 ,  19 ,  8 ,  1 ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  11 ,  11 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BAYOG,,,,,,,,
Total,  6.920 ,  6.652 ,  181 ,  80 ,  3 ,  -   ,  -   ,  4 
Own or owner like possession of house and lot,  3.770 ,  3.659 ,  79 ,  26 ,  3 ,  -   ,  -   ,  3 
Rent house/room including lot,  207 ,  159 ,  19 ,  29 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  284 ,  259 ,  22 ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.977 ,  1.938 ,  34 ,  4 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  58 ,  56 ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  613 ,  571 ,  25 ,  17 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  11 ,  10 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 DIMATALING,,,,,,,,
Total,  6.572 ,  6.376 ,  157 ,  24 ,  1 ,  -   ,  1 ,  13 
Own or owner like possession of house and lot,  3.049 ,  2.935 ,  88 ,  18 ,  -   ,  -   ,  -   ,  8 
Rent house/room including lot,  38 ,  35 ,  2 ,  -   ,  -   ,  -   ,  1 ,  -   
Own house rent lot,  334 ,  332 ,  -   ,  -   ,  -   ,  -   ,  -   ,  2 
Own house rent-free lot with consent of owner,  2.913 ,  2.856 ,  51 ,  3 ,  -   ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  11 ,  10 ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  223 ,  204 ,  16 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 DINAS,,,,,,,,
Total,  7.702 ,  7.497 ,  184 ,  11 ,  3 ,  -   ,  -   ,  7 
Own or owner like possession of house and lot,  3.142 ,  3.084 ,  55 ,  2 ,  1 ,  -   ,  -   ,  -   
Rent house/room including lot,  69 ,  67 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  531 ,  499 ,  31 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.256 ,  3.187 ,  57 ,  5 ,  -   ,  -   ,  -   ,  7 
