,city,region_name,bldg_type,province,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
1787,ANGADANAN,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,76.0,76.0,322.0,4.24,1.0,4.24,2015
1788,ANGADANAN,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,4.0,4.0,24.0,6.0,1.0,6.0,2015
1789,ANGADANAN,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1790,ANGADANAN,REGION II (Cagayan Valley),Others, ISABELA,3.0,3.0,15.0,5.0,1.0,5.0,2015
1791,ANGADANAN,REGION II (Cagayan Valley),Not Reported, ISABELA,4.0,5.0,22.0,4.4,1.25,5.5,2015
1792,AURORA,REGION II (Cagayan Valley),Single house, ISABELA,7725.0,7765.0,32220.0,4.15,1.01,4.17,2015
1793,AURORA,REGION II (Cagayan Valley),Duplex, ISABELA,498.0,498.0,1953.0,3.92,1.0,3.92,2015
1794,AURORA,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,198.0,200.0,692.0,3.46,1.01,3.49,2015
1795,AURORA,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,9.0,9.0,34.0,3.78,1.0,3.78,2015
1796,AURORA,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,1.0,1.0,4.0,4.0,1.0,4.0,2015
1797,AURORA,REGION II (Cagayan Valley),Others, ISABELA,1.0,1.0,3.0,3.0,1.0,3.0,2015
1798,AURORA,REGION II (Cagayan Valley),Not Reported, ISABELA,2.0,2.0,8.0,4.0,1.0,4.0,2015
1799,BENITO SOLIVEN,REGION II (Cagayan Valley),Single house, ISABELA,6560.0,6638.0,28423.0,4.28,1.01,4.33,2015
1800,BENITO SOLIVEN,REGION II (Cagayan Valley),Duplex, ISABELA,268.0,273.0,1077.0,3.95,1.02,4.02,2015
1801,BENITO SOLIVEN,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,27.0,27.0,87.0,3.22,1.0,3.22,2015
1802,BENITO SOLIVEN,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,2.0,2.0,5.0,2.5,1.0,2.5,2015
1803,BENITO SOLIVEN,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1804,BENITO SOLIVEN,REGION II (Cagayan Valley),Others, ISABELA,,,,,,,2015
1805,BENITO SOLIVEN,REGION II (Cagayan Valley),Not Reported, ISABELA,1.0,1.0,1.0,1.0,1.0,1.0,2015
1806,BURGOS,REGION II (Cagayan Valley),Single house, ISABELA,5416.0,5487.0,22733.0,4.14,1.01,4.2,2015
1807,BURGOS,REGION II (Cagayan Valley),Duplex, ISABELA,221.0,222.0,870.0,3.92,1.0,3.94,2015
1808,BURGOS,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,31.0,31.0,115.0,3.71,1.0,3.71,2015
1809,BURGOS,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,3.0,3.0,6.0,2.0,1.0,2.0,2015
1810,BURGOS,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1811,BURGOS,REGION II (Cagayan Valley),Others, ISABELA,1.0,1.0,2.0,2.0,1.0,2.0,2015
1812,BURGOS,REGION II (Cagayan Valley),Not Reported, ISABELA,,,,,,,2015
1813,CABAGAN,REGION II (Cagayan Valley),Single house, ISABELA,9455.0,9730.0,48223.0,4.96,1.03,5.1,2015
1814,CABAGAN,REGION II (Cagayan Valley),Duplex, ISABELA,316.0,332.0,1538.0,4.63,1.05,4.87,2015
1815,CABAGAN,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,70.0,74.0,299.0,4.04,1.06,4.27,2015
1816,CABAGAN,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,8.0,8.0,22.0,2.75,1.0,2.75,2015
1817,CABAGAN,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,10.0,10.0,28.0,2.8,1.0,2.8,2015
1818,CABAGAN,REGION II (Cagayan Valley),Others, ISABELA,,,,,,,2015
1819,CABAGAN,REGION II (Cagayan Valley),Not Reported, ISABELA,7.0,8.0,43.0,5.38,1.14,6.14,2015
1820,CABATUAN,REGION II (Cagayan Valley),Single house, ISABELA,8418.0,9044.0,37146.0,4.11,1.07,4.41,2015
1821,CABATUAN,REGION II (Cagayan Valley),Duplex, ISABELA,426.0,432.0,1591.0,3.68,1.01,3.73,2015
1822,CABATUAN,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,175.0,178.0,608.0,3.42,1.02,3.47,2015
1823,CABATUAN,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,7.0,9.0,25.0,2.78,1.29,3.57,2015
1824,CABATUAN,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1825,CABATUAN,REGION II (Cagayan Valley),Others, ISABELA,,,,,,,2015
1826,CABATUAN,REGION II (Cagayan Valley),Not Reported, ISABELA,10.0,11.0,38.0,3.45,1.1,3.8,2015
1827,CITY OF CAUAYAN,REGION II (Cagayan Valley),Single house, ISABELA,28088.0,28470.0,120545.0,4.23,1.01,4.29,2015
1828,CITY OF CAUAYAN,REGION II (Cagayan Valley),Duplex, ISABELA,1344.0,1371.0,5587.0,4.08,1.02,4.16,2015
1829,CITY OF CAUAYAN,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,754.0,761.0,2837.0,3.73,1.01,3.76,2015
1830,CITY OF CAUAYAN,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,7.0,7.0,32.0,4.57,1.0,4.57,2015
1831,CITY OF CAUAYAN,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,5.0,5.0,16.0,3.2,1.0,3.2,2015
1832,CITY OF CAUAYAN,REGION II (Cagayan Valley),Others, ISABELA,2.0,2.0,4.0,2.0,1.0,2.0,2015
1833,CITY OF CAUAYAN,REGION II (Cagayan Valley),Not Reported, ISABELA,7.0,7.0,25.0,3.57,1.0,3.57,2015
1834,CORDON,REGION II (Cagayan Valley),Single house, ISABELA,9817.0,9902.0,41144.0,4.16,1.01,4.19,2015
1835,CORDON,REGION II (Cagayan Valley),Duplex, ISABELA,342.0,345.0,1358.0,3.94,1.01,3.97,2015
1836,CORDON,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,92.0,92.0,337.0,3.66,1.0,3.66,2015
1837,CORDON,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,11.0,11.0,43.0,3.91,1.0,3.91,2015
1838,CORDON,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1839,CORDON,REGION II (Cagayan Valley),Others, ISABELA,,,,,,,2015
1840,CORDON,REGION II (Cagayan Valley),Not Reported, ISABELA,2.0,3.0,10.0,3.33,1.5,5.0,2015
1841,DINAPIGUE,REGION II (Cagayan Valley),Single house, ISABELA,1144.0,1146.0,4664.0,4.07,1.0,4.08,2015
1842,DINAPIGUE,REGION II (Cagayan Valley),Duplex, ISABELA,68.0,68.0,251.0,3.69,1.0,3.69,2015
1843,DINAPIGUE,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,15.0,15.0,56.0,3.73,1.0,3.73,2015
1844,DINAPIGUE,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,1.0,1.0,2.0,2.0,1.0,2.0,2015
1845,DINAPIGUE,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1846,DINAPIGUE,REGION II (Cagayan Valley),Others, ISABELA,1.0,1.0,2.0,2.0,1.0,2.0,2015
1847,DINAPIGUE,REGION II (Cagayan Valley),Not Reported, ISABELA,,,,,,,2015
1848,DIVILACAN,REGION II (Cagayan Valley),Single house, ISABELA,1100.0,1147.0,5091.0,4.44,1.04,4.63,2015
1849,DIVILACAN,REGION II (Cagayan Valley),Duplex, ISABELA,150.0,150.0,546.0,3.64,1.0,3.64,2015
1850,DIVILACAN,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,6.0,6.0,20.0,3.33,1.0,3.33,2015
1851,DIVILACAN,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,4.0,7.0,30.0,4.29,1.75,7.5,2015
1852,DIVILACAN,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1853,DIVILACAN,REGION II (Cagayan Valley),Others, ISABELA,,,,,,,2015
1854,DIVILACAN,REGION II (Cagayan Valley),Not Reported, ISABELA,,,,,,,2015
1855,ECHAGUE,REGION II (Cagayan Valley),Single house, ISABELA,17681.0,18011.0,75502.0,4.19,1.02,4.27,2015
1856,ECHAGUE,REGION II (Cagayan Valley),Duplex, ISABELA,677.0,685.0,2751.0,4.02,1.01,4.06,2015
1857,ECHAGUE,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,166.0,166.0,665.0,4.01,1.0,4.01,2015
1858,ECHAGUE,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,2.0,2.0,4.0,2.0,1.0,2.0,2015
1859,ECHAGUE,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,7.0,7.0,20.0,2.86,1.0,2.86,2015
1860,ECHAGUE,REGION II (Cagayan Valley),Others, ISABELA,1.0,1.0,7.0,7.0,1.0,7.0,2015
1861,ECHAGUE,REGION II (Cagayan Valley),Not Reported, ISABELA,2.0,2.0,4.0,2.0,1.0,2.0,2015
1862,GAMU,REGION II (Cagayan Valley),Single house, ISABELA,6267.0,6388.0,28141.0,4.41,1.02,4.49,2015
1863,GAMU,REGION II (Cagayan Valley),Duplex, ISABELA,262.0,266.0,1134.0,4.26,1.02,4.33,2015
1864,GAMU,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,135.0,135.0,588.0,4.36,1.0,4.36,2015
1865,GAMU,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,2.0,2.0,5.0,2.5,1.0,2.5,2015
1866,GAMU,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1867,GAMU,REGION II (Cagayan Valley),Others, ISABELA,,,,,,,2015
1868,GAMU,REGION II (Cagayan Valley),Not Reported, ISABELA,,,,,,,2015
1869,ILAGAN City (Capital),REGION II (Cagayan Valley),Single house, ISABELA,30640.0,31379.0,132498.0,4.22,1.02,4.32,2015
1870,ILAGAN City (Capital),REGION II (Cagayan Valley),Duplex, ISABELA,2390.0,2421.0,9502.0,3.92,1.01,3.98,2015
1871,ILAGAN City (Capital),REGION II (Cagayan Valley),Multi-unit residential, ISABELA,804.0,813.0,3050.0,3.75,1.01,3.79,2015
1872,ILAGAN City (Capital),REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,45.0,48.0,167.0,3.48,1.07,3.71,2015
1873,ILAGAN City (Capital),REGION II (Cagayan Valley),Institutional living quarter, ISABELA,1.0,1.0,6.0,6.0,1.0,6.0,2015
1874,ILAGAN City (Capital),REGION II (Cagayan Valley),Others, ISABELA,3.0,3.0,11.0,3.67,1.0,3.67,2015
1875,ILAGAN City (Capital),REGION II (Cagayan Valley),Not Reported, ISABELA,4.0,4.0,16.0,4.0,1.0,4.0,2015
1876,JONES,REGION II (Cagayan Valley),Single house, ISABELA,10142.0,10246.0,43974.0,4.29,1.01,4.34,2015
1877,JONES,REGION II (Cagayan Valley),Duplex, ISABELA,310.0,313.0,1225.0,3.91,1.01,3.95,2015
1878,JONES,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,66.0,66.0,266.0,4.03,1.0,4.03,2015
1879,JONES,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,15.0,15.0,47.0,3.13,1.0,3.13,2015
1880,JONES,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,4.0,4.0,13.0,3.25,1.0,3.25,2015
1881,JONES,REGION II (Cagayan Valley),Others, ISABELA,,,,,,,2015
1882,JONES,REGION II (Cagayan Valley),Not Reported, ISABELA,6.0,6.0,24.0,4.0,1.0,4.0,2015
1883,LUNA,REGION II (Cagayan Valley),Single house, ISABELA,4189.0,4342.0,18163.0,4.18,1.04,4.34,2015
1884,LUNA,REGION II (Cagayan Valley),Duplex, ISABELA,242.0,249.0,964.0,3.87,1.03,3.98,2015
1885,LUNA,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,49.0,49.0,157.0,3.2,1.0,3.2,2015
1886,LUNA,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,5.0,5.0,22.0,4.4,1.0,4.4,2015
1887,LUNA,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1888,LUNA,REGION II (Cagayan Valley),Others, ISABELA,,,,,,,2015
1889,LUNA,REGION II (Cagayan Valley),Not Reported, ISABELA,1.0,1.0,3.0,3.0,1.0,3.0,2015
1890,MACONACON,REGION II (Cagayan Valley),Single house, ISABELA,919.0,960.0,4187.0,4.36,1.04,4.56,2015
1891,MACONACON,REGION II (Cagayan Valley),Duplex, ISABELA,16.0,17.0,66.0,3.88,1.06,4.13,2015
1892,MACONACON,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,,,,,,,2015
1893,MACONACON,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,,,,,,,2015
1894,MACONACON,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1895,MACONACON,REGION II (Cagayan Valley),Others, ISABELA,,,,,,,2015
1896,MACONACON,REGION II (Cagayan Valley),Not Reported, ISABELA,,,,,,,2015
1897,DELFIN ALBANO (MAGSAYSAY),REGION II (Cagayan Valley),Single house, ISABELA,6066.0,6147.0,24868.0,4.05,1.01,4.1,2015
1898,DELFIN ALBANO (MAGSAYSAY),REGION II (Cagayan Valley),Duplex, ISABELA,398.0,399.0,1455.0,3.65,1.0,3.66,2015
1899,DELFIN ALBANO (MAGSAYSAY),REGION II (Cagayan Valley),Multi-unit residential, ISABELA,87.0,88.0,281.0,3.19,1.01,3.23,2015
1900,DELFIN ALBANO (MAGSAYSAY),REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,,,,,,,2015
1901,DELFIN ALBANO (MAGSAYSAY),REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1902,DELFIN ALBANO (MAGSAYSAY),REGION II (Cagayan Valley),Others, ISABELA,,,,,,,2015
1903,DELFIN ALBANO (MAGSAYSAY),REGION II (Cagayan Valley),Not Reported, ISABELA,3.0,3.0,10.0,3.33,1.0,3.33,2015
1904,MALLIG,REGION II (Cagayan Valley),Single house, ISABELA,7553.0,7556.0,30323.0,4.01,1.0,4.01,2015
1905,MALLIG,REGION II (Cagayan Valley),Duplex, ISABELA,32.0,32.0,118.0,3.69,1.0,3.69,2015
1906,MALLIG,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,,,,,,,2015
1907,MALLIG,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,2.0,2.0,12.0,6.0,1.0,6.0,2015
1908,MALLIG,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1909,MALLIG,REGION II (Cagayan Valley),Others, ISABELA,,,,,,,2015
1910,MALLIG,REGION II (Cagayan Valley),Not Reported, ISABELA,1.0,1.0,6.0,6.0,1.0,6.0,2015
1911,NAGUILIAN,REGION II (Cagayan Valley),Single house, ISABELA,6903.0,7007.0,30206.0,4.31,1.02,4.38,2015
1912,NAGUILIAN,REGION II (Cagayan Valley),Duplex, ISABELA,312.0,320.0,1362.0,4.26,1.03,4.37,2015
1913,NAGUILIAN,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,70.0,72.0,283.0,3.93,1.03,4.04,2015
1914,NAGUILIAN,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,11.0,11.0,31.0,2.82,1.0,2.82,2015
1915,NAGUILIAN,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1916,NAGUILIAN,REGION II (Cagayan Valley),Others, ISABELA,,,,,,,2015
1917,NAGUILIAN,REGION II (Cagayan Valley),Not Reported, ISABELA,3.0,3.0,10.0,3.33,1.0,3.33,2015
1918,PALANAN,REGION II (Cagayan Valley),Single house, ISABELA,3705.0,3713.0,16811.0,4.53,1.0,4.54,2015
1919,PALANAN,REGION II (Cagayan Valley),Duplex, ISABELA,84.0,84.0,311.0,3.7,1.0,3.7,2015
1920,PALANAN,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,6.0,6.0,23.0,3.83,1.0,3.83,2015
1921,PALANAN,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,13.0,13.0,62.0,4.77,1.0,4.77,2015
1922,PALANAN,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1923,PALANAN,REGION II (Cagayan Valley),Others, ISABELA,8.0,8.0,47.0,5.88,1.0,5.88,2015
1924,PALANAN,REGION II (Cagayan Valley),Not Reported, ISABELA,2.0,2.0,6.0,3.0,1.0,3.0,2015
1925,QUEZON,REGION II (Cagayan Valley),Single house, ISABELA,5664.0,5665.0,25012.0,4.42,1.0,4.42,2015
1926,QUEZON,REGION II (Cagayan Valley),Duplex, ISABELA,172.0,173.0,722.0,4.17,1.01,4.2,2015
1927,QUEZON,REGION II (Cagayan Valley),Multi-unit residential, ISABELA,25.0,25.0,77.0,3.08,1.0,3.08,2015
1928,QUEZON,REGION II (Cagayan Valley),Commercial/industrial/agricultural, ISABELA,9.0,9.0,40.0,4.44,1.0,4.44,2015
1929,QUEZON,REGION II (Cagayan Valley),Institutional living quarter, ISABELA,,,,,,,2015
1930,QUEZON,REGION II (Cagayan Valley),Others, ISABELA,,,,,,,2015
1931,QUEZON,REGION II (Cagayan Valley),Not Reported, ISABELA,2.0,2.0,9.0,4.5,1.0,4.5,2015
1932,RAMON,REGION II (Cagayan Valley),Single house, QUIRINO,11792.0,12095.0,48239.0,3.99,1.03,4.09,2015
1933,RAMON,REGION II (Cagayan Valley),Duplex, QUIRINO,948.0,952.0,3348.0,3.52,1.0,3.53,2015
1934,RAMON,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,289.0,289.0,1030.0,3.56,1.0,3.56,2015
1935,RAMON,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,3.0,3.0,10.0,3.33,1.0,3.33,2015
1936,RAMON,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,1.0,1.0,6.0,6.0,1.0,6.0,2015
1937,RAMON,REGION II (Cagayan Valley),Others, QUIRINO,1.0,1.0,5.0,5.0,1.0,5.0,2015
1938,RAMON,REGION II (Cagayan Valley),Not Reported, QUIRINO,6.0,6.0,25.0,4.17,1.0,4.17,2015
1939,REINA MERCEDES,REGION II (Cagayan Valley),Single house, QUIRINO,5211.0,5618.0,24393.0,4.34,1.08,4.68,2015
1940,REINA MERCEDES,REGION II (Cagayan Valley),Duplex, QUIRINO,496.0,528.0,2100.0,3.98,1.06,4.23,2015
1941,REINA MERCEDES,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,120.0,123.0,458.0,3.72,1.03,3.82,2015
1942,REINA MERCEDES,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,1.0,1.0,3.0,3.0,1.0,3.0,2015
1943,REINA MERCEDES,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,,,,,,,2015
1944,REINA MERCEDES,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
1945,REINA MERCEDES,REGION II (Cagayan Valley),Not Reported, QUIRINO,,,,,,,2015
1946,ROXAS,REGION II (Cagayan Valley),Single house, QUIRINO,12812.0,12884.0,56123.0,4.36,1.01,4.38,2015
1947,ROXAS,REGION II (Cagayan Valley),Duplex, QUIRINO,830.0,834.0,3489.0,4.18,1.0,4.2,2015
1948,ROXAS,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,442.0,443.0,1779.0,4.02,1.0,4.02,2015
1949,ROXAS,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,58.0,58.0,229.0,3.95,1.0,3.95,2015
1950,ROXAS,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,2.0,2.0,6.0,3.0,1.0,3.0,2015
1951,ROXAS,REGION II (Cagayan Valley),Others, QUIRINO,3.0,3.0,14.0,4.67,1.0,4.67,2015
1952,ROXAS,REGION II (Cagayan Valley),Not Reported, QUIRINO,2.0,2.0,11.0,5.5,1.0,5.5,2015
1953,SAN AGUSTIN,REGION II (Cagayan Valley),Single house, QUIRINO,5208.0,5455.0,22189.0,4.07,1.05,4.26,2015
1954,SAN AGUSTIN,REGION II (Cagayan Valley),Duplex, QUIRINO,143.0,145.0,576.0,3.97,1.01,4.03,2015
1955,SAN AGUSTIN,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,22.0,22.0,79.0,3.59,1.0,3.59,2015
1956,SAN AGUSTIN,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,4.0,4.0,16.0,4.0,1.0,4.0,2015
1957,SAN AGUSTIN,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,,,,,,,2015
1958,SAN AGUSTIN,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
1959,SAN AGUSTIN,REGION II (Cagayan Valley),Not Reported, QUIRINO,,,,,,,2015
1960,SAN GUILLERMO,REGION II (Cagayan Valley),Single house, QUIRINO,4431.0,4437.0,19515.0,4.4,1.0,4.4,2015
1961,SAN GUILLERMO,REGION II (Cagayan Valley),Duplex, QUIRINO,132.0,132.0,531.0,4.02,1.0,4.02,2015
1962,SAN GUILLERMO,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,10.0,10.0,30.0,3.0,1.0,3.0,2015
1963,SAN GUILLERMO,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,13.0,13.0,47.0,3.62,1.0,3.62,2015
1964,SAN GUILLERMO,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,,,,,,,2015
1965,SAN GUILLERMO,REGION II (Cagayan Valley),Others, QUIRINO,9.0,9.0,34.0,3.78,1.0,3.78,2015
1966,SAN GUILLERMO,REGION II (Cagayan Valley),Not Reported, QUIRINO,,,,,,,2015
1967,SAN ISIDRO,REGION II (Cagayan Valley),Single house, QUIRINO,5232.0,5510.0,23544.0,4.27,1.05,4.5,2015
1968,SAN ISIDRO,REGION II (Cagayan Valley),Duplex, QUIRINO,266.0,272.0,1135.0,4.17,1.02,4.27,2015
1969,SAN ISIDRO,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,45.0,46.0,173.0,3.76,1.02,3.84,2015
1970,SAN ISIDRO,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,2.0,3.0,9.0,3.0,1.5,4.5,2015
1971,SAN ISIDRO,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,,,,,,,2015
1972,SAN ISIDRO,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
1973,SAN ISIDRO,REGION II (Cagayan Valley),Not Reported, QUIRINO,,,,,,,2015
1974,SAN MANUEL,REGION II (Cagayan Valley),Single house, QUIRINO,7138.0,7207.0,30259.0,4.2,1.01,4.24,2015
1975,SAN MANUEL,REGION II (Cagayan Valley),Duplex, QUIRINO,278.0,286.0,1105.0,3.86,1.03,3.97,2015
1976,SAN MANUEL,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,107.0,108.0,405.0,3.75,1.01,3.79,2015
1977,SAN MANUEL,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,7.0,7.0,36.0,5.14,1.0,5.14,2015
1978,SAN MANUEL,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,,,,,,,2015
1979,SAN MANUEL,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
1980,SAN MANUEL,REGION II (Cagayan Valley),Not Reported, QUIRINO,4.0,5.0,18.0,3.6,1.25,4.5,2015
1981,SAN MARIANO,REGION II (Cagayan Valley),Single house, QUIRINO,11291.0,11653.0,52913.0,4.54,1.03,4.69,2015
1982,SAN MARIANO,REGION II (Cagayan Valley),Duplex, QUIRINO,441.0,448.0,1951.0,4.35,1.02,4.42,2015
1983,SAN MARIANO,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,116.0,118.0,476.0,4.03,1.02,4.1,2015
1984,SAN MARIANO,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,,,,,,,2015
1985,SAN MARIANO,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,1.0,1.0,2.0,2.0,1.0,2.0,2015
1986,SAN MARIANO,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
1987,SAN MARIANO,REGION II (Cagayan Valley),Not Reported, QUIRINO,,,,,,,2015
1988,SAN MATEO,REGION II (Cagayan Valley),Single house, QUIRINO,13969.0,14271.0,59364.0,4.16,1.02,4.25,2015
1989,SAN MATEO,REGION II (Cagayan Valley),Duplex, QUIRINO,978.0,984.0,3612.0,3.67,1.01,3.69,2015
1990,SAN MATEO,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,401.0,404.0,1446.0,3.58,1.01,3.61,2015
1991,SAN MATEO,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,3.0,3.0,8.0,2.67,1.0,2.67,2015
1992,SAN MATEO,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,,,,,,,2015
1993,SAN MATEO,REGION II (Cagayan Valley),Others, QUIRINO,1.0,1.0,3.0,3.0,1.0,3.0,2015
1994,SAN MATEO,REGION II (Cagayan Valley),Not Reported, QUIRINO,1.0,1.0,7.0,7.0,1.0,7.0,2015
1995,SAN PABLO,REGION II (Cagayan Valley),Single house, QUIRINO,4644.0,4704.0,23401.0,4.97,1.01,5.04,2015
1996,SAN PABLO,REGION II (Cagayan Valley),Duplex, QUIRINO,364.0,366.0,1674.0,4.57,1.01,4.6,2015
1997,SAN PABLO,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,61.0,61.0,295.0,4.84,1.0,4.84,2015
1998,SAN PABLO,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,3.0,3.0,14.0,4.67,1.0,4.67,2015
1999,SAN PABLO,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,,,,,,,2015
2000,SAN PABLO,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
2001,SAN PABLO,REGION II (Cagayan Valley),Not Reported, QUIRINO,,,,,,,2015
2002,SANTA MARIA,REGION II (Cagayan Valley),Single house, QUIRINO,4608.0,4621.0,24199.0,5.24,1.0,5.25,2015
2003,SANTA MARIA,REGION II (Cagayan Valley),Duplex, QUIRINO,186.0,187.0,967.0,5.17,1.01,5.2,2015
2004,SANTA MARIA,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,46.0,48.0,198.0,4.13,1.04,4.3,2015
2005,SANTA MARIA,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,,,,,,,2015
2006,SANTA MARIA,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,,,,,,,2015
2007,SANTA MARIA,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
2008,SANTA MARIA,REGION II (Cagayan Valley),Not Reported, QUIRINO,4.0,4.0,18.0,4.5,1.0,4.5,2015
2009,CITY OF SANTIAGO,REGION II (Cagayan Valley),Single house, QUIRINO,26572.0,26871.0,119400.0,4.44,1.01,4.49,2015
2010,CITY OF SANTIAGO,REGION II (Cagayan Valley),Duplex, QUIRINO,2229.0,2244.0,9414.0,4.2,1.01,4.22,2015
2011,CITY OF SANTIAGO,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,1321.0,1321.0,5361.0,4.06,1.0,4.06,2015
