Type of Building and City/Municipality, Occupied Housing Units , Number of Households* , Household Population* , Average Household Size , Ratio of Households to Occupied Housing Units , Ratio of Household Population to Occupied Housing Units ,,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  2 ,  6 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  13 ,"  6,50 ","  1,00 ","  6,50 ",,,,,,,,,,,,
 GUINSILIBAN,,,,,,,,,,,,,,,,,,
Total,  1.452 ,  1.459 ,  6.270 ,"  4,30 ","  1,00 ","  4,32 ",,,,,,,,,,,,
Single house,  1.403 ,  1.410 ,  6.041 ,"  4,28 ","  1,00 ","  4,31 ",,,,,,,,,,,,
Duplex,  43 ,  43 ,  193 ,"  4,49 ","  1,00 ","  4,49 ",,,,,,,,,,,,
Multi-unit residential,  3 ,  3 ,  17 ,"  5,67 ","  1,00 ","  5,67 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  3 ,  3 ,  19 ,"  6,33 ","  1,00 ","  6,33 ",,,,,,,,,,,,
 MAHINOG,,,,,,,,,,,,,,,,,,
Total,  3.134 ,  3.135 ,  14.033 ,"  4,48 ","  1,00 ","  4,48 ",,,,,,,,,,,,
Single house,  2.988 ,  2.989 ,  13.472 ,"  4,51 ","  1,00 ","  4,51 ",,,,,,,,,,,,
Duplex,  99 ,  99 ,  410 ,"  4,14 ","  1,00 ","  4,14 ",,,,,,,,,,,,
Multi-unit residential,  42 ,  42 ,  132 ,"  3,14 ","  1,00 ","  3,14 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  4 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  4 ,  4 ,  15 ,"  3,75 ","  1,00 ","  3,75 ",,,,,,,,,,,,
 MAMBAJAO (Capital),,,,,,,,,,,,,,,,,,
Total,  8.542 ,  8.547 ,  38.574 ,"  4,51 ","  1,00 ","  4,52 ",,,,,,,,,,,,
Single house,  7.846 ,  7.848 ,  35.590 ,"  4,53 ","  1,00 ","  4,54 ",,,,,,,,,,,,
Duplex,  410 ,  410 ,  1.804 ,"  4,40 ","  1,00 ","  4,40 ",,,,,,,,,,,,
Multi-unit residential,  272 ,  275 ,  1.129 ,"  4,11 ","  1,01 ","  4,15 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  7 ,  7 ,  26 ,"  3,71 ","  1,00 ","  3,71 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  7 ,  7 ,  25 ,"  3,57 ","  1,00 ","  3,57 ",,,,,,,,,,,,
 SAGAY,,,,,,,,,,,,,,,,,,
Total,  2.875 ,  2.879 ,  12.611 ,"  4,38 ","  1,00 ","  4,39 ",,,,,,,,,,,,
Single house,  2.739 ,  2.743 ,  12.045 ,"  4,39 ","  1,00 ","  4,40 ",,,,,,,,,,,,
Duplex,  102 ,  102 ,  430 ,"  4,22 ","  1,00 ","  4,22 ",,,,,,,,,,,,
Multi-unit residential,  22 ,  22 ,  99 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  11 ,  11 ,  36 ,"  3,27 ","  1,00 ","  3,27 ",,,,,,,,,,,,
 LANAO DEL NORTE (excluding Iligan City),,,,,,,,,,,,,,,,,,
Total,  127.130 ,  140.350 ,  674.771 ,"  4,81 ","  1,10 ","  5,31 ",,,,,,,,,,,,
Single house,  113.543 ,  125.662 ,  602.572 ,"  4,80 ","  1,11 ","  5,31 ",,,,,,,,,,,,
Duplex,  8.478 ,  9.436 ,  47.084 ,"  4,99 ","  1,11 ","  5,55 ",,,,,,,,,,,,
Multi-unit residential,  4.903 ,  5.029 ,  24.104 ,"  4,79 ","  1,03 ","  4,92 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  171 ,  184 ,  838 ,"  4,55 ","  1,08 ","  4,90 ",,,,,,,,,,,,
Institutional living quarter,  7 ,  7 ,  33 ,"  4,71 ","  1,00 ","  4,71 ",,,,,,,,,,,,
Others,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Not Reported,  27 ,  31 ,  137 ,"  4,42 ","  1,15 ","  5,07 ",,,,,,,,,,,,
 BACOLOD,,,,,,,,,,,,,,,,,,
Total,  5.104 ,  5.199 ,  22.995 ,"  4,42 ","  1,02 ","  4,51 ",,,,,,,,,,,,
Single house,  4.810 ,  4.900 ,  21.745 ,"  4,44 ","  1,02 ","  4,52 ",,,,,,,,,,,,
Duplex,  214 ,  214 ,  879 ,"  4,11 ","  1,00 ","  4,11 ",,,,,,,,,,,,
Multi-unit residential,  36 ,  37 ,  153 ,"  4,14 ","  1,03 ","  4,25 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  43 ,  47 ,  213 ,"  4,53 ","  1,09 ","  4,95 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  5 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 BALOI,,,,,,,,,,,,,,,,,,
Total,  6.946 ,  10.084 ,  58.223 ,"  5,77 ","  1,45 ","  8,38 ",,,,,,,,,,,,
Single house,  5.905 ,  8.720 ,  50.599 ,"  5,80 ","  1,48 ","  8,57 ",,,,,,,,,,,,
Duplex,  688 ,  991 ,  5.548 ,"  5,60 ","  1,44 ","  8,06 ",,,,,,,,,,,,
Multi-unit residential,  339 ,  357 ,  1.967 ,"  5,51 ","  1,05 ","  5,80 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  14 ,  16 ,  109 ,"  6,81 ","  1,14 ","  7,79 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 BAROY,,,,,,,,,,,,,,,,,,
Total,  5.528 ,  5.601 ,  22.599 ,"  4,03 ","  1,01 ","  4,09 ",,,,,,,,,,,,
Single house,  5.403 ,  5.476 ,  22.136 ,"  4,04 ","  1,01 ","  4,10 ",,,,,,,,,,,,
Duplex,  106 ,  106 ,  385 ,"  3,63 ","  1,00 ","  3,63 ",,,,,,,,,,,,
Multi-unit residential,  15 ,  15 ,  57 ,"  3,80 ","  1,00 ","  3,80 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  4 ,  4 ,  21 ,"  5,25 ","  1,00 ","  5,25 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 KAPATAGAN,,,,,,,,,,,,,,,,,,
Total,  13.416 ,  14.998 ,  62.705 ,"  4,18 ","  1,12 ","  4,67 ",,,,,,,,,,,,
Single house,  11.742 ,  13.246 ,  56.251 ,"  4,25 ","  1,13 ","  4,79 ",,,,,,,,,,,,
Duplex,  1.042 ,  1.114 ,  4.241 ,"  3,81 ","  1,07 ","  4,07 ",,,,,,,,,,,,
Multi-unit residential,  615 ,  619 ,  2.145 ,"  3,47 ","  1,01 ","  3,49 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  12 ,  13 ,  51 ,"  3,92 ","  1,08 ","  4,25 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  5 ,  6 ,  17 ,"  2,83 ","  1,20 ","  3,40 ",,,,,,,,,,,,
 SULTAN NAGA DIMAPORO (KAROMATAN),,,,,,,,,,,,,,,,,,
Total,  11.422 ,  11.616 ,  56.750 ,"  4,89 ","  1,02 ","  4,97 ",,,,,,,,,,,,
Single house,  10.761 ,  10.947 ,  53.610 ,"  4,90 ","  1,02 ","  4,98 ",,,,,,,,,,,,
Duplex,  448 ,  451 ,  2.127 ,"  4,72 ","  1,01 ","  4,75 ",,,,,,,,,,,,
Multi-unit residential,  212 ,  217 ,  1.006 ,"  4,64 ","  1,02 ","  4,75 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  7 ,"  7,00 ","  1,00 ","  7,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 KAUSWAGAN,,,,,,,,,,,,,,,,,,
Total,  5.255 ,  5.916 ,  26.143 ,"  4,42 ","  1,13 ","  4,97 ",,,,,,,,,,,,
Single house,  4.778 ,  5.398 ,  24.187 ,"  4,48 ","  1,13 ","  5,06 ",,,,,,,,,,,,
Duplex,  314 ,  343 ,  1.356 ,"  3,95 ","  1,09 ","  4,32 ",,,,,,,,,,,,
Multi-unit residential,  154 ,  166 ,  569 ,"  3,43 ","  1,08 ","  3,69 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  8 ,  8 ,  25 ,"  3,13 ","  1,00 ","  3,13 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  6 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 KOLAMBUGAN,,,,,,,,,,,,,,,,,,
Total,  6.197 ,  6.446 ,  26.950 ,"  4,18 ","  1,04 ","  4,35 ",,,,,,,,,,,,
Single house,  5.659 ,  5.894 ,  24.586 ,"  4,17 ","  1,04 ","  4,34 ",,,,,,,,,,,,
Duplex,  356 ,  364 ,  1.524 ,"  4,19 ","  1,02 ","  4,28 ",,,,,,,,,,,,
Multi-unit residential,  160 ,  165 ,  734 ,"  4,45 ","  1,03 ","  4,59 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  22 ,  23 ,  106 ,"  4,61 ","  1,05 ","  4,82 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 LALA,,,,,,,,,,,,,,,,,,
Total,  15.051 ,  15.443 ,  67.612 ,"  4,38 ","  1,03 ","  4,49 ",,,,,,,,,,,,
Single house,  13.819 ,  14.203 ,  62.504 ,"  4,40 ","  1,03 ","  4,52 ",,,,,,,,,,,,
Duplex,  828 ,  834 ,  3.471 ,"  4,16 ","  1,01 ","  4,19 ",,,,,,,,,,,,
Multi-unit residential,  383 ,  384 ,  1.559 ,"  4,06 ","  1,00 ","  4,07 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  17 ,  17 ,  60 ,"  3,53 ","  1,00 ","  3,53 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  4 ,  5 ,  18 ,"  3,60 ","  1,25 ","  4,50 ",,,,,,,,,,,,
 LINAMON,,,,,,,,,,,,,,,,,,
Total,  4.195 ,  4.473 ,  20.325 ,"  4,54 ","  1,07 ","  4,85 ",,,,,,,,,,,,
Single house,  3.799 ,  4.055 ,  18.560 ,"  4,58 ","  1,07 ","  4,89 ",,,,,,,,,,,,
Duplex,  264 ,  281 ,  1.207 ,"  4,30 ","  1,06 ","  4,57 ",,,,,,,,,,,,
Multi-unit residential,  122 ,  126 ,  524 ,"  4,16 ","  1,03 ","  4,30 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  8 ,  9 ,  30 ,"  3,33 ","  1,13 ","  3,75 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
 MAGSAYSAY,,,,,,,,,,,,,,,,,,
Total,  3.833 ,  3.839 ,  18.971 ,"  4,94 ","  1,00 ","  4,95 ",,,,,,,,,,,,
Single house,  3.819 ,  3.825 ,  18.900 ,"  4,94 ","  1,00 ","  4,95 ",,,,,,,,,,,,
Duplex,  14 ,  14 ,  71 ,"  5,07 ","  1,00 ","  5,07 ",,,,,,,,,,,,
Multi-unit residential,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 MAIGO,,,,,,,,,,,,,,,,,,
Total,  4.781 ,  5.008 ,  21.606 ,"  4,31 ","  1,05 ","  4,52 ",,,,,,,,,,,,
Single house,  4.493 ,  4.701 ,  20.376 ,"  4,33 ","  1,05 ","  4,54 ",,,,,,,,,,,,
Duplex,  216 ,  233 ,  973 ,"  4,18 ","  1,08 ","  4,50 ",,,,,,,,,,,,
Multi-unit residential,  70 ,  72 ,  247 ,"  3,43 ","  1,03 ","  3,53 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  7 ,"  7,00 ","  1,00 ","  7,00 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 MATUNGAO,,,,,,,,,,,,,,,,,,
Total,  1.541 ,  2.206 ,  13.974 ,"  6,33 ","  1,43 ","  9,07 ",,,,,,,,,,,,
Single house,  1.439 ,  2.077 ,  13.109 ,"  6,31 ","  1,44 ","  9,11 ",,,,,,,,,,,,
Duplex,  74 ,  97 ,  650 ,"  6,70 ","  1,31 ","  8,78 ",,,,,,,,,,,,
Multi-unit residential,  28 ,  32 ,  215 ,"  6,72 ","  1,14 ","  7,68 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 MUNAI,,,,,,,,,,,,,,,,,,
Total,  4.893 ,  6.020 ,  32.854 ,"  5,46 ","  1,23 ","  6,71 ",,,,,,,,,,,,
Single house,  4.152 ,  5.240 ,  28.669 ,"  5,47 ","  1,26 ","  6,90 ",,,,,,,,,,,,
Duplex,  476 ,  509 ,  2.779 ,"  5,46 ","  1,07 ","  5,84 ",,,,,,,,,,,,
Multi-unit residential,  261 ,  265 ,  1.385 ,"  5,23 ","  1,02 ","  5,31 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  4 ,  12 ,"  3,00 ","  2,00 ","  6,00 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  2 ,  9 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 NUNUNGAN,,,,,,,,,,,,,,,,,,
Total,  3.456 ,  3.508 ,  18.367 ,"  5,24 ","  1,02 ","  5,31 ",,,,,,,,,,,,
Single house,  2.970 ,  3.022 ,  15.964 ,"  5,28 ","  1,02 ","  5,38 ",,,,,,,,,,,,
Duplex,  328 ,  328 ,  1.657 ,"  5,05 ","  1,00 ","  5,05 ",,,,,,,,,,,,
Multi-unit residential,  154 ,  154 ,  733 ,"  4,76 ","  1,00 ","  4,76 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  4 ,  4 ,  13 ,"  3,25 ","  1,00 ","  3,25 ",,,,,,,,,,,,
 PANTAO RAGAT,,,,,,,,,,,,,,,,,,
Total,  2.335 ,  4.143 ,  27.866 ,"  6,73 ","  1,77 ","  11,93 ",,,,,,,,,,,,
Single house,  1.885 ,  3.523 ,  23.776 ,"  6,75 ","  1,87 ","  12,61 ",,,,,,,,,,,,
Duplex,  242 ,  389 ,  2.646 ,"  6,80 ","  1,61 ","  10,93 ",,,,,,,,,,,,
Multi-unit residential,  201 ,  222 ,  1.372 ,"  6,18 ","  1,10 ","  6,83 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  5 ,  5 ,  43 ,"  8,60 ","  1,00 ","  8,60 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  4 ,  29 ,"  7,25 ","  2,00 ","  14,50 ",,,,,,,,,,,,
 POONA PIAGAPO,,,,,,,,,,,,,,,,,,
Total,  3.648 ,  4.414 ,  26.970 ,"  6,11 ","  1,21 ","  7,39 ",,,,,,,,,,,,
Single house,  1.706 ,  2.234 ,  13.880 ,"  6,21 ","  1,31 ","  8,14 ",,,,,,,,,,,,
Duplex,  1.122 ,  1.324 ,  8.315 ,"  6,28 ","  1,18 ","  7,41 ",,,,,,,,,,,,
Multi-unit residential,  820 ,  856 ,  4.775 ,"  5,58 ","  1,04 ","  5,82 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 SALVADOR,,,,,,,,,,,,,,,,,,
Total,  6.830 ,  7.028 ,  31.649 ,"  4,50 ","  1,03 ","  4,63 ",,,,,,,,,,,,
Single house,  5.675 ,  5.862 ,  26.556 ,"  4,53 ","  1,03 ","  4,68 ",,,,,,,,,,,,
Duplex,  624 ,  631 ,  2.786 ,"  4,42 ","  1,01 ","  4,46 ",,,,,,,,,,,,
Multi-unit residential,  519 ,  523 ,  2.255 ,"  4,31 ","  1,01 ","  4,34 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  5 ,  5 ,  21 ,"  4,20 ","  1,00 ","  4,20 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  7 ,  7 ,  31 ,"  4,43 ","  1,00 ","  4,43 ",,,,,,,,,,,,
 SAPAD,,,,,,,,,,,,,,,,,,
Total,  4.354 ,  4.716 ,  21.309 ,"  4,52 ","  1,08 ","  4,89 ",,,,,,,,,,,,
Single house,  4.158 ,  4.517 ,  20.474 ,"  4,53 ","  1,09 ","  4,92 ",,,,,,,,,,,,
Duplex,  144 ,  147 ,  629 ,"  4,28 ","  1,02 ","  4,37 ",,,,,,,,,,,,
Multi-unit residential,  52 ,  52 ,  206 ,"  3,96 ","  1,00 ","  3,96 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 TAGOLOAN,,,,,,,,,,,,,,,,,,
Total,  2.546 ,  2.768 ,  13.229 ,"  4,78 ","  1,09 ","  5,20 ",,,,,,,,,,,,
Single house,  2.272 ,  2.487 ,  11.869 ,"  4,77 ","  1,09 ","  5,22 ",,,,,,,,,,,,
Duplex,  150 ,  157 ,  765 ,"  4,87 ","  1,05 ","  5,10 ",,,,,,,,,,,,
Multi-unit residential,  124 ,  124 ,  595 ,"  4,80 ","  1,00 ","  4,80 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 TANGCAL,,,,,,,,,,,,,,,,,,
Total,  2.227 ,  2.405 ,  15.178 ,"  6,31 ","  1,08 ","  6,82 ",,,,,,,,,,,,
Single house,  1.858 ,  2.015 ,  12.686 ,"  6,30 ","  1,08 ","  6,83 ",,,,,,,,,,,,
Duplex,  250 ,  264 ,  1.698 ,"  6,43 ","  1,06 ","  6,79 ",,,,,,,,,,,,
Multi-unit residential,  117 ,  122 ,  776 ,"  6,36 ","  1,04 ","  6,63 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  4 ,  18 ,"  4,50 ","  2,00 ","  9,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 TUBOD (Capital),,,,,,,,,,,,,,,,,,
Total,  10.949 ,  11.092 ,  46.723 ,"  4,21 ","  1,01 ","  4,27 ",,,,,,,,,,,,
Single house,  10.542 ,  10.683 ,  45.108 ,"  4,22 ","  1,01 ","  4,28 ",,,,,,,,,,,,
Duplex,  298 ,  300 ,  1.191 ,"  3,97 ","  1,01 ","  4,00 ",,,,,,,,,,,,
Multi-unit residential,  80 ,  80 ,  299 ,"  3,74 ","  1,00 ","  3,74 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  28 ,  28 ,  122 ,"  4,36 ","  1,00 ","  4,36 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 PANTAR,,,,,,,,,,,,,,,,,,
Total,  2.623 ,  3.427 ,  21.773 ,"  6,35 ","  1,31 ","  8,30 ",,,,,,,,,,,,
Single house,  1.898 ,  2.637 ,  17.027 ,"  6,46 ","  1,39 ","  8,97 ",,,,,,,,,,,,
Duplex,  280 ,  345 ,  2.186 ,"  6,34 ","  1,23 ","  7,81 ",,,,,,,,,,,,
Multi-unit residential,  441 ,  441 ,  2.532 ,"  5,74 ","  1,00 ","  5,74 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  4 ,  4 ,  28 ,"  7,00 ","  1,00 ","  7,00 ",,,,,,,,,,,,
 ILIGAN CITY,,,,,,,,,,,,,,,,,,
Total,  74.647 ,  76.593 ,  339.057 ,"  4,43 ","  1,03 ","  4,54 ",,,,,,,,,,,,
Single house,  58.797 ,  60.440 ,  273.367 ,"  4,52 ","  1,03 ","  4,65 ",,,,,,,,,,,,
Duplex,  7.546 ,  7.698 ,  32.078 ,"  4,17 ","  1,02 ","  4,25 ",,,,,,,,,,,,
Multi-unit residential,  8.082 ,  8.232 ,  32.735 ,"  3,98 ","  1,02 ","  4,05 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  164 ,  165 ,  661 ,"  4,01 ","  1,01 ","  4,03 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  6 ,  6 ,  10 ,"  1,67 ","  1,00 ","  1,67 ",,,,,,,,,,,,
Not Reported,  52 ,  52 ,  206 ,"  3,96 ","  1,00 ","  3,96 ",,,,,,,,,,,,
 MISAMIS OCCIDENTAL,,,,,,,,,,,,,,,,,,
Total,  133.123 ,  134.870 ,  599.213 ,"  4,44 ","  1,01 ","  4,50 ",,,,,,,,,,,,
Single house,  124.325 ,  125.959 ,  562.545 ,"  4,47 ","  1,01 ","  4,52 ",,,,,,,,,,,,
Duplex,  5.492 ,  5.574 ,  23.480 ,"  4,21 ","  1,01 ","  4,28 ",,,,,,,,,,,,
Multi-unit residential,  3.059 ,  3.082 ,  12.054 ,"  3,91 ","  1,01 ","  3,94 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  127 ,  130 ,  629 ,"  4,84 ","  1,02 ","  4,95 ",,,,,,,,,,,,
Institutional living quarter,  16 ,  16 ,  51 ,"  3,19 ","  1,00 ","  3,19 ",,,,,,,,,,,,
Others,  11 ,  11 ,  41 ,"  3,73 ","  1,00 ","  3,73 ",,,,,,,,,,,,
Not Reported,  93 ,  98 ,  413 ,"  4,21 ","  1,05 ","  4,44 ",,,,,,,,,,,,
 ALORAN,,,,,,,,,,,,,,,,,,
Total,  6.313 ,  6.383 ,  27.566 ,"  4,32 ","  1,01 ","  4,37 ",,,,,,,,,,,,
Single house,  6.112 ,  6.173 ,  26.703 ,"  4,33 ","  1,01 ","  4,37 ",,,,,,,,,,,,
Duplex,  158 ,  165 ,  691 ,"  4,19 ","  1,04 ","  4,37 ",,,,,,,,,,,,
Multi-unit residential,  24 ,  26 ,  94 ,"  3,62 ","  1,08 ","  3,92 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  8 ,  8 ,  37 ,"  4,63 ","  1,00 ","  4,63 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  1 ,  1 ,  4 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Not Reported,  10 ,  10 ,  37 ,"  3,70 ","  1,00 ","  3,70 ",,,,,,,,,,,,
 BALIANGAO,,,,,,,,,,,,,,,,,,
Total,  3.841 ,  3.877 ,  17.092 ,"  4,41 ","  1,01 ","  4,45 ",,,,,,,,,,,,
