City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,"Lake, river, rain and others",Peddler,Bottled water,Others,Not Reported,,,,,,,,,,,,,,
CALUMPIT,  24.991 ,  9.845 ,  870 ,  235 ,  111 ,  2 ,  90 ,  -   ,  -   ,  -   ,  261 ,  13.555 ,  22 ,  -   ,,,,,,,,,,,,,,
GUIGUINTO,  23.062 ,  2.873 ,  259 ,  626 ,  335 ,  68 ,  22 ,  -   ,  -   ,  1 ,  91 ,  18.768 ,  19 ,  -   ,,,,,,,,,,,,,,
HAGONOY,  30.208 ,  14.997 ,  583 ,  116 ,  802 ,  65 ,  148 ,  191 ,  1 ,  3 ,  14 ,  13.274 ,  14 ,  -   ,,,,,,,,,,,,,,
CITY OF MALOLOS (Capital),  57.541 ,  5.873 ,  787 ,  653 ,  907 ,  311 ,  25 ,  48 ,  -   ,  4 ,  157 ,  48.754 ,  22 ,  -   ,,,,,,,,,,,,,,
MARILAO,  52.826 ,  4.847 ,  1.569 ,  1.738 ,  2.098 ,  15 ,  22 ,  168 ,  2 ,  2 ,  1.440 ,  40.835 ,  90 ,  -   ,,,,,,,,,,,,,,
CITY OF MEYCAUAYAN,  52.543 ,  8.984 ,  3.379 ,  335 ,  1.215 ,  24 ,  158 ,  -   ,  -   ,  2 ,  1.516 ,  36.896 ,  34 ,  -   ,,,,,,,,,,,,,,
NORZAGARAY,  24.822 ,  6.560 ,  1.142 ,  500 ,  2.601 ,  232 ,  610 ,  787 ,  10 ,  161 ,  627 ,  11.578 ,  14 ,  -   ,,,,,,,,,,,,,,
OBANDO,  13.821 ,  2.374 ,  734 ,  12 ,  241 ,  1 ,  1 ,  -   ,  -   ,  1 ,  11 ,  10.433 ,  13 ,  -   ,,,,,,,,,,,,,,
PANDI,  20.314 ,  1.764 ,  590 ,  1.124 ,  1.962 ,  34 ,  30 ,  -   ,  -   ,  3 ,  25 ,  14.769 ,  13 ,  -   ,,,,,,,,,,,,,,
PAOMBONG,  11.782 ,  1.905 ,  416 ,  578 ,  1.729 ,  60 ,  13 ,  -   ,  -   ,  1 ,  184 ,  6.896 ,  -   ,  -   ,,,,,,,,,,,,,,
PLARIDEL,  24.437 ,  4.500 ,  745 ,  1.144 ,  846 ,  36 ,  4 ,  15 ,  -   ,  2 ,  15 ,  17.109 ,  21 ,  -   ,,,,,,,,,,,,,,
PULILAN,  22.557 ,  3.739 ,  545 ,  1.684 ,  2.899 ,  277 ,  90 ,  -   ,  -   ,  -   ,  6 ,  13.275 ,  42 ,  -   ,,,,,,,,,,,,,,
SAN ILDEFONSO,  24.257 ,  4.506 ,  497 ,  2.953 ,  3.749 ,  361 ,  187 ,  -   ,  -   ,  16 ,  12 ,  11.924 ,  52 ,  -   ,,,,,,,,,,,,,,
CITY OF SAN JOSE DEL MONTE,  126.553 ,  61.717 ,  22.421 ,  1.273 ,  1.394 ,  188 ,  1.015 ,  1.114 ,  202 ,  27 ,  1.169 ,  35.655 ,  378 ,  -   ,,,,,,,,,,,,,,
SAN MIGUEL,  34.459 ,  5.573 ,  2.365 ,  6.212 ,  8.432 ,  1.035 ,  74 ,  530 ,  3 ,  3 ,  373 ,  9.821 ,  38 ,  -   ,,,,,,,,,,,,,,
SAN RAFAEL,  22.560 ,  4.563 ,  334 ,  3.536 ,  2.547 ,  146 ,  271 ,  31 ,  2 ,  2 ,  40 ,  11.048 ,  40 ,  -   ,,,,,,,,,,,,,,
SANTA MARIA,  58.357 ,  8.056 ,  1.544 ,  2.741 ,  3.042 ,  64 ,  219 ,  117 ,  4 ,  1 ,  307 ,  42.075 ,  187 ,  -   ,,,,,,,,,,,,,,
DOÑA REMEDIOS TRINIDAD,  5.090 ,  215 ,  231 ,  323 ,  1.104 ,  237 ,  199 ,  1.019 ,  29 ,  348 ,  10 ,  1.370 ,  5 ,  -   ,,,,,,,,,,,,,,
NUEVA ECIJA,  496.977 ,  156.553 ,  36.008 ,  108.263 ,  116.491 ,  20.951 ,  1.173 ,  8.451 ,  893 ,  371 ,  1.470 ,  45.694 ,  659 ,  -   ,,,,,,,,,,,,,,
ALIAGA,  14.004 ,  4.168 ,  1.355 ,  2.954 ,  4.759 ,  475 ,  8 ,  6 ,  -   ,  2 ,  34 ,  238 ,  5 ,  -   ,,,,,,,,,,,,,,
BONGABON,  14.990 ,  3.041 ,  1.316 ,  5.306 ,  3.845 ,  61 ,  113 ,  494 ,  2 ,  4 ,  21 ,  779 ,  8 ,  -   ,,,,,,,,,,,,,,
CABANATUAN CITY,  68.247 ,  38.344 ,  6.551 ,  11.079 ,  6.202 ,  916 ,  36 ,  46 ,  1 ,  2 ,  252 ,  4.508 ,  310 ,  -   ,,,,,,,,,,,,,,
CABIAO,  16.685 ,  7.784 ,  941 ,  3.598 ,  2.384 ,  332 ,  -   ,  21 ,  -   ,  1 ,  47 ,  1.571 ,  6 ,  -   ,,,,,,,,,,,,,,
CARRANGLAN,  9.642 ,  318 ,  207 ,  1.657 ,  3.105 ,  105 ,  71 ,  2.378 ,  533 ,  28 ,  1 ,  1.239 ,  -   ,  -   ,,,,,,,,,,,,,,
CUYAPO,  15.659 ,  3.001 ,  1.037 ,  3.692 ,  4.901 ,  101 ,  12 ,  7 ,  2 ,  2 ,  1 ,  2.902 ,  1 ,  -   ,,,,,,,,,,,,,,
GABALDON (BITULOK & SABANI),  8.510 ,  53 ,  151 ,  2.673 ,  2.663 ,  10 ,  8 ,  2.039 ,  249 ,  46 ,  185 ,  428 ,  5 ,  -   ,,,,,,,,,,,,,,
CITY OF GAPAN,  24.906 ,  8.149 ,  4.007 ,  5.065 ,  6.120 ,  271 ,  8 ,  76 ,  1 ,  1 ,  9 ,  1.178 ,  21 ,  -   ,,,,,,,,,,,,,,
GENERAL MAMERTO NATIVIDAD,  10.030 ,  1.289 ,  481 ,  2.912 ,  2.936 ,  941 ,  -   ,  38 ,  -   ,  -   ,  -   ,  1.404 ,  29 ,  -   ,,,,,,,,,,,,,,
GENERAL TINIO (PAPAYA),  10.996 ,  2.902 ,  658 ,  1.973 ,  1.898 ,  1.475 ,  21 ,  267 ,  1 ,  107 ,  2 ,  1.691 ,  1 ,  -   ,,,,,,,,,,,,,,
GUIMBA,  28.707 ,  7.936 ,  1.364 ,  7.118 ,  10.982 ,  151 ,  67 ,  4 ,  -   ,  -   ,  6 ,  1.069 ,  10 ,  -   ,,,,,,,,,,,,,,
JAEN,  17.904 ,  7.401 ,  1.627 ,  3.403 ,  4.704 ,  205 ,  -   ,  2 ,  -   ,  -   ,  -   ,  531 ,  31 ,  -   ,,,,,,,,,,,,,,
LAUR,  8.793 ,  2.331 ,  1.133 ,  1.623 ,  2.620 ,  159 ,  73 ,  547 ,  32 ,  13 ,  35 ,  225 ,  2 ,  -   ,,,,,,,,,,,,,,
LICAB,  6.387 ,  1.708 ,  536 ,  1.678 ,  2.373 ,  83 ,  -   ,  -   ,  -   ,  -   ,  -   ,  8 ,  1 ,  -   ,,,,,,,,,,,,,,
LLANERA,  9.590 ,  663 ,  452 ,  4.332 ,  2.796 ,  26 ,  13 ,  1 ,  -   ,  -   ,  8 ,  1.299 ,  -   ,  -   ,,,,,,,,,,,,,,
LUPAO,  10.080 ,  1.471 ,  248 ,  3.935 ,  3.301 ,  117 ,  34 ,  107 ,  10 ,  1 ,  -   ,  852 ,  4 ,  -   ,,,,,,,,,,,,,,
SCIENCE CITY OF MUÑOZ,  19.143 ,  5.801 ,  879 ,  4.384 ,  3.253 ,  1.849 ,  49 ,  14 ,  3 ,  2 ,  47 ,  2.844 ,  18 ,  -   ,,,,,,,,,,,,,,
NAMPICUAN,  3.086 ,  1.131 ,  390 ,  221 ,  787 ,  10 ,  -   ,  -   ,  -   ,  1 ,  -   ,  541 ,  5 ,  -   ,,,,,,,,,,,,,,
PALAYAN CITY (Capital),  9.447 ,  4.280 ,  1.528 ,  699 ,  1.291 ,  24 ,  92 ,  319 ,  27 ,  129 ,  38 ,  987 ,  33 ,  -   ,,,,,,,,,,,,,,
PANTABANGAN,  6.139 ,  90 ,  253 ,  1.046 ,  2.639 ,  3 ,  54 ,  498 ,  18 ,  23 ,  444 ,  1.069 ,  2 ,  -   ,,,,,,,,,,,,,,
PEÑARANDA,  6.857 ,  4.627 ,  1.023 ,  480 ,  486 ,  63 ,  16 ,  -   ,  -   ,  -   ,  -   ,  154 ,  8 ,  -   ,,,,,,,,,,,,,,
QUEZON,  9.482 ,  1.125 ,  1.217 ,  2.924 ,  3.687 ,  228 ,  20 ,  26 ,  -   ,  -   ,  1 ,  191 ,  63 ,  -   ,,,,,,,,,,,,,,
RIZAL,  15.251 ,  907 ,  165 ,  4.915 ,  4.990 ,  1.187 ,  3 ,  414 ,  -   ,  -   ,  2 ,  2.667 ,  1 ,  -   ,,,,,,,,,,,,,,
SAN ANTONIO,  17.543 ,  6.100 ,  1.228 ,  2.787 ,  4.863 ,  617 ,  1 ,  489 ,  -   ,  -   ,  53 ,  1.403 ,  2 ,  -   ,,,,,,,,,,,,,,
SAN ISIDRO,  11.325 ,  4.064 ,  1.339 ,  1.511 ,  2.223 ,  199 ,  2 ,  13 ,  -   ,  1 ,  3 ,  1.968 ,  2 ,  -   ,,,,,,,,,,,,,,
SAN JOSE CITY,  32.769 ,  6.315 ,  733 ,  9.284 ,  8.875 ,  1.111 ,  41 ,  415 ,  5 ,  4 ,  5 ,  5.951 ,  30 ,  -   ,,,,,,,,,,,,,,
SAN LEONARDO,  15.012 ,  8.119 ,  1.848 ,  988 ,  2.600 ,  8 ,  409 ,  97 ,  7 ,  -   ,  71 ,  855 ,  10 ,  -   ,,,,,,,,,,,,,,
SANTA ROSA,  15.785 ,  7.130 ,  711 ,  2.733 ,  2.544 ,  258 ,  8 ,  22 ,  -   ,  -   ,  1 ,  2.347 ,  31 ,  -   ,,,,,,,,,,,,,,
SANTO DOMINGO,  14.103 ,  4.806 ,  901 ,  4.288 ,  3.578 ,  173 ,  2 ,  26 ,  -   ,  -   ,  1 ,  328 ,  -   ,  -   ,,,,,,,,,,,,,,
TALAVERA,  28.362 ,  6.253 ,  838 ,  6.028 ,  3.340 ,  8.107 ,  9 ,  82 ,  1 ,  4 ,  203 ,  3.482 ,  15 ,  -   ,,,,,,,,,,,,,,
TALUGTUG,  5.820 ,  1.055 ,  311 ,  663 ,  2.173 ,  1.368 ,  2 ,  1 ,  -   ,  -   ,  -   ,  244 ,  3 ,  -   ,,,,,,,,,,,,,,
ZARAGOZA,  11.723 ,  4.191 ,  580 ,  2.314 ,  3.573 ,  318 ,  1 ,  2 ,  1 ,  -   ,  -   ,  741 ,  2 ,  -   ,,,,,,,,,,,,,,
PAMPANGA (excluding Angeles City),  479.082 ,  170.034 ,  19.159 ,  52.701 ,  47.206 ,  5.729 ,  927 ,  3.641 ,  383 ,  308 ,  1.447 ,  176.739 ,  808 ,  -   ,,,,,,,,,,,,,,
APALIT,  23.779 ,  8.086 ,  1.118 ,  1.942 ,  1.022 ,  85 ,  5 ,  26 ,  6 ,  2 ,  5 ,  11.396 ,  86 ,  -   ,,,,,,,,,,,,,,
ARAYAT,  28.144 ,  7.928 ,  1.444 ,  9.711 ,  4.884 ,  395 ,  59 ,  649 ,  12 ,  22 ,  96 ,  2.905 ,  39 ,  -   ,,,,,,,,,,,,,,
BACOLOR,  9.593 ,  2.204 ,  399 ,  881 ,  838 ,  294 ,  3 ,  48 ,  -   ,  1 ,  -   ,  4.910 ,  15 ,  -   ,,,,,,,,,,,,,,
CANDABA,  22.664 ,  4.152 ,  2.079 ,  2.857 ,  4.255 ,  708 ,  4 ,  40 ,  2 ,  3 ,  7 ,  8.550 ,  7 ,  -   ,,,,,,,,,,,,,,
FLORIDABLANCA,  28.915 ,  20.231 ,  841 ,  1.695 ,  1.550 ,  565 ,  52 ,  613 ,  1 ,  65 ,  281 ,  2.974 ,  47 ,  -   ,,,,,,,,,,,,,,
GUAGUA,  26.336 ,  12.127 ,  732 ,  3.247 ,  1.854 ,  48 ,  49 ,  174 ,  -   ,  1 ,  7 ,  8.088 ,  9 ,  -   ,,,,,,,,,,,,,,
LUBAO,  34.492 ,  9.294 ,  1.415 ,  5.024 ,  5.774 ,  586 ,  81 ,  220 ,  4 ,  3 ,  371 ,  11.656 ,  64 ,  -   ,,,,,,,,,,,,,,
MABALACAT CITY,  56.650 ,  26.660 ,  2.255 ,  1.536 ,  2.157 ,  240 ,  151 ,  70 ,  2 ,  137 ,  14 ,  23.413 ,  15 ,  -   ,,,,,,,,,,,,,,
MACABEBE,  16.321 ,  3.978 ,  441 ,  873 ,  2.473 ,  116 ,  113 ,  19 ,  2 ,  1 ,  3 ,  8.286 ,  16 ,  -   ,,,,,,,,,,,,,,
MAGALANG,  24.484 ,  5.189 ,  748 ,  5.784 ,  3.187 ,  172 ,  9 ,  44 ,  2 ,  32 ,  8 ,  9.249 ,  60 ,  -   ,,,,,,,,,,,,,,
MASANTOL,  11.946 ,  1.553 ,  306 ,  2.030 ,  4.126 ,  19 ,  29 ,  41 ,  -   ,  2 ,  36 ,  3.790 ,  14 ,  -   ,,,,,,,,,,,,,,
MEXICO,  32.518 ,  11.020 ,  1.109 ,  4.506 ,  3.284 ,  166 ,  20 ,  60 ,  3 ,  -   ,  14 ,  12.276 ,  60 ,  -   ,,,,,,,,,,,,,,
MINALIN,  9.931 ,  5.683 ,  721 ,  649 ,  407 ,  6 ,  1 ,  7 ,  -   ,  1 ,  6 ,  2.449 ,  1 ,  -   ,,,,,,,,,,,,,,
PORAC,  27.474 ,  9.602 ,  1.655 ,  4.105 ,  3.923 ,  150 ,  144 ,  716 ,  330 ,  34 ,  410 ,  6.386 ,  19 ,  -   ,,,,,,,,,,,,,,
CITY OF SAN FERNANDO (Capital),  68.272 ,  20.137 ,  1.712 ,  2.351 ,  2.863 ,  408 ,  81 ,  689 ,  2 ,  4 ,  63 ,  39.821 ,  141 ,  -   ,,,,,,,,,,,,,,
SAN LUIS,  10.945 ,  4.178 ,  212 ,  1.402 ,  246 ,  916 ,  4 ,  17 ,  -   ,  -   ,  94 ,  3.858 ,  18 ,  -   ,,,,,,,,,,,,,,
SAN SIMON,  11.420 ,  3.590 ,  507 ,  305 ,  772 ,  587 ,  54 ,  26 ,  -   ,  -   ,  5 ,  5.556 ,  18 ,  -   ,,,,,,,,,,,,,,
SANTA ANA,  11.115 ,  5.327 ,  583 ,  904 ,  696 ,  142 ,  24 ,  6 ,  -   ,  -   ,  6 ,  3.426 ,  1 ,  -   ,,,,,,,,,,,,,,
SANTA RITA,  9.064 ,  2.124 ,  173 ,  2.537 ,  1.380 ,  19 ,  18 ,  106 ,  -   ,  -   ,  9 ,  2.545 ,  153 ,  -   ,,,,,,,,,,,,,,
SANTO TOMAS,  9.214 ,  4.342 ,  239 ,  19 ,  22 ,  18 ,  19 ,  9 ,  1 ,  -   ,  12 ,  4.520 ,  13 ,  -   ,,,,,,,,,,,,,,
SASMUAN (Sexmoan),  5.805 ,  2.629 ,  470 ,  343 ,  1.493 ,  89 ,  7 ,  61 ,  16 ,  -   ,  -   ,  685 ,  12 ,  -   ,,,,,,,,,,,,,,
ANGELES CITY,  96.219 ,  57.069 ,  3.227 ,  1.617 ,  2.811 ,  619 ,  552 ,  267 ,  9 ,  2 ,  1.537 ,  26.842 ,  1.667 ,  -   ,,,,,,,,,,,,,,
TARLAC,  311.994 ,  50.242 ,  11.905 ,  65.729 ,  68.658 ,  7.456 ,  1.007 ,  1.676 ,  141 ,  270 ,  2.125 ,  102.497 ,  288 ,  -   ,,,,,,,,,,,,,,
ANAO,  2.720 ,  919 ,  298 ,  352 ,  341 ,  163 ,  3 ,  1 ,  1 ,  -   ,  2 ,  639 ,  1 ,  -   ,,,,,,,,,,,,,,
BAMBAN,  14.978 ,  3.483 ,  654 ,  1.116 ,  2.477 ,  249 ,  397 ,  61 ,  11 ,  37 ,  4 ,  6.478 ,  11 ,  -   ,,,,,,,,,,,,,,
CAMILING,  19.601 ,  4.666 ,  946 ,  3.951 ,  2.085 ,  23 ,  36 ,  323 ,  2 ,  1 ,  7 ,  7.545 ,  16 ,  -   ,,,,,,,,,,,,,,
CAPAS,  32.458 ,  4.756 ,  1.164 ,  6.818 ,  6.366 ,  1.976 ,  10 ,  486 ,  8 ,  154 ,  260 ,  10.455 ,  5 ,  -   ,,,,,,,,,,,,,,
CONCEPCION,  33.299 ,  6.599 ,  837 ,  10.863 ,  4.429 ,  758 ,  310 ,  178 ,  46 ,  1 ,  26 ,  9.192 ,  60 ,  -   ,,,,,,,,,,,,,,
GERONA,  21.302 ,  1.808 ,  474 ,  5.605 ,  5.526 ,  590 ,  16 ,  13 ,  3 ,  -   ,  243 ,  7.013 ,  11 ,  -   ,,,,,,,,,,,,,,
LA PAZ,  14.062 ,  1.045 ,  139 ,  3.366 ,  4.594 ,  420 ,  1 ,  14 ,  2 ,  1 ,  6 ,  4.467 ,  7 ,  -   ,,,,,,,,,,,,,,
MAYANTOC,  7.571 ,  867 ,  202 ,  2.467 ,  2.546 ,  11 ,  5 ,  48 ,  47 ,  33 ,  251 ,  1.089 ,  5 ,  -   ,,,,,,,,,,,,,,
MONCADA,  13.793 ,  4.082 ,  1.288 ,  1.982 ,  4.970 ,  106 ,  1 ,  12 ,  1 ,  -   ,  367 ,  981 ,  3 ,  -   ,,,,,,,,,,,,,,
PANIQUI,  22.412 ,  5.157 ,  2.853 ,  2.889 ,  5.895 ,  51 ,  15 ,  35 ,  1 ,  -   ,  314 ,  5.180 ,  22 ,  -   ,,,,,,,,,,,,,,
PURA,  5.602 ,  769 ,  244 ,  916 ,  2.270 ,  20 ,  -   ,  2 ,  2 ,  -   ,  2 ,  1.353 ,  24 ,  -   ,,,,,,,,,,,,,,
RAMOS,  4.785 ,  2.046 ,  747 ,  207 ,  891 ,  51 ,  2 ,  4 ,  -   ,  -   ,  -   ,  835 ,  2 ,  -   ,,,,,,,,,,,,,,
SAN CLEMENTE,  3.031 ,  77 ,  188 ,  547 ,  475 ,  3 ,  2 ,  4 ,  -   ,  -   ,  -   ,  1.734 ,  1 ,  -   ,,,,,,,,,,,,,,
SAN MANUEL,  5.706 ,  295 ,  71 ,  1.077 ,  3.068 ,  254 ,  1 ,  -   ,  -   ,  -   ,  18 ,  914 ,  8 ,  -   ,,,,,,,,,,,,,,
SANTA IGNACIA,  11.519 ,  630 ,  55 ,  3.723 ,  2.869 ,  318 ,  7 ,  34 ,  1 ,  -   ,  348 ,  3.532 ,  2 ,  -   ,,,,,,,,,,,,,,
CITY OF TARLAC (Capital),  75.546 ,  12.039 ,  1.273 ,  13.511 ,  7.340 ,  2.343 ,  107 ,  271 ,  2 ,  3 ,  261 ,  38.307 ,  89 ,  -   ,,,,,,,,,,,,,,
VICTORIA,  15.192 ,  825 ,  432 ,  3.533 ,  8.272 ,  44 ,  -   ,  4 ,  1 ,  2 ,  16 ,  2.062 ,  1 ,  -   ,,,,,,,,,,,,,,
SAN JOSE,  8.417 ,  179 ,  40 ,  2.806 ,  4.244 ,  76 ,  94 ,  186 ,  13 ,  38 ,  -   ,  721 ,  20 ,  -   ,,,,,,,,,,,,,,
ZAMBALES (excluding Olongapo City),  142.184 ,  16.739 ,  6.405 ,  33.056 ,  27.779 ,  5.339 ,  2.114 ,  5.181 ,  1.041 ,  562 ,  1.125 ,  42.610 ,  233 ,  -   ,,,,,,,,,,,,,,
BOTOLAN,  13.668 ,  648 ,  654 ,  2.746 ,  3.678 ,  1.744 ,  103 ,  722 ,  517 ,  207 ,  160 ,  2.489 ,  -   ,  -   ,,,,,,,,,,,,,,
CABANGAN,  5.989 ,  781 ,  57 ,  2.608 ,  1.715 ,  205 ,  73 ,  11 ,  18 ,  13 ,  153 ,  355 ,  -   ,  -   ,,,,,,,,,,,,,,
CANDELARIA,  6.061 ,  501 ,  128 ,  2.999 ,  1.534 ,  28 ,  13 ,  12 ,  -   ,  26 ,  54 ,  761 ,  5 ,  -   ,,,,,,,,,,,,,,
CASTILLEJOS,  17.230 ,  1.699 ,  343 ,  4.027 ,  2.717 ,  226 ,  63 ,  216 ,  24 ,  17 ,  2 ,  7.840 ,  56 ,  -   ,,,,,,,,,,,,,,
IBA (Capital),  11.909 ,  1.171 ,  198 ,  3.316 ,  1.493 ,  1.254 ,  162 ,  305 ,  21 ,  23 ,  48 ,  3.900 ,  18 ,  -   ,,,,,,,,,,,,,,
MASINLOC,  10.894 ,  1.712 ,  1.302 ,  1.352 ,  2.420 ,  51 ,  202 ,  281 ,  71 ,  15 ,  319 ,  3.166 ,  3 ,  -   ,,,,,,,,,,,,,,
PALAUIG,  7.861 ,  575 ,  329 ,  1.989 ,  1.898 ,  607 ,  900 ,  252 ,  3 ,  7 ,  3 ,  1.296 ,  2 ,  -   ,,,,,,,,,,,,,,
SAN ANTONIO,  8.709 ,  1.363 ,  130 ,  2.809 ,  1.451 ,  517 ,  11 ,  38 ,  1 ,  11 ,  3 ,  2.374 ,  1 ,  -   ,,,,,,,,,,,,,,
SAN FELIPE,  5.725 ,  1.177 ,  57 ,  2.185 ,  1.079 ,  140 ,  -   ,  27 ,  29 ,  -   ,  1 ,  1.030 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN MARCELINO,  8.098 ,  655 ,  311 ,  1.324 ,  796 ,  245 ,  142 ,  403 ,  295 ,  221 ,  4 ,  3.604 ,  98 ,  -   ,,,,,,,,,,,,,,
SAN NARCISO,  7.161 ,  395 ,  193 ,  2.210 ,  1.004 ,  14 ,  212 ,  161 ,  1 ,  -   ,  4 ,  2.964 ,  3 ,  -   ,,,,,,,,,,,,,,
SANTA CRUZ,  13.865 ,  462 ,  841 ,  4.300 ,  4.554 ,  247 ,  181 ,  347 ,  23 ,  10 ,  200 ,  2.692 ,  8 ,  -   ,,,,,,,,,,,,,,
SUBIC,  25.014 ,  5.600 ,  1.862 ,  1.191 ,  3.440 ,  61 ,  52 ,  2.406 ,  38 ,  12 ,  174 ,  10.139 ,  39 ,  -   ,,,,,,,,,,,,,,
OLONGAPO CITY,  56.482 ,  28.849 ,  3.203 ,  633 ,  397 ,  46 ,  278 ,  3.009 ,  655 ,  53 ,  27 ,  19.275 ,  57 ,  -   ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION IV-A - CALABARZON,  3.395.332 ,  1.257.886 ,  306.744 ,  131.366 ,  211.798 ,  23.713 ,  61.073 ,  70.458 ,  13.748 ,  7.193 ,  67.006 ,  1.236.408 ,  7.939 ,  -   ,,,,,,,,,,,,,,
BATANGAS,  613.825 ,  337.245 ,  54.359 ,  42.115 ,  48.201 ,  5.602 ,  6.485 ,  15.848 ,  1.695 ,  1.850 ,  4.494 ,  94.261 ,  1.670 ,  -   ,,,,,,,,,,,,,,
AGONCILLO,  7.826 ,  5.641 ,  621 ,  242 ,  650 ,  197 ,  14 ,  2 ,  -   ,  4 ,  126 ,  325 ,  4 ,  -   ,,,,,,,,,,,,,,
ALITAGTAG,  5.556 ,  3.845 ,  915 ,  6 ,  33 ,  1 ,  -   ,  1 ,  2 ,  -   ,  16 ,  735 ,  2 ,  -   ,,,,,,,,,,,,,,
BALAYAN,  22.001 ,  4.003 ,  3.576 ,  3.481 ,  3.156 ,  1.084 ,  452 ,  557 ,  55 ,  231 ,  563 ,  4.827 ,  16 ,  -   ,,,,,,,,,,,,,,
BALETE,  4.732 ,  3.312 ,  769 ,  51 ,  555 ,  2 ,  1 ,  -   ,  2 ,  2 ,  25 ,  11 ,  2 ,  -   ,,,,,,,,,,,,,,
BATANGAS CITY (Capital),  77.990 ,  54.959 ,  4.971 ,  1.438 ,  2.944 ,  320 ,  138 ,  2.827 ,  190 ,  429 ,  320 ,  9.181 ,  273 ,  -   ,,,,,,,,,,,,,,
BAUAN,  20.694 ,  12.159 ,  892 ,  337 ,  859 ,  33 ,  16 ,  1.805 ,  25 ,  5 ,  3 ,  4.522 ,  38 ,  -   ,,,,,,,,,,,,,,
CALACA,  18.459 ,  8.621 ,  2.316 ,  2.352 ,  1.869 ,  89 ,  52 ,  329 ,  6 ,  114 ,  344 ,  2.355 ,  12 ,  -   ,,,,,,,,,,,,,,
CALATAGAN,  13.717 ,  1.103 ,  271 ,  2.733 ,  4.139 ,  189 ,  168 ,  232 ,  3 ,  1 ,  350 ,  4.497 ,  31 ,  -   ,,,,,,,,,,,,,,
CUENCA,  7.213 ,  3.988 ,  513 ,  453 ,  295 ,  19 ,  248 ,  128 ,  1 ,  -   ,  1 ,  1.565 ,  2 ,  -   ,,,,,,,,,,,,,,
IBAAN,  12.307 ,  4.543 ,  1.577 ,  1.964 ,  1.598 ,  27 ,  176 ,  31 ,  6 ,  53 ,  2 ,  2.147 ,  183 ,  -   ,,,,,,,,,,,,,,
LAUREL,  8.563 ,  3.553 ,  1.445 ,  1.283 ,  1.251 ,  248 ,  142 ,  38 ,  1 ,  96 ,  464 ,  39 ,  3 ,  -   ,,,,,,,,,,,,,,
LEMERY,  20.141 ,  11.567 ,  5.000 ,  418 ,  458 ,  6 ,  12 ,  23 ,  -   ,  31 ,  79 ,  2.536 ,  11 ,  -   ,,,,,,,,,,,,,,
LIAN,  12.956 ,  1.620 ,  1.222 ,  2.048 ,  3.073 ,  569 ,  291 ,  165 ,  70 ,  1 ,  1.130 ,  2.766 ,  1 ,  -   ,,,,,,,,,,,,,,
LIPA CITY,  73.607 ,  45.047 ,  5.712 ,  767 ,  1.073 ,  91 ,  342 ,  374 ,  53 ,  49 ,  88 ,  19.782 ,  229 ,  -   ,,,,,,,,,,,,,,
LOBO,  9.052 ,  4.266 ,  538 ,  274 ,  348 ,  70 ,  24 ,  2.965 ,  244 ,  2 ,  5 ,  308 ,  8 ,  -   ,,,,,,,,,,,,,,
MABINI,  9.954 ,  3.804 ,  572 ,  142 ,  191 ,  48 ,  23 ,  1.169 ,  30 ,  6 ,  4 ,  3.959 ,  6 ,  -   ,,,,,,,,,,,,,,
MALVAR,  13.761 ,  10.028 ,  2.055 ,  29 ,  148 ,  2 ,  -   ,  5 ,  -   ,  3 ,  7 ,  1.454 ,  30 ,  -   ,,,,,,,,,,,,,,
MATAASNAKAHOY,  6.901 ,  5.360 ,  1.054 ,  92 ,  64 ,  1 ,  -   ,  2 ,  -   ,  -   ,  -   ,  327 ,  1 ,  -   ,,,,,,,,,,,,,,
NASUGBU,  30.751 ,  9.103 ,  1.839 ,  3.186 ,  5.143 ,  106 ,  1.822 ,  824 ,  132 ,  321 ,  87 ,  8.001 ,  187 ,  -   ,,,,,,,,,,,,,,
PADRE GARCIA,  11.109 ,  8.385 ,  767 ,  492 ,  521 ,  5 ,  1 ,  12 ,  -   ,  -   ,  36 ,  862 ,  28 ,  -   ,,,,,,,,,,,,,,
ROSARIO,  26.906 ,  7.802 ,  1.147 ,  7.506 ,  5.034 ,  311 ,  1.805 ,  1.348 ,  257 ,  26 ,  115 ,  1.532 ,  23 ,  -   ,,,,,,,,,,,,,,
SAN JOSE,  18.458 ,  13.578 ,  1.324 ,  194 ,  35 ,  11 ,  12 ,  36 ,  58 ,  35 ,  2 ,  3.168 ,  5 ,  -   ,,,,,,,,,,,,,,
SAN JUAN,  23.911 ,  4.728 ,  1.577 ,  6.585 ,  5.651 ,  826 ,  81 ,  1.237 ,  64 ,  21 ,  11 ,  3.113 ,  17 ,  -   ,,,,,,,,,,,,,,
SAN LUIS,  7.368 ,  5.433 ,  474 ,  346 ,  244 ,  7 ,  58 ,  36 ,  3 ,  12 ,  3 ,  472 ,  280 ,  -   ,,,,,,,,,,,,,,
