,city,region_name,province,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,"Lake, river, rain and others_count",Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
4862,PEÑARANDA,REGION III (Central Luzon),NUEVA ECIJA,4627.0,1023.0,480.0,486.0,63.0,16.0,,,,,154.0,8.0,,2015
4875,QUEZON,REGION III (Central Luzon),NUEVA ECIJA,1125.0,1217.0,2924.0,3687.0,228.0,20.0,26.0,,,1.0,191.0,63.0,,2015
4888,RIZAL,REGION III (Central Luzon),NUEVA ECIJA,907.0,165.0,4915.0,4990.0,1187.0,3.0,414.0,,,2.0,2667.0,1.0,,2015
4901,SAN ANTONIO,REGION III (Central Luzon),NUEVA ECIJA,6100.0,1228.0,2787.0,4863.0,617.0,1.0,489.0,,,53.0,1403.0,2.0,,2015
4914,SAN ISIDRO,REGION III (Central Luzon),NUEVA ECIJA,4064.0,1339.0,1511.0,2223.0,199.0,2.0,13.0,,1.0,3.0,1968.0,2.0,,2015
4927,SAN JOSE CITY,REGION III (Central Luzon),NUEVA ECIJA,6315.0,733.0,9284.0,8875.0,1111.0,41.0,415.0,5.0,4.0,5.0,5951.0,30.0,,2015
4940,SAN LEONARDO,REGION III (Central Luzon),NUEVA ECIJA,8119.0,1848.0,988.0,2600.0,8.0,409.0,97.0,7.0,,71.0,855.0,10.0,,2015
4953,SANTA ROSA,REGION III (Central Luzon),NUEVA ECIJA,7130.0,711.0,2733.0,2544.0,258.0,8.0,22.0,,,1.0,2347.0,31.0,,2015
4966,SANTO DOMINGO,REGION III (Central Luzon),NUEVA ECIJA,4806.0,901.0,4288.0,3578.0,173.0,2.0,26.0,,,1.0,328.0,,,2015
4979,TALAVERA,REGION III (Central Luzon),NUEVA ECIJA,6253.0,838.0,6028.0,3340.0,8107.0,9.0,82.0,1.0,4.0,203.0,3482.0,15.0,,2015
4992,TALUGTUG,REGION III (Central Luzon),NUEVA ECIJA,1055.0,311.0,663.0,2173.0,1368.0,2.0,1.0,,,,244.0,3.0,,2015
5005,ZARAGOZA,REGION III (Central Luzon),NUEVA ECIJA,4191.0,580.0,2314.0,3573.0,318.0,1.0,2.0,1.0,,,741.0,2.0,,2015
5018,APALIT,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),8086.0,1118.0,1942.0,1022.0,85.0,5.0,26.0,6.0,2.0,5.0,11396.0,86.0,,2015
5031,ARAYAT,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),7928.0,1444.0,9711.0,4884.0,395.0,59.0,649.0,12.0,22.0,96.0,2905.0,39.0,,2015
5044,BACOLOR,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),2204.0,399.0,881.0,838.0,294.0,3.0,48.0,,1.0,,4910.0,15.0,,2015
5057,CANDABA,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),4152.0,2079.0,2857.0,4255.0,708.0,4.0,40.0,2.0,3.0,7.0,8550.0,7.0,,2015
5070,FLORIDABLANCA,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),20231.0,841.0,1695.0,1550.0,565.0,52.0,613.0,1.0,65.0,281.0,2974.0,47.0,,2015
5083,GUAGUA,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),12127.0,732.0,3247.0,1854.0,48.0,49.0,174.0,,1.0,7.0,8088.0,9.0,,2015
5096,LUBAO,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),9294.0,1415.0,5024.0,5774.0,586.0,81.0,220.0,4.0,3.0,371.0,11656.0,64.0,,2015
5109,MABALACAT CITY,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),26660.0,2255.0,1536.0,2157.0,240.0,151.0,70.0,2.0,137.0,14.0,23413.0,15.0,,2015
5122,MACABEBE,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),3978.0,441.0,873.0,2473.0,116.0,113.0,19.0,2.0,1.0,3.0,8286.0,16.0,,2015
5135,MAGALANG,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),5189.0,748.0,5784.0,3187.0,172.0,9.0,44.0,2.0,32.0,8.0,9249.0,60.0,,2015
5148,MASANTOL,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),1553.0,306.0,2030.0,4126.0,19.0,29.0,41.0,,2.0,36.0,3790.0,14.0,,2015
5161,MEXICO,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),11020.0,1109.0,4506.0,3284.0,166.0,20.0,60.0,3.0,,14.0,12276.0,60.0,,2015
5174,MINALIN,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),5683.0,721.0,649.0,407.0,6.0,1.0,7.0,,1.0,6.0,2449.0,1.0,,2015
5187,PORAC,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),9602.0,1655.0,4105.0,3923.0,150.0,144.0,716.0,330.0,34.0,410.0,6386.0,19.0,,2015
5200,CITY OF SAN FERNANDO (Capital),REGION III (Central Luzon),PAMPANGA (excluding Angeles City),20137.0,1712.0,2351.0,2863.0,408.0,81.0,689.0,2.0,4.0,63.0,39821.0,141.0,,2015
5213,SAN LUIS,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),4178.0,212.0,1402.0,246.0,916.0,4.0,17.0,,,94.0,3858.0,18.0,,2015
5226,SAN SIMON,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),3590.0,507.0,305.0,772.0,587.0,54.0,26.0,,,5.0,5556.0,18.0,,2015
5239,SANTA ANA,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),5327.0,583.0,904.0,696.0,142.0,24.0,6.0,,,6.0,3426.0,1.0,,2015
5252,SANTA RITA,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),2124.0,173.0,2537.0,1380.0,19.0,18.0,106.0,,,9.0,2545.0,153.0,,2015
5265,SANTO TOMAS,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),4342.0,239.0,19.0,22.0,18.0,19.0,9.0,1.0,,12.0,4520.0,13.0,,2015
5278,SASMUAN (Sexmoan),REGION III (Central Luzon),PAMPANGA (excluding Angeles City),2629.0,470.0,343.0,1493.0,89.0,7.0,61.0,16.0,,,685.0,12.0,,2015
5291,ANGELES CITY,REGION III (Central Luzon),PAMPANGA (excluding Angeles City),57069.0,3227.0,1617.0,2811.0,619.0,552.0,267.0,9.0,2.0,1537.0,26842.0,1667.0,,2015
5304,ANAO,REGION III (Central Luzon),TARLAC,919.0,298.0,352.0,341.0,163.0,3.0,1.0,1.0,,2.0,639.0,1.0,,2015
5317,BAMBAN,REGION III (Central Luzon),TARLAC,3483.0,654.0,1116.0,2477.0,249.0,397.0,61.0,11.0,37.0,4.0,6478.0,11.0,,2015
5330,CAMILING,REGION III (Central Luzon),TARLAC,4666.0,946.0,3951.0,2085.0,23.0,36.0,323.0,2.0,1.0,7.0,7545.0,16.0,,2015
5343,CAPAS,REGION III (Central Luzon),TARLAC,4756.0,1164.0,6818.0,6366.0,1976.0,10.0,486.0,8.0,154.0,260.0,10455.0,5.0,,2015
5356,CONCEPCION,REGION III (Central Luzon),TARLAC,6599.0,837.0,10863.0,4429.0,758.0,310.0,178.0,46.0,1.0,26.0,9192.0,60.0,,2015
5369,GERONA,REGION III (Central Luzon),TARLAC,1808.0,474.0,5605.0,5526.0,590.0,16.0,13.0,3.0,,243.0,7013.0,11.0,,2015
5382,LA PAZ,REGION III (Central Luzon),TARLAC,1045.0,139.0,3366.0,4594.0,420.0,1.0,14.0,2.0,1.0,6.0,4467.0,7.0,,2015
5395,MAYANTOC,REGION III (Central Luzon),TARLAC,867.0,202.0,2467.0,2546.0,11.0,5.0,48.0,47.0,33.0,251.0,1089.0,5.0,,2015
5408,MONCADA,REGION III (Central Luzon),TARLAC,4082.0,1288.0,1982.0,4970.0,106.0,1.0,12.0,1.0,,367.0,981.0,3.0,,2015
5421,PANIQUI,REGION III (Central Luzon),TARLAC,5157.0,2853.0,2889.0,5895.0,51.0,15.0,35.0,1.0,,314.0,5180.0,22.0,,2015
5434,PURA,REGION III (Central Luzon),TARLAC,769.0,244.0,916.0,2270.0,20.0,,2.0,2.0,,2.0,1353.0,24.0,,2015
5447,RAMOS,REGION III (Central Luzon),TARLAC,2046.0,747.0,207.0,891.0,51.0,2.0,4.0,,,,835.0,2.0,,2015
5460,SAN CLEMENTE,REGION III (Central Luzon),TARLAC,77.0,188.0,547.0,475.0,3.0,2.0,4.0,,,,1734.0,1.0,,2015
5473,SAN MANUEL,REGION III (Central Luzon),TARLAC,295.0,71.0,1077.0,3068.0,254.0,1.0,,,,18.0,914.0,8.0,,2015
5486,SANTA IGNACIA,REGION III (Central Luzon),TARLAC,630.0,55.0,3723.0,2869.0,318.0,7.0,34.0,1.0,,348.0,3532.0,2.0,,2015
5499,CITY OF TARLAC (Capital),REGION III (Central Luzon),TARLAC,12039.0,1273.0,13511.0,7340.0,2343.0,107.0,271.0,2.0,3.0,261.0,38307.0,89.0,,2015
5512,VICTORIA,REGION III (Central Luzon),TARLAC,825.0,432.0,3533.0,8272.0,44.0,,4.0,1.0,2.0,16.0,2062.0,1.0,,2015
5525,SAN JOSE,REGION III (Central Luzon),TARLAC,179.0,40.0,2806.0,4244.0,76.0,94.0,186.0,13.0,38.0,,721.0,20.0,,2015
5538,BOTOLAN,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),648.0,654.0,2746.0,3678.0,1744.0,103.0,722.0,517.0,207.0,160.0,2489.0,,,2015
5551,CABANGAN,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),781.0,57.0,2608.0,1715.0,205.0,73.0,11.0,18.0,13.0,153.0,355.0,,,2015
5564,CANDELARIA,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),501.0,128.0,2999.0,1534.0,28.0,13.0,12.0,,26.0,54.0,761.0,5.0,,2015
5577,CASTILLEJOS,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),1699.0,343.0,4027.0,2717.0,226.0,63.0,216.0,24.0,17.0,2.0,7840.0,56.0,,2015
5590,IBA (Capital),REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),1171.0,198.0,3316.0,1493.0,1254.0,162.0,305.0,21.0,23.0,48.0,3900.0,18.0,,2015
5603,MASINLOC,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),1712.0,1302.0,1352.0,2420.0,51.0,202.0,281.0,71.0,15.0,319.0,3166.0,3.0,,2015
5616,PALAUIG,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),575.0,329.0,1989.0,1898.0,607.0,900.0,252.0,3.0,7.0,3.0,1296.0,2.0,,2015
5629,SAN ANTONIO,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),1363.0,130.0,2809.0,1451.0,517.0,11.0,38.0,1.0,11.0,3.0,2374.0,1.0,,2015
5642,SAN FELIPE,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),1177.0,57.0,2185.0,1079.0,140.0,,27.0,29.0,,1.0,1030.0,,,2015
5655,SAN MARCELINO,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),655.0,311.0,1324.0,796.0,245.0,142.0,403.0,295.0,221.0,4.0,3604.0,98.0,,2015
5668,SAN NARCISO,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),395.0,193.0,2210.0,1004.0,14.0,212.0,161.0,1.0,,4.0,2964.0,3.0,,2015
5681,SANTA CRUZ,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),462.0,841.0,4300.0,4554.0,247.0,181.0,347.0,23.0,10.0,200.0,2692.0,8.0,,2015
5694,SUBIC,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),5600.0,1862.0,1191.0,3440.0,61.0,52.0,2406.0,38.0,12.0,174.0,10139.0,39.0,,2015
5707,OLONGAPO CITY,REGION III (Central Luzon),ZAMBALES (excluding Olongapo City),28849.0,3203.0,633.0,397.0,46.0,278.0,3009.0,655.0,53.0,27.0,19275.0,57.0,,2015
5720,AGONCILLO,REGION IV-A (CALABARZON),BATANGAS,5641.0,621.0,242.0,650.0,197.0,14.0,2.0,,4.0,126.0,325.0,4.0,,2015
5733,ALITAGTAG,REGION IV-A (CALABARZON),BATANGAS,3845.0,915.0,6.0,33.0,1.0,,1.0,2.0,,16.0,735.0,2.0,,2015
5746,BALAYAN,REGION IV-A (CALABARZON),BATANGAS,4003.0,3576.0,3481.0,3156.0,1084.0,452.0,557.0,55.0,231.0,563.0,4827.0,16.0,,2015
5759,BALETE,REGION IV-A (CALABARZON),BATANGAS,3312.0,769.0,51.0,555.0,2.0,1.0,,2.0,2.0,25.0,11.0,2.0,,2015
5772,BATANGAS CITY (Capital),REGION IV-A (CALABARZON),BATANGAS,54959.0,4971.0,1438.0,2944.0,320.0,138.0,2827.0,190.0,429.0,320.0,9181.0,273.0,,2015
5785,BAUAN,REGION IV-A (CALABARZON),BATANGAS,12159.0,892.0,337.0,859.0,33.0,16.0,1805.0,25.0,5.0,3.0,4522.0,38.0,,2015
5798,CALACA,REGION IV-A (CALABARZON),BATANGAS,8621.0,2316.0,2352.0,1869.0,89.0,52.0,329.0,6.0,114.0,344.0,2355.0,12.0,,2015
5811,CALATAGAN,REGION IV-A (CALABARZON),BATANGAS,1103.0,271.0,2733.0,4139.0,189.0,168.0,232.0,3.0,1.0,350.0,4497.0,31.0,,2015
5824,CUENCA,REGION IV-A (CALABARZON),BATANGAS,3988.0,513.0,453.0,295.0,19.0,248.0,128.0,1.0,,1.0,1565.0,2.0,,2015
5837,IBAAN,REGION IV-A (CALABARZON),BATANGAS,4543.0,1577.0,1964.0,1598.0,27.0,176.0,31.0,6.0,53.0,2.0,2147.0,183.0,,2015
5850,LAUREL,REGION IV-A (CALABARZON),BATANGAS,3553.0,1445.0,1283.0,1251.0,248.0,142.0,38.0,1.0,96.0,464.0,39.0,3.0,,2015
5863,LEMERY,REGION IV-A (CALABARZON),BATANGAS,11567.0,5000.0,418.0,458.0,6.0,12.0,23.0,,31.0,79.0,2536.0,11.0,,2015
5876,LIAN,REGION IV-A (CALABARZON),BATANGAS,1620.0,1222.0,2048.0,3073.0,569.0,291.0,165.0,70.0,1.0,1130.0,2766.0,1.0,,2015
5889,LIPA CITY,REGION IV-A (CALABARZON),BATANGAS,45047.0,5712.0,767.0,1073.0,91.0,342.0,374.0,53.0,49.0,88.0,19782.0,229.0,,2015
5902,LOBO,REGION IV-A (CALABARZON),BATANGAS,4266.0,538.0,274.0,348.0,70.0,24.0,2965.0,244.0,2.0,5.0,308.0,8.0,,2015
5915,MABINI,REGION IV-A (CALABARZON),BATANGAS,3804.0,572.0,142.0,191.0,48.0,23.0,1169.0,30.0,6.0,4.0,3959.0,6.0,,2015
5928,MALVAR,REGION IV-A (CALABARZON),BATANGAS,10028.0,2055.0,29.0,148.0,2.0,,5.0,,3.0,7.0,1454.0,30.0,,2015
5941,MATAASNAKAHOY,REGION IV-A (CALABARZON),BATANGAS,5360.0,1054.0,92.0,64.0,1.0,,2.0,,,,327.0,1.0,,2015
5954,NASUGBU,REGION IV-A (CALABARZON),BATANGAS,9103.0,1839.0,3186.0,5143.0,106.0,1822.0,824.0,132.0,321.0,87.0,8001.0,187.0,,2015
5967,PADRE GARCIA,REGION IV-A (CALABARZON),BATANGAS,8385.0,767.0,492.0,521.0,5.0,1.0,12.0,,,36.0,862.0,28.0,,2015
5980,ROSARIO,REGION IV-A (CALABARZON),BATANGAS,7802.0,1147.0,7506.0,5034.0,311.0,1805.0,1348.0,257.0,26.0,115.0,1532.0,23.0,,2015
5993,SAN JOSE,REGION IV-A (CALABARZON),BATANGAS,13578.0,1324.0,194.0,35.0,11.0,12.0,36.0,58.0,35.0,2.0,3168.0,5.0,,2015
6006,SAN JUAN,REGION IV-A (CALABARZON),BATANGAS,4728.0,1577.0,6585.0,5651.0,826.0,81.0,1237.0,64.0,21.0,11.0,3113.0,17.0,,2015
6019,SAN LUIS,REGION IV-A (CALABARZON),BATANGAS,5433.0,474.0,346.0,244.0,7.0,58.0,36.0,3.0,12.0,3.0,472.0,280.0,,2015
6032,SAN NICOLAS,REGION IV-A (CALABARZON),BATANGAS,2707.0,413.0,446.0,430.0,314.0,22.0,2.0,,,12.0,116.0,23.0,,2015
6045,SAN PASCUAL,REGION IV-A (CALABARZON),BATANGAS,11374.0,875.0,561.0,211.0,8.0,10.0,13.0,4.0,1.0,84.0,2042.0,29.0,,2015
6058,SANTA TERESITA,REGION IV-A (CALABARZON),BATANGAS,3478.0,307.0,76.0,3.0,24.0,,2.0,,,14.0,403.0,2.0,,2015
6071,SANTO TOMAS,REGION IV-A (CALABARZON),BATANGAS,27850.0,4416.0,373.0,1828.0,47.0,18.0,626.0,471.0,112.0,511.0,6355.0,22.0,,2015
6084,TAAL,REGION IV-A (CALABARZON),BATANGAS,8733.0,1276.0,407.0,411.0,85.0,91.0,48.0,1.0,68.0,26.0,1128.0,19.0,,2015
6097,TALISAY,REGION IV-A (CALABARZON),BATANGAS,3993.0,1079.0,1790.0,2042.0,290.0,136.0,147.0,2.0,6.0,10.0,330.0,,,2015
6110,CITY OF TANAUAN,REGION IV-A (CALABARZON),BATANGAS,29606.0,2783.0,467.0,500.0,68.0,84.0,202.0,2.0,11.0,42.0,4323.0,151.0,,2015
6123,TAYSAN,REGION IV-A (CALABARZON),BATANGAS,4644.0,728.0,611.0,1221.0,16.0,127.0,589.0,12.0,16.0,5.0,524.0,19.0,,2015
6136,TINGLOY,REGION IV-A (CALABARZON),BATANGAS,1076.0,232.0,510.0,1498.0,481.0,68.0,9.0,,,,437.0,4.0,,2015
6149,TUY,REGION IV-A (CALABARZON),BATANGAS,7336.0,1103.0,455.0,725.0,7.0,51.0,64.0,1.0,194.0,9.0,119.0,9.0,,2015
6162,ALFONSO,REGION IV-A (CALABARZON),CAVITE,8456.0,594.0,245.0,301.0,10.0,86.0,36.0,5.0,241.0,5.0,1835.0,6.0,,2015
6175,AMADEO,REGION IV-A (CALABARZON),CAVITE,3963.0,482.0,24.0,37.0,,5.0,89.0,36.0,63.0,381.0,3711.0,20.0,,2015
6188,BACOOR CITY,REGION IV-A (CALABARZON),CAVITE,26087.0,8053.0,1932.0,2012.0,61.0,76.0,961.0,5.0,8.0,5269.0,104330.0,366.0,,2015
6201,CARMONA,REGION IV-A (CALABARZON),CAVITE,3660.0,1554.0,65.0,974.0,58.0,14.0,56.0,116.0,13.0,175.0,17680.0,62.0,,2015
6214,CAVITE CITY,REGION IV-A (CALABARZON),CAVITE,3293.0,1258.0,22.0,9.0,4.0,3.0,17.0,,,376.0,21010.0,5.0,,2015
6227,CITY OF DASMARIÑAS,REGION IV-A (CALABARZON),CAVITE,69485.0,8167.0,461.0,1279.0,47.0,52.0,587.0,5.0,23.0,3479.0,63450.0,764.0,,2015
6240,GENERAL EMILIO AGUINALDO,REGION IV-A (CALABARZON),CAVITE,2258.0,157.0,12.0,5.0,19.0,11.0,86.0,1.0,29.0,1.0,1820.0,15.0,,2015
6253,CITY OF GENERAL TRIAS,REGION IV-A (CALABARZON),CAVITE,13076.0,2622.0,556.0,1120.0,67.0,111.0,225.0,4.0,24.0,264.0,61922.0,151.0,,2015
6266,IMUS CITY,REGION IV-A (CALABARZON),CAVITE,8417.0,679.0,1486.0,773.0,78.0,97.0,745.0,1.0,10.0,179.0,84796.0,112.0,,2015
6279,INDANG,REGION IV-A (CALABARZON),CAVITE,8709.0,1698.0,170.0,299.0,25.0,30.0,603.0,14.0,66.0,43.0,3332.0,27.0,,2015
6292,KAWIT,REGION IV-A (CALABARZON),CAVITE,1494.0,430.0,91.0,1405.0,154.0,5.0,16.0,,2.0,193.0,17129.0,99.0,,2015
6305,MAGALLANES,REGION IV-A (CALABARZON),CAVITE,2241.0,894.0,14.0,5.0,5.0,249.0,101.0,9.0,2.0,3.0,1254.0,,,2015
6318,MARAGONDON,REGION IV-A (CALABARZON),CAVITE,2266.0,482.0,115.0,657.0,211.0,56.0,39.0,5.0,1.0,75.0,4418.0,14.0,,2015
6331,MENDEZ (MENDEZ-NUÑEZ),REGION IV-A (CALABARZON),CAVITE,4010.0,672.0,5.0,6.0,1.0,1.0,7.0,,15.0,271.0,2190.0,1.0,,2015
6344,NAIC,REGION IV-A (CALABARZON),CAVITE,1238.0,453.0,1048.0,3491.0,40.0,50.0,164.0,3.0,,536.0,19072.0,36.0,,2015
6357,NOVELETA,REGION IV-A (CALABARZON),CAVITE,1921.0,126.0,285.0,274.0,19.0,8.0,6.0,,2.0,224.0,8782.0,1.0,,2015
6370,ROSARIO,REGION IV-A (CALABARZON),CAVITE,2272.0,860.0,298.0,443.0,66.0,107.0,24.0,2.0,1.0,7.0,25220.0,16.0,,2015
6383,SILANG,REGION IV-A (CALABARZON),CAVITE,33535.0,7285.0,284.0,374.0,26.0,199.0,548.0,81.0,199.0,2149.0,13441.0,75.0,,2015
6396,TAGAYTAY CITY,REGION IV-A (CALABARZON),CAVITE,10979.0,1969.0,16.0,223.0,40.0,56.0,86.0,5.0,7.0,570.0,2125.0,19.0,,2015
6409,TANZA,REGION IV-A (CALABARZON),CAVITE,8842.0,2134.0,943.0,3372.0,18.0,466.0,285.0,3.0,9.0,31.0,38286.0,57.0,,2015
6422,TERNATE,REGION IV-A (CALABARZON),CAVITE,149.0,270.0,317.0,2490.0,89.0,65.0,26.0,10.0,5.0,31.0,2191.0,30.0,,2015
6435,TRECE MARTIRES CITY (Capital),REGION IV-A (CALABARZON),CAVITE,10139.0,1035.0,317.0,550.0,30.0,56.0,50.0,2.0,6.0,580.0,22383.0,45.0,,2015
6448,GEN. MARIANO ALVAREZ,REGION IV-A (CALABARZON),CAVITE,20916.0,6911.0,35.0,90.0,8.0,18.0,29.0,2.0,2.0,465.0,6130.0,167.0,,2015
6461,ALAMINOS,REGION IV-A (CALABARZON),LAGUNA,8120.0,1222.0,37.0,257.0,42.0,159.0,46.0,,1.0,3.0,1264.0,3.0,,2015
6474,BAY,REGION IV-A (CALABARZON),LAGUNA,6359.0,1750.0,467.0,1429.0,272.0,8.0,92.0,215.0,9.0,4.0,4468.0,76.0,,2015
6487,CITY OF BIÑAN,REGION IV-A (CALABARZON),LAGUNA,9853.0,2584.0,1328.0,2378.0,238.0,83.0,117.0,3.0,6.0,144.0,69964.0,54.0,,2015
6500,CABUYAO CITY,REGION IV-A (CALABARZON),LAGUNA,9829.0,1288.0,1704.0,1414.0,169.0,172.0,366.0,,8.0,3683.0,62899.0,41.0,,2015
6513,CITY OF CALAMBA,REGION IV-A (CALABARZON),LAGUNA,56313.0,8793.0,6084.0,9951.0,631.0,245.0,400.0,148.0,417.0,1181.0,38855.0,53.0,,2015
6526,CALAUAN,REGION IV-A (CALABARZON),LAGUNA,6441.0,4028.0,1359.0,2659.0,499.0,82.0,821.0,212.0,24.0,288.0,1240.0,16.0,,2015
6539,CAVINTI,REGION IV-A (CALABARZON),LAGUNA,2045.0,537.0,126.0,368.0,20.0,186.0,856.0,127.0,4.0,50.0,1032.0,8.0,,2015
6552,FAMY,REGION IV-A (CALABARZON),LAGUNA,1785.0,628.0,50.0,738.0,252.0,53.0,374.0,23.0,13.0,32.0,169.0,,,2015
6565,KALAYAAN,REGION IV-A (CALABARZON),LAGUNA,1670.0,1489.0,24.0,113.0,11.0,242.0,940.0,35.0,,306.0,298.0,19.0,,2015
6578,LILIW,REGION IV-A (CALABARZON),LAGUNA,6648.0,873.0,16.0,73.0,1.0,36.0,32.0,6.0,,1.0,1621.0,2.0,,2015
6591,LOS BAÑOS,REGION IV-A (CALABARZON),LAGUNA,21993.0,2197.0,1082.0,980.0,322.0,205.0,387.0,1.0,75.0,12.0,1763.0,3.0,,2015
6604,LUISIANA,REGION IV-A (CALABARZON),LAGUNA,1158.0,1214.0,66.0,246.0,5.0,76.0,98.0,1.0,16.0,98.0,1869.0,,,2015
6617,LUMBAN,REGION IV-A (CALABARZON),LAGUNA,903.0,501.0,673.0,1593.0,90.0,12.0,460.0,202.0,22.0,67.0,2826.0,1.0,,2015
6630,MABITAC,REGION IV-A (CALABARZON),LAGUNA,222.0,796.0,230.0,1743.0,126.0,7.0,740.0,2.0,2.0,90.0,607.0,10.0,,2015
6643,MAGDALENA,REGION IV-A (CALABARZON),LAGUNA,554.0,513.0,134.0,1215.0,9.0,12.0,273.0,2.0,1.0,2311.0,826.0,,,2015
6656,MAJAYJAY,REGION IV-A (CALABARZON),LAGUNA,3436.0,1452.0,7.0,5.0,,21.0,367.0,4.0,2.0,61.0,1266.0,3.0,,2015
6669,NAGCARLAN,REGION IV-A (CALABARZON),LAGUNA,11616.0,1891.0,41.0,123.0,8.0,11.0,195.0,134.0,38.0,8.0,1616.0,11.0,,2015
6682,PAETE,REGION IV-A (CALABARZON),LAGUNA,1425.0,151.0,26.0,266.0,5.0,2.0,3209.0,,5.0,8.0,504.0,1.0,,2015
6695,PAGSANJAN,REGION IV-A (CALABARZON),LAGUNA,3495.0,443.0,157.0,767.0,25.0,96.0,193.0,190.0,1.0,81.0,4241.0,58.0,,2015
6708,PAKIL,REGION IV-A (CALABARZON),LAGUNA,1264.0,691.0,356.0,983.0,132.0,38.0,780.0,,6.0,,347.0,,,2015
6721,PANGIL,REGION IV-A (CALABARZON),LAGUNA,2292.0,960.0,115.0,883.0,251.0,110.0,147.0,,4.0,49.0,642.0,39.0,,2015
6734,PILA,REGION IV-A (CALABARZON),LAGUNA,398.0,163.0,1654.0,2981.0,182.0,11.0,788.0,178.0,,52.0,5035.0,5.0,,2015
6747,SAN PABLO CITY,REGION IV-A (CALABARZON),RIZAL,37489.0,6076.0,6114.0,6681.0,292.0,134.0,1279.0,324.0,189.0,189.0,3337.0,185.0,,2015
6760,CITY OF SAN PEDRO,REGION IV-A (CALABARZON),RIZAL,13229.0,5259.0,779.0,1244.0,167.0,21.0,214.0,,2.0,183.0,51745.0,187.0,,2015
6773,SANTA CRUZ (Capital),REGION IV-A (CALABARZON),RIZAL,4207.0,1011.0,1153.0,4691.0,255.0,62.0,95.0,13.0,4.0,190.0,16244.0,57.0,,2015
6786,SANTA MARIA,REGION IV-A (CALABARZON),RIZAL,1935.0,2980.0,116.0,1032.0,3.0,130.0,448.0,123.0,1.0,3.0,536.0,1.0,,2015
6799,CITY OF SANTA ROSA,REGION IV-A (CALABARZON),RIZAL,12139.0,2125.0,2261.0,1999.0,446.0,304.0,522.0,3.0,24.0,4280.0,77228.0,54.0,,2015
6812,SINILOAN,REGION IV-A (CALABARZON),RIZAL,3887.0,485.0,373.0,1325.0,27.0,45.0,910.0,3.0,36.0,37.0,1359.0,2.0,,2015
6825,VICTORIA,REGION IV-A (CALABARZON),RIZAL,3617.0,1040.0,1526.0,856.0,1.0,3.0,22.0,,1.0,,3755.0,1.0,,2015
6838,AGDANGAN,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),144.0,525.0,188.0,1009.0,71.0,129.0,1.0,6.0,36.0,39.0,1022.0,1.0,,2015
6851,ALABAT,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),157.0,1148.0,317.0,563.0,44.0,102.0,76.0,2.0,58.0,25.0,1074.0,,,2015
6864,ATIMONAN,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),466.0,2058.0,720.0,2753.0,32.0,449.0,582.0,338.0,234.0,62.0,7294.0,13.0,,2015
6877,BUENAVISTA,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),254.0,1109.0,375.0,1315.0,142.0,1450.0,275.0,475.0,57.0,4.0,1308.0,1.0,,2015
6890,BURDEOS,REGION IV-A (CALABARZON),QUEZON (excluding Lucena City),1107.0,787.0,128.0,336.0,62.0,2195.0,519.0,102.0,211.0,5.0,200.0,,,2015
