,From .shp,,from poverty index,,,,
628,Jovellar,,Jovellar,37.52,,,
629,Juban,,Juban,35.73,,,
630,Julita,,Julita,28.36,,,
631,Kabacan,,Kabacan,24.2,,,
632,Kabankalan,,Kabankalan City,28.57,,,
633,Kabasalan,,Kabasalan,30.09,,,
634,Kabayan,,Kabayan,19.14,,,
635,Kabugao,,Kabugao,35.34,,,
636,Kabuntalan,,Kabuntalan (Tumbao),68.51,,,
637,Kadingilan,,Kadingilan,33.64,,,
638,Kalamansig,,Kalamansig,42.2,,,
639,Kalawit,,Kalawit,56.47,,,
640,Kalayaan (LA),,Kalayaan,5.06,,,
641,Kalayaan (PN),,,,,,
642,Kalibo,,Kalibo,6.9,,,
643,Kalilangan,,Kalilangan,31.87,,,
644,Kalingalan Caluang,,Kalingalan Caluang,78.71,,,
645,Kananga,,Kananga,31.08,,,
646,Kapai,,Kapai,88.91,,,
647,Kapalong,,Kapalong,20.92,,,
648,Kapangan,,Kapangan,17.31,,,
649,Kapatagan (LN),,Kapatagan,85.23,,,
650,Kapatagan (LS),,Kapatagan,17.83,,,
651,Kasibu,,Kasibu,21.68,,,
652,Katipunan,,Katipunan,52.86,,,
653,Kauswagan,,Kauswagan,23.23,,,
654,Kawayan,,Kawayan,27.04,,,
655,Kawit,,Kawit,5.66,,,
656,Kayapa,,Kayapa,29.15,,,
657,Kiamba,,Kiamba,33.4,,,
658,Kiangan,,Kiangan,14.88,,,
659,Kibawe,,Kibawe,28.47,,,
660,Kiblawan,,Kiblawan,29.9,,,
661,Kibungan,,Kibungan,28.07,,,
662,Kidapawan,,Kidapawan City,14,,,
663,Kinoguitan,,Kinoguitan,17.12,,,
664,Kitaotao,,Kitaotao,35.63,,,
665,Kitcharao,,Kitcharao,23.89,,,
666,Kolambugan,,Kolambugan,18.57,,,
667,Koronadal,,Koronodal City,12.1,,,
668,Kumalarang,,Kumalarang,37.73,,,
669,Laak,,Laak (San Vicente),24.91,,,
670,Labangan,,Labangan,32.39,,,
671,Labason,,Labason,45.18,,,
672,Labo,,Labo,25.06,,,
673,Labrador,,Labrador,10.45,,,
674,La Carlota,,La Carlota City,12.36,,,
675,La Castellana,,La Castellana,26.98,,,
676,Lacub,,Lacub,37.66,,,
677,Lagangilang,,Lagangilang,19.39,,,
678,Lagawe,,Lagawe,12.21,,,
679,Lagayan,,Lagayan,32.89,,,
680,Lagonglong,,Lagonglong,18.91,,,
681,Lagonoy,,Lagonoy,30.08,,,
682,Laguindingan,,Laguindingan,15.16,,,
683,Lake Sebu,,Lake Sebu,49.3,,,
684,Lakewood,,Lakewood,39.14,,,
685,Lala,,Lala,18.54,,,
686,La Libertad (NR),,La Libertad,53.04,,,
687,La Libertad (ZN),,La Libertad,31.4,,,
688,Lallo,,Lal-lo,13.51,,,
689,Lambayong,,Lambayong,34.6,,,
690,Lambunao,,Lambunao,21.98,,,
691,Lamitan,,Lamitan City,52.71,,,
692,Lamut,,Lamut,11.68,,,
693,Langiden,,Langiden,24.02,,,
694,Languyan,,Languyan,17.02,,,
695,Lantapan,,Lantapan,33.9,,,
696,Lantawan,,Lantawan,64.68,,,
697,Lanuza,,Lanuza,29.49,,,
698,Laoac,,Laoac,11.16,,,
699,Laoag,,Laoag City,2.36,,,
700,Laoang,,Laoang,39.81,,,
701,La Paz (AA),,La Paz,50.09,,,
702,La Paz (AS),,La Paz,10.37,,,
703,La Paz (LE),,La Paz,31.63,,,
704,La Paz (TC),,La Paz,19.83,,,
705,Lapinig,,Lapinig,37.69,,,
706,Lapu Lapu,,,,,,
707,Lapuyan,,Lapuyan,40.99,,,
708,Larena,,Larena,9.5,,,
709,Lasam,,Lasam,14.29,,,
710,Las Navas,,Las Navas,50.09,,,
711,Las Nieves,,Las Nieves,37.24,,,
712,Las Pinas,,,,,,
713,La Trinidad,,La Trinidad,2.3,,,
714,Laua-An,,Laua-an,21.91,,,
715,Laur,,Laur,5.69,,,
716,Laurel,,Laurel,13.13,,,
717,Lavezares,,Lavezares,34.14,,,
718,Lawaan,,Lawaan,46.64,,,
719,Lazi,,Lazi,20.3,,,
720,Lebak,,Lebak,34.7,,,
721,Leganes,,Leganes,12.4,,,
722,Legazpi,,Legazpi City,13.78,,,
723,Lemery (BS),,Lemery,10.67,,,
724,Lemery (IO),,Lemery,19.78,,,
725,Leon,,Leon,22.06,,,
726,Leyte,,Leyte,36.93,,,
727,Lezo,,Lezo,9.88,,,
728,Lian,,Lian,10.71,,,
729,Lianga,,Lianga,30.04,,,
730,Libacao,,Libacao,25.67,,,
731,Libagon,,Libagon,28.12,,,
732,Libertad (AE),,Libertad,17.89,,,
733,Libertad (MO),,Libertad,19.71,,,
734,Libjo,,Libjo (Albor),38.5,,,
735,Libmanan,,Libmanan,29.53,,,
736,Libon,,Libon,37.37,,,
737,Libona,,Libona,27.73,,,
738,Libungan,,Libungan,25.2,,,
739,Licab,,Licab,7.65,,,
740,Licuan-Baay,,Licuan-Baay (Licuan),23.33,,,
741,Lidlidda,,Lidlidda,6.81,,,
742,Ligao,,Ligao City,23.07,,,
743,Lila,,Lila,17.9,,,
744,Liliw,,Liliw,2.06,,,
745,Liloan (CU),,Liloan,29.34,,,
746,Liloan (SL),,Liloan,7.2,,,
747,Liloy,,Liloy,44.44,,,
748,Limasawa,,Limasawa,22.48,,,
749,Limay,,Limay,7.2,,,
750,Linamon,,Linamon,20.52,,,
751,Linapacan,,Linapacan,21.81,,,
752,Lingayen,,Lingayen,8.58,,,
753,Lingig,,Lingig,36.32,,,
754,Lipa,,Lipa City,9.95,,,
755,Llanera,,Llanera,3.82,,,
756,Llorente,,Llorente,51.81,,,
757,Loay,,Loay,10.4,,,
758,Lobo,,Lobo,20.52,,,
759,Loboc,,Loboc,12.8,,,
760,Looc (OM),,Looc,20.17,,,
761,Looc (RN),,Looc,13.32,,,
762,Loon,,Loon,17.8,,,
763,Lope De Vega,,Lope De Vega,47.87,,,
764,Lopez,,Lopez,9.08,,,
765,Lopez Jaena,,Lopez Jaena,28.21,,,
766,Loreto (AS),,Loreto,31.45,,,
767,Loreto (DI),,Loreto,44.37,,,
768,Los Banos,,Los Baños,1.57,,,
769,Luba,,Luba,21.6,,,
770,Lubang,,Lubang,9.49,,,
771,Lubao,,Lubao,3.59,,,
772,Lubuagan,,Lubuagan,20.23,,,
773,Lucban,,Lucban,3.99,,,
774,Lucena,,,,,,
775,Lugait,,Lugait,14.11,,,
776,Lugus,,Lugus,75.53,,,
777,Luisiana,,Luisiana,4.47,,,
778,Lumba-Bayabao,,Lumba-Bayabao (Maguing),76.57,,,
779,Lumbaca-Unayan,,Lumbaca-Unayan,82.25,,,
780,Lumban,,Lumban,2.29,,,
781,Lumbatan,,Lumbatan,76.85,,,
782,Lumbayanague,,Lumbayanague,76.49,,,
783,Luna (AO),,Luna,3.25,,,
784,Luna (IA),,Luna,12.66,,,
785,Luna (LU),,Luna,13.87,,,
786,Lupao,,Lupao,5.78,,,
787,Lupi,,Lupi,20.62,,,
788,Lupon,,Lupon,26.05,,,
789,Lutayan,,Lutayan,39.9,,,
790,Luuk,,Luuk,78.31,,,
791,Maasim,,Maasim,41.9,,,
792,Maasin (IO),,Maasin,20.88,,,
793,Maasin (SL),,Maasin City,20.47,,,
794,Ma-Ayon,,Ma-ayon,10.35,,,
795,Mabalacat,,Mabalacat City,4.4,,,
796,Mabinay,,Mabinay,32.7,,,
797,Mabini (BS),,Mabini,9.82,,,
798,Mabini (BL),,Mabini,12.46,,,
799,Mabini (CV),,Mabini,26.9,,,
800,Mabini (PS),,Mabini (Doña Alicia),22.59,,,
801,Mabitac,,Mabitac,2.99,,,
802,Mabuhay,,Mabuhay,42.93,,,
803,Macabebe,,MacArthur,29.64,,,
804,Macalelon,,Macabebe,5.5,,,
805,Macarthur,,Macalelon,19.16,,,
806,Maco,,Maco,19.82,,,
807,Maconacon,,Maconacon,39.01,,,
808,Macrohon,,Macrohon,23.17,,,
809,Madalag,,Madalag,21.7,,,
810,Madalum,,Madalum,73.99,,,
811,Madamba,,Madamba,76.45,,,
812,Maddela,,Maddela,9.25,,,
813,Madrid,,Madrid,21.46,,,
814,Madridejos,,Madridejos,19.5,,,
815,Magalang,,Magalang,4.96,,,
816,Magallanes (AN),,Magallanes,20.97,,,
817,Magallanes (CE),,Magallanes,35.89,,,
818,Magallanes (SO),,Magallanes,13.8,,,
819,Magarao,,Magarao,16.32,,,
820,Magdalena,,Magdalena,7.81,,,
821,Magdiwang,,Magdiwang,26.05,,,
822,Magpet,,Magpet,41.7,,,
823,Magsaysay (DS),,Magsaysay,11.9,,,
824,Magsaysay (LN),,Magsaysay,25.79,,,
825,Magsaysay (MO),,Magsaysay,31.87,,,
826,Magsaysay (OM),,Magsaysay,21.01,,,
827,Magsaysay (PN),,Magsaysay,23.54,,,
828,Magsingal,,Magsingal,4.42,,,
829,Maguing,,Maguing,76.06,,,
830,Mahaplag,,Mahaplag,31.86,,,
831,Mahatao,,Mahatao,17.83,,,
832,Mahayag,,Mahayag,35.37,,,
833,Mahinog,,Mahinog,26.34,,,
834,Maigo,,Maigo,18.76,,,
835,Maimbung,,Maimbung,71.21,,,
836,Mainit,,Mainit,38.95,,,
837,Maitum,,Maitum,38.6,,,
838,Majayjay,,Majayjay,3.12,,,
839,Makati,,,,,,
840,Makato,,Makato,14.03,,,
841,Makilala,,Makilala,20.3,,,
842,Malabang,,Malabang,71.01,,,
843,Malabon,,Malabuyoc,27,,,
844,Malabuyoc,,Malalag,17.38,,,
845,Malalag,,Malangas,30.8,,,
846,Malangas,,Malapatan,45.7,,,
847,Malapatan,,Malasiqui,13.29,,,
848,Malasiqui,,Malate,2.69,,,
849,Malay,,Malay,13.39,,,
850,Malaybalay,,Malaybalay City,21.58,,,
851,Malibcong,,Malibcong,18.42,,,
852,Malilipot,,Malilipot,26.09,,,
853,Malimono,,Malimono,35.17,,,
854,Malinao (AK),,Malinao,14.59,,,
855,Malinao (AY),,Malinao,33.66,,,
856,Malita,,Malita,35.82,,,
857,Malitbog (BK),,Malitbog,35.62,,,
858,Malitbog (SL),,Malitbog,29.83,,,
859,Mallig,,Mallig,16.34,,,
860,Malolos,,Malolos City,2.93,,,
861,Malungon,,Malungon,34.2,,,
862,Maluso,,Maluso,72.75,,,
863,Malvar,,Malvar,9.4,,,
864,Mamasapano,,Mamasapano,72.64,,,
865,Mambajao,,Mambajao,21.44,,,
866,Mamburao,,Mamburao,13.17,,,
867,Mambusao,,Mambusao,4.8,,,
868,Manabo,,Manabo,16.72,,,
869,Manaoag,,Manaoag,9.37,,,
870,Manapla,,Manapla,23.95,,,
871,Manay,,Manay,37.07,,,
872,Mandaluyong,,,,,,
873,Mandaon,,Mandaon,32.38,,,
874,Mandaue,,,,,,
875,Mangaldan,,Mangaldan,8.98,,,
876,Mangatarem,,Mangatarem,14.64,,,
877,Mangudadatu,,Mangudadatu,52,,,
878,Manila,,,,,,
879,Manito,,Manito,37.21,,,
880,Manjuyod,,Manjuyod,25.1,,,
881,Mankayan,,Mankayan,10.35,,,
882,Manolo Fortich,,Manolo Fortich,23.07,,,
883,Mansalay,,Mansalay,23.3,,,
884,Manticao,,Manticao,17.67,,,
885,Manukan,,Manukan,49.22,,,
886,Mapanas,,Mapanas,42.53,,,
887,Mapandan,,Mapandan,12.16,,,
888,Mapun,,Mapun (Cagayan De Tawi-Tawi),18.81,,,
889,Marabut,,Marabut,27.43,,,
890,Maragondon,,Maragondon,6.14,,,
891,Maragusan,,Maragusan (San Mariano),22.74,,,
892,Maramag,,Maramag,23.43,,,
893,Marantao,,Marantao,67.27,,,
894,Marawi,,Marawi City,63.18,,,
895,Marcos,,Marcos,5,,,
896,Margosatubig,,Margosatubig,32.3,,,
897,Maria,,Maria,24.9,,,
898,Maria Aurora,,Maria Aurora,11.98,,,
899,Maribojoc,,Maribojoc,10.8,,,
900,Marihatag,,Marihatag,37.82,,,
901,Marikina,,,,,,
902,Marilao,,Marilao,3.6,,,
903,Maripipi,,Maripipi,20.42,,,
904,Mariveles,,Mariveles,4.9,,,
905,Marogong,,Marogong,86.57,,,
906,Masbate,,Masantol,10.24,,,
907,Masinloc,,Masbate City,19.55,,,
908,Masiu,,Masinloc,9.6,,,
909,Maslog,,Masiu,74.91,,,
910,Masantol,,Maslog,73.43,,,
911,Mataasnakahoy,,Mataas Na Kahoy,9.17,,,
912,Matag-Ob,,Matag-ob,29.18,,,
913,Matalam,,Matalam,35.9,,,
914,Matalom,,Matalom,26.51,,,
915,Matanao,,Matanao,21.02,,,
916,Matanog,,Matanog,64.66,,,
917,Mati,,Mati City (Capital),21.51,,,
918,Matnog,,Matnog,37.12,,,
919,Matuguinao,,Matuguinao,39.77,,,
920,Matungao,,Matungao,40.96,,,
921,Mauban,,Mauban,7.95,,,
922,Mawab,,Mawab,18.05,,,
923,Mayantoc,,Mayantoc,6.88,,,
924,Maydolong,,Maydolong,46.41,,,
925,Mayorga,,Mayorga,29.56,,,
926,Mayoyao,,Mayoyao,17.41,,,
927,Medellin,,Medellin,20.2,,,
928,Medina,,Medina,18.16,,,
929,Mendez,,Mendez (Mendez-Nuñez),9.23,,,
930,Mercedes,,Mercedes,37.91,,,
931,Mercedes (ES),,Mercedes,36.88,,,
932,Merida,,Merida,22.99,,,
933,Mexico,,Mexico,4.6,,,
934,Meycauayan,,Meycauayan City,5.17,,,
935,Miag-ao,,Miagao,17.43,,,
936,Midsalip,,Midsalip,45.32,,,
937,Midsayap,,Midsayap,24.7,,,
938,Milagros,,Milagros,36.37,,,
939,Milaor,,Milaor,17.67,,,
940,Mina,,Mina,16.07,,,
941,Minalabac,,Minalabac,32.21,,,
942,Minalin,,Minalin,6.16,,,
943,Minglanilla,,Minglanilla,7.7,,,
944,Mlang,,M'lang,20.6,,,
945,Moalboal,,Moalboal,16.9,,,
946,Mobo,,Mobo,24.67,,,
947,Mogpog,,Mogpog,12.08,,,
948,Moises Padilla,,Moises Padilla (Magallon),32.3,,,
949,Molave,,Molave,18.59,,,
950,Moncada,,Moncada,7.25,,,
951,Mondragon,,Mondragon,39.53,,,
952,Monkayo,,Monkayo,28.04,,,
953,Monreal,,Monreal,39.78,,,
954,Montevista,,Montevista,27.85,,,
955,Morong (BN),,Morong,3.81,,,
956,Morong (RL),,Morong,9.99,,,
957,Motiong,,Motiong,30.86,,,
958,Mulanay,,Mulanay,21.14,,,
959,Mulondo,,Mulondo,78.19,,,
960,Munai,,Munai,36.34,,,
961,Muntinlupa,,Murcia,21.26,,,
962,Murcia,,Mutia,46.77,,,
963,Mutia,,Muñoz City,5.52,,,
964,Naawan,,Naawan,16.66,,,
965,Nabas,,Nabas,16.9,,,
966,Nabua,,Nabua,15.52,,,
967,Nabunturan,,Nabunturan,17.5,,,
968,Naga (CS),,Naga,32.79,,,
969,Naga (CU),,Naga City,15.3,,,
970,Naga (ZS),,Naga City,9.12,,,
971,Nagbukel,,Nagbukel,6.52,,,
972,Nagcarlan,,Nagcarlan,2.37,,,
973,Nagtipunan,,Nagtipunan,22.34,,,
974,Naguilian (IA),,Naguilian,14.16,,,
975,Naguilian (LU),,Naguilian,2.81,,,
976,Naic,,Naic,6.03,,,
977,Nampicuan,,Nampicuan,6.62,,,
978,Narra,,Narra,10.34,,,
979,Narvacan,,Narvacan,6.21,,,
980,Nasipit,,Nasipit,19.68,,,
981,Nasugbu,,Nasugbu,13.21,,,
982,Natividad,,Natividad,11.44,,,
983,Natonin,,Natonin,23.07,,,
984,Naujan,,Naujan,12.41,,,
985,Naval,,Naval,22.86,,,
986,Navotas,,,,,,
987,New Bataan,,New Bataan,25.6,,,
988,New Corella,,New Corella,19.58,,,
989,New Lucena,,New Lucena,12.02,,,
990,New Washington,,New Washington,11.35,,,
991,Norala,,Norala,24.6,,,
992,Northern Kabuntalan,,Northern Kabuntalan,65.5,,,
993,Norzagaray,,Norzagaray,8.24,,,
994,Noveleta,,Noveleta,4.07,,,
995,Nueva Era,,Nueva Era,6.1,,,
996,Nueva Valencia,,Nueva Valencia,15.22,,,
997,Numancia,,Numancia,6.61,,,
998,Nunungan,,Nunungan,44.22,,,
999,Oas,,Oas,34.21,,,
1000,Obando,,Obando,4.66,,,
1001,Ocampo,,Ocampo,30.99,,,
1002,Odiongan,,Odiongan,9.6,,,
1003,Old Panamao,,Old Panamao,84.72,,,
1004,Olongapo,,,,,,
1005,Olutanga,,Olutanga,36.62,,,
1006,Omar,,Omar,79.37,,,
1007,Opol,,Opol,12.66,,,
1008,Orani,,Orani,6.66,,,
1009,Oras,,Oras,55.22,,,
1010,Orion,,Orion,8.5,,,
1011,Ormoc,,Ormoc City,22.12,,,
1012,Oroquieta,,Oroquieta City,15.55,,,
1013,Oslob,,Oslob,22.6,,,
1014,Oton,,Oton,11.65,,,
1015,Ozamiz,,Ozamiz City,21.12,,,
1016,Padada,,Padada,9.49,,Paco,1.87
1017,Padre Burgos (QN),,Padre Burgos,8.01,,,
1018,Padre Burgos (SL),,Padre Burgos,23.98,,,
1019,Padre Garcia,,Padre Garcia,20.91,,,
1020,Paete,,Paete,5.39,,,
1021,Pagadian,,Pagadian City,14.07,,,
1022,Pagagawan,,Pagagawan,67.54,,,
1023,Pagalungan,,Pagalungan,61.15,,,
1024,Pagayawan,,Pagayawan (Tatarikan),89.55,,,
1025,Pagbilao,,Pagbilao,6.31,,,
1026,Paglat,,Paglat,72.77,,,
1027,Pagsanghan,,Pagsanghan,29.18,,,
1028,Pagsanjan,,Pagsanjan,2.34,,,
1029,Pagudpud,,Pagudpud,5.68,,,
1030,Pakil,,Pakil,3.34,,,
1031,Palanan,,Palanan,31.3,,,
1032,Palanas,,Palanas,30.5,,,
1033,Palapag,,Palapag,39.99,,,
1034,Palauig,,Palauig,10.32,,,
1035,Palayan,,Palayan City,5.83,,,
1036,Palimbang,,Palimbang,60.5,,,
1037,Palo,,Palo,18.55,,,
1038,Palompon,,Palompon,20.82,,,
1039,Paluan,,Paluan,22.64,,,
1040,Pambujan,,Pambujan,44.68,,,
1041,Pamplona (CG),,Pamplona,30.83,,,
1042,Pamplona (CS),,Pamplona,16.4,,,
1043,Pamplona (NR),,Pamplona,25.6,,,
1044,Panabo,,Panabo City,8.65,,,
1045,Panaon,,Panaon,18.08,,,
1046,Panay,,Panay,6.16,,,
1047,Pandag,,Pandag,70.18,,Pandacan,2.16
1048,Pandami,,Pandami,70.07,,,
1049,Pandan (AE),,Pandan,22.75,,,
1050,Pandan (CT),,Pandan,18.72,,,
1051,Pandi,,Pandi,7.09,,,
1052,Panganiban,,Panganiban,21.93,,,
1053,Pangantucan,,Pangantucan,31.7,,,
1054,Pangil,,Pangil,5.8,,,
1055,Panglao,,Panglao,12.6,,,
1056,Panglima Estino,,Panglima Estino (New Panamao),85.35,,,
1057,Panglima Sugala,,Panglima Sugala (Balimbing),27.52,,,
1058,Pangutaran,,Pangutaran,76.75,,,
1059,Paniqui,,Paniqui,4.58,,,
1060,Panitan,,Panitan,4.8,,,
1061,Pantabangan,,Pantabangan,16.01,,,
1062,Pantao Ragat,,Pantao Ragat,42.51,,,
1063,Pantar,,Pantar,36.74,,,
1064,Pantukan,,Pantukan,27.77,,,
1065,Panukulan,,Panukulan,22.3,,,
1066,Paoay,,Paoay,4.51,,,
1067,Paombong,,Paombong,5.18,,,
1068,Paracale,,Paracale,37.61,,,
1069,Paracelis,,Paracelis,30.63,,,
1070,Paranas,,Paranas (Wright),26.44,,,
1071,Parang (MA),,Parang,77.17,,,
1072,Parang (SU),,Parang,49.06,,,
1073,Paranaque,,,,,,
1074,Pasacao,,Pasacao,32.75,,,
1075,Pasay,,,,,,
1076,Pasig,,,,,,
1077,Pasil,,Pasil,18.15,,,
1078,Passi,,Passi City,21.11,,,
1079,Pastrana,,Pastrana,28.48,,,
1080,Pasuquin,,Pasuquin,5.46,,,
1081,Pata,,Pata,87.31,,,
1082,Pateros,,,,,,
1083,Patikul,,Patikul,59.06,,,
1084,Patnanungan,,Patnanungan,24.14,,,
1085,Patnongon,,Patnongon,21.94,,,
1086,Pavia,,Pavia,7.81,,,
1087,Payao,,Payao,38.8,,,
1088,Perez,,Perez,21.48,,,
1089,Penablanca,,Peñablanca,27.72,,,
1090,Penaranda,,Peñaranda,4.25,,,
1091,Penarrubia,,Peñarrubia,16.17,,,
1092,Piagapo,,Piagapo,83.94,,,
1093,Piat,,Piat,12.87,,,
1094,Picong,,Picong (Sultan Gumander),86.62,,,
1095,Piddig,,Piddig,5.59,,,
1096,Pidigan,,Pidigan,15.22,,,
1097,Pigcawayan,,Pigkawayan,33.2,,,
1098,Pikit,,Pikit,44,,,
1099,Pila,,Pila,2.37,,,
1100,Pilar (AA),,Pilar,19.29,,,
1101,Pilar (BN),,Pilar,23.5,,,
1102,Pilar (BL),,Pilar,31.3,,,
1103,Pilar (CZ),,Pilar,37.41,,,
1104,Pilar (CU),,Pilar,37.1,,,
1105,Pilar (SO),,Pilar,7.29,,,
1106,Pilar (SN),,Pilar,8.88,,,
1107,Pili,,Pili,16.06,,,
1108,Pililla,,Pililla,5.14,,,
1109,Pinabacdao,,Pinabacdao,30.41,,,
1110,Pinamalayan,,Pinamalayan,11.43,,,
1111,Pinamungajan,,Pinamungajan,24,,,
1112,Pinili,,Pinili,6.01,,,
1113,Pintuyan,,Pintuyan,27.26,,,
1114,Pinukpuk,,Pinukpuk,20.31,,,
1115,Pio Duran,,Pio Duran,37.47,,,
1116,Pio V Corpuz,,Pio V. Corpuz,29.74,,,
1117,Pitogo (QN),,Pitogo,36.89,,,
1118,Pitogo (ZR),,Pitogo,8.67,,,
1119,Pinan,,Piñan,46.49,,,
1120,Placer (MS),,Placer,33.12,,,
1121,Placer (SN),,Placer,32.65,,,
1122,Plaridel (BU),,Plaridel,23.75,,,
1123,Plaridel (MC),,Plaridel,7.27,,,
1124,Plaridel (QN),,Plaridel,4.2,,,
1125,Pola,,Pola,14.88,,,
1126,Polanco,,Polanco,42.42,,,
1127,Polangui,,Polangui,21.34,,,
1128,Polillo,,Polillo,10.74,,,
1129,Polomolok,,Polomolok,15,,,
1130,Pontevedra (CZ),,Pontevedra,6.05,,,
1131,Pontevedra (NO),,Pontevedra,12.47,,,
1132,Poona Bayabao,,Poona Bayabao (Gata),72.26,,,
1133,Poona Piagapo,,Poona Piagapo,51.39,,,
1134,Porac,,Porac,5.6,,,
1135,Poro,,Poro,21,,,
1136,Pototan,,Pototan,15.35,,Port Area,6.46
1137,Pozorrubio,,Pozorrubio,7.71,,,
1138,Presentacion,,Pres. Carlos P. Garcia,36.5,,,
1139,President Garcia,,Pres. Manuel A. Roxas,55.62,,,
1140,President Quirino,,Presentacion,38.02,,,
1141,President Roxas (CZ),,President Quirino,26.7,,,
1142,President Roxas (NC),,President Roxas,6.89,,,
1143,Roxas (ZN),,President Roxas,37.5,,,
1144,Prieto Diaz,,Prieto Diaz,33.99,,,
1145,Prosperidad,,Prosperidad,34.23,,,
1146,Pualas,,Pualas,75.91,,,
1147,Pudtol,,Pudtol,21.01,,,
1148,Puerto Galera,,Puerto Galera,13.25,,,
1149,Puerto Princesa,,,,,,
1150,Pugo,,Pugo,3.16,,,
1151,Pulilan,,Pulilan,4.59,,,
1152,Pulupandan,,Pulupandan,7.7,,,
1153,Pura,,Pura,5.59,,,
1154,Quezon (BK),,Quezon,18.78,,,
1155,Quezon (IA),,Quezon,16.98,,,
1156,Quezon (MM),,Quezon,14.78,,,
1157,Quezon (NE),,Quezon,5.87,,,
1158,Quezon (NV),,Quezon,29.83,,,
1159,Quezon (PN),,Quezon,22.73,,,
1160,Quezon (QN),,Quiapo,4.02,,,
1161,Quinapondan,,Quinapondan,51.27,,,
1162,Quirino (IS),,Quirino,15.59,,,
1163,Quirino (IA),,Quirino,10.97,,,
1164,Ragay,,Ragay,30.41,,,
1165,Rajah Buayan,,Rajah Buayan,73.25,,,
1166,Ramon,,Ramon,13.4,,,
1167,Ramon Magsaysay,,Ramon Magsaysay,32.62,,,
1168,Ramos,,Ramos,8.46,,,
1169,Rapu-Rapu,,Rapu-Rapu,42.71,,,
1170,Real,,Real,8.71,,,
1171,Reina Mercedes,,Reina Mercedes,14.99,,,
1172,Remedios T. Romualdez,,Remedios T. Romualdez,27.74,,,
1173,Rizal (CG),,Rizal,32.16,,,
1174,Rizal (KA),,Rizal,21.29,,,
1175,Rizal (LA),,Rizal,39.54,,,
1176,Rizal (NE),,Rizal,1.56,,,
1177,Rizal (OM),,Rizal,20.13,,,
1178,Rizal (PN),,Rizal,7.35,,,
1179,Rizal (ZN),,Rizal (Liwan),11.87,,,
1180,Rodriguez,,Rodriguez (Montalban),5.62,,,
1181,Romblon,,Romblon,21.71,,,
1182,Ronda,,Ronda,21.2,,,
1183,Rosales,,Rosales,11.84,,,
1184,Rosario (AS),,Rosario,5.21,,,
1185,Rosario (BS),,Rosario,3.55,,,
1186,Rosario (CE),,Rosario,35.42,,,
1187,Rosario (LU),,Rosario,11.92,,,
1188,Rosario (NS),,Rosario,32.98,,,
1189,R.T. Lim,,Roseller Lim,32.26,,,
1190,Roxas (CZ),,Roxas,16.44,,,
1191,Roxas (IA),,Roxas,10.78,,,
1192,Roxas (OR),,Roxas,13.47,,,
1193,Roxas (PN),,Roxas City,7.32,,,
1194,Sabangan,,Sabangan,14.04,,,
1195,Sablan,,Sablan,8.71,,,
1196,Sablayan,,Sablayan,12.84,,,
1197,Sabtang,,Sabtang,21.71,,,
1198,Sadanga,,Sadanga,21.65,,,
1199,Sagada,,Sagada,12.62,,,
1200,Sagay (CM),,Sagay,32.7,,,
1201,Sagay (NO),,Sagay City,24.1,,,
1202,Sagbayan,,Sagbayan,21.5,,,
1203,Saguday,,Saguday,9.94,,,
1204,Saguiaran,,Saguiaran,75.26,,,
1205,Sagnay,,Sagñay,33.93,,,
1206,Saint Bernard,,Saint Bernard,25.48,,,
1207,Salay,,Salay,17.25,,,
1208,Salcedo (ES),,Salcedo,44.9,,,
1209,Salcedo (IS),,Salcedo,7.41,,,
1210,Sallapadan,,Sallapadan,19.96,,,
1211,Salug,,Salug,49.39,,,
1212,Salvador,,Salvador,29.11,,,
1213,Salvador Benedicto,,Salvador Benedicto,32.4,,,
1214,Samal,,Samal,7.27,,,
1215,Samboan,,Samboan,21.6,,,
1216,Sampaloc,,Sampaloc,12.56,,,
1217,San Agustin (IA),,Sampaloc,1.97,,,
1218,San Agustin (RN),,San Agustin,31.97,,,
1219,San Agustin (SS),,San Agustin,25.35,,,
1220,San Andres (CT),,San Agustin,12.36,,,
1221,San Andres (QN),,San Andres,21.84,,,
1222,San Andres (RN),,San Andres,20.68,,,
1223,San Antonio (NS),,San Andres,25.49,,,
1224,San Antonio (NE),,San Antonio,5.8,,,
1225,San Antonio (QN),,San Antonio,26.81,,,
1226,San Antonio (ZA),,San Antonio,7.29,,,
1227,San Benito,,San Antonio,16.5,,,
1228,San Carlos (NO),,San Benito,38.74,,,
1229,San Carlos (PS),,San Carlos City,12.73,,,
1230,Sanchez-Mira,,San Carlos City,28.05,,,
1231,San Clemente,,San Clemente,5.06,,,
1232,San Dionisio,,San Dionisio,26.74,,,
1233,San Emilio,,San Emilio,10.78,,,
1234,San Enrique (IO),,San Enrique,10.37,,,
1235,San Enrique (NO),,San Enrique,22.18,,,
1236,San Esteban,,San Esteban,4.84,,,
1237,San Fabian,,San Fabian,11.46,,,
1238,San Felipe,,San Felipe,9.27,,,
1239,San Fernando (BK),,San Fernando,36.31,,,
1240,San Fernando (CS),,San Fernando,15,,,
1241,San Fernando (CU),,San Fernando,29.28,,,
1242,San Fernando (LU),,San Fernando,28.04,,,
1243,San Fernando (MS),,San Fernando,27.2,,,
1244,San Fernando (PA),,San Fernando City,3.61,,,
1245,San Fernando (RN),,San Fernando City,1.27,,,
