Region,Region Code,Province,Province Code,Municipality_City,Municipality_City Code,Water Sealed,Closed pit,Open Pit,none
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Cuyapo,PH034906000,11.854,1.027,419,318
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Gabaldon (Bitulok & Sabani),PH034907000,6.592,765,66,79
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,City of Gapan,PH034908000,21.529,615,56,204
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,General Mamerto Natividad,PH034909000,7.240,426,55,383
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,General Tinio (Papaya),PH034910000,8.480,462,188,131
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Guimba,PH034911000,21.395,1.941,224,511
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Jaen,PH034912000,14.080,530,50,115
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Laur,PH034913000,5.787,1.303,364,79
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Licab,PH034914000,5.439,194,15,34
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Llanera,PH034915000,7.595,496,110,217
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Lupao,PH034916000,8.098,674,101,194
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Science City of Muñoz,PH034917000,16.816,826,133,92
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Nampicuan,PH034918000,2.421,403,14,47
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,City of Palayan (Capital),PH034919000,7.212,586,194,76
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Pantabangan,PH034920000,3.622,1.784,448,133
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Peñaranda,PH034921000,5.553,236,34,147
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Quezon,PH034922000,6.917,660,251,253
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Rizal,PH034923000,11.002,1.139,196,250
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Antonio,PH034924000,14.686,748,168,472
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Isidro,PH034925000,10.185,278,70,41
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Jose City,PH034926000,27.985,1.335,296,531
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,San Leonardo,PH034927000,12.407,244,20,65
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Santa Rosa,PH034928000,13.701,239,95,164
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Santo Domingo,PH034929000,10.601,617,108,191
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Talavera,PH034930000,22.749,1.195,149,453
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Talugtug,PH034931000,4.392,528,96,118
Region III (Central Luzon),PH030000000,Nueva Ecija,PH034900000,Zaragoza,PH034932000,8.765,596,50,215
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,City of Angeles,PH035401000,72.191,754,211,176
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Apalit,PH035402000,20.168,99,11,309
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Arayat,PH035403000,22.684,471,114,612
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Bacolor,PH035404000,6.768,92,141,35
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Candaba,PH035405000,17.883,744,224,475
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Floridablanca,PH035406000,22.927,126,380,226
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Guagua,PH035407000,22.533,124,81,236
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Lubao,PH035408000,29.551,528,193,786
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Mabalacat City,PH035409000,46.170,164,198,51
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Macabebe,PH035410000,12.608,282,132,590
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Magalang,PH035411000,20.449,503,85,157
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Masantol,PH035412000,8.722,489,182,833
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Mexico,PH035413000,29.327,184,27,111
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Minalin,PH035414000,7.486,788,173,152
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Porac,PH035415000,20.972,164,178,908
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,City of San Fernando (Capital),PH035416000,58.980,497,74,132
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,San Luis,PH035417000,9.185,50,46,259
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,San Simon,PH035418000,9.016,145,27,170
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Santa Ana,PH035419000,9.309,38,14,105
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Santa Rita,PH035420000,7.458,455,76,24
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Santo Tomas,PH035421000,7.807,40,86,5
Region III (Central Luzon),PH030000000,Pampanga,PH035400000,Sasmuan (Sexmoan),PH035422000,4.456,91,205,391
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Anao,PH036901000,2.176,198,133,5
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Bamban,PH036902000,12.721,83,170,54
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Camiling,PH036903000,17.708,481,69,168
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Capas,PH036904000,24.841,378,386,569
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Concepcion,PH036905000,27.369,518,99,387
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Gerona,PH036906000,18.337,508,139,113
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,La Paz,PH036907000,12.324,213,42,261
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Mayantoc,PH036908000,6.363,193,86,333
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Moncada,PH036909000,12.049,930,327,90
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Paniqui,PH036910000,18.616,620,271,310
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Pura,PH036911000,4.400,611,10,77
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Ramos,PH036912000,4.204,164,20,46
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,San Clemente,PH036913000,2.564,180,14,114
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,San Manuel,PH036914000,4.958,205,10,142
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Santa Ignacia,PH036915000,9.537,575,54,25
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,City of Tarlac (Capital),PH036916000,66.572,1.142,133,341
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,Victoria,PH036917000,13.032,444,44,59
Region III (Central Luzon),PH030000000,Tarlac,PH036900000,San Jose,PH036918000,5.642,635,561,480
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Botolan,PH037101000,9.301,721,269,1.207
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Cabangan,PH037102000,4.521,119,40,430
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Candelaria,PH037103000,4.767,165,30,310
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Castillejos,PH037104000,10.824,73,5,199
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Iba (Capital),PH037105000,10.230,61,109,175
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Masinloc,PH037106000,8.279,560,216,248
Region III (Central Luzon),PH030000000,Zambales,PH037100000,City of Olongapo,PH037107000,50.100,729,229,171
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Palauig,PH037108000,6.369,261,175,524
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Antonio,PH037109000,7.945,32,32,169
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Felipe,PH037110000,4.970,149,25,69
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Marcelino,PH037111000,7.033,361,313,130
Region III (Central Luzon),PH030000000,Zambales,PH037100000,San Narciso,PH037112000,6.392,155,0,26
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Santa Cruz,PH037113000,10.212,946,155,401
Region III (Central Luzon),PH030000000,Zambales,PH037100000,Subic,PH037114000,17.399,664,241,893
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Baler (Capital),PH037701000,7.280,208,138,150
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Casiguran,PH037702000,3.656,1.091,296,210
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dilasag,PH037703000,2.390,869,264,25
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dinalungan,PH037704000,1.625,399,294,84
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dingalan,PH037705000,4.020,674,282,338
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Dipaculao,PH037706000,4.834,962,260,156
Region III (Central Luzon),PH030000000,Aurora,PH037700000,Maria Aurora,PH037707000,7.249,817,349,90
Region III (Central Luzon),PH030000000,Aurora,PH037700000,San Luis,PH037708000,4.247,830,172,127
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Agoncillo,PH041001000,6.572,106,14,449
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Alitagtag,PH041002000,4.450,105,65,54
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Balayan,PH041003000,15.449,439,178,820
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Balete,PH041004000,3.948,129,68,185
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Batangas City (Capital),PH041005000,64.995,663,485,962
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Bauan,PH041006000,18.135,60,25,59
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Calaca,PH041007000,13.362,410,212,942
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Calatagan,PH041008000,9.811,582,88,1.081
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Cuenca,PH041009000,6.347,183,30,20
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Ibaan,PH041010000,9.895,172,41,121
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Laurel,PH041011000,5.771,857,233,224
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Lemery,PH041012000,14.570,563,194,984
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Lian,PH041013000,8.913,411,177,737
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,City of Lipa,PH041014000,55.704,2.671,320,219
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Lobo,PH041015000,7.077,197,64,465
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Mabini,PH041016000,8.799,100,26,113
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Malvar,PH041017000,9.359,229,35,115
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Mataasnakahoy,PH041018000,5.603,23,10,35
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Nasugbu,PH041019000,23.099,800,656,1.516
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Padre Garcia,PH041020000,8.837,145,50,43
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Rosario,PH041021000,20.394,753,208,800
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,San Jose,PH041022000,14.269,322,78,100
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,San Juan,PH041023000,18.215,924,308,1.238
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,San Luis,PH041024000,6.598,40,5,115
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,San Nicolas,PH041025000,3.770,110,29,131
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,San Pascual,PH041026000,12.915,255,70,40
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Santa Teresita,PH041027000,3.740,115,15,42
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Santo Tomas,PH041028000,28.946,375,40,44
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Taal,PH041029000,10.099,223,19,269
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Talisay,PH041030000,7.949,85,19,229
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,City of Tanauan,PH041031000,30.013,717,145,159
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Taysan,PH041032000,6.856,271,174,118
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Tingloy,PH041033000,2.864,35,196,499
Region IV-A (CALABARZON),PH040000000,Batangas,PH041000000,Tuy,PH041034000,8.087,349,71,538
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Alfonso,PH042101000,10.398,137,81,73
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Amadeo,PH042102000,7.190,65,34,39
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,City of Bacoor,PH042103000,113.334,2.687,2.657,639
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Carmona,PH042104000,17.585,89,47,42
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,City of Cavite,PH042105000,19.396,869,667,430
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,City of Dasmariñas,PH042106000,124.966,271,224,127
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,General Emilio Aguinaldo,PH042107000,3.566,30,35,121
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,City of General Trias,PH042108000,58.520,865,181,149
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,City of Imus,PH042109000,71.621,196,79,114
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Indang,PH042110000,13.602,142,20,80
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Kawit,PH042111000,16.135,624,456,319
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Magallanes,PH042112000,3.908,74,14,458
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Maragondon,PH042113000,7.134,80,75,171
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Mendez (Mendez-Nuñez),PH042114000,6.162,139,39,29
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Naic,PH042115000,18.085,270,61,582
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Noveleta,PH042116000,9.068,5,25,101
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Rosario,PH042117000,20.482,372,318,678
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Silang,PH042118000,44.656,423,142,129
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,City of Tagaytay,PH042119000,13.003,96,105,40
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Tanza,PH042120000,41.939,233,100,582
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Ternate,PH042121000,3.814,199,40,20
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,City of Trece Martires (Capital),PH042122000,23.488,61,51,103
Region IV-A (CALABARZON),PH040000000,Cavite,PH042100000,Gen. Mariano Alvarez,PH042123000,28.796,901,59,16
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Alaminos,PH043401000,9.218,226,49,109
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Bay,PH043402000,12.530,62,5,70
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,City of Biñan,PH043403000,66.840,914,190,201
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,City of Cabuyao,PH043404000,58.151,596,138,15
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,City of Calamba,PH043405000,87.035,1.810,938,280
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Calauan,PH043406000,16.169,402,69,225
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Cavinti,PH043407000,4.059,644,174,81
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Famy,PH043408000,2.936,185,26,176
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Kalayaan,PH043409000,4.305,162,188,35
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Liliw,PH043410000,7.062,147,259,119
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Los Baños,PH043411000,23.184,145,72,94
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Luisiana,PH043412000,4.559,160,64,35
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Lumban,PH043413000,6.440,136,81,82
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Mabitac,PH043414000,3.767,171,25,111
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Magdalena,PH043415000,4.732,339,113,65
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Majayjay,PH043416000,4.816,696,600,42
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Nagcarlan,PH043417000,13.314,294,155,206
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Paete,PH043418000,4.315,306,284,111
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Pagsanjan,PH043419000,8.349,102,59,35
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Pakil,PH043420000,4.143,110,60,130
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Pangil,PH043421000,4.679,98,50,221
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Pila,PH043422000,9.723,195,60,135
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Rizal,PH043423000,3.447,55,10,76
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,City of San Pablo,PH043424000,52.994,1.354,529,444
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,City of San Pedro,PH043425000,65.337,881,307,183
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Santa Cruz (Capital),PH043426000,24.334,342,69,64
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Santa Maria,PH043427000,5.425,374,85,41
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,City of Santa Rosa,PH043428000,69.092,947,141,110
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Siniloan,PH043429000,7.481,174,137,183
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Victoria,PH043430000,7.435,558,14,50
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Agdangan,PH045601000,2.266,154,98,198
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Alabat,PH045602000,2.910,326,34,75
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Atimonan,PH045603000,12.821,489,482,534
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Buenavista,PH045605000,2.346,1.466,801,756
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Burdeos,PH045606000,1.962,579,343,1.884
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Calauag,PH045607000,9.804,2.352,1.670,1.069
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Candelaria,PH045608000,21.728,1.537,542,341
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Catanauan,PH045610000,7.858,1.059,1.665,3.369
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Dolores,PH045615000,5.164,457,352,71
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,General Luna,PH045616000,3.122,575,201,1.532
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,General Nakar,PH045617000,3.216,1.034,546,280
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Guinayangan,PH045618000,5.937,1.271,1.198,664
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Gumaca,PH045619000,13.136,1.226,494,585
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Infanta,PH045620000,12.467,1.515,240,360
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Jomalig,PH045621000,508,78,139,551
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Lopez,PH045622000,12.821,3.972,2.032,675
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Lucban,PH045623000,8.652,458,701,104
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,City of Lucena (Capital),PH045624000,49.378,1.190,687,2.111
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Macalelon,PH045625000,2.892,963,584,1.109
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Mauban,PH045627000,9.364,1.498,910,1.127
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Mulanay,PH045628000,4.830,1.176,1.310,2.831
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Padre Burgos,PH045629000,3.276,377,495,656
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Pagbilao,PH045630000,12.738,1.091,231,502
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Panukulan,PH045631000,1.620,224,61,675
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Patnanungan,PH045632000,1.120,94,39,1.416
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Perez,PH045633000,2.098,102,171,271
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Pitogo,PH045634000,3.576,215,268,568
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Plaridel,PH045635000,2.149,19,5,121
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Polillo,PH045636000,4.521,613,341,718
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Quezon,PH045637000,2.726,153,96,366
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Real,PH045638000,5.520,885,702,526
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Sampaloc,PH045639000,2.835,76,68,71
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,San Andres,PH045640000,2.988,433,1.462,2.010
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,San Antonio,PH045641000,4.986,615,587,30
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,San Francisco (Aurora),PH045642000,3.843,1.972,2.823,2.686
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,San Narciso,PH045644000,4.251,809,585,3.780
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Sariaya,PH045645000,27.113,1.949,753,1.244
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Tagkawayan,PH045646000,7.221,2.080,1.040,396
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,City of Tayabas,PH045647000,18.137,1.346,862,196
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Tiaong,PH045648000,17.208,1.925,756,256
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Unisan,PH045649000,3.817,768,218,821
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Angono,PH045801000,22.133,291,25,55
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,City of Antipolo (Capital),PH045802000,144.169,2.915,316,559
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Baras,PH045803000,6.538,281,53,150
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Binangonan,PH045804000,54.037,371,39,1.024
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Cainta,PH045805000,70.162,166,75,188
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Cardona,PH045806000,9.595,62,5,709
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Jala-Jala,PH045807000,6.285,67,92,133
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Rodriguez (Montalban),PH045808000,62.116,2.476,486,431
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Morong,PH045809000,11.708,142,49,81
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Pililla,PH045810000,11.898,340,143,175
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,San Mateo,PH045811000,44.587,384,258,184
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Tanay,PH045812000,19.349,811,270,476
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Taytay,PH045813000,62.347,1.002,122,227
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Teresa,PH045814000,10.396,99,5,87
Region V (Bicol Region),PH050000000,Albay,PH050500000,Bacacay,PH050501000,10.563,2.187,255,454
Region V (Bicol Region),PH050000000,Albay,PH050500000,Camalig,PH050502000,9.275,2.879,766,434
Region V (Bicol Region),PH050000000,Albay,PH050500000,Daraga (Locsin),PH050503000,20.679,2.756,552,628
Region V (Bicol Region),PH050000000,Albay,PH050500000,Guinobatan,PH050504000,11.772,2.718,1.081,789
Region V (Bicol Region),PH050000000,Albay,PH050500000,Jovellar,PH050505000,1.464,830,344,856
Region V (Bicol Region),PH050000000,Albay,PH050500000,City of Legazpi (Capital),PH050506000,32.798,2.285,1.156,1.743
Region V (Bicol Region),PH050000000,Albay,PH050500000,Libon,PH050507000,10.472,2.325,757,893
Region V (Bicol Region),PH050000000,Albay,PH050500000,City of Ligao,PH050508000,15.557,2.470,1.212,1.623
Region V (Bicol Region),PH050000000,Albay,PH050500000,Malilipot,PH050509000,6.348,437,255,271
Region V (Bicol Region),PH050000000,Albay,PH050500000,Malinao,PH050510000,6.361,1.326,228,760
Region V (Bicol Region),PH050000000,Albay,PH050500000,Manito,PH050511000,3.489,460,305,318
Region V (Bicol Region),PH050000000,Albay,PH050500000,Oas,PH050512000,9.514,2.477,364,747
Region V (Bicol Region),PH050000000,Albay,PH050500000,Pio Duran,PH050513000,5.557,1.690,880,873
Region V (Bicol Region),PH050000000,Albay,PH050500000,Polangui,PH050514000,12.933,2.719,838,326
Region V (Bicol Region),PH050000000,Albay,PH050500000,Rapu-Rapu,PH050515000,4.817,492,313,1.148
Region V (Bicol Region),PH050000000,Albay,PH050500000,Santo Domingo (Libog),PH050516000,6.037,354,89,362
Region V (Bicol Region),PH050000000,Albay,PH050500000,City of Tabaco,PH050517000,21.362,1.566,574,1.512
Region V (Bicol Region),PH050000000,Albay,PH050500000,Tiwi,PH050518000,7.739,495,442,1.370
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Basud,PH051601000,7.140,535,74,518
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Capalonga,PH051602000,4.452,243,95,1.635
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Daet (Capital),PH051603000,19.263,861,124,386
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,San Lorenzo Ruiz (Imelda),PH051604000,2.408,96,35,192
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Jose Panganiban,PH051605000,8.724,1.023,391,1.574
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Labo,PH051606000,15.745,2.126,600,1.088
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Mercedes,PH051607000,6.957,136,148,2.490
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Paracale,PH051608000,8.665,1.045,464,1.048
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,San Vicente,PH051609000,2.113,24,0,83
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Santa Elena,PH051610000,6.548,628,466,961
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Talisay,PH051611000,4.839,297,39,35
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Vinzons,PH051612000,6.156,567,312,1.727
