Region,Region code,Province,Province code,City_Municipality,City_Mun Code,Elementary_school,Secondary_school,Enrollment_Elementary_Male,Enrollment_Elementary_Female,Enrollment_Secondary_Male,Enrollment_Secondary_Female
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Pakil,PH043420000,9,1,1.568,1.394,465,514
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Pangil,PH043421000,7,3,1.861,1.700,770,803
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Pila,PH043422000,12,3,3.887,3.578,1.502,1.533
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Rizal,PH043423000,3,1,1.077,1.066,642,649
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,City of San Pablo,PH043424000,64,15,18.977,17.419,7.999,7.776
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,City of San Pedro,PH043425000,20,7,17.233,16.151,8.019,7.878
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Santa Cruz (Capital),PH043426000,17,2,8.760,8.153,4.287,4.758
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Santa Maria,PH043427000,21,4,2.267,1.995,1.140,1.043
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Siniloan,PH043429000,9,2,2.707,2.485,1.369,1.424
Region IV-A (CALABARZON),PH040000000,Laguna,PH043400000,Victoria,PH043430000,10,5,2.404,2.308,1.128,1.105
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Agdangan,PH045601000,6,2,914,941,534,532
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Alabat,PH045602000,5,2,1.207,1.155,849,829
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Atimonan,PH045603000,27,5,4.595,4.147,1.823,1.744
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Buenavista,PH045605000,22,5,3.053,2.731,1.135,1.187
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Burdeos,PH045606000,16,2,2.656,2.399,841,759
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Calauag,PH045607000,45,12,6.185,5.533,2.488,2.479
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Candelaria,PH045608000,26,5,9.323,8.582,3.088,3.010
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Catanauan,PH045610000,28,9,5.938,5.543,2.029,2.039
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,City of Tayabas,PH045647000,32,5,6.644,6.088,3.194,3.090
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Dolores,PH045615000,12,2,2.120,2.005,689,697
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,General Luna,PH045616000,15,2,2.204,1.883,642,619
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,General Nakar,PH045617000,26,4,2.633,2.397,969,948
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Guinayangan,PH045618000,25,5,3.343,3.130,1.280,1.291
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Gumaca,PH045619000,28,7,5.414,5.079,2.710,2.606
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Infanta,PH045620000,19,4,5.675,5.280,2.670,2.737
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Jomalig,PH045621000,5,2,798,798,311,331
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Lopez,PH045622000,58,14,7.627,6.986,3.201,3.149
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Lucban,PH045623000,13,2,3.216,3.006,1.120,1.102
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,City of Lucena (Capital),PH045624000,44,11,20.579,19.180,8.977,9.411
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Macalelon,PH045625000,18,2,2.317,1.930,694,747
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Mauban,PH045627000,31,6,5.671,5.189,2.708,2.743
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Mulanay,PH045628000,25,7,4.995,4.614,2.127,2.238
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Padre Burgos,PH045629000,12,4,1.736,1.607,678,623
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Pagbilao,PH045630000,16,5,5.801,5.257,2.262,2.448
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Panukulan,PH045631000,12,4,1.283,1.188,655,564
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Patnanungan,PH045632000,10,2,1.456,1.418,598,642
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Perez,PH045633000,7,1,1.200,1.076,383,401
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Pitogo,PH045634000,15,4,1.832,1.603,816,812
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Plaridel,PH045635000,4,1,752,697,323,315
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Polillo,PH045636000,20,5,2.934,2.620,1.102,1.138
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Quezon,PH045637000,11,4,1.263,1.106,503,434
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Real,PH045638000,17,3,3.037,2.697,1.096,1.048
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Sampaloc,PH045639000,9,2,832,801,315,308
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,San Andres,PH045640000,13,2,3.520,3.238,1.166,1.340
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,San Antonio,PH045641000,13,3,2.642,2.345,939,912
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,San Francisco (Aurora),PH045642000,23,13,6.378,5.734,2.358,2.645
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,San Narciso,PH045644000,20,5,4.227,3.996,1.545,1.716
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Sariaya,PH045645000,37,6,11.296,10.210,3.803,3.686
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Tagkawayan,PH045646000,38,11,5.195,4.669,1.954,1.786
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Tiaong,PH045648000,28,7,7.514,6.938,3.972,3.972
Region IV-A (CALABARZON),PH040000000,Quezon,PH045600000,Unisan,PH045649000,16,3,1.997,1.761,890,858
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Angono,PH045801000,5,4,7.098,6.621,3.494,3.378
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Baras,PH045803000,8,3,5.283,4.813,1.740,1.673
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Binangonan,PH045804000,36,9,18.385,17.021,8.130,8.154
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Cainta,PH045805000,19,4,18.221,16.468,5.028,5.024
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Cardona,PH045806000,14,3,3.643,3.422,1.636,1.500
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,City of Antipolo (Capital),PH045802000,45,21,53.830,49.256,26.222,26.717
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Jala-Jala,PH045807000,8,3,2.345,2.091,1.087,1.109
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Morong,PH045809000,12,3,4.182,3.860,2.244,2.195
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Pililla,PH045810000,9,5,4.815,4.442,2.513,2.419
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Rodriguez (Montalban),PH045808000,28,15,29.055,26.476,14.263,14.169
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,San Mateo,PH045811000,14,6,14.354,13.081,5.479,5.319
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Tanay,PH045812000,33,13,9.666,8.843,4.420,4.393
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Taytay,PH045813000,16,7,19.468,17.874,8.434,8.377
Region IV-A (CALABARZON),PH040000000,Rizal,PH045800000,Teresa,PH045814000,7,3,4.755,4.518,2.187,2.109
Mimaropa Region,PH170000000,Marinduque,PH174000000,Boac (Capital),PH174001000,38,3,4.594,4.019,2.265,2.238
Mimaropa Region,PH170000000,Marinduque,PH174000000,Buenavista,PH174002000,17,7,2.299,2.079,1.164,1.182
Mimaropa Region,PH170000000,Marinduque,PH174000000,Gasan,PH174003000,22,5,3.028,2.822,1.456,1.428
Mimaropa Region,PH170000000,Marinduque,PH174000000,Mogpog,PH174004000,27,6,2.722,2.382,892,807
Mimaropa Region,PH170000000,Marinduque,PH174000000,Santa Cruz,PH174005000,52,17,4.364,4.000,2.078,2.005
Mimaropa Region,PH170000000,Marinduque,PH174000000,Torrijos,PH174006000,27,7,2.614,2.342,1.312,1.310
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Abra De Ilog,PH175101000,26,4,3.454,3.208,1.050,1.021
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Calintaan,PH175102000,20,6,2.687,2.377,1.188,1.351
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Looc,PH175103000,8,2,678,660,285,240
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Lubang,PH175104000,15,4,1.331,1.148,799,675
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Magsaysay,PH175105000,33,4,3.738,3.569,1.520,1.637
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Mamburao (Capital),PH175106000,24,1,3.937,3.529,1.827,1.798
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Paluan,PH175107000,19,1,1.387,1.273,500,530
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Rizal,PH175108000,17,4,3.867,3.452,1.540,1.643
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Sablayan,PH175109000,42,10,7.578,6.846,3.131,3.240
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,San Jose,PH175110000,70,11,12.979,11.849,5.309,5.508
Mimaropa Region,PH170000000,Occidental Mindoro,PH175100000,Santa Cruz,PH175111000,23,4,3.301,2.953,1.570,1.527
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Baco,PH175201000,34,5,3.416,2.991,1.352,1.307
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Bansud,PH175202000,20,8,3.566,3.315,1.779,1.848
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Bongabong,PH175203000,39,11,6.016,5.553,2.477,2.433
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Bulalacao (San Pedro),PH175204000,32,7,4.395,4.071,1.680,1.862
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,City of Calapan (Capital),PH175205000,49,9,9.694,9.076,5.161,5.082
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Gloria,PH175206000,28,4,3.980,3.606,1.489,1.413
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Mansalay,PH175207000,30,5,5.070,4.814,1.574,1.692
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Naujan,PH175208000,74,11,8.505,7.615,3.606,3.435
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Pinamalayan,PH175209000,33,12,6.798,6.108,2.706,2.521
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Pola,PH175210000,22,5,2.696,2.405,1.165,1.123
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Puerto Galera,PH175211000,22,4,3.474,3.164,1.041,995
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Roxas,PH175212000,24,4,4.684,4.341,1.774,1.750
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,San Teodoro,PH175213000,12,2,1.631,1.533,546,556
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Socorro,PH175214000,22,3,3.339,2.995,1.157,1.201
Mimaropa Region,PH170000000,Oriental Mindoro,PH175200000,Victoria,PH175215000,30,5,4.098,3.867,1.425,1.380
Mimaropa Region,PH170000000,Palawan,PH175300000,Aborlan,PH175301000,31,12,3.217,2.983,1.779,1.663
Mimaropa Region,PH170000000,Palawan,PH175300000,Agutaya,PH175302000,8,2,1.041,931,603,541
Mimaropa Region,PH170000000,Palawan,PH175300000,Araceli,PH175303000,18,4,1.297,1.209,659,558
Mimaropa Region,PH170000000,Palawan,PH175300000,Balabac,PH175304000,35,7,4.675,4.436,1.313,1.595
Mimaropa Region,PH170000000,Palawan,PH175300000,Bataraza,PH175305000,43,10,7.852,7.362,2.279,2.739
Mimaropa Region,PH170000000,Palawan,PH175300000,Brooke'S Point,PH175306000,39,11,6.420,5.934,2.524,2.716
Mimaropa Region,PH170000000,Palawan,PH175300000,Busuanga,PH175307000,15,5,1.994,1.857,996,965
Mimaropa Region,PH170000000,Palawan,PH175300000,Cagayancillo,PH175308000,8,1,474,456,232,277
Mimaropa Region,PH170000000,Palawan,PH175300000,Coron,PH175309000,32,5,5.242,4.743,2.055,1.961
Mimaropa Region,PH170000000,Palawan,PH175300000,Culion,PH175322000,20,2,1.907,1.787,628,620
Mimaropa Region,PH170000000,Palawan,PH175300000,Cuyo,PH175310000,14,7,1.863,1.598,1.087,994
Mimaropa Region,PH170000000,Palawan,PH175300000,Dumaran,PH175311000,36,9,2.224,1.976,1.071,1.034
Mimaropa Region,PH170000000,Palawan,PH175300000,El Nido (Bacuit),PH175312000,27,9,3.954,3.730,1.918,2.085
Mimaropa Region,PH170000000,Palawan,PH175300000,Kalayaan,PH175321000,1,0,16,9,0,0
Mimaropa Region,PH170000000,Palawan,PH175300000,Linapacan,PH175313000,12,3,1.635,1.496,516,573
Mimaropa Region,PH170000000,Palawan,PH175300000,Magsaysay,PH175314000,13,3,956,821,437,360
Mimaropa Region,PH170000000,Palawan,PH175300000,Narra,PH175315000,36,12,6.446,5.867,3.143,3.031
Mimaropa Region,PH170000000,Palawan,PH175300000,City of Puerto Princesa (Capital),PH175316000,75,23,19.823,17.990,9.297,9.682
Mimaropa Region,PH170000000,Palawan,PH175300000,Quezon,PH175317000,34,10,6.217,5.479,2.609,2.858
Mimaropa Region,PH170000000,Palawan,PH175300000,Rizal (Marcos),PH175323000,32,8,5.118,4.893,1.647,1.822
Mimaropa Region,PH170000000,Palawan,PH175300000,Roxas,PH175318000,52,12,5.830,5.313,3.151,3.081
Mimaropa Region,PH170000000,Palawan,PH175300000,San Vicente,PH175319000,27,5,3.052,2.688,1.374,1.350
Mimaropa Region,PH170000000,Palawan,PH175300000,Sofronio Española,PH175324000,29,5,3.490,3.299,1.557,1.665
Mimaropa Region,PH170000000,Palawan,PH175300000,Taytay,PH175320000,57,16,7.913,7.075,3.380,3.329
Mimaropa Region,PH170000000,Romblon,PH175900000,Alcantara,PH175901000,13,3,1.394,1.254,702,682
Mimaropa Region,PH170000000,Romblon,PH175900000,Banton,PH175902000,8,2,354,375,241,216
Mimaropa Region,PH170000000,Romblon,PH175900000,Cajidiocan,PH175903000,14,4,2.241,1.983,1.203,1.150
Mimaropa Region,PH170000000,Romblon,PH175900000,Calatrava,PH175904000,8,2,1.061,935,508,496
Mimaropa Region,PH170000000,Romblon,PH175900000,Concepcion,PH175905000,9,2,336,274,125,128
Mimaropa Region,PH170000000,Romblon,PH175900000,Corcuera,PH175906000,13,3,819,720,498,493
Mimaropa Region,PH170000000,Romblon,PH175900000,Ferrol,PH175916000,6,1,613,554,216,185
Mimaropa Region,PH170000000,Romblon,PH175900000,Looc,PH175907000,13,2,1.936,1.740,1.068,990
Mimaropa Region,PH170000000,Romblon,PH175900000,Magdiwang,PH175908000,10,2,1.301,1.160,700,661
Mimaropa Region,PH170000000,Romblon,PH175900000,Odiongan,PH175909000,26,3,3.315,2.864,1.295,1.332
Mimaropa Region,PH170000000,Romblon,PH175900000,Romblon (Capital),PH175910000,29,4,3.640,3.249,1.679,1.604
Mimaropa Region,PH170000000,Romblon,PH175900000,San Agustin,PH175911000,14,5,2.199,1.947,786,748
Mimaropa Region,PH170000000,Romblon,PH175900000,San Andres,PH175912000,13,2,1.366,1.251,704,721
Mimaropa Region,PH170000000,Romblon,PH175900000,San Fernando,PH175913000,12,3,2.283,2.100,1.038,1.097
Mimaropa Region,PH170000000,Romblon,PH175900000,San Jose,PH175914000,8,1,1.191,991,523,488
Mimaropa Region,PH170000000,Romblon,PH175900000,Santa Fe,PH175915000,14,3,1.624,1.341,802,822
Mimaropa Region,PH170000000,Romblon,PH175900000,Santa Maria (Imelda),PH175917000,6,2,742,623,338,344
Region V (Bicol Region),PH050000000,Albay,PH050500000,Bacacay,PH050501000,41,7,6.047,5.259,2.234,2.150
Region V (Bicol Region),PH050000000,Albay,PH050500000,Camalig,PH050502000,33,6,5.566,4.929,2.123,2.009
Region V (Bicol Region),PH050000000,Albay,PH050500000,City of Ligao,PH050508000,55,12,10.232,9.003,5.186,5.653
Region V (Bicol Region),PH050000000,Albay,PH050500000,City of Tabaco,PH050517000,39,9,11.828,10.539,7.422,7.481
Region V (Bicol Region),PH050000000,Albay,PH050500000,Daraga (Locsin),PH050503000,48,8,8.930,8.104,5.221,5.286
Region V (Bicol Region),PH050000000,Albay,PH050500000,Guinobatan,PH050504000,35,6,6.580,5.813,3.918,4.064
Region V (Bicol Region),PH050000000,Albay,PH050500000,Jovellar,PH050505000,20,3,1.617,1.367,704,738
Region V (Bicol Region),PH050000000,Albay,PH050500000,City of Legazpi (Capital),PH050506000,44,13,14.721,13.425,6.150,6.013
Region V (Bicol Region),PH050000000,Albay,PH050500000,Libon,PH050507000,45,13,6.908,6.117,3.675,3.691
Region V (Bicol Region),PH050000000,Albay,PH050500000,Malilipot,PH050509000,14,5,3.125,2.691,1.765,1.760
Region V (Bicol Region),PH050000000,Albay,PH050500000,Malinao,PH050510000,25,3,4.113,3.586,1.620,1.576
Region V (Bicol Region),PH050000000,Albay,PH050500000,Manito,PH050511000,16,3,2.374,2.181,1.005,1.014
Region V (Bicol Region),PH050000000,Albay,PH050500000,Oas,PH050512000,43,9,6.000,5.343,2.595,2.537
Region V (Bicol Region),PH050000000,Albay,PH050500000,Pio Duran,PH050513000,32,5,4.485,4.041,1.484,1.594
Region V (Bicol Region),PH050000000,Albay,PH050500000,Polangui,PH050514000,42,8,7.372,6.658,3.990,3.960
Region V (Bicol Region),PH050000000,Albay,PH050500000,Rapu-Rapu,PH050515000,36,7,3.851,3.386,1.537,1.587
Region V (Bicol Region),PH050000000,Albay,PH050500000,Santo Domingo (Libog),PH050516000,12,4,2.663,2.321,1.536,1.449
Region V (Bicol Region),PH050000000,Albay,PH050500000,Tiwi,PH050518000,23,3,4.746,4.142,2.120,2.131
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Basud,PH051601000,26,4,3.735,3.470,1.985,1.957
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Capalonga,PH051602000,22,4,3.547,2.987,1.051,1.057
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Daet (Capital),PH051603000,24,5,7.998,7.601,3.500,3.650
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Jose Panganiban,PH051605000,27,4,5.696,5.458,2.357,2.532
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Labo,PH051606000,46,13,9.411,8.631,3.322,3.341
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Mercedes,PH051607000,19,7,4.617,4.309,2.221,2.187
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Paracale,PH051608000,23,5,5.625,5.230,2.110,2.205
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,San Lorenzo Ruiz (Imelda),PH051604000,11,2,1.270,1.194,447,459
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,San Vicente,PH051609000,6,2,876,821,481,468
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Santa Elena,PH051610000,20,7,3.837,3.609,1.799,1.739
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Talisay,PH051611000,10,3,1.954,1.747,517,457
Region V (Bicol Region),PH050000000,Camarines Norte,PH051600000,Vinzons,PH051612000,19,6,4.148,3.754,2.797,2.971
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Baao,PH051701000,25,5,4.868,4.218,2.041,2.067
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Balatan,PH051702000,17,5,3.146,2.796,1.120,1.103
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Bato,PH051703000,25,6,4.517,4.044,1.658,1.598
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Bombon,PH051704000,7,2,1.464,1.232,364,353
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Buhi,PH051705000,37,4,7.136,6.331,2.365,2.522
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Bula,PH051706000,34,11,6.397,5.846,2.636,2.697
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Cabusao,PH051707000,8,2,1.724,1.631,910,857
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Calabanga,PH051708000,37,8,7.716,6.870,3.654,3.781
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Camaligan,PH051709000,6,1,1.615,1.477,847,852
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Canaman,PH051710000,18,3,2.127,1.890,719,654
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Caramoan,PH051711000,53,8,5.400,4.823,2.085,2.119
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Del Gallego,PH051712000,15,3,2.432,2.198,1.044,1.023
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Gainza,PH051713000,6,1,884,818,359,353
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Garchitorena,PH051714000,23,8,3.306,2.898,1.119,1.107
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Goa,PH051715000,26,7,6.745,6.218,2.319,2.483
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,City of Iriga,PH051716000,40,12,7.923,7.567,4.004,3.875
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Lagonoy,PH051717000,33,6,5.367,4.798,1.610,1.572
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Libmanan,PH051718000,62,18,10.035,8.898,4.120,4.135
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Lupi,PH051719000,33,5,3.077,2.738,1.146,1.208
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Magarao,PH051720000,7,3,2.055,1.891,826,776
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Milaor,PH051721000,11,4,2.341,2.085,1.153,1.131
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Minalabac,PH051722000,25,6,4.838,4.225,1.836,1.862
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Nabua,PH051723000,34,7,6.864,6.020,3.918,3.967
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,City of Naga,PH051724000,29,8,15.485,13.748,7.266,7.662
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Ocampo,PH051725000,20,2,4.534,4.177,1.446,1.578
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Pamplona,PH051726000,15,6,3.411,3.067,1.746,1.741
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Pasacao,PH051727000,20,7,4.600,4.022,1.903,2.000
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Pili (Capital),PH051728000,32,12,8.096,7.290,4.358,4.252
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Presentacion (Parubcan),PH051729000,17,6,2.203,2.020,875,929
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Ragay,PH051730000,33,8,5.660,5.069,2.533,2.607
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Sagñay,PH051731000,17,5,3.432,2.998,1.443,1.454
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,San Fernando,PH051732000,19,5,3.106,2.801,1.692,1.593
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,San Jose,PH051733000,22,6,3.701,3.419,1.586,1.549
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Sipocot,PH051734000,45,10,6.192,5.480,3.013,3.240
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Siruma,PH051735000,17,4,1.886,1.680,771,795
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Tigaon,PH051736000,23,7,5.338,4.776,2.994,3.188
Region V (Bicol Region),PH050000000,Camarines Sur,PH051700000,Tinambac,PH051737000,42,13,6.694,6.041,3.217,3.403
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Bagamanoc,PH052001000,13,3,936,852,592,498
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Baras,PH052002000,16,2,1.163,1.080,680,605
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Bato,PH052003000,18,3,1.732,1.552,908,855
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Caramoran,PH052004000,22,7,3.134,2.921,1.644,1.529
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Gigmoto,PH052005000,7,3,828,768,440,442
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Pandan,PH052006000,22,3,2.063,1.892,1.086,1.068
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Panganiban (Payo),PH052007000,12,2,902,723,408,357
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,San Andres (Calolbon),PH052008000,30,6,3.271,2.993,1.704,1.524
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,San Miguel,PH052009000,23,2,1.378,1.261,582,602
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Viga,PH052010000,28,4,2.062,1.828,1.117,1.055
Region V (Bicol Region),PH050000000,Catanduanes,PH052000000,Virac (Capital),PH052011000,43,7,5.715,5.030,3.300,3.140
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Aroroy,PH054101000,47,14,9.444,8.323,3.908,4.104
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Baleno,PH054102000,24,6,2.964,2.545,1.118,1.170
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Balud,PH054103000,33,6,4.245,3.851,1.600,1.642
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Batuan,PH054104000,13,4,1.456,1.345,711,679
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Cataingan,PH054105000,39,7,5.350,4.737,2.364,2.541
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Cawayan,PH054106000,42,7,7.029,6.525,2.265,2.267
Region V (Bicol Region),PH050000000,Masbate,PH054100000,City of Masbate (Capital),PH054111000,34,8,9.684,8.877,3.804,4.507
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Claveria,PH054107000,29,8,4.530,4.163,1.655,1.642
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Dimasalang,PH054108000,21,2,2.768,2.478,1.080,1.202
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Esperanza,PH054109000,18,2,1.730,1.650,706,690
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Mandaon,PH054110000,27,8,4.735,4.316,2.179,2.230
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Milagros,PH054112000,39,8,6.367,5.587,2.066,2.255
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Mobo,PH054113000,28,4,4.097,3.657,1.413,1.536
Region V (Bicol Region),PH050000000,Masbate,PH054100000,Monreal,PH054114000,15,5,2.787,2.518,1.161,1.146
