municipality,pov_inc
San Vicente (NS),37.31
San Vicente (PN),3.33
Sapad,25.1
Sapang Dalaga,35.35
Sapa-Sapa,24.76
Sapi-An,8.96
Sara,19.81
Sarangani,35.47
Sariaya,6.34
Sarrat,4.66
Sasmuan,6.07
Science City of Munoz,5.5
Sebaste,21.17
Senator Ninoy Aquino,38.2
Sergio Osmena,59.19
Sevilla,22.1
Shariff Aguak,62.85
Shariff Saydona Mustapha,66.3
Siasi,70.93
Siaton,30.7
Siay,33.02
Siayan,61.95
Sibagat,40.23
Sibalom,17.67
Sibonga,18.6
Sibuco,58.59
Sibulan,10.9
Sibunag,14.57
Sibutad,46.34
Sibutu,20.89
Sierra Bullones,27.3
Sigay,9.47
Sigma,6.38
Sikatuna,15.6
Silago,26.77
Silang,5.8
Silay,17.6
Silvino Lobos,56.94
Simunul,14.64
Sinacaban,24.19
Sinait,5.64
Sindangan,37.1
Siniloan,2.97
Siocon,51.36
Sipalay,23.53
Sipocot,29.11
Siquijor,13.1
Sirawai,57.61
Siruma,37.77
Sison (PS),12.33
Sison (SN),36.24
Sitangkai,24.03
Socorro (OR),31.97
Socorro (SN),13.72
Sofronio Espanola,17.35
Sogod (CU),27.22
Sogod (SL),19.2
Solana,10.72
Solano,6.95
Solsona,6.19
Sominot,38.4
Sorsogon,18.07
South Ubian,16.43
South Upi,60.4
Santa,4.78
Santa Ana (CG),6.18
Santa Ana (PA),13.87
Santa Barbara (IO),11.38
Santa Barbara (PS),9.99
Santa Catalina (IS),5.87
Santa Catalina (NR),28.6
Santa Cruz (DS),6.94
Santa Cruz (IS),20.71
Santa Cruz (LA),1.98
Santa Cruz (ME),13.54
Santa Cruz (OM),2.36
Santa Cruz (ZA),9.6
Santa Elena,35.79
Santa Fe (CU),26.52
Santa Fe (LE),24.9
Santa Fe (NV),17.65
Santa Fe (RN),27.92
Santa Ignacia,5.53
Santa Josefa,30.96
Santa Lucia,6.28
Santa Magdalena,32.78
Santa Marcela,12.2
Santa Margarita,25.49
Santa Maria (BU),4.73
Santa Maria (DS),4.58
Santa Maria (IS),31.7
Santa Maria (IA),19.43
Santa Maria (LA),6.18
Santa Maria (PS),21.82
Santa Maria (Imelda),11.08
Santa Monica,33.65
Santander,18.7
Santa Praxedes,12.23
Santa Rita (PA),4.1
Santa Rita (WS),34.41
Santa Rosa (LA),4.01
Santa Rosa (NE),1.29
Santa Teresita (BS),10.75
Santa Teresita (CG),11.8
Santo Domingo (AY),4.59
Santo Domingo (IS),23.03
Santo Domingo (NE),4.3
Santol,5.31
Santo Nino (CG),16.74
Santo Nino (WS),30.68
Santo Nino (SC),17.3
Santo Tomas (BS),4.25
Santo Tomas (DN),22.68
Santo Tomas (IA),8.37
Santo Tomas (LU),12.06
Santo Tomas (PA),3.37
Santo Tomas (PS),10.72
Sual,10.1
Subic,10.25
Sudipen,3.95
Sugbongcogon,17.89
Sugpon,10.08
Sulat,45.56
Sulop,16.12
Sultan Dumalondong,88.08
Sultan Kudarat,58.88
Sultan Mastura,59.75
Sultan Naga Dimaporo,27.7
Sultan Sa Barongis,67.09
Sumilao,32.26
Sumisip,72.24
Surallah,17.9
Surigao,24.7
Suyo,7.88
Taal,8.84
Tabaco,19.83
Tabango,30.81
Tabina,37.88
Tabogon,21.5
Tabontabon,30.61
Tabuan-Lasa,85.88
Tabuelan,22.2
Tabuk,10.6
Tacloban,18.4
Tacurong,10.3
Tadian,18.08
Taft,47.61
Tagana-An,37.23
Tagapul-An,31.62
Tagaytay,5.35
Tagbilaran,3.4
Tagbina,32.66
Tagkawayan,20.92
Tago,29.69
Tagoloan (LN),16.83
Tagoloan (MO),36.46
Tagoloan Ii,85.01
Tagudin,6.4
Taguig,4.1
Tagum,5.5
Talacogon,36.17
Talaingod,49.57
Talakag,43.39
Talalora,37.16
Talavera,4.42
Talayan,70.83
Talibon,26.5
Talipao,82.62
Talisay (BS),24.46
Talisay (CN),10.72
Talisay  (CU),8.2
Talisay (NO),3.52
Talisayan,19.89
Talitay,68.73
Talugtug,5.28
Talusan,42.32
Tambulig,32.33
Tampakan,30.9
Tamparan,73.58
Tampilisan,48.2
Tanauan (BS),20.91
Tanauan (LE),8.74
Tanay,6.37
Tandag,19.13
Tandubas,23.93
Tangalan,15.31
Tangcal,44.07
Tangub,27.5
Tanjay,18.9
Tantangan,26.8
Tanudan,22.29
Tanza,5.24
Tapaz,12.41
Tapul,76.79
Taraka,72.85
Tarangnan,29.87
Tarlac,5.23
Tarragona,38.21
Tayabas,6.26
Tayasan,29.2
Taysan,11.77
Taytay (PN),4.63
Taytay (RL),17.88
Tayug,8.07
Tayum,17.92
Teresa,4.12
Ternate,11.42
Tiaong,6.78
Tibiao,20.7
Tigaon,28.7
Tigbao,39.46
Tigbauan,15.59
Tinambac,36.77
Tineg,36.35
Tinglayan,27.71
Tingloy,19.08
Tinoc,26.96
Tipo-Tipo,76.61
Titay,33.52
Tiwi,23.58
Tobias Fornier,22.48
Toboso,20.26
Toledo,17.2
Tolosa,20.96
Tomas Oppus,26.49
Tongkil,80.68
Torrijos,20.34
Trece Martires,5.89
Trento,29.57
Trinidad,25.2
Tuao,11.75
Tuba,6.99
Tubajon,35.7
Tubao,3.69
Tubaran,78.27
Tubay,28.84
Tubigon,16.3
Tublay,13.21
Tubo,23.59
Tubod (LN),29.36
Tubod (SN),18.06
Tubungan,25.39
Tuburan (BA),75.52
Tuburan (CU),24.4
Tudela (CU),19.7
Tudela (MC),24.38
Tugaya,70.32
Tuguegarao,4.19
Tukuran,33.36
Tulunan,35.4
Tumauini,21.15
Tunga,18.24
Tungawan,36.3
Tupi,22.5
Turtle Islands,18.57
Tuy,11.88
Ubay,25.7
Umingan,12.82
Ungkaya Pukan,76.76
Unisan,14.64
Upi,50.95
Urbiztondo,18.38
Urdaneta,8.36
Uson,36.45
Uyugan,13.24
Valderrama,42.59
Valencia (BL),22
Valencia (BK),13
Valencia (NR),21.9
Valenzuela,8.9
Valladolid,10.29
Vallehermoso,32.3
Veruela,39.86
Victoria (LA),3.75
Victoria (NS),11.72
Victoria (OR),33.58
Victoria (TC),8.45
Victorias,12.86
Viga,29.05
Vigan,2.42
Villaba,26.25
Villanueva,15.97
Villareal,32.64
Villasis,11.77
Villaverde,12.54
Villaviciosa,19.93
Vincenzo A Sagun,30.81
Vintar,4.18
Vinzons,24.33
Virac,11.16
Wao,65.07
Zamboanga,18
Zamboanguita,17.5
Zaragoza,3.82
Zarraga,10.83
Zumarraga,38.87
