city_municipality,Cluster_Id
Trento,2
Trinidad,2
Tuao,1
Tuba,2
Tubajon,1
Tubao,2
Tubaran,2
Tubay,1
Tubigon,2
Tublay,2
Tubo,2
Tubod (LN),2
Tubod (SN),2
Tubungan,2
Tuburan (BA),1
Tuburan (CU),2
Tudela (CU),1
Tudela (MC),2
Tugaya,2
Tuguegarao,0
Tukuran,2
Tulunan,2
Tumauini,2
Tunga,2
Tungawan,2
Tupi,2
Turtle Islands,2
Tuy,1
Ubay,1
Umingan,1
Ungkaya Pukan,1
Unisan,2
Upi,2
Urbiztondo,2
Urdaneta,0
Uson,1
Uyugan,1
Valderrama,1
Valencia (BK),0
Valencia (BL),2
Valencia (NR),1
Valenzuela,0
Valladolid,2
Vallehermoso,1
Veruela,2
Victoria (LA),1
Victoria (NS),1
Victoria (OR),1
Victoria (TC),2
Victorias,2
Viga,1
Vigan,0
Villaba,1
Villanueva,2
Villareal,2
Villasis,2
