,name,city,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,"Lake, river, rain and others_count",Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
208,Besao,BESAO,,,,,,,1548.0,158.0,,,6.0,,,2015.0
209,Bien Unido,BIEN UNIDO,160.0,141.0,7.0,9.0,4.0,1337.0,,1.0,964.0,3.0,3099.0,,,2015.0
210,Bilar,BILAR,1923.0,395.0,34.0,73.0,2.0,49.0,44.0,25.0,5.0,38.0,1180.0,,,2015.0
211,Biliran,,,,,,,,,,,,,,,
212,Binalbagan,BINALBAGAN,1402.0,1078.0,601.0,3435.0,94.0,2462.0,226.0,874.0,25.0,237.0,4632.0,26.0,,2015.0
213,Binalonan,BINALONAN,1896.0,338.0,3817.0,3670.0,62.0,2.0,171.0,1.0,1.0,43.0,2834.0,14.0,,2015.0
214,Binangonan,BINANGONAN,42429.0,7417.0,1536.0,4709.0,136.0,59.0,146.0,4.0,35.0,375.0,12891.0,49.0,,2015.0
215,Bindoy,BINDOY (PAYABON),3089.0,2954.0,257.0,226.0,211.0,87.0,559.0,987.0,,57.0,269.0,6.0,,2015.0
216,Bingawan,BINGAWAN,8.0,206.0,171.0,319.0,24.0,2012.0,101.0,6.0,80.0,160.0,380.0,,,2015.0
217,Binidayan,BINIDAYAN,228.0,134.0,89.0,78.0,15.0,392.0,892.0,272.0,1242.0,1.0,54.0,,,2015.0
218,Binmaley,BINMALEY,5410.0,2386.0,947.0,1817.0,8.0,13.0,17.0,,,15.0,9545.0,2.0,,2015.0
219,Binuangan,BINUANGAN,690.0,463.0,,6.0,2.0,2.0,312.0,18.0,,22.0,41.0,,,2015.0
220,Biri,BIRI,294.0,926.0,123.0,81.0,131.0,538.0,37.0,41.0,1.0,1.0,96.0,,,2015.0
221,Bislig,CITY OF BISLIG,4870.0,2451.0,88.0,1437.0,101.0,83.0,3488.0,1441.0,170.0,2056.0,5129.0,,,2015.0
222,Binan,CITY OF BIÑAN,9853.0,2584.0,1328.0,2378.0,238.0,83.0,117.0,3.0,6.0,144.0,69964.0,54.0,,2015.0
223,Boac,BOAC (Capital),1733.0,2164.0,167.0,2573.0,182.0,248.0,773.0,245.0,24.0,9.0,4556.0,5.0,,2015.0
224,Bobon,BOBON,522.0,1075.0,941.0,1026.0,2.0,367.0,16.0,16.0,16.0,178.0,714.0,,,2015.0
225,Bocaue,BOCAUE,5787.0,1861.0,503.0,419.0,139.0,9.0,,,2.0,393.0,18303.0,11.0,,2015.0
226,Bogo,CITY OF BOGO,3387.0,4171.0,74.0,1668.0,119.0,1134.0,56.0,12.0,38.0,368.0,8299.0,34.0,,2015.0
227,Bokod,BOKOD,1849.0,490.0,2.0,,,,283.0,249.0,1.0,,3.0,,,2015.0
228,Bolinao,BOLINAO,1326.0,1222.0,1302.0,5036.0,669.0,2447.0,239.0,11.0,27.0,174.0,5081.0,147.0,,2015.0
229,Boliney,BOLINEY,,,,,,,760.0,,,,,,,2015.0
230,Boljoon,BOLJOON,1144.0,610.0,2.0,156.0,18.0,26.0,286.0,,137.0,58.0,937.0,,,2015.0
231,Bombon,,,,,,,,,,,,,,,
232,Bongabon,BONGABON,3041.0,1316.0,5306.0,3845.0,61.0,113.0,494.0,2.0,4.0,21.0,779.0,8.0,,2015.0
233,Bongabong,BONGABONG,1505.0,3130.0,2251.0,5294.0,1338.0,383.0,1110.0,678.0,8.0,992.0,64.0,,,2015.0
234,Bongao,BONGAO (CAPITAL),2722.0,1796.0,626.0,2465.0,83.0,3670.0,858.0,13.0,2266.0,261.0,2084.0,605.0,,2015.0
235,Bonifacio,BONIFACIO,1487.0,1662.0,52.0,229.0,27.0,244.0,2660.0,112.0,11.0,395.0,429.0,,,2015.0
236,Bontoc (MP),BONTOC (Capital),481.0,202.0,11.0,9.0,4.0,12.0,3108.0,1077.0,,19.0,1539.0,,,2015.0
237,Bontoc (SL),BONTOC,1329.0,2005.0,83.0,1038.0,73.0,148.0,209.0,17.0,36.0,3.0,1658.0,,,2015.0
238,Borbon,BORBON,1148.0,1192.0,20.0,621.0,36.0,1047.0,178.0,649.0,20.0,515.0,2990.0,4.0,,2015.0
239,Borongan,CITY OF BORONGAN (Capital),752.0,1730.0,715.0,2890.0,1718.0,31.0,1262.0,186.0,22.0,33.0,5781.0,,,2015.0
240,Boston,BOSTON,217.0,1972.0,53.0,385.0,14.0,12.0,263.0,265.0,6.0,5.0,23.0,1.0,,2015.0
241,Botolan,BOTOLAN,648.0,654.0,2746.0,3678.0,1744.0,103.0,722.0,517.0,207.0,160.0,2489.0,,,2015.0
242,Braulio E. Dujali,BRAULIO E. DUJALI,51.0,27.0,99.0,141.0,87.0,281.0,17.0,,418.0,3548.0,735.0,,,2015.0
243,Brooke's Point,BROOKE'S POINT,1929.0,1702.0,2946.0,5802.0,120.0,515.0,942.0,319.0,797.0,12.0,390.0,,,2015.0
244,Buadiposo-Buntong,BUADIPOSO-BUNTONG,207.0,451.0,5.0,4.0,57.0,29.0,365.0,392.0,659.0,62.0,298.0,,,2015.0
245,Bubong,BUBONG,81.0,,1.0,1.0,,1.0,50.0,2880.0,141.0,,2.0,1.0,,2015.0
246,Bucay,BUCAY,772.0,509.0,374.0,502.0,31.0,57.0,1284.0,21.0,12.0,,301.0,,,2015.0
247,Bucloc,BUCLOC,4.0,,,1.0,,,436.0,,,1.0,,,,2015.0
248,Buenavista (AN),,,,,,,,,,,,,,,
249,Buenavista (BL),BUENAVISTA,450.0,699.0,61.0,380.0,14.0,1601.0,185.0,70.0,219.0,615.0,1740.0,,,2015.0
250,Buenavista (GS),BUENAVISTA,2912.0,1020.0,736.0,2258.0,350.0,1797.0,574.0,15.0,7.0,27.0,2417.0,2.0,,2015.0
251,Buenavista (ME),BUENAVISTA,938.0,1739.0,389.0,1117.0,15.0,65.0,125.0,4.0,47.0,8.0,864.0,1.0,,2015.0
252,Buenavista (QN),BUENAVISTA,254.0,1109.0,375.0,1315.0,142.0,1450.0,275.0,475.0,57.0,4.0,1308.0,1.0,,2015.0
253,Bugallon,BUGALLON,1928.0,733.0,3299.0,4037.0,70.0,14.0,123.0,3.0,1.0,125.0,4246.0,8.0,,2015.0
254,Bugasong,BUGASONG,1400.0,1184.0,573.0,1831.0,85.0,56.0,946.0,836.0,44.0,130.0,298.0,3.0,,2015.0
255,Buguey,BUGUEY,36.0,9.0,254.0,503.0,2970.0,554.0,37.0,2.0,274.0,94.0,2021.0,,,2015.0
256,Buguias,BUGUIAS,1165.0,642.0,74.0,82.0,7.0,147.0,2913.0,4780.0,4.0,36.0,1024.0,,,2015.0
257,Buhi,,,,,,,,,,,,,,,
258,Bula,,,,,,,,,,,,,,,
259,Bulakan,,,,,,,,,,,,,,,
260,Bulalacao,BULALACAO (SAN PEDRO),1297.0,3059.0,281.0,1200.0,286.0,258.0,1010.0,672.0,48.0,57.0,372.0,2.0,,2015.0
261,Bulan,,,,,,,,,,,,,,,
262,Buldon,BULDON,54.0,461.0,458.0,1190.0,36.0,1795.0,327.0,75.0,1141.0,1.0,2.0,2.0,,2015.0
263,Buluan,BULUAN,476.0,67.0,2379.0,3985.0,35.0,61.0,5.0,,,40.0,238.0,2.0,,2015.0
264,Bulusan,,,,,,,,,,,,,,,
265,Bunawan,BUNAWAN,791.0,2723.0,47.0,174.0,26.0,533.0,1596.0,281.0,1829.0,615.0,1914.0,1.0,,2015.0
266,Burauen,BURAUEN,5041.0,4816.0,393.0,1260.0,49.0,428.0,369.0,173.0,20.0,8.0,18.0,2.0,,2015.0
267,Burdeos,BURDEOS,1107.0,787.0,128.0,336.0,62.0,2195.0,519.0,102.0,211.0,5.0,200.0,,,2015.0
268,Burgos (IN),BURGOS,334.0,125.0,11.0,21.0,438.0,460.0,315.0,2.0,,,697.0,,,2015.0
269,Burgos (IS),BURGOS,158.0,219.0,253.0,399.0,728.0,5.0,3.0,,1.0,1.0,1018.0,,,2015.0
270,Burgos (IA),BURGOS,50.0,51.0,1785.0,3104.0,311.0,46.0,65.0,127.0,,,77.0,128.0,,2015.0
271,Burgos (LU),BURGOS,7.0,3.0,1.0,,3.0,13.0,1318.0,106.0,14.0,,284.0,1.0,,2015.0
272,Burgos (PS),BURGOS,153.0,112.0,1239.0,1457.0,7.0,743.0,4.0,11.0,,1.0,1072.0,1.0,,2015.0
273,Burgos (SN),BURGOS,50.0,256.0,5.0,84.0,2.0,2.0,39.0,,1.0,,476.0,4.0,,2015.0
274,Buruanga,BURUANGA,729.0,1649.0,89.0,322.0,358.0,271.0,645.0,98.0,,,78.0,,,2015.0
275,Bustos,BUSTOS,2511.0,76.0,818.0,862.0,77.0,9.0,,,1.0,110.0,11580.0,2.0,,2015.0
276,Busuanga,BUSUANGA,1729.0,1421.0,132.0,252.0,31.0,796.0,241.0,307.0,103.0,,39.0,,,2015.0
277,Butig,BUTIG,23.0,102.0,392.0,285.0,1375.0,427.0,159.0,17.0,317.0,,1.0,,,2015.0
278,Butuan,,,,,,,,,,,,,,,
279,Buug,BUUG,1157.0,2317.0,355.0,348.0,33.0,509.0,1026.0,206.0,117.0,5.0,2269.0,2.0,,2015.0
280,Caba,CABA,41.0,23.0,1006.0,1334.0,17.0,86.0,688.0,11.0,,6.0,2014.0,1.0,,2015.0
281,Cabadbaran,,,,,,,,,,,,,,,
282,Cabagan,CABAGAN,2022.0,379.0,956.0,2205.0,26.0,3119.0,123.0,235.0,120.0,10.0,959.0,8.0,,2015.0
283,Cabanatuan,CABANATUAN CITY,38344.0,6551.0,11079.0,6202.0,916.0,36.0,46.0,1.0,2.0,252.0,4508.0,310.0,,2015.0
284,Cabangan,CABANGAN,781.0,57.0,2608.0,1715.0,205.0,73.0,11.0,18.0,13.0,153.0,355.0,,,2015.0
285,Cabanglasan,CABANGLASAN,1357.0,3102.0,43.0,244.0,35.0,80.0,1292.0,465.0,11.0,,319.0,,,2015.0
286,Cabarroguis,CABARROGUIS (Capital),177.0,415.0,1055.0,1761.0,21.0,109.0,991.0,455.0,6.0,3.0,1853.0,3.0,,2015.0
287,Cabatuan (IO),CABATUAN,1181.0,829.0,1428.0,5112.0,197.0,519.0,292.0,10.0,14.0,70.0,3063.0,,,2015.0
288,Cabatuan (IA),CABATUAN,1661.0,238.0,3272.0,1769.0,66.0,7.0,3.0,,,69.0,2449.0,140.0,,2015.0
289,Cabiao,CABIAO,7784.0,941.0,3598.0,2384.0,332.0,,21.0,,1.0,47.0,1571.0,6.0,,2015.0
290,Cabucgayan,CABUCGAYAN,1911.0,1464.0,49.0,450.0,119.0,280.0,71.0,5.0,35.0,2.0,365.0,,,2015.0
291,Cabugao,CABUGAO,2946.0,338.0,440.0,844.0,126.0,970.0,138.0,11.0,3.0,28.0,2344.0,,,2015.0
292,Cabusao,,,,,,,,,,,,,,,
293,Cabuyao,CABUYAO CITY,9829.0,1288.0,1704.0,1414.0,169.0,172.0,366.0,,8.0,3683.0,62899.0,41.0,,2015.0
294,Cadiz,CADIZ CITY,6584.0,4809.0,783.0,10788.0,447.0,6112.0,1070.0,701.0,39.0,780.0,3531.0,13.0,,2015.0
295,Cagayancillo,CAGAYANCILLO,1.0,1.0,1.0,11.0,1.0,144.0,,1.0,1023.0,,1.0,,,2015.0
296,Cagayan De Oro,CAGAYAN DE ORO CITY (Capital),55426.0,26402.0,375.0,2738.0,52.0,361.0,2971.0,1236.0,196.0,3514.0,69347.0,556.0,,2015.0
297,Cagdianao,CAGDIANAO,1234.0,1561.0,41.0,154.0,14.0,35.0,278.0,66.0,44.0,190.0,159.0,1.0,,2015.0
298,Cagwait,CAGWAIT,514.0,1317.0,7.0,323.0,7.0,39.0,437.0,152.0,165.0,28.0,1370.0,,,2015.0
299,Caibiran,CAIBIRAN,1778.0,1853.0,3.0,111.0,,18.0,44.0,113.0,,1.0,797.0,90.0,,2015.0
300,Cainta,CAINTA,37538.0,6425.0,367.0,426.0,14.0,17.0,228.0,2.0,2.0,2691.0,22873.0,880.0,,2015.0
301,Cajidiocan,CAJIDIOCAN,1272.0,607.0,493.0,1014.0,13.0,40.0,699.0,607.0,188.0,10.0,39.0,1.0,,2015.0
302,Calabanga,,,,,,,,,,,,,,,
303,Calaca,CALACA,8621.0,2316.0,2352.0,1869.0,89.0,52.0,329.0,6.0,114.0,344.0,2355.0,12.0,,2015.0
304,Calamba (LA),CITY OF CALAMBA,56313.0,8793.0,6084.0,9951.0,631.0,245.0,400.0,148.0,417.0,1181.0,38855.0,53.0,,2015.0
305,Calamba (MC),CALAMBA,2394.0,997.0,38.0,112.0,9.0,224.0,541.0,524.0,2.0,68.0,143.0,,,2015.0
306,Calanasan,CALANASAN (BAYAG),76.0,157.0,59.0,13.0,71.0,132.0,1753.0,98.0,21.0,,4.0,,,2015.0
307,Calanogas,CALANOGAS,37.0,517.0,,,68.0,59.0,74.0,482.0,892.0,,1.0,,,2015.0
308,Calapan,CITY OF CALAPAN (Capital),8060.0,3027.0,3179.0,6133.0,1272.0,517.0,72.0,22.0,40.0,4550.0,3776.0,86.0,,2015.0
309,Calape,CALAPE,1022.0,629.0,19.0,365.0,96.0,21.0,452.0,489.0,74.0,88.0,4149.0,,,2015.0
310,Calasiao,CALASIAO,1660.0,625.0,2508.0,8452.0,35.0,133.0,29.0,1.0,,15.0,8850.0,234.0,,2015.0
311,Calatagan,CALATAGAN,1103.0,271.0,2733.0,4139.0,189.0,168.0,232.0,3.0,1.0,350.0,4497.0,31.0,,2015.0
312,Calatrava (NO),CALATRAVA,2414.0,4159.0,1109.0,2912.0,468.0,2904.0,2664.0,545.0,416.0,70.0,643.0,127.0,,2015.0
313,Calatrava (RN),CALATRAVA,1069.0,201.0,41.0,100.0,56.0,4.0,72.0,3.0,80.0,1.0,707.0,,,2015.0
314,Calauag,CALAUAG,1598.0,1963.0,464.0,2916.0,344.0,4105.0,439.0,36.0,32.0,389.0,4046.0,549.0,,2015.0
315,Calauan,CALAUAN,6441.0,4028.0,1359.0,2659.0,499.0,82.0,821.0,212.0,24.0,288.0,1240.0,16.0,,2015.0
316,Calayan,CALAYAN,1505.0,445.0,571.0,534.0,18.0,212.0,382.0,153.0,41.0,,43.0,,,2015.0
317,Calbayog,CALBAYOG CITY,9447.0,17308.0,113.0,2016.0,50.0,924.0,2805.0,516.0,658.0,1211.0,3363.0,,,2015.0
318,Calbiga,CALBIGA,1341.0,2266.0,81.0,240.0,2.0,295.0,118.0,343.0,41.0,23.0,410.0,,,2015.0
319,Calinog,CALINOG,740.0,647.0,1610.0,2280.0,284.0,2953.0,1038.0,825.0,56.0,1527.0,1188.0,7.0,,2015.0
320,Calintaan,CALINTAAN,135.0,322.0,787.0,1197.0,2127.0,10.0,244.0,116.0,72.0,5.0,1435.0,1.0,,2015.0
321,Caloocan,CALOOCAN CITY,212602.0,57637.0,3628.0,4241.0,247.0,483.0,14.0,,,3794.0,84570.0,662.0,,2015.0
322,Calubian,CALUBIAN,104.0,1017.0,192.0,1593.0,117.0,2009.0,269.0,47.0,21.0,1729.0,760.0,,,2015.0
323,Calumpit,CALUMPIT,9845.0,870.0,235.0,111.0,2.0,90.0,,,,261.0,13555.0,22.0,,2015.0
324,Caluya,CALUYA,135.0,1611.0,117.0,1592.0,63.0,566.0,964.0,108.0,6.0,445.0,2385.0,1.0,,2015.0
325,Camalaniugan,CAMALANIUGAN,29.0,45.0,515.0,1564.0,124.0,356.0,8.0,,41.0,,2800.0,,,2015.0
326,Camalig,,,,,,,,,,,,,,,
327,Camaligan,,,,,,,,,,,,,,,
328,Camiling,CAMILING,4666.0,946.0,3951.0,2085.0,23.0,36.0,323.0,2.0,1.0,7.0,7545.0,16.0,,2015.0
329,Canaman,,,,,,,,,,,,,,,
330,Can-Avid,CAN-AVID,112.0,728.0,141.0,1696.0,185.0,257.0,885.0,130.0,1.0,2.0,368.0,,,2015.0
331,Candaba,CANDABA,4152.0,2079.0,2857.0,4255.0,708.0,4.0,40.0,2.0,3.0,7.0,8550.0,7.0,,2015.0
332,Candelaria (QN),CANDELARIA,6326.0,2208.0,9418.0,5504.0,307.0,319.0,577.0,43.0,31.0,200.0,3112.0,10.0,,2015.0
333,Candelaria (ZA),CANDELARIA,501.0,128.0,2999.0,1534.0,28.0,13.0,12.0,,26.0,54.0,761.0,5.0,,2015.0
334,Candijay,CANDIJAY,2054.0,1238.0,46.0,514.0,9.0,53.0,594.0,51.0,2.0,,2210.0,,,2015.0
335,Candon,CITY OF CANDON,582.0,258.0,2365.0,1693.0,2704.0,12.0,11.0,,1.0,1.0,6121.0,64.0,,2015.0
336,Candoni,CANDONI,165.0,1362.0,188.0,567.0,88.0,1201.0,497.0,258.0,1.0,600.0,35.0,,,2015.0
337,Canlaon,CANLAON CITY,3465.0,2410.0,409.0,1328.0,267.0,671.0,2097.0,816.0,12.0,103.0,1111.0,3.0,,2015.0
338,Cantilan,CANTILAN,969.0,550.0,1120.0,1152.0,521.0,87.0,91.0,,4.0,169.0,2395.0,,,2015.0
339,Caoayan,CAOAYAN,732.0,237.0,148.0,65.0,1129.0,346.0,5.0,9.0,20.0,1.0,1911.0,1.0,,2015.0
340,Capalonga,,,,,,,,,,,,,,,
341,Capas,CAPAS,4756.0,1164.0,6818.0,6366.0,1976.0,10.0,486.0,8.0,154.0,260.0,10455.0,5.0,,2015.0
342,Capoocan,CAPOOCAN,588.0,4712.0,116.0,143.0,2.0,48.0,1118.0,233.0,12.0,173.0,183.0,4.0,,2015.0
343,Capul,CAPUL,90.0,688.0,278.0,1029.0,2.0,125.0,207.0,1.0,2.0,,82.0,,,2015.0
344,Caraga,CARAGA,2633.0,3489.0,254.0,814.0,37.0,256.0,720.0,851.0,21.0,37.0,95.0,32.0,,2015.0
345,Caramoan,,,,,,,,,,,,,,,
346,Caramoran,,,,,,,,,,,,,,,
347,Carasi,CARASI,1.0,,3.0,,1.0,60.0,193.0,,,,46.0,,,2015.0
348,Carcar,CITY OF CARCAR,7229.0,4514.0,315.0,1486.0,248.0,650.0,1869.0,736.0,13.0,511.0,9578.0,,,2015.0
349,Cardona,CARDONA,5961.0,1404.0,234.0,2430.0,2.0,47.0,45.0,1.0,1.0,1.0,1982.0,6.0,,2015.0
350,Carigara,CARIGARA,2730.0,3346.0,425.0,855.0,9.0,1701.0,1012.0,226.0,90.0,2.0,907.0,,,2015.0
351,Carles,CARLES,343.0,1295.0,373.0,2332.0,128.0,4865.0,2661.0,383.0,183.0,554.0,2160.0,1.0,,2015.0
352,Carmen (AN),,,,,,,,,,,,,,,
353,Carmen (BL),CARMEN,755.0,1573.0,492.0,1697.0,196.0,1006.0,1163.0,394.0,56.0,55.0,2919.0,,,2015.0
354,Carmen (CU),,,,,,,,,,,,,,,
355,Carmen (NC),CARMEN,4181.0,3521.0,1331.0,5000.0,1204.0,2386.0,3367.0,380.0,116.0,14.0,401.0,4.0,,2015.0
356,Carmen (DN),CARMEN,120.0,301.0,297.0,612.0,92.0,491.0,21.0,4.0,1961.0,10849.0,1995.0,,,2015.0
357,Carmen (SS),CARMEN,503.0,343.0,699.0,623.0,2.0,7.0,37.0,1.0,19.0,41.0,55.0,,,2015.0
358,Carmona,CARMONA,3660.0,1554.0,65.0,974.0,58.0,14.0,56.0,116.0,13.0,175.0,17680.0,62.0,,2015.0
359,Carranglan,CARRANGLAN,318.0,207.0,1657.0,3105.0,105.0,71.0,2378.0,533.0,28.0,1.0,1239.0,,,2015.0
360,Carrascal,CARRASCAL,930.0,1179.0,251.0,223.0,223.0,1.0,209.0,5.0,64.0,3.0,1930.0,,,2015.0
361,Casiguran (AU),CASIGURAN,1517.0,1176.0,665.0,1334.0,166.0,59.0,294.0,94.0,,200.0,210.0,6.0,,2015.0
362,Casiguran (SO),,,,,,,,,,,,,,,
363,Castilla,,,,,,,,,,,,,,,
364,Castillejos,CASTILLEJOS,1699.0,343.0,4027.0,2717.0,226.0,63.0,216.0,24.0,17.0,2.0,7840.0,56.0,,2015.0
365,Cataingan,,,,,,,,,,,,,,,
366,Catanauan,CATANAUAN,1658.0,1589.0,1518.0,2031.0,239.0,2835.0,1358.0,141.0,38.0,98.0,3826.0,3.0,,2015.0
367,Catarman (CM),CATARMAN,3394.0,354.0,4.0,27.0,2.0,1.0,256.0,,,,22.0,,,2015.0
368,Catarman (NS),CATARMAN (Capital),769.0,2435.0,1930.0,3964.0,1812.0,1904.0,617.0,279.0,51.0,741.0,4582.0,7.0,,2015.0
369,Catbalogan,CITY OF CATBALOGAN (Capital),4252.0,4926.0,220.0,2529.0,291.0,637.0,932.0,314.0,62.0,188.0,6811.0,,,2015.0
370,Cateel,CATEEL,194.0,1092.0,918.0,2833.0,1730.0,282.0,1719.0,708.0,60.0,32.0,127.0,16.0,,2015.0
371,Catigbian,CATIGBIAN,516.0,216.0,200.0,516.0,13.0,730.0,1358.0,18.0,340.0,5.0,1212.0,,,2015.0
372,Catmon,CATMON,1545.0,1529.0,75.0,452.0,38.0,643.0,405.0,146.0,101.0,55.0,1951.0,,,2015.0
373,Catubig,CATUBIG,145.0,3542.0,10.0,170.0,3.0,86.0,1710.0,122.0,38.0,245.0,349.0,94.0,,2015.0
374,Cauayan (IA),CITY OF CAUAYAN,4760.0,1253.0,6303.0,7608.0,1363.0,1481.0,180.0,1.0,2.0,1238.0,6422.0,12.0,,2015.0
375,Cauayan (NO),CAUAYAN,896.0,1735.0,2302.0,7040.0,238.0,5188.0,3112.0,810.0,169.0,49.0,1307.0,12.0,,2015.0
376,Cavinti,CAVINTI,2045.0,537.0,126.0,368.0,20.0,186.0,856.0,127.0,4.0,50.0,1032.0,8.0,,2015.0
377,Cavite,CAVITE CITY,3293.0,1258.0,22.0,9.0,4.0,3.0,17.0,,,376.0,21010.0,5.0,,2015.0
378,Cawayan,,,,,,,,,,,,,,,
379,Cebu,"CEBU (excluding Cebu, Lapu Lapu and Mandaue City)",112194.0,101587.0,9342.0,45025.0,6643.0,34513.0,41599.0,9081.0,4602.0,13488.0,291109.0,139.0,,2015.0
380,Cebu,CEBU CITY (Capital),24843.0,15378.0,1670.0,5075.0,483.0,1165.0,8011.0,1222.0,201.0,1768.0,153647.0,275.0,,2015.0
381,Cervantes,CERVANTES,2768.0,205.0,51.0,85.0,54.0,,329.0,38.0,20.0,5.0,126.0,1.0,,2015.0
382,Clarin (BL),CLARIN,606.0,772.0,119.0,315.0,7.0,334.0,335.0,23.0,29.0,104.0,1976.0,3.0,,2015.0
383,Clarin (MC),CLARIN,1986.0,1978.0,347.0,2678.0,189.0,91.0,388.0,80.0,148.0,89.0,400.0,,,2015.0
384,Claver,CLAVER,406.0,2069.0,207.0,325.0,137.0,126.0,163.0,9.0,3.0,5.0,3906.0,1.0,,2015.0
385,Claveria (CG),CLAVERIA,444.0,188.0,1768.0,1289.0,310.0,1235.0,307.0,11.0,1.0,17.0,1688.0,,,2015.0
386,Claveria (MS),,,,,,,,,,,,,,,
387,Claveria (MO),CLAVERIA,3364.0,4061.0,73.0,333.0,26.0,119.0,1673.0,867.0,36.0,13.0,519.0,1.0,,2015.0
388,Columbio,COLUMBIO,158.0,1319.0,1280.0,2771.0,371.0,602.0,1256.0,271.0,42.0,,64.0,,,2015.0
389,Compostela (CU),COMPOSTELA,495.0,307.0,110.0,1296.0,57.0,404.0,653.0,55.0,1.0,153.0,7345.0,4.0,,2015.0
390,Compostela (DDO),COMPOSTELA,2788.0,3393.0,1883.0,7503.0,1251.0,136.0,1489.0,73.0,31.0,147.0,399.0,,,2015.0
391,Concepcion (IO),CONCEPCION,530.0,2274.0,800.0,4181.0,361.0,588.0,733.0,53.0,4.0,176.0,345.0,24.0,,2015.0
392,Concepcion,CONCEPCION,13.0,489.0,1.0,9.0,,71.0,519.0,1325.0,,,33.0,,,2015.0
393,Concepcion (RN),CONCEPCION,506.0,9.0,31.0,17.0,22.0,45.0,285.0,15.0,116.0,,2.0,,,2015.0
394,Concepcion (TC),CONCEPCION,6599.0,837.0,10863.0,4429.0,758.0,310.0,178.0,46.0,1.0,26.0,9192.0,60.0,,2015.0
395,Conner,CONNER,35.0,26.0,628.0,621.0,299.0,2257.0,1126.0,457.0,,1.0,19.0,,,2015.0
396,Consolacion,CONSOLACION,1891.0,2109.0,90.0,536.0,15.0,480.0,115.0,2.0,5.0,485.0,24894.0,3.0,,2015.0
397,Corcuera,CORCUERA,155.0,737.0,103.0,536.0,85.0,293.0,141.0,,332.0,63.0,26.0,,,2015.0
398,Cordon,CORDON,377.0,413.0,2456.0,4017.0,309.0,19.0,232.0,6.0,,1.0,2522.0,1.0,,2015.0
399,Cordova,CORDOVA,227.0,267.0,346.0,486.0,41.0,471.0,535.0,1.0,71.0,129.0,10750.0,,,2015.0
400,Corella,CORELLA,890.0,55.0,1.0,3.0,,4.0,2.0,,,,953.0,,,2015.0
401,Coron,CORON,3084.0,1805.0,500.0,1110.0,24.0,1987.0,358.0,31.0,363.0,2.0,2248.0,,,2015.0
402,Cortes (BL),CORTES,945.0,309.0,3.0,25.0,6.0,9.0,209.0,47.0,5.0,2.0,2070.0,,,2015.0
403,Cortes (SS),CORTES,1078.0,1373.0,32.0,116.0,218.0,148.0,162.0,1.0,2.0,257.0,143.0,,,2015.0
404,Cotabato,COTABATO CITY,30976.0,16219.0,563.0,2176.0,240.0,1953.0,12.0,5.0,23.0,2624.0,3419.0,656.0,,2015.0
405,Cuartero,CUARTERO,38.0,174.0,2146.0,1638.0,74.0,1207.0,24.0,10.0,44.0,42.0,1049.0,,,2015.0
406,Cuenca,CUENCA,3988.0,513.0,453.0,295.0,19.0,248.0,128.0,1.0,,1.0,1565.0,2.0,,2015.0
407,Culaba,CULABA,1554.0,814.0,32.0,16.0,,123.0,126.0,35.0,8.0,1.0,18.0,,,2015.0
408,Culasi,CULASI,2269.0,2438.0,1205.0,2144.0,73.0,492.0,235.0,244.0,185.0,34.0,364.0,6.0,,2015.0
409,Culion,CULION,872.0,1071.0,23.0,469.0,53.0,959.0,516.0,194.0,153.0,55.0,287.0,,,2015.0
410,Currimao,CURRIMAO,254.0,252.0,255.0,381.0,83.0,245.0,10.0,4.0,1.0,,1319.0,1.0,,2015.0
411,Cuyapo,CUYAPO,3001.0,1037.0,3692.0,4901.0,101.0,12.0,7.0,2.0,2.0,1.0,2902.0,1.0,,2015.0
412,Cuyo,CUYO,100.0,923.0,76.0,52.0,10.0,3373.0,,,1.0,498.0,70.0,,,2015.0
413,Daan Bantayan,DAANBANTAYAN,2188.0,2748.0,321.0,2472.0,116.0,2620.0,373.0,2.0,208.0,20.0,8719.0,3.0,,2015.0
414,Daet,,,,,,,,,,,,,,,
415,Dagami,DAGAMI,1033.0,3924.0,282.0,1491.0,131.0,986.0,209.0,274.0,37.0,33.0,31.0,2.0,,2015.0
416,Dagohoy,DAGOHOY,107.0,94.0,115.0,720.0,33.0,1368.0,229.0,63.0,46.0,,1401.0,,,2015.0
417,Daguioman,DAGUIOMAN,,,1.0,1.0,,,373.0,,,,,,,2015.0
418,Dagupan,DAGUPAN CITY,10137.0,4338.0,1572.0,3377.0,207.0,46.0,31.0,2.0,1.0,1268.0,17148.0,41.0,,2015.0
419,Dalaguete,DALAGUETE,3069.0,2080.0,51.0,156.0,2.0,95.0,3168.0,763.0,203.0,467.0,4378.0,1.0,,2015.0
420,Damulog,DAMULOG,1012.0,907.0,370.0,990.0,192.0,370.0,1335.0,1105.0,20.0,1.0,481.0,,,2015.0
421,Danao (BL),DANAO,287.0,403.0,31.0,444.0,278.0,872.0,322.0,143.0,10.0,2.0,1129.0,,,2015.0
422,Danao (BL),DANAO CITY,2906.0,4062.0,296.0,1395.0,77.0,1386.0,1079.0,510.0,23.0,209.0,19668.0,,,2015.0
