,name,city,Own use faucet community water system_count,Shared faucet community water system_count,Own use tubed/piped deep well_count,Shared tubed/piped deep well_count,Tubed/piped shallow well_count,Dug well_count,Protected spring_count,Unprotected spring_count,Lake river rain and others_count,Peddler_count,Bottled water_count,Others_count,Not Reported_count,year
427,Dapa,DAPA,1548.0,1536.0,116.0,770.0,183.0,50.0,81.0,,102.0,655.0,98.0,,,2015.0
428,Dapitan,DAPITAN CITY,5341.0,5261.0,603.0,1381.0,280.0,1669.0,2655.0,328.0,378.0,32.0,176.0,4.0,,2015.0
429,Daraga,,,,,,,,,,,,,,,
430,Daram,DARAM,307.0,4948.0,120.0,2251.0,125.0,558.0,125.0,129.0,112.0,33.0,8.0,,,2015.0
431,Dasmarinas,CITY OF DASMARIÑAS,129503.0,9516.0,1592.0,1486.0,46.0,78.0,90.0,3.0,13.0,1570.0,3789.0,113.0,,2015.0
432,Dasol,DASOL,1230.0,302.0,1496.0,2989.0,34.0,644.0,13.0,4.0,15.0,,53.0,5.0,,2015.0
433,Datu Abdullah Sangki,DATU ABDULLAH SANGKI,382.0,156.0,1596.0,1687.0,37.0,23.0,21.0,,,1.0,1.0,2.0,,2015.0
434,Datu Anggal Midtimbang,DATU ANGGAL MIDTIMBANG,82.0,1568.0,91.0,146.0,856.0,877.0,1.0,,34.0,72.0,14.0,103.0,,2015.0
435,Datu Blah Sinsuat,DATU BLAH T. SINSUAT,35.0,66.0,33.0,502.0,12.0,145.0,2776.0,258.0,233.0,20.0,,,,2015.0
436,Datu Hoffer Ampatuan,DATU HOFFER AMPATUAN,100.0,486.0,268.0,1238.0,931.0,728.0,548.0,6.0,3.0,,,,,2015.0
437,Datu Odin Sinsuat,DATU ODIN SINSUAT (DINAIG),3987.0,2114.0,1556.0,5033.0,757.0,1533.0,880.0,922.0,257.0,2.0,40.0,7.0,,2015.0
438,Datu Paglas,DATU PAGLAS,50.0,59.0,1595.0,2535.0,210.0,6.0,108.0,73.0,,,27.0,5.0,,2015.0
439,Datu Piang,DATU PIANG,105.0,142.0,665.0,1128.0,709.0,1125.0,3.0,2.0,5.0,261.0,17.0,22.0,,2015.0
440,Datu Salibo,DATU SALIBO,63.0,11.0,295.0,77.0,72.0,1280.0,4.0,1.0,86.0,709.0,2.0,,,2015.0
441,Datu Saudi-Ampatuan,DATU SAUDI-AMPATUAN,83.0,259.0,282.0,469.0,11.0,2431.0,286.0,3.0,4.0,477.0,53.0,,,2015.0
442,Datu Unsay,DATU UNSAY,21.0,164.0,136.0,317.0,184.0,200.0,136.0,266.0,25.0,182.0,391.0,7.0,,2015.0
443,Dauin,DAUIN,3598.0,1869.0,85.0,266.0,219.0,152.0,,10.0,,248.0,72.0,1.0,,2015.0
444,Dauis,DAUIS,8052.0,864.0,30.0,12.0,1.0,22.0,2.0,,294.0,7.0,616.0,,,2015.0
445,Davao,DAVAO CITY,243627.0,82477.0,6916.0,22739.0,2054.0,6457.0,12624.0,2375.0,1955.0,19492.0,7919.0,1316.0,,2015.0
446,Del Carmen,DEL CARMEN,1184.0,1951.0,174.0,73.0,7.0,351.0,25.0,2.0,148.0,17.0,33.0,8.0,,2015.0
447,Delfin Albano,DELFIN ALBANO (MAGSAYSAY),1808.0,349.0,142.0,193.0,292.0,3752.0,1.0,1.0,,1.0,25.0,73.0,,2015.0
448,Del Gallego,,,,,,,,,,,,,,,
449,Diadi,DIADI,231.0,138.0,419.0,1313.0,1085.0,140.0,687.0,334.0,46.0,,46.0,2.0,,2015.0
450,Diffun,DIFFUN,760.0,792.0,2448.0,4783.0,1427.0,95.0,1520.0,363.0,2.0,,89.0,4.0,,2015.0
451,Digos,CITY OF DIGOS (Capital),20099.0,7637.0,3103.0,7194.0,481.0,285.0,2132.0,59.0,25.0,353.0,182.0,,,2015.0
452,Dilasag,DILASAG,224.0,107.0,1510.0,1637.0,291.0,11.0,89.0,80.0,,,,,,2015.0
453,Dimasalang,,,,,,,,,,,,,,,
454,Dimataling,DIMATALING,1048.0,2343.0,365.0,1595.0,174.0,307.0,397.0,24.0,281.0,,38.0,,,2015.0
455,Dimiao,DIMIAO,1456.0,909.0,17.0,12.0,3.0,27.0,677.0,107.0,6.0,,13.0,,,2015.0
456,Dinagat,DINAGAT,503.0,414.0,53.0,476.0,34.0,297.0,302.0,36.0,82.0,1.0,22.0,,,2015.0
457,Dinalungan,DINALUNGAN,2058.0,365.0,68.0,121.0,2.0,11.0,3.0,19.0,13.0,1.0,,,,2015.0
458,Dinalupihan,DINALUPIHAN,14508.0,1557.0,2261.0,2393.0,349.0,195.0,1186.0,775.0,41.0,220.0,486.0,,,2015.0
459,Dinapigue,DINAPIGUE,5.0,1.0,377.0,555.0,97.0,17.0,157.0,2.0,20.0,,,,,2015.0
460,Dinas,DINAS,2080.0,2260.0,245.0,1216.0,82.0,1286.0,362.0,138.0,13.0,5.0,15.0,,,2015.0
461,Dingalan,DINGALAN,1357.0,419.0,644.0,2452.0,128.0,239.0,412.0,24.0,22.0,6.0,22.0,1.0,,2015.0
462,Dingle,DINGLE,3053.0,259.0,1597.0,2328.0,1866.0,472.0,693.0,43.0,12.0,16.0,75.0,,,2015.0
463,Dingras,DINGRAS,1526.0,339.0,2437.0,2056.0,103.0,1976.0,183.0,10.0,24.0,1.0,102.0,,,2015.0
464,Dipaculao,DIPACULAO,1974.0,550.0,1311.0,1931.0,455.0,93.0,621.0,83.0,12.0,1.0,11.0,9.0,,2015.0
465,Diplahan,DIPLAHAN,654.0,3405.0,320.0,748.0,68.0,318.0,997.0,388.0,97.0,364.0,304.0,,,2015.0
466,Dipolog,DIPOLOG CITY (Capital),15885.0,4516.0,1867.0,4310.0,282.0,1413.0,510.0,98.0,8.0,534.0,551.0,9.0,,2015.0
467,Ditsaan-Ramain,DITSAAN-RAMAIN,129.0,355.0,295.0,70.0,387.0,6.0,219.0,332.0,942.0,327.0,165.0,,,2015.0
468,Divilacan,DIVILACAN,13.0,5.0,306.0,527.0,73.0,134.0,2.0,152.0,95.0,,,3.0,,2015.0
469,Dolores (AA),DOLORES,613.0,119.0,461.0,1063.0,71.0,54.0,64.0,65.0,20.0,,18.0,,,2015.0
470,Dolores (ES),DOLORES,573.0,2482.0,619.0,4424.0,198.0,169.0,504.0,177.0,200.0,3.0,102.0,,,2015.0
471,Dolores (QN),DOLORES,3237.0,554.0,598.0,421.0,51.0,23.0,1462.0,59.0,32.0,5.0,33.0,35.0,,2015.0
472,Don Carlos,DON CARLOS,4012.0,1558.0,1091.0,2224.0,122.0,2747.0,1283.0,1144.0,16.0,48.0,153.0,1.0,,2015.0
473,Don Marcelino,DON MARCELINO,1494.0,2294.0,61.0,1279.0,1332.0,1014.0,1766.0,1548.0,218.0,181.0,14.0,6.0,,2015.0
474,Donsol,,,,,,,,,,,,,,,
475,Don Victoriano Chiongbian,DON VICTORIANO CHIONGBIAN (DON MARIANO MARCOS),310.0,1544.0,14.0,169.0,1.0,27.0,198.0,169.0,57.0,,2.0,,,2015.0
476,Dona Remedios Trinidad,DOÑA REMEDIOS TRINIDAD,623.0,526.0,330.0,1213.0,263.0,278.0,1240.0,35.0,439.0,7.0,131.0,5.0,,2015.0
477,Duero,DUERO,2750.0,204.0,284.0,335.0,10.0,4.0,313.0,82.0,8.0,,27.0,,,2015.0
478,Duenas,DUEÑAS,1039.0,277.0,978.0,2089.0,767.0,2141.0,350.0,15.0,11.0,,155.0,,,2015.0
479,Dulag,DULAG,309.0,225.0,2524.0,7711.0,88.0,721.0,7.0,1.0,25.0,161.0,65.0,1.0,,2015.0
480,Dumaguete,DUMAGUETE CITY (Capital),24508.0,3106.0,405.0,1270.0,91.0,47.0,7.0,3.0,,54.0,254.0,5.0,,2015.0
481,Dumalag,DUMALAG,734.0,603.0,1161.0,1159.0,131.0,1628.0,516.0,538.0,173.0,363.0,74.0,1.0,,2015.0
482,Dumalinao,DUMALINAO,1472.0,1922.0,496.0,856.0,18.0,443.0,1065.0,718.0,19.0,31.0,57.0,,,2015.0
483,Dumalneg,DUMALNEG,573.0,1.0,,,,,,,,,,,,2015.0
484,Dumangas,DUMANGAS,2350.0,1319.0,3187.0,5721.0,500.0,930.0,14.0,3.0,76.0,166.0,1499.0,28.0,,2015.0
485,Dumanjug,DUMANJUG,6534.0,2611.0,63.0,528.0,128.0,122.0,626.0,160.0,,138.0,,50.0,,2015.0
486,Dumaran,DUMARAN,466.0,1140.0,265.0,336.0,432.0,3131.0,5.0,3.0,21.0,12.0,1.0,,,2015.0
487,Dumarao,DUMARAO,1074.0,314.0,2513.0,2615.0,482.0,2383.0,1181.0,305.0,27.0,71.0,102.0,,,2015.0
488,Dumingag,DUMINGAG,1224.0,2408.0,921.0,2004.0,552.0,907.0,788.0,936.0,140.0,1.0,5.0,2.0,,2015.0
489,Dupax Del Norte,DUPAX DEL NORTE,441.0,271.0,1427.0,1669.0,271.0,13.0,1448.0,1026.0,9.0,,66.0,5.0,,2015.0
490,Dupax Del Sur,DUPAX DEL SUR,553.0,226.0,239.0,903.0,192.0,157.0,1612.0,416.0,4.0,,42.0,187.0,,2015.0
491,Echague,ECHAGUE,1337.0,377.0,7257.0,8243.0,122.0,1289.0,59.0,33.0,,,155.0,2.0,,2015.0
492,El Nido,EL NIDO (BACUIT),450.0,1944.0,488.0,1009.0,239.0,4183.0,206.0,175.0,260.0,235.0,301.0,,,2015.0
493,El Salvador,CITY OF EL SALVADOR,8639.0,2521.0,72.0,425.0,39.0,50.0,18.0,15.0,74.0,13.0,74.0,,,2015.0
494,Enrile,ENRILE,3850.0,341.0,1124.0,1328.0,25.0,579.0,265.0,,,,31.0,,,2015.0
495,E. B. Magalona,ENRIQUE B. MAGALONA (SARAVIA),1574.0,1044.0,800.0,9107.0,120.0,460.0,719.0,162.0,9.0,31.0,637.0,1.0,,2015.0
496,Enrique Villanueva,ENRIQUE VILLANUEVA,550.0,797.0,4.0,24.0,2.0,2.0,4.0,1.0,3.0,86.0,3.0,,,2015.0
497,Escalante,CITY OF ESCALANTE,3664.0,3712.0,1240.0,3073.0,213.0,8578.0,278.0,226.0,23.0,212.0,322.0,3.0,,2015.0
498,Esperanza (AS),ESPERANZA,1951.0,2172.0,290.0,4969.0,41.0,199.0,1331.0,594.0,64.0,1.0,26.0,16.0,,2015.0
499,Esperanza (MS),,,,,,,,,,,,,,,
500,Esperanza (SK),ESPERANZA,1467.0,1316.0,6235.0,3011.0,450.0,256.0,1435.0,1085.0,361.0,21.0,228.0,3.0,,2015.0
501,Estancia,ESTANCIA,790.0,1036.0,1563.0,4573.0,259.0,1987.0,26.0,12.0,4.0,529.0,372.0,12.0,,2015.0
502,Famy,FAMY,1942.0,596.0,70.0,792.0,259.0,60.0,324.0,29.0,16.0,18.0,11.0,,,2015.0
503,Ferrol,FERROL,129.0,127.0,243.0,1024.0,3.0,11.0,56.0,50.0,,,12.0,1.0,,2015.0
504,Flora,FLORA,275.0,56.0,603.0,679.0,285.0,2033.0,52.0,35.0,11.0,27.0,,,,2015.0
505,Floridablanca,FLORIDABLANCA,23075.0,960.0,1866.0,1535.0,574.0,51.0,537.0,3.0,63.0,10.0,223.0,18.0,,2015.0
506,Gabaldon,GABALDON (BITULOK & SABANI),55.0,191.0,2735.0,2456.0,11.0,8.0,2616.0,270.0,46.0,70.0,47.0,5.0,,2015.0
507,Gainza,,,,,,,,,,,,,,,
508,Galimuyod,GALIMUYOD,977.0,246.0,130.0,828.0,16.0,23.0,63.0,3.0,,8.0,32.0,,,2015.0
509,Gamay,GAMAY,216.0,560.0,448.0,2443.0,145.0,40.0,741.0,126.0,90.0,444.0,10.0,,,2015.0
510,Gamu,GAMU,1809.0,540.0,1661.0,1915.0,17.0,621.0,9.0,1.0,2.0,,154.0,62.0,,2015.0
511,Ganassi,GANASSI,36.0,291.0,254.0,437.0,58.0,1.0,559.0,611.0,1331.0,,1.0,,,2015.0
512,Gandara,GANDARA,358.0,4441.0,56.0,896.0,90.0,71.0,110.0,556.0,25.0,466.0,52.0,,,2015.0
513,Gapan,CITY OF GAPAN,8711.0,3276.0,5939.0,6481.0,300.0,11.0,27.0,,1.0,2.0,140.0,18.0,,2015.0
514,Garchitorena,,,,,,,,,,,,,,,
515,Garcia-Hernandez,GARCIA HERNANDEZ,4335.0,292.0,5.0,49.0,15.0,2.0,255.0,11.0,3.0,3.0,23.0,,,2015.0
516,Gasan,GASAN,1607.0,1795.0,1187.0,2385.0,635.0,67.0,107.0,125.0,15.0,6.0,129.0,12.0,,2015.0
517,Gattaran,GATTARAN,474.0,230.0,5668.0,5228.0,125.0,636.0,334.0,4.0,128.0,,47.0,,,2015.0
518,Gen. Emilio Aguinaldo,GENERAL EMILIO AGUINALDO,4037.0,231.0,13.0,4.0,19.0,9.0,66.0,,26.0,,9.0,,,2015.0
519,General Luna (QN),GENERAL LUNA,495.0,1043.0,173.0,577.0,112.0,2254.0,384.0,91.0,19.0,432.0,99.0,1.0,,2015.0
520,General Luna  (SN),GENERAL LUNA,186.0,1257.0,265.0,1524.0,14.0,189.0,1.0,4.0,122.0,9.0,53.0,223.0,,2015.0
521,General Macarthur,GENERAL MACARTHUR,981.0,1606.0,12.0,75.0,2.0,6.0,22.0,78.0,225.0,,27.0,,,2015.0
522,General Mamerto Natividad,GENERAL MAMERTO NATIVIDAD,1394.0,362.0,3916.0,3289.0,993.0,,26.0,1.0,,,43.0,6.0,,2015.0
523,General Nakar,GENERAL NAKAR,736.0,1966.0,569.0,752.0,14.0,97.0,1314.0,887.0,97.0,1.0,6.0,12.0,,2015.0
524,General Santos,GENERAL SANTOS CITY (DADIANGAS),72381.0,31201.0,11388.0,19279.0,2244.0,1372.0,1701.0,574.0,534.0,1651.0,1653.0,354.0,,2015.0
525,General Tinio,GENERAL TINIO (PAPAYA),3765.0,424.0,2612.0,2234.0,1516.0,30.0,260.0,1.0,107.0,,44.0,3.0,,2015.0
526,General Trias,CITY OF GENERAL TRIAS,61454.0,6162.0,2043.0,3777.0,124.0,209.0,77.0,4.0,13.0,76.0,6100.0,103.0,,2015.0
527,Gen. Mariano Alvarez,GEN. MARIANO ALVAREZ,26054.0,7638.0,46.0,128.0,5.0,22.0,3.0,2.0,1.0,474.0,316.0,84.0,,2015.0
528,Gen S.K Pendatun,GEN. S. K. PENDATUN,169.0,332.0,1228.0,2033.0,47.0,80.0,2.0,,117.0,,1.0,280.0,,2015.0
529,Gerona,GERONA,5064.0,646.0,7828.0,6603.0,794.0,29.0,10.0,,,7.0,316.0,5.0,,2015.0
530,Getafe,GETAFE,956.0,934.0,135.0,885.0,74.0,1840.0,121.0,3.0,640.0,774.0,125.0,,,2015.0
531,Gigaquit,GIGAQUIT,381.0,1092.0,649.0,1368.0,26.0,253.0,417.0,2.0,299.0,1.0,43.0,1.0,,2015.0
532,Gigmoto,,,,,,,,,,,,,,,
533,Ginatilan,GINATILAN,2044.0,775.0,50.0,134.0,1.0,37.0,176.0,162.0,,1.0,,,,2015.0
534,Gingoog,GINGOOG CITY,8166.0,7364.0,388.0,5637.0,174.0,167.0,3847.0,591.0,69.0,78.0,51.0,2.0,,2015.0
535,Giporlos,GIPORLOS,155.0,957.0,255.0,1621.0,8.0,69.0,98.0,5.0,37.0,,19.0,,,2015.0
536,Gitagum,GITAGUM,3014.0,712.0,20.0,64.0,1.0,9.0,52.0,1.0,14.0,,8.0,,,2015.0
537,Glan,GLAN,3126.0,5150.0,2839.0,5981.0,1320.0,2715.0,3919.0,2722.0,240.0,13.0,341.0,,,2015.0
538,Gloria,GLORIA,775.0,1203.0,3608.0,4306.0,66.0,47.0,85.0,149.0,17.0,84.0,9.0,17.0,,2015.0
539,Goa,,,,,,,,,,,,,,,
540,Godod,GODOD,392.0,1409.0,64.0,483.0,126.0,320.0,903.0,47.0,58.0,,,,,2015.0
541,Gonzaga,GONZAGA,2023.0,491.0,1887.0,862.0,203.0,2918.0,139.0,40.0,6.0,,34.0,,,2015.0
542,Governor Generoso,GOVERNOR GENEROSO,3783.0,2508.0,862.0,4146.0,100.0,264.0,721.0,315.0,6.0,2.0,22.0,9.0,,2015.0
543,Gregorio Del Pilar,GREGORIO DEL PILAR (CONCEPCION),822.0,75.0,,,1.0,,9.0,1.0,,,,,,2015.0
544,Guagua,GUAGUA,19013.0,815.0,3870.0,1981.0,83.0,57.0,21.0,1.0,,,490.0,5.0,,2015.0
545,Gubat,,,,,,,,,,,,,,,
546,Guiguinto (BU),GUIGUINTO,15761.0,828.0,1686.0,1247.0,175.0,105.0,,,2.0,77.0,3152.0,29.0,,2015.0
547,Guihulngan,CITY OF GUIHULNGAN,3549.0,6348.0,938.0,4038.0,465.0,1711.0,3763.0,1393.0,,144.0,143.0,2.0,,2015.0
548,Guimba,GUIMBA,8420.0,1278.0,7603.0,11137.0,160.0,68.0,1.0,1.0,,1.0,33.0,5.0,,2015.0
549,Guimbal,GUIMBAL,1110.0,184.0,1760.0,2045.0,87.0,2017.0,114.0,16.0,3.0,1.0,103.0,30.0,,2015.0
550,Guinayangan,GUINAYANGAN,3120.0,2127.0,1005.0,1451.0,175.0,1636.0,588.0,115.0,28.0,,59.0,,,2015.0
551,Guindulman,GUINDULMAN,4885.0,1164.0,41.0,386.0,196.0,167.0,134.0,40.0,22.0,173.0,26.0,,,2015.0
552,Guindulungan,GUINDULUNGAN,196.0,344.0,498.0,1399.0,25.0,237.0,176.0,118.0,10.0,,,,,2015.0
553,Guinobatan,,,,,,,,,,,,,,,
554,Guinsiliban,GUINSILIBAN,1056.0,299.0,1.0,96.0,,,5.0,2.0,,,,,,2015.0
555,Guipos,GUIPOS,1796.0,1276.0,77.0,253.0,6.0,212.0,247.0,369.0,36.0,24.0,8.0,3.0,,2015.0
556,Guiuan,GUIUAN,2817.0,3177.0,236.0,2393.0,861.0,1369.0,645.0,7.0,727.0,4.0,212.0,,,2015.0
557,Gumaca,GUMACA,1287.0,2267.0,1798.0,6409.0,616.0,2949.0,308.0,380.0,389.0,1012.0,1020.0,10.0,,2015.0
558,Gutalac,GUTALAC,215.0,1174.0,646.0,1982.0,45.0,2221.0,667.0,585.0,17.0,6.0,22.0,4.0,,2015.0
559,Hadji Mohammad Ajul,HADJI MOHAMMAD AJUL,25.0,12.0,111.0,281.0,21.0,2489.0,,1.0,1.0,2.0,4.0,1.0,,2015.0
560,Hadji Muhtamad,HADJI MUHTAMAD,71.0,45.0,27.0,7.0,36.0,2826.0,,8.0,4.0,932.0,,,,2015.0
561,Hadji Panglima Tahil,HADJI PANGLIMA TAHIL (MARUNGGAS),3.0,31.0,,1.0,,3.0,1.0,,,1052.0,,,,2015.0
562,Hagonoy (BU),HAGONOY,28101.0,760.0,118.0,699.0,35.0,157.0,3.0,2.0,,3.0,324.0,6.0,,2015.0
563,Hagonoy (DS),HAGONOY,3010.0,1302.0,1761.0,6199.0,759.0,15.0,55.0,5.0,1.0,15.0,76.0,,,2015.0
564,Hamtic,HAMTIC,582.0,657.0,2367.0,4093.0,42.0,115.0,1448.0,989.0,40.0,2.0,196.0,4.0,,2015.0
565,Hermosa,HERMOSA,6301.0,1077.0,1321.0,3326.0,851.0,217.0,1076.0,111.0,2.0,94.0,50.0,13.0,,2015.0
566,Hernani,HERNANI,160.0,625.0,17.0,516.0,14.0,,694.0,26.0,4.0,1.0,3.0,,,2015.0
567,Hilongos,HILONGOS,2370.0,2705.0,1067.0,6733.0,192.0,415.0,232.0,77.0,388.0,3.0,203.0,9.0,,2015.0
568,Himamaylan,CITY OF HIMAMAYLAN,6617.0,5310.0,1590.0,3792.0,417.0,3863.0,1808.0,991.0,74.0,449.0,759.0,7.0,,2015.0
569,Hinabangan,HINABANGAN,714.0,1319.0,37.0,9.0,187.0,10.0,264.0,68.0,179.0,,4.0,,,2015.0
570,Hinatuan,HINATUAN,4300.0,2160.0,22.0,246.0,579.0,252.0,481.0,242.0,470.0,2.0,113.0,,,2015.0
571,Hindang,HINDANG,755.0,1129.0,618.0,1582.0,158.0,144.0,436.0,20.0,136.0,7.0,9.0,,,2015.0
572,Hingyon,HINGYON,578.0,971.0,6.0,4.0,,1.0,300.0,153.0,32.0,,,,,2015.0
573,Hinigaran,HINIGARAN,2892.0,1373.0,1402.0,5527.0,1315.0,7076.0,124.0,18.0,4.0,446.0,359.0,41.0,,2015.0
574,Hinobaan,HINOBA-AN (ASIA),190.0,426.0,1844.0,6823.0,490.0,1327.0,616.0,588.0,49.0,60.0,125.0,,,2015.0
575,Hinunangan,HINUNANGAN,5062.0,1384.0,101.0,107.0,28.0,121.0,110.0,8.0,7.0,,12.0,,,2015.0
576,Hinundayan,HINUNDAYAN,2671.0,344.0,2.0,30.0,3.0,,1.0,,,1.0,2.0,,,2015.0
577,Hungduan,HUNGDUAN,17.0,13.0,6.0,,,,1815.0,89.0,1.0,,,,,2015.0
578,Iba,IBA (Capital),2098.0,357.0,5114.0,1909.0,1641.0,184.0,283.0,20.0,26.0,14.0,233.0,30.0,,2015.0
579,Ibaan,IBAAN,5708.0,2006.0,2165.0,1702.0,35.0,205.0,30.0,5.0,35.0,20.0,168.0,228.0,,2015.0
580,Ibajay,IBAJAY,463.0,813.0,2604.0,4283.0,566.0,124.0,1133.0,862.0,,,171.0,,,2015.0
581,Igbaras,IGBARAS,326.0,182.0,1111.0,1553.0,181.0,203.0,2756.0,597.0,1.0,6.0,106.0,,,2015.0
582,Iguig,IGUIG,1545.0,123.0,1083.0,1110.0,1672.0,431.0,,3.0,1.0,30.0,181.0,,,2015.0
583,Ilagan,ILAGAN City (Capital),5458.0,965.0,5864.0,11526.0,228.0,8755.0,439.0,143.0,60.0,34.0,1180.0,17.0,,2015.0
584,Iligan,ILIGAN CITY,33491.0,18819.0,3359.0,6686.0,613.0,1384.0,8280.0,1046.0,416.0,554.0,1894.0,51.0,,2015.0
585,Ilog,ILOG,642.0,2123.0,496.0,2311.0,114.0,5558.0,848.0,212.0,13.0,327.0,422.0,,,2015.0
586,Iloilo,ILOILO CITY (Capital),22179.0,13465.0,10455.0,9912.0,665.0,2085.0,4.0,7.0,42.0,8949.0,27333.0,4.0,,2015.0
587,Imelda,IMELDA,1731.0,2214.0,204.0,172.0,65.0,819.0,617.0,580.0,25.0,50.0,62.0,1.0,,2015.0
588,Impasug-Ong,IMPASUG-ONG,3718.0,5022.0,75.0,199.0,72.0,105.0,428.0,200.0,25.0,2.0,12.0,,,2015.0
589,Imus,IMUS CITY,53765.0,6728.0,8056.0,5980.0,553.0,463.0,220.0,4.0,5.0,274.0,21170.0,155.0,,2015.0
590,Inabanga,INABANGA,2701.0,1547.0,392.0,1749.0,49.0,1714.0,198.0,49.0,938.0,510.0,49.0,,,2015.0
591,Indanan,INDANAN,1652.0,3911.0,902.0,2161.0,64.0,1178.0,571.0,324.0,1755.0,1191.0,244.0,1.0,,2015.0
592,Indang,INDANG,11982.0,1883.0,228.0,380.0,21.0,29.0,253.0,11.0,74.0,40.0,94.0,21.0,,2015.0
593,Infanta (PS),INFANTA,1242.0,1446.0,915.0,1207.0,130.0,221.0,164.0,227.0,11.0,,58.0,,,2015.0
594,Infanta (QN),INFANTA,7004.0,2609.0,1689.0,2291.0,514.0,910.0,376.0,34.0,28.0,781.0,204.0,9.0,,2015.0
595,Initao,INITAO,2460.0,2510.0,249.0,1054.0,116.0,677.0,108.0,24.0,16.0,86.0,255.0,,,2015.0
596,Inopacan,INOPACAN,2598.0,1189.0,194.0,412.0,5.0,26.0,284.0,66.0,128.0,,10.0,,,2015.0
597,Ipil,IPIL (CAPITAL),2978.0,5418.0,1035.0,3586.0,238.0,2014.0,258.0,46.0,86.0,1543.0,886.0,6.0,,2015.0
598,Iriga,,,,,,,,,,,,,,,
599,Irosin,,,,,,,,,,,,,,,
600,Isabel,ISABEL,6643.0,2150.0,329.0,1290.0,25.0,184.0,362.0,9.0,104.0,3.0,79.0,23.0,,2015.0
601,Isabela (BAS),CITY OF ISABELA,10133.0,4844.0,573.0,3088.0,77.0,1483.0,678.0,129.0,204.0,1573.0,126.0,8.0,,2015.0
602,Isabela (NO),ISABELA,530.0,1506.0,1536.0,5502.0,621.0,1417.0,1993.0,344.0,27.0,128.0,196.0,1.0,,2015.0
603,Igacos,ISLAND GARDEN CITY OF SAMAL,12671.0,7647.0,368.0,1222.0,64.0,135.0,2170.0,12.0,998.0,774.0,184.0,,,2015.0
604,Isulan,ISULAN (Capital),4398.0,1003.0,5767.0,5553.0,1987.0,72.0,1068.0,40.0,12.0,52.0,377.0,3.0,,2015.0
605,Itbayat,ITBAYAT,781.0,23.0,,,,,8.0,12.0,6.0,,1.0,,,2015.0
606,Itogon,ITOGON,1191.0,3886.0,389.0,446.0,6.0,13.0,5146.0,1149.0,27.0,1166.0,807.0,,,2015.0
607,Ivana,IVANA,243.0,122.0,1.0,4.0,,,,,,,1.0,,,2015.0
608,Ivisan,IVISAN,1383.0,560.0,384.0,1764.0,823.0,727.0,479.0,97.0,148.0,353.0,20.0,,,2015.0
609,Jabonga,,,,,,,,,,,,,,,
610,Jaen,JAEN,7999.0,1419.0,3697.0,4530.0,218.0,,2.0,,,,36.0,3.0,,2015.0
611,Jagna,JAGNA,5658.0,1368.0,109.0,142.0,25.0,10.0,84.0,5.0,9.0,1.0,95.0,,,2015.0
612,Jalajala,JALA-JALA,1851.0,708.0,1557.0,2210.0,58.0,45.0,186.0,19.0,71.0,70.0,142.0,2.0,,2015.0
613,Jamindan,JAMINDAN,314.0,396.0,885.0,1042.0,526.0,4509.0,250.0,414.0,75.0,130.0,35.0,,,2015.0
614,Janiuay,JANIUAY,2382.0,1434.0,2927.0,4175.0,432.0,1218.0,835.0,192.0,121.0,12.0,137.0,,,2015.0
615,Jaro,JARO,1735.0,2538.0,597.0,1699.0,83.0,864.0,1746.0,411.0,43.0,5.0,22.0,4.0,,2015.0
616,Jasaan,JASAAN,5868.0,4480.0,348.0,144.0,27.0,538.0,280.0,42.0,177.0,72.0,208.0,,,2015.0
617,Javier,JAVIER (BUGHO),515.0,2024.0,486.0,1981.0,250.0,525.0,176.0,13.0,31.0,3.0,18.0,2.0,,2015.0
618,Jiabong,JIABONG,821.0,1801.0,94.0,745.0,7.0,7.0,207.0,158.0,4.0,21.0,31.0,,,2015.0
619,Jimalalud,JIMALALUD,321.0,900.0,465.0,1718.0,97.0,1219.0,1866.0,541.0,,6.0,58.0,,,2015.0
620,Jimenez,JIMENEZ,3793.0,731.0,131.0,448.0,482.0,15.0,588.0,145.0,7.0,1.0,21.0,,,2015.0
621,Jipapad,JIPAPAD,6.0,1447.0,5.0,59.0,102.0,7.0,3.0,35.0,63.0,,1.0,,,2015.0
622,Jolo,JOLO (Capital),8494.0,7905.0,379.0,1309.0,107.0,307.0,22.0,2.0,26.0,854.0,36.0,2.0,,2015.0
623,Jomalig,JOMALIG,3.0,2.0,43.0,457.0,583.0,434.0,4.0,2.0,,3.0,1.0,,,2015.0
624,Jones,JONES,1367.0,659.0,4255.0,3804.0,12.0,200.0,238.0,69.0,4.0,,40.0,2.0,,2015.0
625,Jordan,JORDAN (CAPITAL),827.0,1003.0,833.0,1675.0,186.0,2655.0,471.0,311.0,10.0,30.0,309.0,1.0,,2015.0
626,Jose Abad Santos,JOSE ABAD SANTOS (TRINIDAD),397.0,3101.0,521.0,3537.0,857.0,1477.0,4843.0,3059.0,322.0,1.0,,2.0,,2015.0
627,Jose Dalman,JOSE DALMAN (PONOT),494.0,1110.0,116.0,1693.0,43.0,929.0,326.0,1068.0,301.0,,24.0,,,2015.0
628,Josefina,JOSEFINA,972.0,1006.0,2.0,174.0,1.0,230.0,15.0,142.0,14.0,,,,,2015.0
629,Jose Panganiban,,,,,,,,,,,,,,,
630,Jovellar,,,,,,,,,,,,,,,
631,Juban,,,,,,,,,,,,,,,
