,name,city,bldg_type,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
9486,Sugpon,SUGPON,Single house,845.0,968.0,4548.0,4.7,1.15,5.38,2015.0
9487,Sugpon,SUGPON,Duplex,2.0,2.0,8.0,4.0,1.0,4.0,2015.0
9488,Sugpon,SUGPON,Multi-unit residential,,,,,,,2015.0
9489,Sugpon,SUGPON,Commercial/industrial/agricultural,1.0,1.0,9.0,9.0,1.0,9.0,2015.0
9490,Sugpon,SUGPON,Institutional living quarter,,,,,,,2015.0
9491,Sugpon,SUGPON,Others,,,,,,,2015.0
9492,Sugpon,SUGPON,Not Reported,1.0,1.0,20.0,20.0,1.0,20.0,2015.0
9493,Sulat,SULAT,Single house,3455.0,3482.0,14566.0,4.18,1.01,4.22,2015.0
9494,Sulat,SULAT,Duplex,167.0,167.0,656.0,3.93,1.0,3.93,2015.0
9495,Sulat,SULAT,Multi-unit residential,27.0,27.0,128.0,4.74,1.0,4.74,2015.0
9496,Sulat,SULAT,Commercial/industrial/agricultural,1.0,1.0,3.0,3.0,1.0,3.0,2015.0
9497,Sulat,SULAT,Institutional living quarter,,,,,,,2015.0
9498,Sulat,SULAT,Others,,,,,,,2015.0
9499,Sulat,SULAT,Not Reported,,,,,,,2015.0
9500,Sulop,SULOP,Single house,8263.0,8316.0,32510.0,3.91,1.01,3.93,2015.0
9501,Sulop,SULOP,Duplex,230.0,233.0,881.0,3.78,1.01,3.83,2015.0
9502,Sulop,SULOP,Multi-unit residential,47.0,47.0,165.0,3.51,1.0,3.51,2015.0
9503,Sulop,SULOP,Commercial/industrial/agricultural,3.0,3.0,9.0,3.0,1.0,3.0,2015.0
9504,Sulop,SULOP,Institutional living quarter,,,,,,,2015.0
9505,Sulop,SULOP,Others,,,,,,,2015.0
9506,Sulop,SULOP,Not Reported,7.0,7.0,23.0,3.29,1.0,3.29,2015.0
9507,Sultan Dumalondong,SULTAN DUMALONDONG,Single house,1062.0,1438.0,10011.0,6.96,1.35,9.43,2015.0
9508,Sultan Dumalondong,SULTAN DUMALONDONG,Duplex,110.0,150.0,982.0,6.55,1.36,8.93,2015.0
9509,Sultan Dumalondong,SULTAN DUMALONDONG,Multi-unit residential,45.0,45.0,271.0,6.02,1.0,6.02,2015.0
9510,Sultan Dumalondong,SULTAN DUMALONDONG,Commercial/industrial/agricultural,6.0,6.0,34.0,5.67,1.0,5.67,2015.0
9511,Sultan Dumalondong,SULTAN DUMALONDONG,Institutional living quarter,,,,,,,2015.0
9512,Sultan Dumalondong,SULTAN DUMALONDONG,Others,,,,,,,2015.0
9513,Sultan Dumalondong,SULTAN DUMALONDONG,Not Reported,,,,,,,2015.0
9514,Sultan Kudarat,SULTAN KUDARAT (NULING),Single house,14724.0,15028.0,91793.0,6.11,1.02,6.23,2015.0
9515,Sultan Kudarat,SULTAN KUDARAT (NULING),Duplex,458.0,475.0,2604.0,5.48,1.04,5.69,2015.0
9516,Sultan Kudarat,SULTAN KUDARAT (NULING),Multi-unit residential,104.0,104.0,535.0,5.14,1.0,5.14,2015.0
9517,Sultan Kudarat,SULTAN KUDARAT (NULING),Commercial/industrial/agricultural,11.0,11.0,76.0,6.91,1.0,6.91,2015.0
9518,Sultan Kudarat,SULTAN KUDARAT (NULING),Institutional living quarter,,,,,,,2015.0
9519,Sultan Kudarat,SULTAN KUDARAT (NULING),Others,1.0,1.0,7.0,7.0,1.0,7.0,2015.0
9520,Sultan Kudarat,SULTAN KUDARAT (NULING),Not Reported,33.0,33.0,178.0,5.39,1.0,5.39,2015.0
9521,Sultan Mastura,SULTAN MASTURA,Single house,3769.0,3801.0,21879.0,5.76,1.01,5.8,2015.0
9522,Sultan Mastura,SULTAN MASTURA,Duplex,53.0,53.0,290.0,5.47,1.0,5.47,2015.0
9523,Sultan Mastura,SULTAN MASTURA,Multi-unit residential,6.0,6.0,32.0,5.33,1.0,5.33,2015.0
9524,Sultan Mastura,SULTAN MASTURA,Commercial/industrial/agricultural,3.0,3.0,18.0,6.0,1.0,6.0,2015.0
9525,Sultan Mastura,SULTAN MASTURA,Institutional living quarter,,,,,,,2015.0
9526,Sultan Mastura,SULTAN MASTURA,Others,,,,,,,2015.0
9527,Sultan Mastura,SULTAN MASTURA,Not Reported,1.0,1.0,2.0,2.0,1.0,2.0,2015.0
9528,Sultan Naga Dimaporo,SULTAN NAGA DIMAPORO (KAROMATAN),Single house,10761.0,10947.0,53610.0,4.9,1.02,4.98,2015.0
9529,Sultan Naga Dimaporo,SULTAN NAGA DIMAPORO (KAROMATAN),Duplex,448.0,451.0,2127.0,4.72,1.01,4.75,2015.0
9530,Sultan Naga Dimaporo,SULTAN NAGA DIMAPORO (KAROMATAN),Multi-unit residential,212.0,217.0,1006.0,4.64,1.02,4.75,2015.0
9531,Sultan Naga Dimaporo,SULTAN NAGA DIMAPORO (KAROMATAN),Commercial/industrial/agricultural,,,,,,,2015.0
9532,Sultan Naga Dimaporo,SULTAN NAGA DIMAPORO (KAROMATAN),Institutional living quarter,1.0,1.0,7.0,7.0,1.0,7.0,2015.0
9533,Sultan Naga Dimaporo,SULTAN NAGA DIMAPORO (KAROMATAN),Others,,,,,,,2015.0
9534,Sultan Naga Dimaporo,SULTAN NAGA DIMAPORO (KAROMATAN),Not Reported,,,,,,,2015.0
9535,Sultan Sa Barongis,SULTAN SA BARONGIS (LAMBAYONG),Single house,3480.0,3493.0,22221.0,6.36,1.0,6.39,2015.0
9536,Sultan Sa Barongis,SULTAN SA BARONGIS (LAMBAYONG),Duplex,22.0,22.0,117.0,5.32,1.0,5.32,2015.0
9537,Sultan Sa Barongis,SULTAN SA BARONGIS (LAMBAYONG),Multi-unit residential,,,,,,,2015.0
9538,Sultan Sa Barongis,SULTAN SA BARONGIS (LAMBAYONG),Commercial/industrial/agricultural,4.0,4.0,30.0,7.5,1.0,7.5,2015.0
9539,Sultan Sa Barongis,SULTAN SA BARONGIS (LAMBAYONG),Institutional living quarter,,,,,,,2015.0
9540,Sultan Sa Barongis,SULTAN SA BARONGIS (LAMBAYONG),Others,,,,,,,2015.0
9541,Sultan Sa Barongis,SULTAN SA BARONGIS (LAMBAYONG),Not Reported,9.0,9.0,57.0,6.33,1.0,6.33,2015.0
9542,Sumilao,SUMILAO,Single house,5145.0,5223.0,25172.0,4.82,1.02,4.89,2015.0
9543,Sumilao,SUMILAO,Duplex,238.0,240.0,1099.0,4.58,1.01,4.62,2015.0
9544,Sumilao,SUMILAO,Multi-unit residential,138.0,141.0,679.0,4.82,1.02,4.92,2015.0
9545,Sumilao,SUMILAO,Commercial/industrial/agricultural,21.0,30.0,126.0,4.2,1.43,6.0,2015.0
9546,Sumilao,SUMILAO,Institutional living quarter,,,,,,,2015.0
9547,Sumilao,SUMILAO,Others,,,,,,,2015.0
9548,Sumilao,SUMILAO,Not Reported,4.0,4.0,18.0,4.5,1.0,4.5,2015.0
9549,Sumisip,SUMISIP,Single house,7027.0,7047.0,39746.0,5.64,1.0,5.66,2015.0
9550,Sumisip,SUMISIP,Duplex,130.0,130.0,677.0,5.21,1.0,5.21,2015.0
9551,Sumisip,SUMISIP,Multi-unit residential,193.0,193.0,1068.0,5.53,1.0,5.53,2015.0
9552,Sumisip,SUMISIP,Commercial/industrial/agricultural,3.0,3.0,7.0,2.33,1.0,2.33,2015.0
9553,Sumisip,SUMISIP,Institutional living quarter,17.0,17.0,94.0,5.53,1.0,5.53,2015.0
9554,Sumisip,SUMISIP,Others,,,,,,,2015.0
9555,Sumisip,SUMISIP,Not Reported,18.0,18.0,116.0,6.44,1.0,6.44,2015.0
9556,Surallah,SURALLAH,Single house,19472.0,19648.0,81867.0,4.17,1.01,4.2,2015.0
9557,Surallah,SURALLAH,Duplex,463.0,466.0,1813.0,3.89,1.01,3.92,2015.0
9558,Surallah,SURALLAH,Multi-unit residential,178.0,180.0,599.0,3.33,1.01,3.37,2015.0
9559,Surallah,SURALLAH,Commercial/industrial/agricultural,31.0,31.0,122.0,3.94,1.0,3.94,2015.0
9560,Surallah,SURALLAH,Institutional living quarter,1.0,1.0,5.0,5.0,1.0,5.0,2015.0
9561,Surallah,SURALLAH,Others,,,,,,,2015.0
9562,Surallah,SURALLAH,Not Reported,2.0,4.0,20.0,5.0,2.0,10.0,2015.0
9563,Surigao,SURIGAO CITY (Capital),Single house,30154.0,31075.0,136113.0,4.38,1.03,4.51,2015.0
9564,Surigao,SURIGAO CITY (Capital),Duplex,2453.0,2600.0,10040.0,3.86,1.06,4.09,2015.0
9565,Surigao,SURIGAO CITY (Capital),Multi-unit residential,1877.0,2019.0,6563.0,3.25,1.08,3.5,2015.0
9566,Surigao,SURIGAO CITY (Capital),Commercial/industrial/agricultural,75.0,77.0,335.0,4.35,1.03,4.47,2015.0
9567,Surigao,SURIGAO CITY (Capital),Institutional living quarter,4.0,4.0,17.0,4.25,1.0,4.25,2015.0
9568,Surigao,SURIGAO CITY (Capital),Others,2.0,2.0,3.0,1.5,1.0,1.5,2015.0
9569,Surigao,SURIGAO CITY (Capital),Not Reported,7.0,7.0,34.0,4.86,1.0,4.86,2015.0
9570,Suyo,SUYO,Single house,2418.0,2426.0,11085.0,4.57,1.0,4.58,2015.0
9571,Suyo,SUYO,Duplex,73.0,73.0,302.0,4.14,1.0,4.14,2015.0
9572,Suyo,SUYO,Multi-unit residential,3.0,3.0,19.0,6.33,1.0,6.33,2015.0
9573,Suyo,SUYO,Commercial/industrial/agricultural,2.0,2.0,3.0,1.5,1.0,1.5,2015.0
9574,Suyo,SUYO,Institutional living quarter,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
9575,Suyo,SUYO,Others,,,,,,,2015.0
9576,Suyo,SUYO,Not Reported,,,,,,,2015.0
9577,Taal,TAAL,Single house,11238.0,11616.0,53182.0,4.58,1.03,4.73,2015.0
9578,Taal,TAAL,Duplex,350.0,358.0,1601.0,4.47,1.02,4.57,2015.0
9579,Taal,TAAL,Multi-unit residential,302.0,306.0,1328.0,4.34,1.01,4.4,2015.0
9580,Taal,TAAL,Commercial/industrial/agricultural,7.0,7.0,36.0,5.14,1.0,5.14,2015.0
9581,Taal,TAAL,Institutional living quarter,,,,,,,2015.0
9582,Taal,TAAL,Others,,,,,,,2015.0
9583,Taal,TAAL,Not Reported,3.0,6.0,21.0,3.5,2.0,7.0,2015.0
9584,Tabaco,,,,,,,,,
9585,Tabango,TABANGO,Single house,7940.0,7983.0,33230.0,4.16,1.01,4.19,2015.0
9586,Tabango,TABANGO,Duplex,224.0,225.0,876.0,3.89,1.0,3.91,2015.0
9587,Tabango,TABANGO,Multi-unit residential,14.0,14.0,54.0,3.86,1.0,3.86,2015.0
9588,Tabango,TABANGO,Commercial/industrial/agricultural,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
9589,Tabango,TABANGO,Institutional living quarter,,,,,,,2015.0
9590,Tabango,TABANGO,Others,,,,,,,2015.0
9591,Tabango,TABANGO,Not Reported,4.0,4.0,24.0,6.0,1.0,6.0,2015.0
9592,Tabina,TABINA,Single house,5477.0,5491.0,24519.0,4.47,1.0,4.48,2015.0
9593,Tabina,TABINA,Duplex,110.0,110.0,446.0,4.05,1.0,4.05,2015.0
9594,Tabina,TABINA,Multi-unit residential,19.0,19.0,74.0,3.89,1.0,3.89,2015.0
9595,Tabina,TABINA,Commercial/industrial/agricultural,3.0,3.0,9.0,3.0,1.0,3.0,2015.0
9596,Tabina,TABINA,Institutional living quarter,,,,,,,2015.0
9597,Tabina,TABINA,Others,,,,,,,2015.0
9598,Tabina,TABINA,Not Reported,4.0,4.0,13.0,3.25,1.0,3.25,2015.0
9599,Tabogon,TABOGON,Single house,9231.0,9324.0,37843.0,4.06,1.01,4.1,2015.0
9600,Tabogon,TABOGON,Duplex,220.0,225.0,874.0,3.88,1.02,3.97,2015.0
9601,Tabogon,TABOGON,Multi-unit residential,76.0,76.0,289.0,3.8,1.0,3.8,2015.0
9602,Tabogon,TABOGON,Commercial/industrial/agricultural,2.0,2.0,3.0,1.5,1.0,1.5,2015.0
9603,Tabogon,TABOGON,Institutional living quarter,1.0,1.0,4.0,4.0,1.0,4.0,2015.0
9604,Tabogon,TABOGON,Others,,,,,,,2015.0
9605,Tabogon,TABOGON,Not Reported,,,,,,,2015.0
9606,Tabontabon,TABONTABON,Single house,2751.0,2757.0,11074.0,4.02,1.0,4.03,2015.0
9607,Tabontabon,TABONTABON,Duplex,22.0,22.0,84.0,3.82,1.0,3.82,2015.0
9608,Tabontabon,TABONTABON,Multi-unit residential,,,,,,,2015.0
9609,Tabontabon,TABONTABON,Commercial/industrial/agricultural,,,,,,,2015.0
9610,Tabontabon,TABONTABON,Institutional living quarter,,,,,,,2015.0
9611,Tabontabon,TABONTABON,Others,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
9612,Tabontabon,TABONTABON,Not Reported,,,,,,,2015.0
9613,Tabuan-Lasa,TABUAN-LASA,Single house,3014.0,3534.0,23643.0,6.69,1.17,7.84,2015.0
9614,Tabuan-Lasa,TABUAN-LASA,Duplex,30.0,45.0,308.0,6.84,1.5,10.27,2015.0
9615,Tabuan-Lasa,TABUAN-LASA,Multi-unit residential,,,,,,,2015.0
9616,Tabuan-Lasa,TABUAN-LASA,Commercial/industrial/agricultural,5.0,5.0,29.0,5.8,1.0,5.8,2015.0
9617,Tabuan-Lasa,TABUAN-LASA,Institutional living quarter,1.0,2.0,15.0,7.5,2.0,15.0,2015.0
9618,Tabuan-Lasa,TABUAN-LASA,Others,,,,,,,2015.0
9619,Tabuan-Lasa,TABUAN-LASA,Not Reported,19.0,29.0,193.0,6.66,1.53,10.16,2015.0
9620,Tabuelan,TABUELAN,Single house,6241.0,6300.0,25221.0,4.0,1.01,4.04,2015.0
9621,Tabuelan,TABUELAN,Duplex,84.0,84.0,308.0,3.67,1.0,3.67,2015.0
9622,Tabuelan,TABUELAN,Multi-unit residential,23.0,24.0,77.0,3.21,1.04,3.35,2015.0
9623,Tabuelan,TABUELAN,Commercial/industrial/agricultural,6.0,6.0,11.0,1.83,1.0,1.83,2015.0
9624,Tabuelan,TABUELAN,Institutional living quarter,1.0,1.0,6.0,6.0,1.0,6.0,2015.0
9625,Tabuelan,TABUELAN,Others,,,,,,,2015.0
9626,Tabuelan,TABUELAN,Not Reported,,,,,,,2015.0
9627,Tabuk,CITY OF TABUK (Capital),Single house,20321.0,20398.0,101865.0,4.99,1.0,5.01,2015.0
9628,Tabuk,CITY OF TABUK (Capital),Duplex,1161.0,1167.0,5027.0,4.31,1.01,4.33,2015.0
9629,Tabuk,CITY OF TABUK (Capital),Multi-unit residential,794.0,800.0,2831.0,3.54,1.01,3.57,2015.0
9630,Tabuk,CITY OF TABUK (Capital),Commercial/industrial/agricultural,54.0,54.0,232.0,4.3,1.0,4.3,2015.0
9631,Tabuk,CITY OF TABUK (Capital),Institutional living quarter,5.0,5.0,13.0,2.6,1.0,2.6,2015.0
9632,Tabuk,CITY OF TABUK (Capital),Others,,,,,,,2015.0
9633,Tabuk,CITY OF TABUK (Capital),Not Reported,15.0,15.0,68.0,4.53,1.0,4.53,2015.0
9634,Tacloban,TACLOBAN CITY (Capital),Single house,41069.0,41817.0,201265.0,4.81,1.02,4.9,2015.0
9635,Tacloban,TACLOBAN CITY (Capital),Duplex,3919.0,4004.0,17515.0,4.37,1.02,4.47,2015.0
9636,Tacloban,TACLOBAN CITY (Capital),Multi-unit residential,4221.0,4288.0,19943.0,4.65,1.02,4.72,2015.0
9637,Tacloban,TACLOBAN CITY (Capital),Commercial/industrial/agricultural,255.0,262.0,1101.0,4.2,1.03,4.32,2015.0
9638,Tacloban,TACLOBAN CITY (Capital),Institutional living quarter,29.0,29.0,118.0,4.07,1.0,4.07,2015.0
9639,Tacloban,TACLOBAN CITY (Capital),Others,9.0,9.0,32.0,3.56,1.0,3.56,2015.0
9640,Tacloban,TACLOBAN CITY (Capital),Not Reported,39.0,42.0,150.0,3.57,1.08,3.85,2015.0
9641,Tacurong,CITY OF TACURONG,Single house,19648.0,19858.0,89758.0,4.52,1.01,4.57,2015.0
9642,Tacurong,CITY OF TACURONG,Duplex,1258.0,1267.0,5576.0,4.4,1.01,4.43,2015.0
9643,Tacurong,CITY OF TACURONG,Multi-unit residential,633.0,635.0,2623.0,4.13,1.0,4.14,2015.0
9644,Tacurong,CITY OF TACURONG,Commercial/industrial/agricultural,39.0,42.0,171.0,4.07,1.08,4.38,2015.0
9645,Tacurong,CITY OF TACURONG,Institutional living quarter,2.0,2.0,6.0,3.0,1.0,3.0,2015.0
9646,Tacurong,CITY OF TACURONG,Others,1.0,1.0,3.0,3.0,1.0,3.0,2015.0
9647,Tacurong,CITY OF TACURONG,Not Reported,7.0,9.0,32.0,3.56,1.29,4.57,2015.0
9648,Tadian,TADIAN,Single house,4162.0,4162.0,19081.0,4.58,1.0,4.58,2015.0
9649,Tadian,TADIAN,Duplex,44.0,44.0,210.0,4.77,1.0,4.77,2015.0
9650,Tadian,TADIAN,Multi-unit residential,19.0,19.0,66.0,3.47,1.0,3.47,2015.0
9651,Tadian,TADIAN,Commercial/industrial/agricultural,,,,,,,2015.0
9652,Tadian,TADIAN,Institutional living quarter,2.0,2.0,6.0,3.0,1.0,3.0,2015.0
9653,Tadian,TADIAN,Others,,,,,,,2015.0
9654,Tadian,TADIAN,Not Reported,,,,,,,2015.0
9655,Taft,TAFT,Single house,4130.0,4138.0,17870.0,4.32,1.0,4.33,2015.0
9656,Taft,TAFT,Duplex,174.0,176.0,693.0,3.94,1.01,3.98,2015.0
9657,Taft,TAFT,Multi-unit residential,69.0,71.0,245.0,3.45,1.03,3.55,2015.0
9658,Taft,TAFT,Commercial/industrial/agricultural,2.0,2.0,7.0,3.5,1.0,3.5,2015.0
9659,Taft,TAFT,Institutional living quarter,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
9660,Taft,TAFT,Others,,,,,,,2015.0
9661,Taft,TAFT,Not Reported,,,,,,,2015.0
9662,Tagana-An,TAGANA-AN,Single house,3526.0,3569.0,15652.0,4.39,1.01,4.44,2015.0
9663,Tagana-An,TAGANA-AN,Duplex,149.0,152.0,596.0,3.92,1.02,4.0,2015.0
9664,Tagana-An,TAGANA-AN,Multi-unit residential,57.0,57.0,172.0,3.02,1.0,3.02,2015.0
9665,Tagana-An,TAGANA-AN,Commercial/industrial/agricultural,,,,,,,2015.0
9666,Tagana-An,TAGANA-AN,Institutional living quarter,,,,,,,2015.0
9667,Tagana-An,TAGANA-AN,Others,,,,,,,2015.0
9668,Tagana-An,TAGANA-AN,Not Reported,1.0,1.0,2.0,2.0,1.0,2.0,2015.0
9669,Tagapul-An,TAGAPUL-AN,Single house,1708.0,1782.0,7793.0,4.37,1.04,4.56,2015.0
9670,Tagapul-An,TAGAPUL-AN,Duplex,126.0,130.0,498.0,3.83,1.03,3.95,2015.0
9671,Tagapul-An,TAGAPUL-AN,Multi-unit residential,37.0,39.0,164.0,4.21,1.05,4.43,2015.0
9672,Tagapul-An,TAGAPUL-AN,Commercial/industrial/agricultural,,,,,,,2015.0
9673,Tagapul-An,TAGAPUL-AN,Institutional living quarter,,,,,,,2015.0
9674,Tagapul-An,TAGAPUL-AN,Others,,,,,,,2015.0
9675,Tagapul-An,TAGAPUL-AN,Not Reported,2.0,4.0,18.0,4.5,2.0,9.0,2015.0
9676,Tagaytay,TAGAYTAY CITY,Single house,13311.0,13409.0,58671.0,4.38,1.01,4.41,2015.0
9677,Tagaytay,TAGAYTAY CITY,Duplex,1107.0,1121.0,4712.0,4.2,1.01,4.26,2015.0
9678,Tagaytay,TAGAYTAY CITY,Multi-unit residential,1481.0,1494.0,5925.0,3.97,1.01,4.0,2015.0
9679,Tagaytay,TAGAYTAY CITY,Commercial/industrial/agricultural,35.0,35.0,148.0,4.23,1.0,4.23,2015.0
9680,Tagaytay,TAGAYTAY CITY,Institutional living quarter,5.0,5.0,22.0,4.4,1.0,4.4,2015.0
9681,Tagaytay,TAGAYTAY CITY,Others,,,,,,,2015.0
9682,Tagaytay,TAGAYTAY CITY,Not Reported,30.0,31.0,125.0,4.03,1.03,4.17,2015.0
9683,Tagbilaran,TAGBILARAN CITY (Capital),Single house,17223.0,17572.0,85297.0,4.85,1.02,4.95,2015.0
9684,Tagbilaran,TAGBILARAN CITY (Capital),Duplex,2098.0,2128.0,9523.0,4.48,1.01,4.54,2015.0
9685,Tagbilaran,TAGBILARAN CITY (Capital),Multi-unit residential,1931.0,1982.0,6967.0,3.52,1.03,3.61,2015.0
9686,Tagbilaran,TAGBILARAN CITY (Capital),Commercial/industrial/agricultural,90.0,90.0,358.0,3.98,1.0,3.98,2015.0
9687,Tagbilaran,TAGBILARAN CITY (Capital),Institutional living quarter,74.0,84.0,274.0,3.26,1.14,3.7,2015.0
9688,Tagbilaran,TAGBILARAN CITY (Capital),Others,6.0,6.0,28.0,4.67,1.0,4.67,2015.0
9689,Tagbilaran,TAGBILARAN CITY (Capital),Not Reported,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
9690,Tagbina,TAGBINA,Single house,8064.0,8112.0,37703.0,4.65,1.01,4.68,2015.0
9691,Tagbina,TAGBINA,Duplex,143.0,143.0,581.0,4.06,1.0,4.06,2015.0
9692,Tagbina,TAGBINA,Multi-unit residential,92.0,92.0,300.0,3.26,1.0,3.26,2015.0
9693,Tagbina,TAGBINA,Commercial/industrial/agricultural,18.0,18.0,68.0,3.78,1.0,3.78,2015.0
9694,Tagbina,TAGBINA,Institutional living quarter,1.0,3.0,9.0,3.0,3.0,9.0,2015.0
9695,Tagbina,TAGBINA,Others,,,,,,,2015.0
9696,Tagbina,TAGBINA,Not Reported,,,,,,,2015.0
9697,Tagkawayan,TAGKAWAYAN,Single house,11165.0,11183.0,49748.0,4.45,1.0,4.46,2015.0
9698,Tagkawayan,TAGKAWAYAN,Duplex,358.0,358.0,1543.0,4.31,1.0,4.31,2015.0
9699,Tagkawayan,TAGKAWAYAN,Multi-unit residential,96.0,96.0,416.0,4.33,1.0,4.33,2015.0
9700,Tagkawayan,TAGKAWAYAN,Commercial/industrial/agricultural,5.0,5.0,19.0,3.8,1.0,3.8,2015.0
9701,Tagkawayan,TAGKAWAYAN,Institutional living quarter,1.0,1.0,3.0,3.0,1.0,3.0,2015.0
9702,Tagkawayan,TAGKAWAYAN,Others,,,,,,,2015.0
9703,Tagkawayan,TAGKAWAYAN,Not Reported,2.0,2.0,10.0,5.0,1.0,5.0,2015.0
9704,Tago,TAGO,Single house,7616.0,7656.0,34258.0,4.47,1.01,4.5,2015.0
9705,Tago,TAGO,Duplex,170.0,176.0,701.0,3.98,1.04,4.12,2015.0
9706,Tago,TAGO,Multi-unit residential,66.0,66.0,247.0,3.74,1.0,3.74,2015.0
9707,Tago,TAGO,Commercial/industrial/agricultural,,,,,,,2015.0
9708,Tago,TAGO,Institutional living quarter,,,,,,,2015.0
9709,Tago,TAGO,Others,,,,,,,2015.0
9710,Tago,TAGO,Not Reported,,,,,,,2015.0
9711,Tagoloan (LN),TAGOLOAN,Single house,2272.0,2487.0,11869.0,4.77,1.09,5.22,2015.0
9712,Tagoloan (LN),TAGOLOAN,Duplex,150.0,157.0,765.0,4.87,1.05,5.1,2015.0
9713,Tagoloan (LN),TAGOLOAN,Multi-unit residential,124.0,124.0,595.0,4.8,1.0,4.8,2015.0
9714,Tagoloan (LN),TAGOLOAN,Commercial/industrial/agricultural,,,,,,,2015.0
9715,Tagoloan (LN),TAGOLOAN,Institutional living quarter,,,,,,,2015.0
9716,Tagoloan (LN),TAGOLOAN,Others,,,,,,,2015.0
9717,Tagoloan (LN),TAGOLOAN,Not Reported,,,,,,,2015.0
9718,Tagoloan (MO),TAGOLOAN,Single house,12953.0,13207.0,58667.0,4.44,1.02,4.53,2015.0
9719,Tagoloan (MO),TAGOLOAN,Duplex,2044.0,2103.0,8261.0,3.93,1.03,4.04,2015.0
9720,Tagoloan (MO),TAGOLOAN,Multi-unit residential,1634.0,1659.0,5931.0,3.58,1.02,3.63,2015.0
9721,Tagoloan (MO),TAGOLOAN,Commercial/industrial/agricultural,21.0,21.0,88.0,4.19,1.0,4.19,2015.0
9722,Tagoloan (MO),TAGOLOAN,Institutional living quarter,2.0,2.0,12.0,6.0,1.0,6.0,2015.0
9723,Tagoloan (MO),TAGOLOAN,Others,7.0,7.0,19.0,2.71,1.0,2.71,2015.0
9724,Tagoloan (MO),TAGOLOAN,Not Reported,,,,,,,2015.0
9725,Tagoloan Ii,TAGOLOAN II,Single house,1010.0,1204.0,9089.0,7.55,1.19,9.0,2015.0
9726,Tagoloan Ii,TAGOLOAN II,Duplex,158.0,159.0,1181.0,7.43,1.01,7.47,2015.0
9727,Tagoloan Ii,TAGOLOAN II,Multi-unit residential,115.0,115.0,899.0,7.82,1.0,7.82,2015.0
9728,Tagoloan Ii,TAGOLOAN II,Commercial/industrial/agricultural,,,,,,,2015.0
9729,Tagoloan Ii,TAGOLOAN II,Institutional living quarter,,,,,,,2015.0
9730,Tagoloan Ii,TAGOLOAN II,Others,,,,,,,2015.0
9731,Tagoloan Ii,TAGOLOAN II,Not Reported,,,,,,,2015.0
9732,Tagudin,TAGUDIN,Single house,7864.0,8001.0,36520.0,4.56,1.02,4.64,2015.0
9733,Tagudin,TAGUDIN,Duplex,440.0,453.0,1988.0,4.39,1.03,4.52,2015.0
9734,Tagudin,TAGUDIN,Multi-unit residential,177.0,179.0,690.0,3.85,1.01,3.9,2015.0
9735,Tagudin,TAGUDIN,Commercial/industrial/agricultural,7.0,7.0,27.0,3.86,1.0,3.86,2015.0
9736,Tagudin,TAGUDIN,Institutional living quarter,,,,,,,2015.0
9737,Tagudin,TAGUDIN,Others,,,,,,,2015.0
9738,Tagudin,TAGUDIN,Not Reported,4.0,4.0,15.0,3.75,1.0,3.75,2015.0
9739,Taguig,TAGUIG CITY,Single house,71508.0,74237.0,329607.0,4.44,1.04,4.61,2015.0
9740,Taguig,TAGUIG CITY,Duplex,28731.0,29532.0,120222.0,4.07,1.03,4.18,2015.0
9741,Taguig,TAGUIG CITY,Multi-unit residential,92170.0,94007.0,349744.0,3.72,1.02,3.79,2015.0
9742,Taguig,TAGUIG CITY,Commercial/industrial/agricultural,254.0,265.0,792.0,2.99,1.04,3.12,2015.0
9743,Taguig,TAGUIG CITY,Institutional living quarter,14.0,16.0,45.0,2.81,1.14,3.21,2015.0
9744,Taguig,TAGUIG CITY,Others,24.0,24.0,79.0,3.29,1.0,3.29,2015.0
9745,Taguig,TAGUIG CITY,Not Reported,161.0,175.0,654.0,3.74,1.09,4.06,2015.0
9746,Tagum,CITY OF TAGUM (Capital),Single house,50674.0,51252.0,224782.0,4.39,1.01,4.44,2015.0
9747,Tagum,CITY OF TAGUM (Capital),Duplex,4186.0,4241.0,17210.0,4.06,1.01,4.11,2015.0
9748,Tagum,CITY OF TAGUM (Capital),Multi-unit residential,4269.0,4326.0,15013.0,3.47,1.01,3.52,2015.0
9749,Tagum,CITY OF TAGUM (Capital),Commercial/industrial/agricultural,110.0,110.0,395.0,3.59,1.0,3.59,2015.0
9750,Tagum,CITY OF TAGUM (Capital),Institutional living quarter,24.0,25.0,68.0,2.72,1.04,2.83,2015.0
9751,Tagum,CITY OF TAGUM (Capital),Others,2.0,2.0,2.0,1.0,1.0,1.0,2015.0
9752,Tagum,CITY OF TAGUM (Capital),Not Reported,31.0,33.0,124.0,3.76,1.06,4.0,2015.0
9753,Talacogon,TALACOGON,Single house,7827.0,7925.0,36788.0,4.64,1.01,4.7,2015.0
9754,Talacogon,TALACOGON,Duplex,209.0,211.0,922.0,4.37,1.01,4.41,2015.0
9755,Talacogon,TALACOGON,Multi-unit residential,130.0,135.0,563.0,4.17,1.04,4.33,2015.0
