,name,city,bldg_type,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
124,Alabel,ALABEL (Capital),Others,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
125,Alabel,ALABEL (Capital),Not Reported,30.0,34.0,149.0,4.38,1.13,4.97,2015.0
126,Alamada,ALAMADA,Single house,13753.0,14257.0,61737.0,4.33,1.04,4.49,2015.0
127,Alamada,ALAMADA,Duplex,536.0,536.0,2092.0,3.9,1.0,3.9,2015.0
128,Alamada,ALAMADA,Multi-unit residential,179.0,182.0,662.0,3.64,1.02,3.7,2015.0
129,Alamada,ALAMADA,Commercial/industrial/agricultural,11.0,13.0,51.0,3.92,1.18,4.64,2015.0
130,Alamada,ALAMADA,Institutional living quarter,,,,,,,2015.0
131,Alamada,ALAMADA,Others,,,,,,,2015.0
132,Alamada,ALAMADA,Not Reported,2.0,5.0,8.0,1.6,2.5,4.0,2015.0
133,Alaminos (LA),ALAMINOS,Single house,9145.0,9266.0,40174.0,4.34,1.01,4.39,2015.0
134,Alaminos (LA),ALAMINOS,Duplex,998.0,1004.0,4087.0,4.07,1.01,4.1,2015.0
135,Alaminos (LA),ALAMINOS,Multi-unit residential,875.0,877.0,3457.0,3.94,1.0,3.95,2015.0
136,Alaminos (LA),ALAMINOS,Commercial/industrial/agricultural,6.0,6.0,25.0,4.17,1.0,4.17,2015.0
137,Alaminos (LA),ALAMINOS,Institutional living quarter,1.0,1.0,5.0,5.0,1.0,5.0,2015.0
138,Alaminos (LA),ALAMINOS,Others,,,,,,,2015.0
139,Alaminos (LA),ALAMINOS,Not Reported,,,,,,,2015.0
140,Alaminos (PS),CITY OF ALAMINOS,Single house,20148.0,20303.0,84625.0,4.17,1.01,4.2,2015.0
141,Alaminos (PS),CITY OF ALAMINOS,Duplex,798.0,802.0,3242.0,4.04,1.01,4.06,2015.0
142,Alaminos (PS),CITY OF ALAMINOS,Multi-unit residential,436.0,443.0,1542.0,3.48,1.02,3.54,2015.0
143,Alaminos (PS),CITY OF ALAMINOS,Commercial/industrial/agricultural,22.0,22.0,90.0,4.09,1.0,4.09,2015.0
144,Alaminos (PS),CITY OF ALAMINOS,Institutional living quarter,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
145,Alaminos (PS),CITY OF ALAMINOS,Others,,,,,,,2015.0
146,Alaminos (PS),CITY OF ALAMINOS,Not Reported,5.0,5.0,18.0,3.6,1.0,3.6,2015.0
147,Alang-Alang,ALANGALANG,Single house,12066.0,12118.0,52613.0,4.34,1.0,4.36,2015.0
148,Alang-Alang,ALANGALANG,Duplex,430.0,435.0,1665.0,3.83,1.01,3.87,2015.0
149,Alang-Alang,ALANGALANG,Multi-unit residential,201.0,203.0,902.0,4.44,1.01,4.49,2015.0
150,Alang-Alang,ALANGALANG,Commercial/industrial/agricultural,8.0,8.0,27.0,3.38,1.0,3.38,2015.0
151,Alang-Alang,ALANGALANG,Institutional living quarter,2.0,2.0,9.0,4.5,1.0,4.5,2015.0
152,Alang-Alang,ALANGALANG,Others,1.0,1.0,1.0,1.0,1.0,1.0,2015.0
153,Alang-Alang,ALANGALANG,Not Reported,1.0,1.0,2.0,2.0,1.0,2.0,2015.0
154,Al-Barka,AL-BARKA,Single house,3569.0,3584.0,20425.0,5.7,1.0,5.72,2015.0
155,Al-Barka,AL-BARKA,Duplex,50.0,50.0,270.0,5.4,1.0,5.4,2015.0
156,Al-Barka,AL-BARKA,Multi-unit residential,3.0,3.0,16.0,5.33,1.0,5.33,2015.0
157,Al-Barka,AL-BARKA,Commercial/industrial/agricultural,3.0,3.0,12.0,4.0,1.0,4.0,2015.0
158,Al-Barka,AL-BARKA,Institutional living quarter,,,,,,,2015.0
159,Al-Barka,AL-BARKA,Others,,,,,,,2015.0
160,Al-Barka,AL-BARKA,Not Reported,22.0,22.0,119.0,5.41,1.0,5.41,2015.0
161,Albuera,ALBUERA,Single house,10259.0,10317.0,43313.0,4.2,1.01,4.22,2015.0
162,Albuera,ALBUERA,Duplex,551.0,551.0,2172.0,3.94,1.0,3.94,2015.0
163,Albuera,ALBUERA,Multi-unit residential,190.0,190.0,814.0,4.28,1.0,4.28,2015.0
164,Albuera,ALBUERA,Commercial/industrial/agricultural,3.0,3.0,10.0,3.33,1.0,3.33,2015.0
165,Albuera,ALBUERA,Institutional living quarter,,,,,,,2015.0
166,Albuera,ALBUERA,Others,,,,,,,2015.0
167,Albuera,ALBUERA,Not Reported,6.0,6.0,23.0,3.83,1.0,3.83,2015.0
168,Alburquerque,ALBURQUERQUE,Single house,2317.0,2342.0,10229.0,4.37,1.01,4.41,2015.0
