,name,city,Electricity_count,Kerosene (Gaas)_count,Liquified Petroleum Gas (LPG)_count,Oil (vegetable animal and others)_count,Solar panel_count,Solar lamp_count,Others_count,None_count,Not Reported_count,year
286,Cabarroguis,CABARROGUIS (Capital),6222.0,555.0,2.0,,33.0,25.0,10.0,2.0,,2015.0
287,Cabatuan (IO),CABATUAN,12268.0,419.0,4.0,11.0,3.0,6.0,4.0,,,2015.0
288,Cabatuan (IA),CABATUAN,9477.0,150.0,3.0,1.0,,6.0,35.0,2.0,,2015.0
289,Cabiao,CABIAO,16120.0,505.0,10.0,1.0,1.0,3.0,35.0,10.0,,2015.0
290,Cabucgayan,CABUCGAYAN,4402.0,329.0,,,,13.0,3.0,4.0,,2015.0
291,Cabugao,CABUGAO,8028.0,112.0,2.0,,5.0,12.0,19.0,10.0,,2015.0
292,Cabusao,,,,,,,,,,,
293,Cabuyao,CABUYAO CITY,80090.0,692.0,388.0,12.0,129.0,64.0,168.0,30.0,,2015.0
294,Cadiz,CADIZ CITY,29785.0,4844.0,18.0,6.0,406.0,387.0,151.0,60.0,,2015.0
295,Cagayancillo,CAGAYANCILLO,798.0,166.0,,,180.0,36.0,4.0,,,2015.0
296,Cagayan De Oro,CAGAYAN DE ORO CITY (Capital),153764.0,8081.0,211.0,27.0,168.0,444.0,293.0,186.0,,2015.0
297,Cagdianao,CAGDIANAO,3069.0,673.0,1.0,,5.0,14.0,10.0,5.0,,2015.0
298,Cagwait,CAGWAIT,3852.0,462.0,1.0,2.0,3.0,3.0,36.0,,,2015.0
299,Caibiran,CAIBIRAN,4467.0,319.0,5.0,,3.0,9.0,5.0,,,2015.0
300,Cainta,CAINTA,70129.0,400.0,516.0,8.0,35.0,33.0,304.0,38.0,,2015.0
301,Cajidiocan,CAJIDIOCAN,4211.0,734.0,,1.0,2.0,21.0,12.0,2.0,,2015.0
302,Calabanga,,,,,,,,,,,
303,Calaca,CALACA,17892.0,468.0,11.0,2.0,1.0,18.0,23.0,44.0,,2015.0
304,Calamba (LA),CITY OF CALAMBA,119146.0,1517.0,193.0,21.0,459.0,257.0,1189.0,289.0,,2015.0
305,Calamba (MC),CALAMBA,4307.0,705.0,1.0,,1.0,4.0,14.0,20.0,,2015.0
306,Calanasan,CALANASAN (BAYAG),340.0,680.0,1.0,1.0,1212.0,47.0,102.0,1.0,,2015.0
307,Calanogas,CALANOGAS,67.0,99.0,,,1029.0,932.0,1.0,2.0,,2015.0
308,Calapan,CITY OF CALAPAN (Capital),29033.0,1084.0,16.0,4.0,37.0,93.0,449.0,18.0,,2015.0
309,Calape,CALAPE,6863.0,477.0,1.0,,4.0,17.0,37.0,5.0,,2015.0
310,Calasiao,CALASIAO,22342.0,143.0,11.0,9.0,1.0,6.0,9.0,21.0,,2015.0
311,Calatagan,CALATAGAN,13169.0,442.0,3.0,2.0,1.0,40.0,27.0,33.0,,2015.0
312,Calatrava (NO),CALATRAVA,10754.0,6817.0,10.0,1.0,310.0,500.0,20.0,19.0,,2015.0
313,Calatrava (RN),CALATRAVA,1935.0,345.0,3.0,,38.0,7.0,6.0,,,2015.0
314,Calauag,CALAUAG,14099.0,2370.0,9.0,2.0,69.0,229.0,66.0,37.0,,2015.0
315,Calauan,CALAUAN,16462.0,725.0,17.0,6.0,53.0,94.0,299.0,13.0,,2015.0
316,Calayan,CALAYAN,1766.0,704.0,2.0,1.0,854.0,554.0,23.0,,,2015.0
317,Calbayog,CALBAYOG CITY,33293.0,4317.0,263.0,,259.0,201.0,60.0,18.0,,2015.0
318,Calbiga,CALBIGA,4544.0,571.0,33.0,,,8.0,,4.0,,2015.0
319,Calinog,CALINOG,9896.0,2800.0,4.0,2.0,255.0,168.0,10.0,20.0,,2015.0
320,Calintaan,CALINTAAN,4553.0,1495.0,13.0,1.0,118.0,134.0,95.0,42.0,,2015.0
321,Caloocan,CALOOCAN CITY,359640.0,4856.0,17.0,3.0,898.0,611.0,1767.0,83.0,3.0,2015.0
322,Calubian,CALUBIAN,5573.0,1881.0,94.0,,47.0,166.0,3.0,94.0,,2015.0
323,Calumpit,CALUMPIT,24634.0,213.0,2.0,2.0,,5.0,51.0,84.0,,2015.0
324,Caluya,CALUYA,7675.0,271.0,2.0,,15.0,26.0,2.0,2.0,,2015.0
325,Camalaniugan,CAMALANIUGAN,5113.0,356.0,5.0,,1.0,1.0,6.0,,,2015.0
326,Camalig,,,,,,,,,,,
327,Camaligan,,,,,,,,,,,
328,Camiling,CAMILING,18896.0,643.0,3.0,2.0,4.0,2.0,40.0,11.0,,2015.0
329,Canaman,,,,,,,,,,,
330,Can-Avid,CAN-AVID,4152.0,302.0,20.0,,,24.0,5.0,2.0,,2015.0
331,Candaba,CANDABA,22424.0,186.0,4.0,3.0,2.0,16.0,23.0,6.0,,2015.0
332,Candelaria (QN),CANDELARIA,27746.0,222.0,17.0,7.0,7.0,13.0,19.0,24.0,,2015.0
333,Candelaria (ZA),CANDELARIA,5880.0,129.0,21.0,2.0,1.0,16.0,12.0,,,2015.0
334,Candijay,CANDIJAY,5664.0,1058.0,,,5.0,12.0,16.0,16.0,,2015.0
335,Candon,CITY OF CANDON,13388.0,178.0,11.0,,111.0,63.0,37.0,24.0,,2015.0
336,Candoni,CANDONI,3636.0,1143.0,90.0,,49.0,32.0,8.0,4.0,,2015.0
337,Canlaon,CANLAON CITY,8515.0,3492.0,,2.0,316.0,306.0,55.0,6.0,,2015.0
338,Cantilan,CANTILAN,6374.0,384.0,53.0,,194.0,53.0,,,,2015.0
339,Caoayan,CAOAYAN,4541.0,56.0,2.0,,,3.0,1.0,1.0,,2015.0
340,Capalonga,,,,,,,,,,,
341,Capas,CAPAS,30835.0,1241.0,4.0,3.0,89.0,240.0,35.0,11.0,,2015.0
342,Capoocan,CAPOOCAN,5273.0,1913.0,35.0,,12.0,77.0,20.0,2.0,,2015.0
343,Capul,CAPUL,1599.0,643.0,7.0,,137.0,90.0,27.0,1.0,,2015.0
344,Caraga,CARAGA,5683.0,2982.0,218.0,2.0,109.0,229.0,12.0,4.0,,2015.0
345,Caramoan,,,,,,,,,,,
346,Caramoran,,,,,,,,,,,
347,Carasi,CARASI,293.0,11.0,,,,,,,,2015.0
348,Carcar,CITY OF CARCAR,26305.0,756.0,,4.0,10.0,47.0,27.0,,,2015.0
349,Cardona,CARDONA,11718.0,322.0,3.0,1.0,8.0,6.0,35.0,21.0,,2015.0
350,Carigara,CARIGARA,9414.0,1686.0,42.0,3.0,21.0,131.0,3.0,3.0,,2015.0
351,Carles,CARLES,9564.0,2157.0,27.0,7.0,1087.0,1030.0,1399.0,7.0,,2015.0
352,Carmen (AN),,,,,,,,,,,
353,Carmen (BL),CARMEN,9144.0,1036.0,5.0,6.0,5.0,34.0,73.0,3.0,,2015.0
354,Carmen (CU),,,,,,,,,,,
355,Carmen (NC),CARMEN,11595.0,6301.0,172.0,1.0,742.0,3005.0,51.0,38.0,,2015.0
356,Carmen (DN),CARMEN,15120.0,1239.0,8.0,1.0,101.0,207.0,52.0,15.0,,2015.0
357,Carmen (SS),CARMEN,2144.0,182.0,,,1.0,2.0,1.0,,,2015.0
358,Carmona,CARMONA,23620.0,676.0,38.0,1.0,6.0,12.0,31.0,43.0,,2015.0
359,Carranglan,CARRANGLAN,8459.0,1006.0,14.0,4.0,35.0,91.0,31.0,2.0,,2015.0
360,Carrascal,CARRASCAL,4707.0,259.0,40.0,,,12.0,,,,2015.0
361,Casiguran (AU),CASIGURAN,4729.0,793.0,6.0,1.0,55.0,61.0,62.0,14.0,,2015.0
362,Casiguran (SO),,,,,,,,,,,
363,Castilla,,,,,,,,,,,
364,Castillejos,CASTILLEJOS,16468.0,710.0,10.0,1.0,7.0,21.0,8.0,5.0,,2015.0
365,Cataingan,,,,,,,,,,,
366,Catanauan,CATANAUAN,13362.0,1705.0,15.0,3.0,21.0,190.0,21.0,17.0,,2015.0
367,Catarman (CM),CATARMAN,3897.0,161.0,,,,2.0,,,,2015.0
368,Catarman (NS),CATARMAN (Capital),15962.0,2681.0,196.0,8.0,19.0,124.0,70.0,31.0,,2015.0
369,Catbalogan,CITY OF CATBALOGAN (Capital),19249.0,1500.0,21.0,5.0,13.0,16.0,341.0,17.0,,2015.0
370,Cateel,CATEEL,5806.0,2074.0,371.0,406.0,400.0,471.0,176.0,7.0,,2015.0
371,Catigbian,CATIGBIAN,4566.0,524.0,1.0,1.0,2.0,18.0,12.0,,,2015.0
372,Catmon,CATMON,6306.0,619.0,,,3.0,8.0,4.0,,,2015.0
373,Catubig,CATUBIG,5573.0,767.0,57.0,,29.0,33.0,53.0,,2.0,2015.0
374,Cauayan (IA),CITY OF CAUAYAN,29877.0,641.0,11.0,6.0,10.0,16.0,53.0,9.0,,2015.0
375,Cauayan (NO),CAUAYAN,16155.0,5642.0,51.0,6.0,421.0,479.0,88.0,16.0,,2015.0
376,Cavinti,CAVINTI,5025.0,317.0,4.0,1.0,1.0,6.0,5.0,,,2015.0
377,Cavite,CAVITE CITY,25046.0,443.0,159.0,1.0,8.0,29.0,150.0,161.0,,2015.0
378,Cawayan,,,,,,,,,,,
379,Cebu,"CEBU (excluding Cebu, Lapu-lapu and Mandaue City)",603711.0,54449.0,63.0,171.0,1141.0,7313.0,1389.0,1071.0,14.0,2015.0
380,Cebu,CEBU CITY (Capital),208101.0,4664.0,18.0,17.0,54.0,298.0,287.0,299.0,,2015.0
381,Cervantes,CERVANTES,3575.0,73.0,,,5.0,14.0,14.0,1.0,,2015.0
382,Clarin (BL),CLARIN,4208.0,346.0,3.0,1.0,7.0,25.0,31.0,2.0,,2015.0
383,Clarin (MC),CLARIN,7125.0,1094.0,60.0,,2.0,14.0,71.0,8.0,,2015.0
384,Claver,CLAVER,7046.0,244.0,11.0,1.0,6.0,31.0,16.0,2.0,,2015.0
385,Claveria (CG),CLAVERIA,6819.0,384.0,9.0,2.0,18.0,23.0,3.0,,,2015.0
386,Claveria (MS),,,,,,,,,,,
387,Claveria (MO),CLAVERIA,8648.0,2215.0,5.0,2.0,13.0,68.0,114.0,20.0,,2015.0
388,Columbio,COLUMBIO,5488.0,1633.0,115.0,49.0,40.0,804.0,4.0,1.0,,2015.0
389,Compostela (CU),COMPOSTELA,10554.0,304.0,2.0,1.0,1.0,9.0,1.0,8.0,,2015.0
390,Compostela (DDO),COMPOSTELA,15301.0,2742.0,159.0,18.0,110.0,688.0,75.0,,,2015.0
391,Concepcion (IO),CONCEPCION,5016.0,1128.0,53.0,1.0,934.0,1884.0,1040.0,13.0,,2015.0
392,Concepcion,CONCEPCION,796.0,1661.0,,,,,2.0,1.0,,2015.0
393,Concepcion (RN),CONCEPCION,1030.0,10.0,4.0,,1.0,2.0,,1.0,,2015.0
394,Concepcion (TC),CONCEPCION,32991.0,244.0,7.0,5.0,1.0,8.0,29.0,14.0,,2015.0
395,Conner,CONNER,4571.0,580.0,9.0,,109.0,36.0,158.0,6.0,,2015.0
396,Consolacion,CONSOLACION,29654.0,897.0,,,5.0,27.0,30.0,12.0,,2015.0
397,Corcuera,CORCUERA,2176.0,288.0,,1.0,,2.0,2.0,2.0,,2015.0
398,Cordon,CORDON,10012.0,267.0,2.0,3.0,6.0,34.0,24.0,5.0,,2015.0
399,Cordova,CORDOVA,10376.0,1829.0,10.0,2.0,127.0,388.0,445.0,147.0,,2015.0
400,Corella,CORELLA,1808.0,87.0,,1.0,,1.0,9.0,2.0,,2015.0
401,Coron,CORON,7021.0,2586.0,,,1443.0,369.0,93.0,,,2015.0
402,Cortes (BL),CORTES,3355.0,240.0,3.0,,6.0,9.0,15.0,2.0,,2015.0
403,Cortes (SS),CORTES,3265.0,242.0,,,3.0,17.0,3.0,,,2015.0
404,Cotabato,COTABATO CITY,54320.0,2705.0,86.0,21.0,277.0,1213.0,47.0,181.0,16.0,2015.0
405,Cuartero,CUARTERO,5619.0,720.0,,,13.0,86.0,,8.0,,2015.0
406,Cuenca,CUENCA,7096.0,88.0,,,,5.0,10.0,14.0,,2015.0
407,Culaba,CULABA,2517.0,209.0,,,1.0,,,,,2015.0
408,Culasi,CULASI,9190.0,344.0,2.0,,35.0,89.0,27.0,2.0,,2015.0
409,Culion,CULION,2346.0,1212.0,,,788.0,256.0,50.0,,,2015.0
410,Currimao,CURRIMAO,2741.0,53.0,,,,1.0,6.0,4.0,,2015.0
411,Cuyapo,CUYAPO,15104.0,523.0,6.0,2.0,,6.0,4.0,14.0,,2015.0
412,Cuyo,CUYO,4187.0,518.0,,,245.0,103.0,50.0,,,2015.0
413,Daan Bantayan,DAANBANTAYAN,16681.0,2021.0,,21.0,30.0,891.0,65.0,81.0,,2015.0
414,Daet,,,,,,,,,,,
415,Dagami,DAGAMI,5927.0,2271.0,1.0,3.0,4.0,215.0,7.0,5.0,,2015.0
416,Dagohoy,DAGOHOY,3297.0,839.0,,2.0,4.0,19.0,12.0,3.0,,2015.0
417,Daguioman,DAGUIOMAN,371.0,4.0,,,,,,,,2015.0
418,Dagupan,DAGUPAN CITY,37528.0,484.0,39.0,8.0,8.0,27.0,56.0,18.0,,2015.0
419,Dalaguete,DALAGUETE,12464.0,1886.0,,,3.0,17.0,14.0,49.0,,2015.0
420,Damulog,DAMULOG,2927.0,2660.0,10.0,,163.0,1002.0,16.0,5.0,,2015.0
421,Danao (BL),DANAO,3227.0,655.0,2.0,1.0,,20.0,8.0,8.0,,2015.0
422,Danao (BL),DANAO CITY,29925.0,1615.0,,19.0,5.0,14.0,10.0,23.0,,2015.0
423,Danao (CU),,,,,,,,,,,
424,Dangcagan,DANGCAGAN,3776.0,1242.0,,,30.0,100.0,19.0,1.0,,2015.0
425,Danglas,DANGLAS,792.0,106.0,1.0,,,9.0,2.0,,,2015.0
426,Dao,DAO,6820.0,883.0,1.0,,10.0,32.0,3.0,1.0,,2015.0
427,Dapa,DAPA,4683.0,357.0,,,50.0,3.0,45.0,1.0,,2015.0
428,Dapitan,DAPITAN CITY,15961.0,1942.0,9.0,4.0,105.0,29.0,44.0,14.0,,2015.0
429,Daraga,,,,,,,,,,,
430,Daram,DARAM,8153.0,458.0,101.0,1.0,,2.0,1.0,,,2015.0
431,Dasmarinas,CITY OF DASMARIÑAS,144307.0,2362.0,311.0,29.0,131.0,71.0,350.0,238.0,,2015.0
432,Dasol,DASOL,6079.0,670.0,3.0,,3.0,11.0,17.0,2.0,,2015.0
433,Datu Abdullah Sangki,DATU ABDULLAH SANGKI,3126.0,484.0,1.0,3.0,120.0,171.0,,1.0,,2015.0
434,Datu Anggal Midtimbang,DATU ANGGAL MIDTIMBANG,2620.0,770.0,2.0,,86.0,360.0,2.0,4.0,,2015.0
435,Datu Blah Sinsuat,DATU BLAH T. SINSUAT,776.0,1671.0,15.0,,312.0,1220.0,78.0,8.0,,2015.0
436,Datu Hoffer Ampatuan,DATU HOFFER AMPATUAN,2540.0,487.0,9.0,1.0,108.0,1152.0,8.0,3.0,,2015.0
437,Datu Odin Sinsuat,DATU ODIN SINSUAT (DINAIG),13847.0,1400.0,91.0,4.0,375.0,1307.0,10.0,54.0,,2015.0
438,Datu Paglas,DATU PAGLAS,2864.0,972.0,13.0,115.0,202.0,500.0,2.0,,,2015.0
439,Datu Piang,DATU PIANG,3852.0,220.0,7.0,1.0,10.0,87.0,,7.0,,2015.0
440,Datu Salibo,DATU SALIBO,1581.0,490.0,10.0,1.0,66.0,392.0,4.0,1.0,55.0,2015.0
441,Datu Saudi-Ampatuan,DATU SAUDI-AMPATUAN,3464.0,207.0,56.0,1.0,152.0,477.0,,1.0,,2015.0
442,Datu Unsay,DATU UNSAY,1349.0,264.0,66.0,1.0,138.0,206.0,,5.0,,2015.0
443,Dauin,DAUIN,5463.0,915.0,,,22.0,24.0,44.0,52.0,,2015.0
444,Dauis,DAUIS,9454.0,345.0,5.0,2.0,7.0,23.0,48.0,16.0,,2015.0
445,Davao,DAVAO CITY,380302.0,19592.0,981.0,95.0,3850.0,3516.0,1609.0,6.0,,2015.0
446,Del Carmen,DEL CARMEN,3657.0,289.0,14.0,,3.0,4.0,3.0,3.0,,2015.0
447,Delfin Albano,DELFIN ALBANO (MAGSAYSAY),6505.0,114.0,,1.0,,1.0,11.0,5.0,,2015.0
448,Del Gallego,,,,,,,,,,,
449,Diadi,DIADI,3703.0,554.0,9.0,,55.0,52.0,67.0,1.0,,2015.0
450,Diffun,DIFFUN,10640.0,1372.0,5.0,1.0,131.0,86.0,43.0,5.0,,2015.0
451,Digos,CITY OF DIGOS (Capital),38441.0,2673.0,70.0,4.0,75.0,248.0,39.0,,,2015.0
452,Dilasag,DILASAG,3218.0,589.0,9.0,2.0,29.0,93.0,6.0,3.0,,2015.0
453,Dimasalang,,,,,,,,,,,
454,Dimataling,DIMATALING,4349.0,2063.0,3.0,,42.0,102.0,11.0,2.0,,2015.0
455,Dimiao,DIMIAO,3057.0,134.0,4.0,1.0,1.0,2.0,10.0,18.0,,2015.0
456,Dinagat,DINAGAT,1788.0,287.0,110.0,,7.0,17.0,10.0,1.0,,2015.0
457,Dinalungan,DINALUNGAN,2336.0,298.0,1.0,,3.0,9.0,11.0,3.0,,2015.0
458,Dinalupihan,DINALUPIHAN,23098.0,752.0,7.0,2.0,11.0,25.0,31.0,45.0,,2015.0
459,Dinapigue,DINAPIGUE,613.0,247.0,2.0,,133.0,177.0,51.0,8.0,,2015.0
460,Dinas,DINAS,4718.0,2250.0,10.0,,308.0,405.0,11.0,,,2015.0
461,Dingalan,DINGALAN,5148.0,402.0,3.0,,23.0,35.0,94.0,21.0,,2015.0
462,Dingle,DINGLE,9422.0,953.0,19.0,,8.0,7.0,3.0,2.0,,2015.0
463,Dingras,DINGRAS,8678.0,55.0,,3.0,,3.0,12.0,6.0,,2015.0
464,Dipaculao,DIPACULAO,6595.0,401.0,3.0,1.0,7.0,24.0,20.0,,,2015.0
465,Diplahan,DIPLAHAN,5671.0,1839.0,3.0,2.0,16.0,114.0,14.0,4.0,,2015.0
466,Dipolog,DIPOLOG CITY (Capital),27651.0,2185.0,11.0,5.0,9.0,49.0,53.0,20.0,,2015.0
467,Ditsaan-Ramain,DITSAAN-RAMAIN,3176.0,2.0,1.0,,14.0,32.0,1.0,1.0,,2015.0
468,Divilacan,DIVILACAN,10.0,502.0,1.0,,500.0,187.0,100.0,10.0,,2015.0
469,Dolores (AA),DOLORES,2337.0,167.0,,,3.0,22.0,17.0,2.0,,2015.0
470,Dolores (ES),DOLORES,8034.0,1218.0,73.0,5.0,54.0,43.0,10.0,14.0,,2015.0
471,Dolores (QN),DOLORES,6357.0,103.0,3.0,2.0,,6.0,33.0,6.0,,2015.0
472,Don Carlos,DON CARLOS,11605.0,2520.0,31.0,2.0,15.0,208.0,13.0,5.0,,2015.0
473,Don Marcelino,DON MARCELINO,3931.0,6459.0,105.0,4.0,333.0,291.0,76.0,8.0,,2015.0
474,Donsol,,,,,,,,,,,
475,Don Victoriano Chiongbian,DON VICTORIANO CHIONGBIAN (DON MARIANO MARCOS),1154.0,1319.0,,,2.0,12.0,1.0,3.0,,2015.0
476,Dona Remedios Trinidad,DOÑA REMEDIOS TRINIDAD,3347.0,896.0,2.0,1.0,417.0,106.0,302.0,19.0,,2015.0
477,Duero,DUERO,3463.0,525.0,,,5.0,16.0,8.0,,,2015.0
478,Duenas,DUEÑAS,7060.0,737.0,1.0,1.0,4.0,14.0,1.0,3.0,1.0,2015.0
479,Dulag,DULAG,8844.0,1976.0,151.0,1.0,34.0,810.0,16.0,6.0,,2015.0
480,Dumaguete,DUMAGUETE CITY (Capital),27735.0,1861.0,,7.0,28.0,71.0,48.0,,,2015.0
481,Dumalag,DUMALAG,6487.0,556.0,,,4.0,31.0,3.0,,,2015.0
482,Dumalinao,DUMALINAO,5021.0,1679.0,2.0,,119.0,261.0,14.0,1.0,,2015.0
483,Dumalneg,DUMALNEG,569.0,5.0,,,,,,,,2015.0
484,Dumangas,DUMANGAS,14591.0,1059.0,1.0,2.0,33.0,52.0,45.0,10.0,,2015.0
485,Dumanjug,DUMANJUG,10238.0,681.0,,2.0,4.0,11.0,24.0,,,2015.0
486,Dumaran,DUMARAN,2296.0,1475.0,,,1386.0,623.0,32.0,,,2015.0
487,Dumarao,DUMARAO,9199.0,1529.0,1.0,,65.0,265.0,2.0,6.0,,2015.0
488,Dumingag,DUMINGAG,4905.0,4322.0,101.0,1.0,69.0,421.0,66.0,3.0,,2015.0
489,Dupax Del Norte,DUPAX DEL NORTE,5902.0,362.0,1.0,1.0,218.0,106.0,22.0,34.0,,2015.0
490,Dupax Del Sur,DUPAX DEL SUR,3836.0,458.0,5.0,2.0,155.0,18.0,55.0,2.0,,2015.0
491,Echague,ECHAGUE,18043.0,753.0,8.0,9.0,20.0,13.0,19.0,9.0,,2015.0
492,El Nido,EL NIDO (BACUIT),4353.0,1710.0,,,3232.0,107.0,88.0,,,2015.0
493,El Salvador,CITY OF EL SALVADOR,10706.0,1083.0,53.0,1.0,6.0,67.0,24.0,,,2015.0
494,Enrile,ENRILE,7327.0,176.0,8.0,1.0,1.0,11.0,19.0,,,2015.0
495,E. B. Magalona,ENRIQUE B. MAGALONA (SARAVIA),13791.0,767.0,4.0,4.0,17.0,57.0,24.0,,,2015.0
496,Enrique Villanueva,ENRIQUE VILLANUEVA,1312.0,150.0,,1.0,,4.0,8.0,1.0,,2015.0
497,Escalante,CITY OF ESCALANTE,16993.0,4135.0,22.0,2.0,170.0,141.0,81.0,,,2015.0
498,Esperanza (AS),ESPERANZA,7838.0,2614.0,3.0,1.0,667.0,495.0,10.0,26.0,,2015.0
499,Esperanza (MS),,,,,,,,,,,
500,Esperanza (SK),ESPERANZA,12099.0,2796.0,41.0,23.0,246.0,421.0,124.0,118.0,,2015.0
501,Estancia,ESTANCIA,9550.0,772.0,8.0,1.0,258.0,501.0,70.0,3.0,,2015.0
502,Famy,FAMY,3647.0,421.0,1.0,9.0,1.0,2.0,36.0,,,2015.0
503,Ferrol,FERROL,1357.0,291.0,,1.0,1.0,3.0,3.0,,,2015.0
504,Flora,FLORA,2881.0,940.0,3.0,,125.0,47.0,54.0,6.0,,2015.0
505,Floridablanca,FLORIDABLANCA,27456.0,1295.0,80.0,3.0,2.0,15.0,40.0,24.0,,2015.0
506,Gabaldon,GABALDON (BITULOK & SABANI),7895.0,562.0,,1.0,4.0,13.0,29.0,6.0,,2015.0
507,Gainza,,,,,,,,,,,
508,Galimuyod,GALIMUYOD,2223.0,55.0,,,8.0,38.0,,2.0,,2015.0
509,Gamay,GAMAY,4691.0,441.0,41.0,,11.0,10.0,2.0,67.0,,2015.0
510,Gamu,GAMU,6655.0,103.0,3.0,2.0,5.0,9.0,12.0,2.0,,2015.0
511,Ganassi,GANASSI,11.0,135.0,3.0,,1781.0,1647.0,1.0,1.0,,2015.0
512,Gandara,GANDARA,5612.0,1384.0,55.0,2.0,7.0,51.0,2.0,8.0,,2015.0
513,Gapan,CITY OF GAPAN,23946.0,816.0,13.0,4.0,13.0,29.0,63.0,22.0,,2015.0
514,Garchitorena,,,,,,,,,,,
515,Garcia-Hernandez,GARCIA HERNANDEZ,4556.0,379.0,39.0,,,2.0,6.0,11.0,,2015.0
516,Gasan,GASAN,6924.0,957.0,4.0,2.0,103.0,53.0,25.0,2.0,,2015.0
517,Gattaran,GATTARAN,11037.0,1402.0,66.0,17.0,153.0,171.0,28.0,,,2015.0
518,Gen. Emilio Aguinaldo,GENERAL EMILIO AGUINALDO,4300.0,103.0,1.0,,,6.0,4.0,,,2015.0
519,General Luna (QN),GENERAL LUNA,4923.0,648.0,,1.0,17.0,60.0,3.0,28.0,,2015.0
520,General Luna  (SN),GENERAL LUNA,3195.0,376.0,6.0,,214.0,19.0,35.0,2.0,,2015.0
521,General Macarthur,GENERAL MACARTHUR,2662.0,181.0,88.0,,37.0,56.0,10.0,,,2015.0
522,General Mamerto Natividad,GENERAL MAMERTO NATIVIDAD,9237.0,564.0,52.0,,14.0,18.0,143.0,2.0,,2015.0
523,General Nakar,GENERAL NAKAR,4717.0,1182.0,5.0,,93.0,167.0,276.0,11.0,,2015.0
524,General Santos,GENERAL SANTOS CITY (DADIANGAS),138889.0,4212.0,141.0,87.0,150.0,493.0,224.0,136.0,,2015.0
525,General Tinio,GENERAL TINIO (PAPAYA),10534.0,372.0,4.0,1.0,8.0,14.0,57.0,6.0,,2015.0
526,General Trias,CITY OF GENERAL TRIAS,78503.0,856.0,142.0,35.0,279.0,55.0,176.0,96.0,,2015.0
527,Gen. Mariano Alvarez,GEN. MARIANO ALVAREZ,33286.0,1044.0,23.0,9.0,20.0,34.0,287.0,70.0,,2015.0
528,Gen S.K Pendatun,GEN. S. K. PENDATUN,1788.0,769.0,6.0,28.0,626.0,1031.0,35.0,6.0,,2015.0
529,Gerona,GERONA,20652.0,597.0,7.0,1.0,2.0,2.0,21.0,20.0,,2015.0
530,Getafe,GETAFE,4522.0,1535.0,63.0,,180.0,150.0,26.0,11.0,,2015.0
531,Gigaquit,GIGAQUIT,4165.0,327.0,,,30.0,9.0,,1.0,,2015.0
532,Gigmoto,,,,,,,,,,,
533,Ginatilan,GINATILAN,2807.0,556.0,,,1.0,10.0,4.0,2.0,,2015.0
534,Gingoog,GINGOOG CITY,22002.0,4382.0,2.0,8.0,24.0,76.0,24.0,16.0,,2015.0
535,Giporlos,GIPORLOS,2876.0,215.0,16.0,,2.0,112.0,2.0,1.0,,2015.0
536,Gitagum,GITAGUM,3481.0,382.0,,,1.0,25.0,5.0,1.0,,2015.0
537,Glan,GLAN,17192.0,9293.0,432.0,3.0,806.0,613.0,16.0,11.0,,2015.0
538,Gloria,GLORIA,8897.0,1263.0,2.0,1.0,31.0,116.0,51.0,5.0,,2015.0
539,Goa,,,,,,,,,,,
540,Godod,GODOD,1965.0,1762.0,1.0,,25.0,43.0,6.0,,,2015.0
541,Gonzaga,GONZAGA,7944.0,613.0,11.0,1.0,5.0,15.0,14.0,,,2015.0
542,Governor Generoso,GOVERNOR GENEROSO,10040.0,2471.0,14.0,1.0,28.0,157.0,17.0,10.0,,2015.0
543,Gregorio Del Pilar,GREGORIO DEL PILAR (CONCEPCION),889.0,11.0,,,1.0,5.0,1.0,1.0,,2015.0
544,Guagua,GUAGUA,26040.0,191.0,7.0,2.0,3.0,19.0,29.0,45.0,,2015.0
545,Gubat,,,,,,,,,,,
546,Guiguinto (BU),GUIGUINTO,22631.0,348.0,8.0,,5.0,27.0,29.0,14.0,,2015.0
547,Guihulngan,CITY OF GUIHULNGAN,11254.0,9832.0,,3.0,668.0,736.0,1.0,,,2015.0
548,Guimba,GUIMBA,27134.0,1446.0,10.0,1.0,9.0,7.0,48.0,52.0,,2015.0
549,Guimbal,GUIMBAL,7217.0,225.0,1.0,1.0,5.0,12.0,9.0,,,2015.0
550,Guinayangan,GUINAYANGAN,8596.0,1550.0,2.0,2.0,16.0,109.0,26.0,3.0,,2015.0
551,Guindulman,GUINDULMAN,6264.0,932.0,5.0,1.0,2.0,12.0,14.0,4.0,,2015.0
552,Guindulungan,GUINDULUNGAN,1904.0,413.0,11.0,17.0,216.0,331.0,10.0,101.0,,2015.0
553,Guinobatan,,,,,,,,,,,
554,Guinsiliban,GUINSILIBAN,1318.0,140.0,,,,1.0,,,,2015.0
555,Guipos,GUIPOS,2866.0,1172.0,2.0,,103.0,151.0,13.0,,,2015.0
556,Guiuan,GUIUAN,10643.0,352.0,40.0,,221.0,1103.0,81.0,8.0,,2015.0
557,Gumaca,GUMACA,16248.0,1842.0,13.0,3.0,31.0,170.0,117.0,21.0,,2015.0
558,Gutalac,GUTALAC,5061.0,2304.0,99.0,9.0,38.0,67.0,3.0,3.0,,2015.0
559,Hadji Mohammad Ajul,HADJI MOHAMMAD AJUL,1373.0,1446.0,3.0,,20.0,91.0,,15.0,,2015.0
