,name,poverty-inc,cov,conf-int-lowerlimit,conf-int-upper-limit,year
1275,San Jose (OM),29.8,10.2,24.8,34.8,2009
1276,San Jose (RN),50.5,16.6,36.7,64.3,2009
1277,San Jose (TC),32.1,12.1,25.7,38.4,2009
1278,San Jose De Buan,57.8,8.9,49.3,66.2,2009
1279,San Jose Del Monte,5.8,19.0,4.0,7.6,2009
1280,San Juan (AA),33.7,19.7,22.8,44.6,2009
1281,San Juan (BS),15.4,11.0,12.6,18.2,2009
1282,San Juan (IS),18.0,12.8,14.2,21.8,2009
1283,San Juan (LU),22.7,12.3,18.1,27.3,2009
1284,San Juan (MM),1.5,42.5,0.4,2.5,2009
1285,San Juan (SR),42.9,9.3,36.3,49.4,2009
1286,San Juan (SL),33.6,9.0,28.7,38.6,2009
1287,San Julian,45.2,9.8,37.9,52.4,2009
1288,San Leonardo,13.6,18.6,9.5,17.8,2009
1289,San Lorenzo,44.0,12.5,34.9,53.1,2009
1290,San Lorenzo Ruiz,45.4,11.3,37.0,53.8,2009
1291,San Luis (AS),62.0,4.5,57.4,66.6,2009
1292,San Luis (AU),13.8,22.0,8.8,18.9,2009
1293,San Luis (BS),9.5,17.1,6.9,12.2,2009
1294,San Luis (PA),16.2,17.7,11.5,20.9,2009
1295,San Manuel (IA),20.5,11.9,16.5,24.5,2009
1296,San Manuel (PS),21.3,10.0,17.8,24.8,2009
1297,San Manuel (TC),17.0,18.4,11.9,22.1,2009
1298,San Marcelino,14.8,13.5,11.5,18.1,2009
1299,San Mariano,24.2,8.3,20.9,27.5,2009
1300,San Mateo (IA),14.6,14.2,11.2,18.1,2009
1301,San Mateo (RL),2.2,37.6,0.8,3.5,2009
1302,San Miguel (BL),53.6,7.6,46.9,60.3,2009
1303,San Miguel (BU),11.8,13.5,9.2,14.4,2009
1304,San Miguel (CT),36.5,7.9,31.7,41.2,2009
1305,San Miguel (IO),17.9,15.9,13.2,22.6,2009
1306,San Miguel (LE),35.9,9.0,30.6,41.2,2009
1307,San Miguel (SS),50.5,7.3,44.4,56.5,2009
1308,San Miguel (ZR),41.6,15.4,31.0,52.2,2009
1309,San Narciso (QN),41.1,8.1,35.7,46.6,2009
1310,San Narciso (ZA),10.7,19.4,7.3,14.1,2009
1311,San Nicolas (BS),5.3,27.5,2.9,7.8,2009
1312,San Nicolas (IN),12.3,9.2,10.4,14.1,2009
1313,San Nicolas (PS),18.9,6.6,16.8,20.9,2009
1314,San Pablo (IA),19.7,16.7,14.3,25.1,2009
1315,San Pablo (LA),2.7,19.8,1.8,3.6,2009
1316,San Pablo (ZR),47.0,12.4,37.4,56.6,2009
1317,San Pascual (BS),5.8,20.1,3.9,7.7,2009
1318,San Pascual (MS),52.7,6.5,47.0,58.3,2009
1319,San Pedro,1.4,41.1,0.5,2.4,2009
1320,San Policarpo,46.4,10.0,38.8,54.0,2009
1321,San Quintin (AA),28.7,23.3,17.7,39.7,2009
1322,San Quintin (PS),20.5,11.2,16.7,24.3,2009
1323,San Rafael (BU),8.3,16.3,6.1,10.5,2009
1324,San Rafael (IO),30.1,17.5,21.4,38.7,2009
1325,San Remigio (AE),55.5,7.3,48.8,62.1,2009
1326,San Remigio (CU),45.7,7.0,40.4,50.9,2009
1327,San Ricardo,42.5,8.0,36.9,48.1,2009
1328,San Roque,52.7,7.6,46.2,59.3,2009
1329,San Sebastian,43.0,8.6,36.9,49.0,2009
1330,San Simon,9.1,25.8,5.2,13.0,2009
1331,San Teodoro,33.6,15.8,24.8,42.3,2009
1332,Santiago (AN),47.7,10.2,39.7,55.7,2009
1333,Santiago (IS),20.9,11.4,17.0,24.8,2009
1334,Santiago (IA),10.8,14.3,8.3,13.4,2009
1335,San Vicente (CN),34.7,12.4,27.6,41.8,2009
1336,San Vicente (IS),12.9,21.5,8.4,17.5,2009
1337,San Vicente (NS),43.5,10.8,35.7,51.2,2009
1338,San Vicente (PN),25.6,18.2,18.0,33.2,2009
1339,Sapad,62.0,7.3,54.6,69.5,2009
1340,Sapang Dalaga,43.9,7.5,38.4,49.3,2009
1341,Sapa-Sapa,37.2,14.2,28.6,45.9,2009
1342,Sapi-An,24.3,20.1,16.2,32.3,2009
1343,Sara,24.1,12.9,19.0,29.2,2009
1344,Sarangani,72.1,6.9,64.0,80.3,2009
1345,Sariaya,14.5,11.8,11.7,17.3,2009
1346,Sarrat,14.0,13.5,10.9,17.1,2009
1347,Sasmuan,11.5,20.3,7.6,15.3,2009
1348,Science City of Munoz,21.4,12.0,17.1,25.6,2009
1349,Sebaste,43.0,14.4,32.8,53.1,2009
1350,Senator Ninoy Aquino,47.6,9.6,40.1,55.1,2009
1351,Sergio Osmena,65.8,8.4,56.7,74.9,2009
1352,Sevilla,52.2,6.9,46.3,58.2,2009
1353,Shariff Aguak,56.9,14.8,43.1,70.8,2009
1354,Shariff Saydona Mustapha,51.2,15.2,38.4,64.0,2009
1355,Siasi,46.1,9.9,38.6,53.6,2009
1356,Siaton,48.5,7.5,42.5,54.5,2009
1357,Siay,48.3,9.7,40.6,56.0,2009
1358,Siayan,79.9,5.7,72.4,87.3,2009
1359,Sibagat,59.4,6.2,53.3,65.5,2009
1360,Sibalom,37.5,7.5,32.9,42.1,2009
1361,Sibonga,41.8,7.7,36.5,47.1,2009
1362,Sibuco,68.2,7.7,59.6,76.8,2009
1363,Sibulan,17.4,14.6,13.2,21.6,2009
1364,Sibunag,49.3,11.6,39.9,58.8,2009
1365,Sibutad,54.1,10.9,44.4,63.8,2009
1366,Sibutu,38.9,17.6,27.6,50.2,2009
1367,Sierra Bullones,54.4,7.9,47.3,61.4,2009
1368,Sigay,27.2,20.1,18.2,36.1,2009
1369,Sigma,17.5,21.0,11.4,23.5,2009
1370,Sikatuna,45.9,10.3,38.1,53.7,2009
1371,Silago,38.1,11.0,31.2,44.9,2009
1372,Silang,11.0,11.6,8.9,13.1,2009
1373,Silay,17.6,21.2,11.4,23.7,2009
1374,Silvino Lobos,64.8,5.9,58.5,71.1,2009
1375,Simunul,30.4,18.6,21.1,39.7,2009
1376,Sinacaban,38.9,8.8,33.2,44.5,2009
1377,Sinait,18.7,13.2,14.6,22.7,2009
1378,Sindangan,56.8,7.9,49.4,64.2,2009
1379,Siniloan,11.4,19.7,7.7,15.1,2009
1380,Siocon,63.6,9.2,54.0,73.2,2009
1381,Sipalay,45.9,11.0,37.6,54.2,2009
1382,Sipocot,43.8,6.2,39.4,48.3,2009
1383,Siquijor,27.0,8.7,23.1,30.9,2009
1384,Sirawai,61.7,10.1,51.4,71.9,2009
1385,Siruma,58.1,6.8,51.6,64.6,2009
1386,Sison (PS),18.9,8.8,16.1,21.6,2009
1387,Sison (SN),52.1,9.5,44.0,60.2,2009
1388,Sitangkai,31.7,23.8,19.3,44.1,2009
1389,Socorro (OR),36.8,11.5,29.8,43.8,2009
1390,Socorro (SN),52.1,11.4,42.3,61.8,2009
1391,Sofronio Espanola,30.1,19.8,20.3,40.0,2009
1392,Sogod (CU),44.7,8.5,38.5,50.9,2009
1393,Sogod (SL),36.8,7.1,32.6,41.1,2009
1394,Solana,22.5,8.8,19.3,25.8,2009
1395,Solano,10.1,17.3,7.2,12.9,2009
1396,Solsona,15.0,8.7,12.8,17.1,2009
1397,Sominot,54.5,13.1,42.7,66.2,2009
1398,Sorsogon,27.6,8.3,23.8,31.3,2009
1399,South Ubian,36.4,12.8,28.7,44.0,2009
1400,South Upi,42.9,16.2,31.5,54.3,2009
1401,Santa,13.6,16.9,9.8,17.4,2009
1402,Santa Ana (CG),16.3,16.2,12.0,20.7,2009
1403,Santa Ana (PA),11.0,22.0,7.0,14.9,2009
1404,Santa Barbara (IO),13.5,14.5,10.3,16.8,2009
1405,Santa Barbara (PS),20.4,10.2,16.9,23.8,2009
1406,Santa Catalina (IS),11.7,19.6,7.9,15.5,2009
1407,Santa Catalina (NR),39.5,9.1,33.6,45.4,2009
1408,Santa Cruz (DS),27.3,13.0,21.5,33.2,2009
1409,Santa Cruz (IS),24.0,9.7,20.2,27.8,2009
1410,Santa Cruz (LA),2.3,33.5,1.0,3.6,2009
1411,Santa Cruz (ME),30.6,8.5,26.3,34.8,2009
1412,Santa Cruz (OM),38.1,16.0,28.1,48.1,2009
1413,Santa Cruz (ZA),18.7,14.3,14.3,23.1,2009
1414,Santa Elena,43.1,8.7,36.9,49.2,2009
1415,Santa Fe (CU),56.2,9.6,47.4,65.1,2009
1416,Santa Fe (LE),31.4,12.3,25.0,37.7,2009
1417,Santa Fe (NV),11.4,23.1,7.1,15.8,2009
1418,Santa Fe (RN),50.1,12.7,39.6,60.7,2009
1419,Santa Ignacia,21.8,13.1,17.1,26.5,2009
1420,Santa Josefa,53.3,6.9,47.3,59.4,2009
1421,Santa Lucia,25.1,11.2,20.5,29.8,2009
1422,Santa Magdalena,35.8,10.6,29.6,42.0,2009
1423,Santa Marcela,23.8,20.7,15.7,31.9,2009
1424,Santa Margarita,40.7,8.6,35.0,46.5,2009
1425,Santa Maria (BU),5.0,26.2,2.8,7.1,2009
1426,Santa Maria (DS),48.5,9.0,41.4,55.7,2009
1427,Santa Maria (IS),16.9,12.7,13.4,20.4,2009
1428,Santa Maria (IA),24.4,11.8,19.6,29.2,2009
1429,Santa Maria (LA),16.8,12.2,13.4,20.2,2009
1430,Santa Maria (PS),18.3,13.8,14.1,22.4,2009
1431,Santa Maria (Imelda),45.7,17.5,32.5,58.8,2009
1432,Santa Monica,52.4,8.1,45.5,59.4,2009
1433,Santander,41.9,10.1,35.0,48.8,2009
1434,Santa Praxedes,17.2,21.4,11.1,23.2,2009
1435,Santa Rita (PA),9.4,30.3,4.7,14.1,2009
1436,Santa Rita (WS),41.3,7.8,35.9,46.6,2009
1437,Santa Rosa (LA),1.5,40.1,0.5,2.4,2009
1438,Santa Rosa (NE),15.0,13.0,11.8,18.2,2009
1439,Santa Teresita (BS),9.4,20.8,6.2,12.6,2009
1440,Santa Teresita (CG),18.6,16.5,13.6,23.7,2009
1441,Santo Domingo (AY),34.2,8.3,29.5,38.8,2009
1442,Santo Domingo (IS),16.4,12.3,13.1,19.7,2009
1443,Santo Domingo (NE),20.3,12.3,16.2,24.4,2009
1444,Santol,32.7,9.8,27.4,38.0,2009
1445,Santo Nino (CG),26.3,11.2,21.5,31.2,2009
1446,Santo Nino (WS),45.3,10.4,37.5,53.1,2009
1447,Santo Nino (SC),32.1,14.5,24.5,39.8,2009
1448,Santo Tomas (BS),8.6,16.3,6.3,10.9,2009
1449,Santo Tomas (DN),23.5,17.9,16.6,30.4,2009
1450,Santo Tomas (IA),18.5,12.9,14.5,22.4,2009
1451,Santo Tomas (LU),22.7,6.3,20.4,25.0,2009
1452,Santo Tomas (PA),6.0,39.3,2.1,9.8,2009
1453,Santo Tomas (PS),17.5,6.6,15.6,19.4,2009
1454,Sual,26.7,4.9,24.5,28.9,2009
1455,Subic,11.5,21.8,7.4,15.6,2009
1456,Sudipen,25.8,14.0,19.9,31.8,2009
1457,Sugbongcogon,45.4,12.8,35.8,54.9,2009
1458,Sugpon,35.4,20.9,23.2,47.6,2009
1459,Sulat,42.0,11.1,34.4,49.6,2009
1460,Sulop,36.9,10.9,30.2,43.5,2009
1461,Sultan Dumalondong,51.4,20.4,34.1,68.7,2009
1462,Sultan Kudarat,50.0,7.2,44.1,55.9,2009
1463,Sultan Mastura,44.4,14.5,33.8,55.0,2009
1464,Sultan Naga Dimaporo,59.9,6.4,53.6,66.2,2009
1465,Sultan Sa Barongis,61.1,10.0,51.1,71.1,2009
1466,Sumilao,40.2,17.3,28.8,51.6,2009
1467,Sumisip,29.4,16.8,21.3,37.5,2009
1468,Surallah,30.5,11.1,25.0,36.1,2009
1469,Surigao,40.1,7.4,35.2,44.9,2009
1470,Suyo,24.4,18.1,17.1,31.7,2009
1471,Taal,4.1,23.2,2.6,5.7,2009
1472,Tabaco,35.1,6.5,31.4,38.9,2009
1473,Tabango,40.8,10.7,33.6,47.9,2009
1474,Tabina,47.6,16.4,34.7,60.4,2009
1475,Tabogon,47.0,7.1,41.6,52.5,2009
1476,Tabontabon,36.8,9.2,31.2,42.4,2009
1477,Tabuan-Lasa,40.3,18.3,28.1,52.4,2009
1478,Tabuelan,53.8,9.0,45.9,61.8,2009
1479,Tabuk,17.3,16.3,12.7,22.0,2009
1480,Tacloban,20.5,7.1,18.0,22.9,2009
1481,Tacurong,18.5,13.6,14.3,22.6,2009
1482,Tadian,36.2,20.0,24.3,48.0,2009
1483,Taft,42.2,9.2,35.8,48.5,2009
1484,Tagana-An,50.4,10.1,42.0,58.7,2009
1485,Tagapul-An,42.5,9.9,35.5,49.4,2009
1486,Tagaytay,5.6,18.4,3.9,7.3,2009
1487,Tagbilaran,11.0,19.5,7.5,14.6,2009
1488,Tagbina,48.0,7.8,41.9,54.2,2009
1489,Tagkawayan,23.7,8.3,20.4,26.9,2009
1490,Tago,37.5,8.5,32.2,42.7,2009
1491,Tagoloan (LN),69.4,8.3,59.9,78.9,2009
1492,Tagoloan (MO),35.9,13.1,28.2,43.7,2009
1493,Tagoloan Ii,59.3,15.6,44.0,74.5,2009
1494,Tagudin,20.6,9.3,17.4,23.7,2009
1495,Taguig,2.7,41.5,0.8,4.5,2009
1496,Tagum,15.0,18.7,10.4,19.6,2009
1497,Talacogon,58.0,6.8,51.5,64.4,2009
1498,Talaingod,62.6,15.2,46.9,78.3,2009
1499,Talakag,50.3,7.8,43.8,56.7,2009
1500,Talalora,47.0,10.3,39.0,55.0,2009
1501,Talavera,18.3,10.1,15.3,21.3,2009
1502,Talayan,50.9,11.1,41.6,60.3,2009
1503,Talibon,51.4,6.2,46.2,56.6,2009
1504,Talipao,59.8,8.5,51.4,68.1,2009
1505,Talisay (BS),5.6,26.3,3.2,8.1,2009
1506,Talisay (CN),28.6,10.9,23.5,33.7,2009
1507,Talisay  (CU),18.0,14.3,13.7,22.2,2009
1508,Talisay (NO),15.7,18.7,10.9,20.5,2009
1509,Talisayan,48.2,8.0,41.9,54.5,2009
1510,Talitay,51.9,15.1,39.0,64.9,2009
1511,Talugtug,36.0,8.3,31.1,40.9,2009
1512,Talusan,66.5,11.8,53.6,79.4,2009
1513,Tambulig,38.0,14.0,29.2,46.7,2009
1514,Tampakan,33.1,11.9,26.6,39.5,2009
1515,Tamparan,39.9,14.6,30.3,49.5,2009
1516,Tampilisan,45.0,12.7,35.6,54.4,2009
1517,Tanauan (BS),4.0,16.6,2.9,5.1,2009
1518,Tanauan (LE),27.0,8.5,23.2,30.7,2009
1519,Tanay,10.5,18.9,7.3,13.8,2009
1520,Tandag,26.3,10.3,21.8,30.7,2009
1521,Tandubas,35.3,17.4,25.2,45.4,2009
1522,Tangalan,42.5,11.2,34.7,50.3,2009
1523,Tangcal,67.4,6.4,60.3,74.4,2009
1524,Tangub,43.1,5.8,39.0,47.2,2009
1525,Tanjay,27.1,11.4,22.0,32.1,2009
1526,Tantangan,38.2,11.5,31.0,45.4,2009
1527,Tanudan,30.7,20.0,20.6,40.7,2009
1528,Tanza,5.4,17.8,3.8,7.0,2009
1529,Tapaz,29.0,12.3,23.1,34.8,2009
1530,Tapul,52.4,11.4,42.6,62.2,2009
1531,Taraka,38.0,14.3,29.1,46.9,2009
1532,Tarangnan,46.3,6.9,41.0,51.5,2009
1533,Tarlac,8.7,9.5,7.4,10.1,2009
1534,Tarragona,62.3,8.6,53.5,71.1,2009
1535,Tayabas,10.5,13.0,8.2,12.7,2009
1536,Tayasan,48.5,7.2,42.7,54.3,2009
1537,Taysan,16.6,12.2,13.3,19.9,2009
1538,Taytay (PN),35.1,11.6,28.4,41.8,2009
1539,Taytay (RL),3.2,47.1,0.7,5.7,2009
1540,Tayug,16.4,7.3,14.5,18.4,2009
1541,Tayum,23.7,18.7,16.4,31.0,2009
1542,T'Boli,52.7,7.3,46.4,59.0,2009
1543,Teresa,3.3,47.3,0.7,5.9,2009
1544,Ternate,16.5,16.8,11.9,21.0,2009
1545,Tiaong,13.8,13.5,10.7,16.8,2009
1546,Tibiao,49.6,8.7,42.5,56.7,2009
1547,Tigaon,41.9,6.9,37.1,46.6,2009
1548,Tigbao,44.5,14.2,34.1,54.9,2009
1549,Tigbauan,23.3,12.9,18.4,28.3,2009
1550,Tinambac,53.2,6.3,47.7,58.7,2009
1551,Tineg,43.2,19.9,29.1,57.4,2009
1552,Tinglayan,34.1,15.5,25.4,42.7,2009
1553,Tingloy,26.2,10.5,21.7,30.7,2009
1554,Tinoc,49.6,15.0,37.3,61.9,2009
1555,Tipo-Tipo,28.0,22.4,17.7,38.3,2009
1556,Titay,45.1,10.0,37.6,52.6,2009
1557,Tiwi,37.9,7.6,33.1,42.6,2009
1558,Tobias Fornier,44.1,8.1,38.2,50.0,2009
1559,Toboso,31.8,19.2,21.8,41.8,2009
1560,Toledo,31.5,7.1,27.8,35.2,2009
1561,Tolosa,24.4,11.4,19.9,29.0,2009
1562,Tomas Oppus,39.7,7.0,35.2,44.3,2009
1563,Tongkil,51.2,12.5,40.6,61.8,2009
1564,Torrijos,35.2,12.0,28.2,42.1,2009
1565,Trece Martires,4.3,30.9,2.1,6.5,2009
1566,Trento,49.1,10.1,40.9,57.2,2009
1567,Trinidad,56.6,6.7,50.4,62.8,2009
1568,Tuao,22.7,10.2,18.9,26.5,2009
1569,Tuba,14.2,22.7,8.9,19.5,2009
1570,Tubajon,56.3,9.6,47.4,65.2,2009
1571,Tubao,26.2,13.3,20.5,32.0,2009
1572,Tubaran,44.4,16.4,32.4,56.4,2009
1573,Tubay,39.2,10.5,32.4,46.0,2009
1574,Tubigon,37.4,6.8,33.2,41.5,2009
1575,Tublay,30.4,22.7,19.1,41.8,2009
1576,Tubo,56.4,16.6,41.0,71.7,2009
1577,Tubod (LN),48.3,6.4,43.2,53.4,2009
1578,Tubod (SN),47.8,9.4,40.4,55.2,2009
1579,Tubungan,35.5,11.8,28.6,42.4,2009
1580,Tuburan (BA),37.6,19.7,25.5,49.8,2009
1581,Tuburan (CU),45.9,5.7,41.6,50.1,2009
1582,Tudela (CU),42.7,14.2,32.7,52.6,2009
1583,Tudela (MC),38.0,8.4,32.8,43.3,2009
1584,Tugaya,45.3,17.4,32.3,58.3,2009
1585,Tuguegarao,8.5,12.9,6.7,10.3,2009
1586,Tukuran,36.5,14.3,27.9,45.1,2009
1587,Tulunan,38.2,9.6,32.2,44.3,2009
1588,Tumauini,19.8,9.0,16.8,22.7,2009
1589,Tunga,23.1,15.3,17.3,28.8,2009
1590,Tungawan,59.5,9.8,49.8,69.1,2009
1591,Tupi,34.7,12.8,27.4,42.0,2009
1592,Turtle Islands,28.6,45.4,7.2,49.9,2009
1593,Tuy,18.0,10.6,14.9,21.2,2009
1594,Ubay,50.1,5.8,45.3,54.9,2009
1595,Umingan,22.9,9.6,19.3,26.5,2009
1596,Ungkaya Pukan,26.5,21.8,17.0,35.9,2009
1597,Unisan,21.2,7.6,18.5,23.8,2009
1598,Upi,34.8,14.8,26.3,43.2,2009
1599,Urbiztondo,31.7,9.6,26.7,36.7,2009
1600,Urdaneta,14.4,8.4,12.4,16.3,2009
1601,Uson,42.9,6.8,38.1,47.8,2009
1602,Uyugan,8.1,39.6,2.8,13.3,2009
1603,Valderrama,43.5,8.4,37.5,49.5,2009
1604,Valencia (BL),50.4,5.7,45.7,55.2,2009
1605,Valencia (BK),35.8,8.5,30.8,40.9,2009
1606,Valencia (NR),27.3,9.2,23.1,31.4,2009
1607,Valenzuela,3.7,33.4,1.7,5.8,2009
1608,Valladolid,21.2,16.3,15.5,26.8,2009
1609,Vallehermoso,47.2,10.7,38.8,55.5,2009
1610,Veruela,58.5,5.8,52.9,64.0,2009
1611,Victoria (LA),3.7,39.1,1.3,6.1,2009
1612,Victoria (NS),37.7,9.8,31.6,43.8,2009
1613,Victoria (OR),35.2,9.6,29.6,40.7,2009
1614,Victoria (TC),20.2,13.3,15.8,24.6,2009
1615,Victorias,19.2,15.4,14.3,24.0,2009
1616,Viga,41.2,6.7,36.6,45.7,2009
1617,Vigan,12.4,12.9,9.8,15.1,2009
1618,Villaba,35.4,6.9,31.4,39.4,2009
1619,Villanueva,40.5,9.7,34.0,46.9,2009
1620,Villareal,42.1,6.6,37.5,46.6,2009
1621,Villasis,17.0,9.8,14.3,19.7,2009
1622,Villaverde,11.1,24.4,6.6,15.5,2009
1623,Villaviciosa,49.1,15.7,36.4,61.8,2009
1624,Vincenzo A Sagun,46.5,13.4,36.2,56.8,2009
1625,Vintar,16.8,12.0,13.5,20.1,2009
1626,Vinzons,42.1,8.1,36.4,47.7,2009
1627,Virac,22.7,6.4,20.3,25.1,2009
1628,Wao,25.5,16.4,18.6,32.3,2009
1629,Zamboanga,19.9,10.2,16.5,23.2,2009
1630,Zamboanguita,39.1,12.7,31.0,47.3,2009
1631,Zaragoza,19.3,13.6,15.0,23.6,2009
1632,Zarraga,15.4,16.7,11.2,19.7,2009
1633,Zumarraga,49.9,7.7,43.6,56.2,2009
1634,Aborlan,22.4,12.4,17.8,26.9,2012
1635,Abra De Ilog,32.3,13.8,25.0,39.6,2012
1636,Abucay,4.0,25.8,2.3,5.6,2012
1637,Abulug,20.9,9.9,17.5,24.3,2012
1638,Abuyog,35.9,6.2,32.3,39.6,2012
1639,Adams,17.1,62.3,0.0,34.6,2012
1640,Agdangan,21.6,9.7,18.2,25.1,2012
1641,Aglipay,18.2,12.2,14.5,21.8,2012
1642,Agno,11.3,22.1,7.2,15.4,2012
1643,Agoncillo,16.2,10.1,13.5,18.9,2012
1644,Agoo,8.5,15.4,6.3,10.7,2012
1645,Aguilar,15.0,16.1,11.0,19.0,2012
1646,Aguinaldo,53.6,13.1,42.0,65.1,2012
1647,Agutaya,33.4,18.9,23.0,43.7,2012
1648,Ajuy,30.6,10.3,25.4,35.8,2012
1649,Akbar,53.9,13.9,41.6,66.2,2012
1650,Alabat,13.4,11.6,10.8,16.0,2012
1651,Alabel,45.9,11.4,37.3,54.5,2012
1652,Alamada,54.3,8.5,46.7,61.9,2012
1653,Alaminos (LA),2.1,23.2,1.3,2.9,2012
1654,Alaminos (PS),8.6,16.6,6.3,11.0,2012
1655,Alang-Alang,41.5,5.2,38.0,45.0,2012
1656,Al-Barka,57.0,14.2,43.7,70.3,2012
1657,Albuera,38.9,9.1,33.1,44.7,2012
1658,Alburquerque,15.9,15.8,11.8,20.1,2012
1659,Alcala (CG),18.9,12.0,15.2,22.6,2012
1660,Alcala (PS),13.6,19.9,9.2,18.1,2012
1661,Alcantara (CU),34.0,12.5,27.1,41.0,2012
1662,Alcantara (RN),35.4,11.7,28.6,42.2,2012
1663,Alcoy,24.5,18.0,17.3,31.8,2012
1664,Alegria (CU),40.0,13.0,31.4,48.5,2012
1665,Alegria (SN),38.3,10.0,32.0,44.5,2012
1666,Aleosan,58.2,8.8,49.7,66.6,2012
1667,Alfonso,6.0,14.7,4.5,7.4,2012
1668,Alfonso Castaneda,33.5,19.1,22.9,44.0,2012
1669,Alfonso Lista,21.5,19.1,14.8,28.3,2012
1670,Aliaga,19.0,9.8,15.9,22.1,2012
1671,Alicia (BL),33.9,11.1,27.8,40.1,2012
1672,Alicia (IA),15.2,13.2,11.9,18.5,2012
1673,Alicia (ZS),60.6,3.7,57.0,64.3,2012
1674,Alilem,33.4,14.7,25.3,41.4,2012
1675,Alimodian,26.6,10.4,22.1,31.2,2012
1676,Alitagtag,6.5,10.0,5.4,7.6,2012
1677,Allacapan,18.0,10.5,14.9,21.1,2012
1678,Allen,35.1,7.1,31.0,39.2,2012
1679,Almagro,48.1,6.8,42.7,53.4,2012
1680,Almeria,25.1,12.6,19.9,30.3,2012
1681,Aloguinsan,29.1,12.5,23.1,35.1,2012
1682,Aloran,39.6,9.2,33.6,45.6,2012
1683,Altavas,19.2,17.4,13.7,24.7,2012
1684,Alubijid,35.4,13.4,27.6,43.2,2012
1685,Amadeo,1.9,24.1,1.1,2.6,2012
1686,Amai Manabilang,62.7,7.0,55.4,69.9,2012
1687,Ambaguio,38.9,14.1,29.9,47.9,2012
1688,Amlan,20.3,15.6,15.1,25.5,2012
1689,Ampatuan,63.3,12.7,50.0,76.6,2012
1690,Amulung,25.2,10.2,20.9,29.4,2012
1691,Anahawan,39.1,9.4,33.0,45.2,2012
1692,Anao,9.8,14.3,7.5,12.0,2012
1693,Anda (BL),30.9,11.0,25.3,36.5,2012
1694,Anda (PS),8.9,23.9,5.4,12.4,2012
1695,Angadanan,17.6,9.0,15.0,20.2,2012
1696,Angat,7.2,17.2,5.1,9.2,2012
1697,Angeles,1.3,30.8,0.7,2.0,2012
1698,Angono,3.3,20.8,2.2,4.5,2012
1699,Anilao,27.3,12.3,21.8,32.9,2012
1700,Anini-Y,18.5,16.0,13.6,23.3,2012
1701,Antequera,18.5,11.5,15.0,21.9,2012
1702,Antipas,41.1,12.2,32.9,49.3,2012
1703,Antipolo,4.1,28.9,2.1,6.0,2012
1704,Apalit,4.0,26.5,2.3,5.8,2012
1705,Aparri,21.9,9.2,18.5,25.2,2012
1706,Araceli,27.7,13.0,21.8,33.6,2012
1707,Arakan,53.9,7.6,47.1,60.7,2012
1708,Arayat,7.3,15.7,5.4,9.2,2012
1709,Argao,24.7,9.1,21.0,28.4,2012
1710,Aringay,11.7,17.4,8.4,15.1,2012
1711,Aritao,11.9,16.8,8.6,15.2,2012
1712,Aroroy,43.3,5.6,39.2,47.3,2012
1713,Arteche,59.2,6.3,53.0,65.4,2012
1714,Asingan,10.6,20.0,7.1,14.0,2012
1715,Asipulo,55.3,14.8,41.9,68.7,2012
1716,Asturias,30.8,10.5,25.4,36.1,2012
1717,Asuncion,39.2,9.3,33.2,45.2,2012
1718,Atimonan,37.3,8.0,32.4,42.3,2012
1719,Atok,16.6,28.1,8.9,24.3,2012
1720,Aurora (IA),13.1,14.0,10.1,16.1,2012
1721,Aurora (ZR),24.9,2.7,23.8,26.0,2012
1722,Ayungon,51.3,5.8,46.4,56.3,2012
1723,Baao,26.8,9.7,22.6,31.1,2012
1724,Babatngon,44.1,6.3,39.6,48.6,2012
1725,Bacacay,29.7,7.2,26.2,33.2,2012
1726,Bacarra,4.5,34.2,1.9,7.0,2012
1727,Baclayon,15.1,14.7,11.4,18.7,2012
1728,Bacnotan,9.0,15.3,6.7,11.2,2012
1729,Baco,22.8,11.0,18.6,26.9,2012
1730,Bacolod (LN),37.8,11.4,30.7,44.8,2012
1731,Bacolod (NO),3.2,30.7,1.6,4.8,2012
1732,Bacolod-Kalawi,84.8,6.7,75.5,94.0,2012
1733,Bacolor,4.4,23.9,2.6,6.1,2012
1734,Bacong,18.5,11.6,15.0,22.0,2012
1735,Bacoor,1.1,30.9,0.5,1.7,2012
1736,Bacuag,37.1,12.7,29.4,44.9,2012
1737,Bacungan Leon B. Postigo,54.2,7.4,47.6,60.8,2012
1738,Badian,38.3,7.9,33.3,43.3,2012
1739,Badiangan,16.8,12.2,13.4,20.2,2012
1740,Badoc,17.5,13.1,13.7,21.3,2012
1741,Bagabag,9.8,20.5,6.5,13.1,2012
1742,Bagac,9.4,13.4,7.3,11.4,2012
1743,Bagamanoc,37.4,7.1,33.0,41.8,2012
1744,Baganga,26.2,13.1,20.5,31.8,2012
1745,Baggao,22.0,10.3,18.2,25.7,2012
1746,Bago,20.6,15.5,15.3,25.8,2012
1747,Baguio,0.9,40.0,0.3,1.4,2012
1748,Bagulin,27.6,16.2,20.2,35.0,2012
1749,Bagumbayan,47.6,8.9,40.7,54.6,2012
1750,Bais,31.7,7.8,27.7,35.8,2012
1751,Bakun,26.5,22.6,16.6,36.3,2012
1752,Balabac,38.1,13.3,29.7,46.4,2012
1753,Balabagan,53.9,9.7,45.3,62.5,2012
1754,Balagtas,4.2,29.4,2.2,6.2,2012
1755,Balamban,20.0,11.6,16.2,23.9,2012
