PCODE,Region,Province,Municipality_City,Prelim_2012,Pov_2012,SE_2012,CoV_2012,Con_90lower_2012,Con_90upper_2012,Pov_2009,SE_2009,CoV_2009,Pov_2006,SE_2006,CoV_2006
PH036902000,Region III,Tarlac,Bamban,FALSE,4.61,1.28,27.76572668,2.5044,6.7156,10.6,3.4,32.0,7.6,2.8,37.2
PH036903000,Region III,Tarlac,Camiling,FALSE,9.5,0.79,8.315789474,8.20045,10.79955,15.8,1.8,11.6,10.7,1.3,12.1
PH036904000,Region III,Tarlac,Capas,FALSE,14.28,1.66,11.62464986,11.5493,17.0107,13.2,2.5,19.3,11.3,2.9,25.9
PH036905000,Region III,Tarlac,Concepcion,FALSE,6.73,0.98,14.56166419,5.1179,8.3421,13.5,1.9,13.9,12.4,2.2,17.5
PH036906000,Region III,Tarlac,Gerona,FALSE,10.94,1.1,10.05484461,9.1305,12.7495,17.6,2.2,12.4,13.9,1.7,12.0
PH036907000,Region III,Tarlac,La Paz,FALSE,6.43,1.1,17.10730949,4.6205,8.2395,17.0,2.5,14.5,21.2,3.0,13.9
PH036908000,Region III,Tarlac,Mayantoc,FALSE,12.62,1.25,9.904912837,10.56375,14.67625,28.3,4.0,14.0,24.2,2.9,12.1
PH036909000,Region III,Tarlac,Moncada,FALSE,11.26,1.32,11.72291297,9.0886,13.4314,15.9,2.1,13.4,14.5,2.3,16.0
PH036910000,Region III,Tarlac,Paniqui,FALSE,10.67,1.08,10.12183693,8.8934,12.4466,12.8,1.6,12.5,8.4,1.4,16.5
PH036911000,Region III,Tarlac,Pura,FALSE,10.79,1.5,13.90176089,8.3225,13.2575,14.7,2.7,18.1,13.3,3.0,22.4
PH036912000,Region III,Tarlac,Ramos,FALSE,13.01,2.02,15.52651806,9.6871,16.3329,16.7,3.2,19.2,19.0,3.9,20.7
PH036913000,Region III,Tarlac,San Clemente,FALSE,11.77,1.77,15.0382328,8.85835,14.68165,18.2,3.1,17.3,24.2,4.8,19.9
PH036914000,Region III,Tarlac,San Manuel,FALSE,10.03,1.39,13.85842473,7.74345,12.31655,17.0,3.1,18.4,16.7,3.3,19.6
PH036915000,Region III,Tarlac,Santa Ignacia,FALSE,12.69,1.45,11.42631994,10.30475,15.07525,21.8,2.9,13.1,23.9,3.0,12.6
PH036916000,Region III,Tarlac,Tarlac City,FALSE,8.5,0.77,9.058823529,7.23335,9.76665,8.7,0.8,9.5,7.1,1.0,14.6
PH036917000,Region III,Tarlac,Victoria,FALSE,11.34,1.22,10.75837743,9.3331,13.3469,20.2,2.7,13.3,21.6,2.8,13.1
PH036918000,Region III,Tarlac,San Jose,FALSE,23.98,2.11,8.798999166,20.50905,27.45095,32.1,3.9,12.1,37.8,5.8,15.3
PH037101000,Region III,Zambales,Botolan,FALSE,23.73,2.15,9.060261273,20.19325,27.26675,17.4,2.4,14.0,22.4,4.3,19.2
PH037102000,Region III,Zambales,Cabanglan,FALSE,17.27,1.69,9.785755646,14.48995,20.05005,21.2,2.7,12.5,9.2,2.2,24.2
PH037103000,Region III,Zambales,Candelabra,FALSE,15.76,1.57,9.961928934,13.17735,18.34265,18.2,2.9,16.1,13.1,2.7,20.5
PH037104000,Region III,Zambales,Castillejos,FALSE,7.75,1.35,17.41935484,5.52925,9.97075,12.5,2.6,21.1,6.2,2.1,34.4
PH037105000,Region III,Zambales,Iba,FALSE,13.33,1.78,13.35333833,10.4019,16.2581,12.5,2.8,22.2,10.9,3.0,27.1
PH037106000,Region III,Zambales,Masinloc,FALSE,17.98,2.13,11.84649611,14.47615,21.48385,18.2,3.4,18.4,15.1,2.5,16.4
PH037107000,Region III,Zambales,Olongapo City,FALSE,3.1,0.95,30.64516129,1.53725,4.66275,4.5,1.6,35.1,4.7,1.3,28.2
PH037108000,Region III,Zambales,Paluig,FALSE,20.76,1.92,9.248554913,17.6016,23.9184,21.3,2.7,12.7,19.2,3.3,17.2
PH037109000,Region III,Zambales,San Antonio,FALSE,11.2,1.61,14.375,8.55155,13.84845,12.0,2.1,17.8,11.4,3.0,26.8
PH037110000,Region III,Zambales,San Felipe,FALSE,13.66,1.97,14.42166911,10.41935,16.90065,14.5,3.7,25.4,7.7,2.2,28.5
PH037111000,Region III,Zambales,San Marcelino,FALSE,14.1,1.45,10.28368794,11.71475,16.48525,14.8,2.0,13.5,12.5,2.5,19.9
PH037112000,Region III,Zambales,San Narciso,FALSE,11.45,1.61,14.06113537,8.80155,14.09845,10.7,2.1,19.4,9.0,1.7,19.0
PH037113000,Region III,Zambales,Santa Cruz,FALSE,18.93,1.59,8.399366086,16.31445,21.54555,18.7,2.7,14.3,18.2,2.6,14.3
PH037114000,Region III,Zambales,Subic,FALSE,11.69,1.68,14.37125749,8.9264,14.4536,11.5,2.5,21.8,7.9,1.9,24.3
PH037701000,Region III,Aurora,Baler,FALSE,9.99,1.63,16.31631632,7.30865,12.67135,9.6,2.2,23.4,11.6,2.6,22.2
PH037702000,Region III,Aurora,Casiguran,FALSE,18.44,1.72,9.327548807,15.6106,21.2694,19.7,3.5,17.5,29.1,4.0,13.7
PH037703000,Region III,Aurora,Dilasag,FALSE,13.94,2.17,15.56671449,10.37035,17.50965,19.2,3.9,20.4,34.8,5.6,16.0
PH037704000,Region III,Aurora,Dinalungan,FALSE,13.81,2.08,15.0615496,10.3884,17.2316,25.6,4.9,19.2,31.0,5.0,16.2
PH037705000,Region III,Aurora,Dingalan,FALSE,13.46,2.39,17.75631501,9.52845,17.39155,14.5,4.2,28.8,29.3,5.6,18.9
PH037706000,Region III,Aurora,Dipaculao,FALSE,14.5,1.51,10.4137931,12.01605,16.98395,17.9,3.1,17.3,28.5,3.7,12.9
PH037707000,Region III,Aurora,Maria Aurora,FALSE,10.14,1.02,10.0591716,8.4621,11.8179,13.2,2.0,15.4,18.4,2.3,12.3
PH037708000,Region III,Aurora,San Luis,FALSE,13.19,1.68,12.73692191,10.4264,15.9536,13.8,3.1,22.0,26.0,3.9,14.9
PH041001000,Region IV-A,Batangas,Agoncillo,FALSE,16.17,1.64,10.14223871,13.4722,18.8678,15.4,1.9,12.1,19.3,3.2,16.6
PH041002000,Region IV-A,Batangas,Alitagtag,FALSE,6.49,0.65,10.01540832,5.42075,7.55925,8.6,1.5,17.0,7.5,2.2,28.8
PH041003000,Region IV-A,Batangas,Balayan,FALSE,8.74,0.88,10.06864989,7.2924,10.1876,14.1,1.3,9.0,17.2,2.1,12.2
PH041004000,Region IV-A,Batangas,Balete,FALSE,10.59,1.03,9.726156752,8.89565,12.28435,17.2,2.8,16.2,24.6,4.4,18.0
PH041005000,Region IV-A,Batangas,Batangas City,FALSE,3.62,0.72,19.88950276,2.4356,4.8044,7.1,0.7,9.7,8.1,1.0,11.7
PH041006000,Region IV-A,Batangas,Bauan,FALSE,4.28,0.98,22.89719626,2.6679,5.8921,2.7,0.7,24.4,6.1,1.5,23.8
PH041007000,Region IV-A,Batangas,Calaca,FALSE,19.95,2.99,14.98746867,15.03145,24.86855,17.8,1.7,9.4,28.1,3.5,12.5
PH041008000,Region IV-A,Batangas,Calatagan,FALSE,23.97,3.61,15.06049228,18.03155,29.90845,21.9,2.4,10.8,28.8,3.2,11.0
PH041009000,Region IV-A,Batangas,Cuenca,FALSE,8.56,1.82,21.26168224,5.5661,11.5539,9.9,1.6,16.5,8.7,2.5,29.2
PH041010000,Region IV-A,Batangas,Ibaan,FALSE,8.58,1.68,19.58041958,5.8164,11.3436,12.1,1.8,15.0,14.8,2.6,17.3
PH041011000,Region IV-A,Batangas,Laurel,FALSE,31.29,5.85,18.69606903,21.66675,40.91325,21.8,2.5,11.3,29.8,4.5,15.1
PH041012000,Region IV-A,Batangas,Lemery,FALSE,13.66,1.88,13.76281113,10.5674,16.7526,14.3,1.3,8.9,19.6,2.3,11.6
PH041013000,Region IV-A,Batangas,Lian,FALSE,17.97,2.91,16.19365609,13.18305,22.75695,16.5,2.4,14.7,25.6,3.5,13.6
PH041014000,Region IV-A,Batangas,Lipa City,FALSE,5.21,0.84,16.12284069,3.8282,6.5918,3.9,0.6,16.3,5.1,1.1,20.9
PH041015000,Region IV-A,Batangas,Lobo,FALSE,25.86,4.14,16.00928074,19.0497,32.6703,19.1,2.1,10.7,39.5,5.2,13.1
PH041016000,Region IV-A,Batangas,Mabini,FALSE,6.58,1.27,19.30091185,4.49085,8.66915,11.7,1.5,12.9,12.6,2.0,15.8
PH041017000,Region IV-A,Batangas,Malvar,FALSE,6.62,1.66,25.0755287,3.8893,9.3507,6.5,1.5,22.2,7.5,2.1,27.6
PH041018000,Region IV-A,Batangas,Mataas Na Kahoy,FALSE,4.79,1.41,29.43632568,2.47055,7.10945,9.8,2.0,20.1,8.7,2.2,24.8
PH041019000,Region IV-A,Batangas,Nasugbu,FALSE,15.32,2.19,14.29503916,11.71745,18.92255,17.3,2.0,11.3,17.9,2.5,13.7
PH041020000,Region IV-A,Batangas,Padre Garcia,FALSE,13.77,2.43,17.64705882,9.77265,17.76735,16.5,2.5,15.4,17.3,3.7,21.1
PH041021000,Region IV-A,Batangas,Rosario,FALSE,14.93,2.17,14.53449431,11.36035,18.49965,16.8,1.4,8.1,22.3,2.7,12.0
PH041022000,Region IV-A,Batangas,San Jose,FALSE,8.62,1.48,17.16937355,6.1854,11.0546,11.2,1.7,15.3,11.6,2.6,22.1
PH041023000,Region IV-A,Batangas,San Juan,FALSE,21.21,2.87,13.53135314,16.48885,25.93115,15.4,1.7,11.0,24.1,2.6,10.8
PH041024000,Region IV-A,Batangas,San Luis,FALSE,10.31,1.94,18.81668283,7.1187,13.5013,9.5,1.6,17.1,14.9,2.9,19.1
PH041025000,Region IV-A,Batangas,San Nicolas,FALSE,10.63,2.4,22.57761054,6.682,14.578,5.3,1.5,27.5,8.5,2.2,26.2
PH041026000,Region IV-A,Batangas,San Pascual,FALSE,2.99,0.82,27.42474916,1.6411,4.3389,5.8,1.2,20.1,7.4,1.8,23.9
PH041027000,Region IV-A,Batangas,Santa Teresita,FALSE,6.02,1.8,29.90033223,3.059,8.981,9.4,2.0,20.8,12.5,2.7,22.0
PH041028000,Region IV-A,Batangas,Santo Tomas,FALSE,5.42,1.16,21.40221402,3.5118,7.3282,8.6,1.4,16.3,10.0,2.0,19.7
PH041029000,Region IV-A,Batangas,Taal,FALSE,6.96,1.36,19.54022989,4.7228,9.1972,4.1,1.0,23.2,4.6,1.2,25.4
PH041030000,Region IV-A,Batangas,Talisay,FALSE,10.09,2.05,20.31714569,6.71775,13.46225,5.6,1.5,26.3,7.5,1.9,25.5
PH041031000,Region IV-A,Batangas,City Of Tanauan,FALSE,5.86,0.95,16.2116041,4.29725,7.42275,4.0,0.7,16.6,7.1,1.2,17.4
PH041032000,Region IV-A,Batangas,Taysan,FALSE,14.94,2.66,17.80455154,10.5643,19.3157,16.6,2.0,12.2,21.2,3.4,16.1
PH041033000,Region IV-A,Batangas,Tingloy,FALSE,31.64,5.41,17.09860936,22.74055,40.53945,26.2,2.7,10.5,44.0,5.0,11.4
PH041034000,Region IV-A,Batangas,Tuy,FALSE,19.77,3.37,17.04602934,14.22635,25.31365,18.0,1.9,10.6,26.6,3.4,12.9
PH042101000,Region IV-A,Cavite,Alfonso,FALSE,5.99,0.88,14.69115192,4.5424,7.4376,13.8,1.6,11.9,17.3,2.4,14.1
PH042102000,Region IV-A,Cavite,Amadeo,FALSE,1.87,0.45,24.06417112,1.12975,2.61025,6.3,1.2,19.2,13.4,2.4,17.8
PH042103000,Region IV-A,Cavite,Bacoor,FALSE,1.1,0.34,30.90909091,0.5407,1.6593,3.6,0.6,17.1,5.2,1.0,19.7
PH042104000,Region IV-A,Cavite,Carmona,FALSE,3,0.57,19,2.06235,3.93765,3.4,1.7,48.4,5.0,1.9,37.3
PH042105000,Region IV-A,Cavite,Cavite City,FALSE,5.43,0.81,14.91712707,4.09755,6.76245,5.5,0.9,15.5,4.7,0.8,16.7
PH042106000,Region IV-A,Cavite,Dasmari–as,FALSE,4.79,0.8,16.70146138,3.474,6.106,5.3,0.8,15.8,5.2,1.1,21.5
PH042107000,Region IV-A,Cavite,General Emilio Aguinaldo,FALSE,7.33,0.89,12.14188267,5.86595,8.79405,13.7,2.1,15.4,22.0,3.5,15.9
PH042108000,Region IV-A,Cavite,General Trias,FALSE,3.21,0.98,30.52959502,1.5979,4.8221,3.5,1.0,29.3,4.8,1.6,34.2
PH042109000,Region IV-A,Cavite,Imus,FALSE,1.1,0.34,30.90909091,0.5407,1.6593,2.3,0.4,16.2,3.0,0.6,19.7
PH042110000,Region IV-A,Cavite,Indang,FALSE,3.05,0.83,27.21311475,1.68465,4.41535,6.7,0.9,13.5,9.6,1.7,17.6
PH042111000,Region IV-A,Cavite,Kawit,FALSE,5.88,1.31,22.27891156,3.72505,8.03495,4.8,1.1,22.5,5.8,1.4,23.7
PH042112000,Region IV-A,Cavite,Magallanes,FALSE,13.49,3.28,24.31430689,8.0944,18.8856,19.4,2.7,13.8,28.7,4.6,16.1
PH042113000,Region IV-A,Cavite,Maragondon,FALSE,8.86,1.89,21.33182844,5.75095,11.96905,16.3,2.2,13.3,22.2,3.1,14.1
PH042114000,Region IV-A,Cavite,Mendez (Mendez-Nu–ez),FALSE,5.23,1.19,22.75334608,3.27245,7.18755,4.5,1.1,23.5,7.6,2.1,27.6
PH042115000,Region IV-A,Cavite,Naic,FALSE,8.32,1.64,19.71153846,5.6222,11.0178,8.4,1.5,18.1,11.6,2.0,17.3
PH042116000,Region IV-A,Cavite,Noveleta,FALSE,3.42,1.11,32.45614035,1.59405,5.24595,3.0,1.0,34.8,2.9,1.1,39.4
PH042117000,Region IV-A,Cavite,Rosario,FALSE,7.53,1.71,22.70916335,4.71705,10.34295,5.9,1.3,22.4,7.8,2.0,25.8
PH042118000,Region IV-A,Cavite,Silang,FALSE,5.52,0.81,14.67391304,4.18755,6.85245,11.0,1.3,11.6,11.6,1.8,15.4
PH042119000,Region IV-A,Cavite,Tagaytay City,FALSE,6.57,1.26,19.17808219,4.4973,8.6427,5.6,1.0,18.4,7.6,1.7,21.9
PH042120000,Region IV-A,Cavite,Tanza,FALSE,6.83,1.37,20.05856515,4.57635,9.08365,5.4,1.0,17.8,8.3,1.4,16.5
PH042121000,Region IV-A,Cavite,Ternate,FALSE,9.03,2.81,31.11849391,4.40755,13.65245,16.5,2.8,16.8,12.0,3.6,30.0
PH042122000,Region IV-A,Cavite,Trece Martires City,FALSE,4.57,1.46,31.94748359,2.1683,6.9717,4.3,1.3,30.9,3.9,1.4,35.6
PH042123000,Region IV-A,Cavite,Gen. Mariano Alvarez,FALSE,6.04,1.53,25.33112583,3.52315,8.55685,5.7,1.1,19.7,4.4,1.2,28.0
PH043401000,Region IV-A,Laguna,Alaminos,FALSE,2.11,0.49,23.22274882,1.30395,2.91605,6.4,1.6,25.5,5.4,1.6,30.4
PH043402000,Region IV-A,Laguna,Bay,FALSE,3.23,0.52,16.09907121,2.3746,4.0854,2.8,1.0,36.5,6.3,1.8,28.8
PH043403000,Region IV-A,Laguna,Bi–an,FALSE,7.92,0.98,12.37373737,6.3079,9.5321,1.7,0.7,43.1,2.0,0.8,40.9
PH043404000,Region IV-A,Laguna,Cabuyao,FALSE,11.03,1.2,10.87941976,9.056,13.004,1.7,0.7,38.9,2.9,1.1,38.1
PH043405000,Region IV-A,Laguna,Calamba City,FALSE,3.42,0.69,20.1754386,2.28495,4.55505,2.0,0.5,25.9,2.4,0.7,29.8
PH043406000,Region IV-A,Laguna,Calauan,FALSE,13.03,3.35,25.70990023,7.51925,18.54075,12.0,1.9,16.1,16.6,3.2,19.2
PH043407000,Region IV-A,Laguna,Cavinti,FALSE,14.04,3.5,24.92877493,8.2825,19.7975,11.5,1.9,16.5,13.5,3.3,24.2
PH043408000,Region IV-A,Laguna,Famy,FALSE,15.66,3.33,21.26436782,10.18215,21.13785,11.0,2.5,22.6,15.8,3.9,24.7
PH043409000,Region IV-A,Laguna,Kalayaan,FALSE,14.51,5.74,39.55892488,5.0677,23.9523,12.8,5.0,39.4,17.7,7.0,39.4
PH043410000,Region IV-A,Laguna,Liliw,FALSE,9.86,1.94,19.67545639,6.6687,13.0513,7.6,1.5,19.2,10.5,2.0,19.1
PH043411000,Region IV-A,Laguna,Los Ba–os,FALSE,2.73,0.97,35.53113553,1.13435,4.32565,1.6,0.8,46.0,2.6,1.1,41.3
PH043412000,Region IV-A,Laguna,Luisiana,FALSE,7.27,2.21,30.39889959,3.63455,10.90545,8.2,1.5,17.9,8.7,2.6,29.6
PH043413000,Region IV-A,Laguna,Lumban,FALSE,8.68,2.01,23.15668203,5.37355,11.98645,7.2,1.7,23.5,6.9,1.8,26.0
PH043414000,Region IV-A,Laguna,Mabitac,FALSE,22.49,5.39,23.9662072,13.62345,31.35655,14.4,2.7,18.7,11.4,3.1,27.0
PH043415000,Region IV-A,Laguna,Magdalena,FALSE,19.52,3.36,17.21311475,13.9928,25.0472,13.8,2.1,15.2,12.4,2.6,21.1
PH043416000,Region IV-A,Laguna,Majayjay,FALSE,15.23,2.81,18.45042679,10.60755,19.85245,13.4,1.7,12.7,24.4,4.2,17.4
PH043417000,Region IV-A,Laguna,Nagcarlan,FALSE,10.04,1.97,19.62151394,6.79935,13.28065,7.3,1.2,16.9,9.4,1.8,19.4
PH043418000,Region IV-A,Laguna,Paete,FALSE,7.69,2.55,33.15994798,3.49525,11.88475,3.2,1.7,53.3,2.2,1.3,61.8
PH043419000,Region IV-A,Laguna,Pagsanjan,FALSE,7.21,1.78,24.68793343,4.2819,10.1381,2.8,0.9,32.9,2.8,1.1,38.2
PH043420000,Region IV-A,Laguna,Pakil,FALSE,12.66,2.75,21.72195893,8.13625,17.18375,8.9,2.2,24.6,14.4,3.2,21.8
PH043421000,Region IV-A,Laguna,Pangil,FALSE,16.15,4.16,25.75851393,9.3068,22.9932,7.4,2.2,29.3,11.8,3.9,32.8
PH043422000,Region IV-A,Laguna,Pila,FALSE,8.37,1.66,19.83273596,5.6393,11.1007,3.4,1.0,30.4,5.3,1.9,35.6
PH043423000,Region IV-A,Laguna,Rizal,FALSE,4.88,1.71,35.04098361,2.06705,7.69295,5.8,1.7,30.1,5.7,2.4,41.8
PH043424000,Region IV-A,Laguna,San Pablo City,FALSE,5.59,0.93,16.63685152,4.06015,7.11985,2.7,0.5,19.8,3.5,0.7,19.9
PH043425000,Region IV-A,Laguna,San Pedro,FALSE,1.04,0.55,52.88461538,0.13525,1.94475,1.4,0.6,41.1,1.9,0.9,49.0
PH043426000,Region IV-A,Laguna,Santa Cruz,FALSE,5.25,1.32,25.14285714,3.0786,7.4214,2.3,0.8,33.5,3.4,1.1,32.7
PH043427000,Region IV-A,Laguna,Santa Maria,FALSE,20.55,3.45,16.78832117,14.87475,26.22525,16.8,2.1,12.2,20.6,3.1,15.0
PH043428000,Region IV-A,Laguna,Santa Rosa City,FALSE,1.91,0.69,36.12565445,0.77495,3.04505,1.5,0.6,40.1,1.7,0.8,46.0
PH043429000,Region IV-A,Laguna,Siniloan,FALSE,11.04,2.04,18.47826087,7.6842,14.3958,11.4,2.2,19.7,9.5,2.2,22.6
PH043430000,Region IV-A,Laguna,Victoria,FALSE,8.59,2.36,27.47380675,4.7078,12.4722,3.7,1.5,39.1,5.6,2.6,45.5
PH045601000,Region IV-A,Quezon,Agdangan,FALSE,21.63,2.09,9.662505779,18.19195,25.06805,19.8,2.6,12.9,41.9,5.6,13.4
PH045602000,Region IV-A,Quezon,Alabat,FALSE,13.41,1.56,11.63310962,10.8438,15.9762,17.0,1.9,11.3,30.0,4.0,13.3
PH045603000,Region IV-A,Quezon,Atimonan,FALSE,37.34,3,8.034279593,32.405,42.275,12.7,1.4,11.1,16.6,2.4,14.5
PH045605000,Region IV-A,Quezon,Buenavista,FALSE,46.59,4.43,9.508478214,39.30265,53.87735,34.9,2.3,6.5,74.4,5.4,7.2
PH045606000,Region IV-A,Quezon,Burdeos,FALSE,50.77,6.18,12.17254284,40.6039,60.9361,39.3,3.8,9.6,52.3,5.5,10.5
PH045607000,Region IV-A,Quezon,Calauag,FALSE,28.11,3.31,11.77516898,22.66505,33.55495,25.8,1.8,6.8,43.4,3.9,8.9
PH045608000,Region IV-A,Quezon,Candelaria,FALSE,12.76,2.61,20.45454545,8.46655,17.05345,10.6,1.6,15.1,10.0,2.2,22.0
PH045610000,Region IV-A,Quezon,Catanauan,FALSE,30.58,3.01,9.843034663,25.62855,35.53145,27.8,2.0,7.1,50.0,4.7,9.4
PH045615000,Region IV-A,Quezon,Dolores,FALSE,13.74,3.45,25.10917031,8.06475,19.41525,13.3,2.5,18.4,16.6,4.1,24.4
PH045616000,Region IV-A,Quezon,General Luna,FALSE,32.47,4.41,13.58176779,25.21555,39.72445,27.5,2.5,9.0,42.4,3.8,9.0
PH045617000,Region IV-A,Quezon,General Nakar,FALSE,43.29,6.04,13.95241395,33.3542,53.2258,27.8,3.0,10.9,49.7,5.5,11.1
PH045618000,Region IV-A,Quezon,Guinayangan,FALSE,29.05,3.7,12.73666093,22.9635,35.1365,27.5,1.8,6.5,46.9,4.5,9.6
PH045619000,Region IV-A,Quezon,Gumaca,FALSE,13.1,2.55,19.46564885,8.90525,17.29475,16.7,1.6,9.3,19.7,2.3,11.7
PH045620000,Region IV-A,Quezon,Infanta,FALSE,13.68,2.47,18.05555556,9.61685,17.74315,15.0,2.3,15.2,26.4,3.5,13.1
PH045621000,Region IV-A,Quezon,Jomalig,FALSE,57.62,9.24,16.03609858,42.4202,72.8198,39.0,5.1,13.2,74.9,7.6,10.1
PH045622000,Region IV-A,Quezon,Lopez,FALSE,23.13,2.97,12.84046693,18.24435,28.01565,21.7,1.4,6.5,38.9,3.6,9.3
PH045623000,Region IV-A,Quezon,Lucban,FALSE,5.26,1.94,36.88212928,2.0687,8.4513,5.2,1.3,24.7,12.2,2.4,19.5
PH045624000,Region IV-A,Quezon,Lucena City,FALSE,6.56,1.38,21.03658537,4.2899,8.8301,3.6,0.9,24.7,5.4,1.5,27.3
PH045625000,Region IV-A,Quezon,Macalelon,FALSE,30.03,3.72,12.38761239,23.9106,36.1494,29.5,2.5,8.3,55.7,5.7,10.3
PH045627000,Region IV-A,Quezon,Mauban,FALSE,26.51,3.68,13.88155413,20.4564,32.5636,21.5,1.9,9.0,29.3,3.2,10.9
PH045628000,Region IV-A,Quezon,Mulanay,FALSE,39.69,4.29,10.80876795,32.63295,46.74705,31.5,2.5,7.9,66.3,6.4,9.7
PH045629000,Region IV-A,Quezon,Padre Burgos,FALSE,26.97,3.57,13.23692992,21.09735,32.84265,17.2,2.4,13.7,33.6,4.4,13.1
PH045630000,Region IV-A,Quezon,Pagbilao,FALSE,12.09,2.44,20.18196857,8.0762,16.1038,13.4,2.0,14.9,12.9,2.3,17.5
PH045631000,Region IV-A,Quezon,Panukulan,FALSE,42.4,5.78,13.63207547,32.8919,51.9081,34.5,3.3,9.5,54.9,6.3,11.5
PH045632000,Region IV-A,Quezon,Patnanungan,FALSE,55.41,8.27,14.92510377,41.80585,69.01415,36.0,5.7,15.8,71.2,8.0,11.3
PH045633000,Region IV-A,Quezon,Perez,FALSE,37.74,5.13,13.59300477,29.30115,46.17885,29.7,3.3,11.2,50.5,6.1,12.2
PH045634000,Region IV-A,Quezon,Pitogo,FALSE,28.13,3.46,12.30003555,22.4383,33.8217,24.2,2.0,8.2,37.0,3.6,9.7
PH045635000,Region IV-A,Quezon,Plaridel,FALSE,16.61,3.54,21.31246237,10.7867,22.4333,12.3,2.2,17.7,15.6,3.9,24.8
PH045636000,Region IV-A,Quezon,Polillo,FALSE,30.79,4.65,15.10230594,23.14075,38.43925,27.0,2.2,8.3,36.5,4.5,12.2
PH045637000,Region IV-A,Quezon,Quezon,FALSE,26.4,4.26,16.13636364,19.3923,33.4077,29.2,2.5,8.6,49.8,4.6,9.2
PH045638000,Region IV-A,Quezon,Real,FALSE,29.76,4.45,14.95295699,22.43975,37.08025,17.1,2.0,11.8,26.0,3.9,14.9
PH045639000,Region IV-A,Quezon,Sampaloc,FALSE,15.17,3.76,24.78576137,8.9848,21.3552,11.9,2.2,18.8,18.7,4.3,23.1
PH045640000,Region IV-A,Quezon,San Andres,FALSE,54.73,7.65,13.97770875,42.14575,67.31425,39.0,5.2,13.3,78.3,6.4,8.1
PH045641000,Region IV-A,Quezon,San Antonio,FALSE,24.03,3.8,15.81356638,17.779,30.281,16.7,2.4,14.4,15.8,2.9,18.1
PH045642000,Region IV-A,Quezon,San Francisco (Aurora),FALSE,45.06,4.9,10.8743897,36.9995,53.1205,41.4,3.3,7.9,63.5,5.8,9.2
PH045644000,Region IV-A,Quezon,San Narciso,FALSE,43.99,4.74,10.77517618,36.1927,51.7873,41.1,3.3,8.1,68.7,5.0,7.3
PH045645000,Region IV-A,Quezon,Sariaya,FALSE,23.22,2.89,12.4461671,18.46595,27.97405,14.5,1.7,11.8,21.0,2.9,13.6
PH045646000,Region IV-A,Quezon,Tagkawayan,FALSE,30.95,3.54,11.43780291,25.1267,36.7733,23.7,2.0,8.3,41.8,4.3,10.2
PH045647000,Region IV-A,Quezon,Tayabas,FALSE,9.55,2.1,21.9895288,6.0955,13.0045,10.5,1.4,13.0,12.4,2.1,16.6
PH045648000,Region IV-A,Quezon,Tiaong,FALSE,13.91,2.38,17.10999281,9.9949,17.8251,13.8,1.9,13.5,16.2,2.8,17.5
PH045649000,Region IV-A,Quezon,Unisan,FALSE,23.91,3.17,13.25805102,18.69535,29.12465,21.2,1.6,7.6,40.4,4.3,10.7
PH045801000,Region IV-A,Rizal,Angono,FALSE,3.32,0.69,20.78313253,2.18495,4.45505,2.4,1.2,49.4,2.5,1.6,62.2
PH045802000,Region IV-A,Rizal,Antipolo City,FALSE,4.09,1.18,28.85085575,2.1489,6.0311,3.6,1.0,29.3,4.7,1.5,33.0
PH045803000,Region IV-A,Rizal,Baras,FALSE,9.13,2.54,27.8203724,4.9517,13.3083,11.4,2.8,24.8,9.0,3.3,36.1
PH045804000,Region IV-A,Rizal,Binangonan,FALSE,6.11,1.09,17.8396072,4.31695,7.90305,4.0,0.8,19.5,5.0,1.3,26.1
PH045805000,Region IV-A,Rizal,Cainta,FALSE,0.66,0.56,84.84848485,-0.2612,1.5812,1.4,0.8,56.6,2.8,1.7,59.4
PH045806000,Region IV-A,Rizal,Cardona,FALSE,9.23,2.39,25.89382449,5.29845,13.16155,5.5,1.6,28.3,6.5,2.0,30.7
PH045807000,Region IV-A,Rizal,Jala-Jala,FALSE,19.73,3.93,19.91890522,13.26515,26.19485,15.7,2.5,16.0,14.9,3.5,23.5
PH045808000,Region IV-A,Rizal,Rodriguez (Montalban),FALSE,5.09,2.11,41.45383104,1.61905,8.56095,4.5,1.6,35.3,5.8,2.3,38.5
PH045809000,Region IV-A,Rizal,Morong,FALSE,3.5,1.62,46.28571429,0.8351,6.1649,2.2,1.1,50.0,4.8,2.2,44.9
PH045810000,Region IV-A,Rizal,Pililla,FALSE,10.77,3.16,29.34076137,5.5718,15.9682,5.9,2.0,33.3,5.7,2.0,35.1
PH045811000,Region IV-A,Rizal,San Mateo,FALSE,3.1,1.01,32.58064516,1.43855,4.76145,2.2,0.8,37.6,3.6,1.4,38.0
PH045812000,Region IV-A,Rizal,Tanay,FALSE,10.19,2.42,23.74877331,6.2091,14.1709,10.5,2.0,18.9,10.4,2.7,25.5
PH045813000,Region IV-A,Rizal,Taytay,FALSE,4.1,1.96,47.80487805,0.8758,7.3242,3.2,1.5,47.1,2.8,1.8,63.7
PH045814000,Region IV-A,Rizal,Teresa,FALSE,5.41,1.96,36.22920518,2.1858,8.6342,3.3,1.6,47.3,2.7,1.5,55.1
PH174001000,Region IV-B,Marinduque,Boac,FALSE,7.5,1.59,21.2,4.88445,10.11555,26.5,2.3,8.6,24.7,2.9,11.8
